date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,0.37,0.38,0.34,0.35,86337000,0.35
20140113,0,0.37,0.39,0.35,0.37,50223500,0.37
20140110,0,0.37,0.39,0.35,0.37,21143000,0.37
20140109,0,0.4,0.41,0.35,0.37,56075500,0.37
20140108,0,0.41,0.43,0.38,0.4,49757500,0.4
20140107,0,0.38,0.47,0.34,0.41,392845000,0.41
20140106,0,0.38,0.38,0.38,0.38,0,0.38
20140103,0,0.4,0.42,0.38,0.38,67256500,0.38
20140102,0,0.37,0.43,0.33,0.4,160643000,0.4
20140101,0,0.38,0.38,0.38,0.38,0,0.38
20131231,0,0.47,0.47,0.35,0.38,141730500,0.38
20131230,0,0.37,0.5,0.35,0.47,244664700,0.47
20131227,0,0.25,0.34,0.24,0.33,196672500,0.33
20131226,0,0.23,0.23,0.23,0.23,0,0.23
20131225,0,0.23,0.23,0.23,0.23,0,0.23
20131224,0,0.17,0.24,0.16,0.23,128285000,0.23
20131223,0,0.16,0.17,0.14,0.17,71103500,0.17
20131220,0,0.12,0.17,0.11,0.16,279644500,0.16
20131219,0,0.09,0.12,0.09,0.11,102357000,0.11
20131218,0,0.1,0.1,0.09,0.1,6374000,0.1
20131217,0,0.1,0.1,0.1,0.1,21450000,0.1
20131216,0,0.1,0.1,0.09,0.1,19420000,0.1
20131213,0,0.09,0.1,0.09,0.09,13908500,0.09
20131212,0,0.09,0.1,0.08,0.09,9656000,0.09
20131211,0,0.09,0.1,0.09,0.1,15770000,0.1
20131210,0,0.1,0.1,0.09,0.09,32219000,0.09
20131209,0,0.09,0.1,0.09,0.1,30760000,0.1
20131206,0,0.09,0.09,0.09,0.09,16720000,0.09
20131205,0,0.09,0.09,0.09,0.09,7525000,0.09
20131204,0,0.09,0.09,0.09,0.09,1856000,0.09
20131203,0,0.08,0.09,0.08,0.09,2431000,0.09
20131202,0,0.08,0.09,0.08,0.08,3073000,0.08
20131129,0,0.08,0.09,0.08,0.08,2885000,0.08
20131128,0,0.08,0.08,0.08,0.08,7758000,0.08
20131127,0,0.08,0.09,0.08,0.08,20693000,0.08
20131126,0,0.09,0.09,0.08,0.09,5414000,0.09
20131125,0,0.09,0.09,0.08,0.09,7130000,0.09
20131122,0,0.09,0.09,0.09,0.09,9655500,0.09
20131121,0,0.09,0.09,0.09,0.09,5841000,0.09
20131120,0,0.09,0.09,0.09,0.09,13175000,0.09
20131119,0,0.09,0.09,0.09,0.09,3400000,0.09
20131118,0,0.09,0.09,0.09,0.09,5273500,0.09
20131115,0,0.09,0.09,0.09,0.09,25404000,0.09
20131114,0,0.09,0.09,0.09,0.09,2190000,0.09
20131113,0,0.09,0.09,0.09,0.09,8709000,0.09
20131112,0,0.09,0.09,0.09,0.09,10935000,0.09
20131111,0,0.09,0.1,0.09,0.09,32165000,0.09
20131108,0,0.09,0.09,0.08,0.09,11854000,0.09
20131107,0,0.09,0.09,0.09,0.09,4685000,0.09
20131106,0,0.09,0.09,0.09,0.09,9868000,0.09
20131105,0,0.08,0.09,0.08,0.09,3445000,0.09
20131104,0,0.09,0.09,0.08,0.09,3060000,0.09
20131101,0,0.09,0.09,0.08,0.09,12589000,0.09
20131031,0,0.09,0.09,0.09,0.09,12376000,0.09
20131030,0,0.09,0.09,0.08,0.09,22163000,0.09
20131029,0,0.11,0.11,0.09,0.09,85328500,0.09
20131028,0,0.09,0.11,0.09,0.11,85955000,0.11
20131025,0,0.08,0.09,0.08,0.09,36635000,0.09
20131024,0,0.08,0.08,0.08,0.08,1323000,0.08
20131023,0,0.08,0.08,0.08,0.08,3465000,0.08
20131022,0,0.08,0.08,0.08,0.08,1425000,0.08
