Date,Open,High,Low,Close,Volume,Adj Close
2014-02-28,529.08002,532.75,522.12,526.23999,92992200,73.47033
2014-02-27,517.13995,528.78003,516.04999,527.67004,75470500,73.66998
2014-02-26,523.60999,525.00,515.59998,517.34998,69054300,72.22916
2014-02-25,529.37994,529.57007,521.00,522.06,57988000,72.88675
2014-02-24,523.14996,529.91998,522.42004,527.55005,72227400,73.65323
2014-02-21,532.79004,534.57001,524.60004,525.25,69696200,73.33212
2014-02-20,532.99005,537.00,529.00,531.15002,76464500,74.15584
2014-02-19,544.75,546.88995,534.34998,537.37,78442000,75.02424
2014-02-18,546.00,551.19,545.61005,545.98999,65062900,76.22771
2014-02-14,542.46997,545.97998,541.20996,543.98999,68231100,75.94848
2014-02-13,534.65997,544.84998,534.20007,544.42999,76849500,76.0099
2014-02-12,536.94995,539.56,533.23999,535.91998,77025200,74.82179
2014-02-11,530.60999,537.75,529.50,535.95996,70564200,74.82738
2014-02-10,518.66003,531.98999,518.00,528.98999,86389800,73.85427
2014-02-07,521.38,522.93005,517.38,519.67999,92570100,72.55447
2014-02-06,510.05994,513.50,507.81003,512.51001,64441300,71.55344
2014-02-05,506.55994,515.27997,506.25,512.58997,82086200,71.13879
2014-02-04,505.85004,509.45999,502.76001,508.79001,94170300,70.61141
2014-02-03,502.61002,507.73001,499.29999,501.52997,100366000,69.60384
2014-01-31,495.17999,501.52997,493.54999,500.60004,116199300,69.47478
2014-01-30,502.53998,506.49997,496.69995,499.77997,169625400,69.36098
2014-01-29,503.95001,507.37,498.62,500.75,125702500,69.4956
2014-01-28,508.76001,515.00,502.07001,506.49997,266380800,70.29359
2014-01-27,550.07001,554.79999,545.75,550.50,138719700,76.40005
2014-01-24,554.00,555.62006,544.75,546.07001,107338700,75.78525
2014-01-23,549.94,556.50,544.81,556.18005,100809800,77.18835
2014-01-22,550.91003,557.29004,547.81,551.51001,94996300,76.54022
2014-01-21,540.98999,550.07001,540.41998,549.06995,82131700,76.20159
2014-01-17,551.48004,552.07001,539.90002,540.66998,106684900,75.03581
2014-01-16,554.90002,556.85004,551.68005,554.25,57319500,76.92049
2014-01-15,553.52002,560.20001,551.65997,557.36005,97909700,77.35211
2014-01-14,538.22003,546.72998,537.65997,546.38995,83140400,75.82965
2014-01-13,529.91003,542.50,529.88,535.73004,94623200,74.35023
2014-01-10,539.82996,540.79999,531.11005,532.94006,76244000,73.96303
2014-01-09,546.80005,546.86005,535.34998,536.52002,69787200,74.45987
2014-01-08,538.81006,545.56,538.69,543.45996,64632400,75.42302
2014-01-07,544.32001,545.96008,537.91998,540.03998,79302300,74.94838
2014-01-06,537.45001,546.80005,533.59998,543.93005,103152700,75.48826
2014-01-03,552.86005,553.70001,540.43005,540.98004,98116900,75.07884
2014-01-02,555.67999,557.02997,552.02002,553.13,58671200,76.76505
2013-12-31,554.16998,561.28003,554.00,561.02002,55771100,77.86005
2013-12-30,557.45996,560.09003,552.32007,554.51996,63407400,76.95795
2013-12-27,563.81995,564.40997,559.50,560.09003,56471100,77.73099
2013-12-26,568.09998,569.50,563.38,563.89996,51002000,78.25974
2013-12-24,569.89001,571.88,566.02997,567.66998,41888700,78.78295
2013-12-23,568.00,570.72003,562.76001,570.09003,125326600,79.11881
2013-12-20,545.42999,551.60999,544.82001,549.02002,109103400,76.19465
2013-12-19,549.50,550.00,543.72998,544.45996,80077200,75.56181
2013-12-18,549.70001,551.45001,538.79999,550.77002,141465800,76.43752
2013-12-17,555.81,559.44,553.38,554.98999,57475600,77.02319
2013-12-16,555.01996,562.63995,555.01001,557.50,70648200,77.37154
2013-12-13,562.84998,562.88,553.66998,554.43005,83205500,76.94547
2013-12-12,562.13995,565.34003,560.03003,560.53998,65572500,77.79343
2013-12-11,567.00,570.96997,559.69,561.36005,89929700,77.90724
2013-12-10,563.58002,567.87994,561.20001,565.55005,69567400,78.48874
2013-12-09,560.90002,569.57996,560.90002,566.42999,80123400,78.61086
2013-12-06,565.78998,566.75,559.56995,560.02002,86088100,77.72127
2013-12-05,572.64996,575.14001,566.40997,567.90002,111895000,78.81488
2013-12-04,565.50,569.19,560.82001,565.00,94452400,78.41241
2013-12-03,558.29999,566.38,557.67999,566.32007,112742000,78.5956
2013-12-02,558.00,564.32996,550.81995,551.22998,118136200,76.50136
2013-11-29,549.47998,558.33002,547.81,556.06995,79531900,77.17307
2013-11-27,536.30994,546.00,533.39996,545.96008,90862100,75.76999
2013-11-26,524.12006,536.14001,524.00,533.39996,100345700,74.02686
2013-11-25,521.02002,525.87006,521.00,523.73999,57327900,72.68622
2013-11-22,519.51996,522.16003,518.52997,519.79999,55931400,72.13941
2013-11-21,517.60004,521.21002,513.67004,521.14001,65506700,72.32538
2013-11-20,519.22998,520.41998,514.32996,515.00,48479200,71.47325
2013-11-19,519.02997,523.38,517.96997,519.54999,52234700,72.10472
2013-11-18,524.98999,527.19,518.20001,518.63,61236000,71.97704
2013-11-15,526.57996,529.09003,524.48999,524.98999,79480100,72.8597
2013-11-14,522.81,529.27997,521.87,528.16003,70604800,73.29964
2013-11-13,518.00,522.25,516.96002,520.62994,49305200,72.2546
2013-11-12,517.66998,523.91998,517.00,520.01001,51069200,72.16856
