date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,15.02,16.6,14.32,16.45,696500,16.45
20140113,0,14.12,14.67,13.43,13.62,220500,13.62
20140110,0,14.52,14.54,13.88,14.12,117300,14.12
20140109,0,15.25,15.25,14.27,14.5,132200,14.5
20140108,0,14.99,15.39,14.72,15.01,122700,15.01
20140107,0,14.22,14.98,14.03,14.81,250000,14.81
20140106,0,14.4,14.4,13.53,14.25,291100,14.25
20140103,0,14.47,14.87,14.11,14.49,111400,14.49
20140102,0,15.12,15.12,13.75,14.45,220700,14.45
20131231,0,14.84,15.3,14.17,15.13,326300,15.13
20131230,0,15.33,15.44,14.76,14.89,212800,14.89
20131227,0,15.49,15.98,15.25,15.33,194800,15.33
20131226,0,15.5,15.81,15.32,15.38,149700,15.38
20131224,0,15.2,15.85,15.07,15.37,188200,15.37
20131223,0,14.27,14.97,14.04,14.96,238900,14.96
20131220,0,14.73,15,14.24,14.35,246900,14.35
20131219,0,14.23,14.78,14.01,14.64,379000,14.64
20131218,0,12.47,14.4,12.42,14.08,1099400,14.08
20131217,0,11.36,12.64,11.36,12.36,251000,12.36
20131216,0,11.28,11.53,10.81,11.42,214500,11.42
20131213,0,11.72,11.75,11.01,11.35,168800,11.35
20131212,0,11.65,11.98,11.65,11.72,87400,11.72
20131211,0,11.38,11.87,11.21,11.58,80100,11.58
20131210,0,12.1,12.1,11.15,11.48,164600,11.48
20131209,0,12.42,12.5,11.87,12.14,132100,12.14
20131206,0,12.38,12.6,11.81,12.27,104900,12.27
20131205,0,12.86,12.88,12.11,12.36,137900,12.36
20131204,0,12.14,13,12.06,12.71,276600,12.71
20131203,0,12.8,12.97,11.2,12.1,310700,12.1
20131202,0,12.4,12.8,12.34,12.67,279400,12.67
20131129,0,12.35,12.7,12.31,12.4,121800,12.4
20131127,0,11.98,12.95,11.94,12.35,239200,12.35
20131126,0,12.09,12.22,11.7,12.01,381900,12.01
20131125,0,11.01,12.25,11,11.75,603200,11.75
20131122,0,10.71,11.2,10.71,10.94,113900,10.94
20131121,0,9.99,10.95,9.99,10.59,124100,10.59
20131120,0,10.01,10.25,9.9,9.95,97500,9.95
20131119,0,10.64,10.98,9.59,9.88,279700,9.88
20131118,0,10.75,11.6,10.37,10.61,253700,10.61
20131115,0,11.07,11.13,10.48,10.87,158300,10.87
20131114,0,10.75,11.47,10.66,11.04,374800,11.04
20131113,0,10.45,11.1,10.08,10.82,283800,10.82
20131112,0,10.22,11.25,9.96,10.45,410200,10.45
20131111,0,9.4,10.48,9.4,10.21,455000,10.21
20131108,0,8.72,9.89,8.7,9.57,650300,9.57
20131107,0,8.2,8.32,7.82,8.29,93100,8.29
20131106,0,8.33,8.5,7.81,8.15,112700,8.15
20131105,0,8.64,8.89,8.3,8.41,90400,8.41
20131104,0,7.61,8.6,7.5,8.54,167300,8.54
