date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,46.27,47.52,46.22,47.44,1538600,47.44
20140113,0,48.17,48.17,45.86,46.3,2134400,46.3
20140110,0,47.78,48.24,47.63,48.2,1425400,48.2
20140109,0,46.78,47.91,46.77,47.62,1686600,47.62
20140108,0,46.99,47.26,46.65,46.68,2228500,46.68
20140107,0,46.25,47.14,46.01,47.01,1480000,47.01
20140106,0,46.4,46.58,45.8,46.11,1754500,46.11
20140103,0,46.68,46.96,46.27,46.45,960400,46.45
20140102,0,47.11,47.18,46.42,46.53,935100,46.53
20131231,0,46.98,47.41,46.89,47.18,990600,47.18
20131230,0,46.97,47.23,46.58,46.94,1226500,46.94
20131227,0,47.31,47.43,46.74,46.88,1399300,46.88
20131226,0,47.9,47.97,46.91,47.3,1180100,47.3
20131224,0,47.43,47.74,47.34,47.73,591100,47.73
20131223,0,47.7,47.9,47.06,47.51,1741900,47.51
20131220,0,46.81,47.9,46.63,47.7,3855900,47.7
20131219,0,46.52,46.71,46.24,46.6,1998000,46.6
20131218,0,45.61,46.79,45.39,46.55,3887900,46.55
20131217,0,45.37,45.84,45.22,45.58,1103400,45.58
20131216,0,45.82,45.86,45.02,45.39,2056800,45.39
20131213,0,44.13,45.88,44.1,45.72,3620000,45.72
20131212,0,44.35,44.6,43.74,43.76,2355600,43.76
20131211,0,45.1,45.38,44.41,44.44,1819000,44.44
20131210,0,44.27,45.36,44.04,45.01,2931800,45.01
20131209,0,43.99,44.85,43.81,44.35,3802000,44.35
20131206,0,45.68,45.74,44.55,44.95,2184100,44.95
20131205,0,45.91,45.91,44.76,45.12,2563700,45.12
20131204,0,45.33,46.55,45.2,45.86,3379900,45.86
20131203,0,43.92,45.75,43.87,45.65,3123100,45.65
20131202,0,44.71,44.71,44,44.11,2241700,44.11
20131129,0,44.4,44.88,44.33,44.72,685100,44.72
20131127,0,44.24,44.9,44.23,44.4,1115300,44.4
20131126,0,44.74,44.84,44.19,44.27,1582400,44.27
20131125,0,44.45,45.32,44.01,44.63,2106000,44.63
20131122,0,44.59,44.79,44.08,44.2,1689300,44.2
20131121,0,45,45.04,44.25,44.45,2680600,44.45
20131120,0,45.46,45.78,45.02,45.22,1308100,45.22
20131119,0,45.77,46.02,45.13,45.35,1232400,45.35
20131118,0,45.67,46.23,45.6,45.73,1231700,45.73
20131115,0,46.11,46.31,45.62,45.76,1595900,45.76
20131114,0,46.41,46.85,46.01,46.17,1326200,46.17
20131113,0,45.03,46.66,44.86,46.53,2323200,46.53
20131112,0,45.09,45.31,44.94,45.11,1236100,45.11
20131111,0,45.11,45.34,44.78,45.24,1365200,45.24
20131108,0,44.57,45.27,44.55,45.27,2033200,45.27
20131107,0,45.36,45.42,44.4,44.48,1905300,44.48
20131106,0,45.31,45.48,44.84,45.16,1214100,45.16
20131105,0,45.34,45.66,44.79,45.21,1967700,45.21
20131104,0,45.13,45.9,45.07,45.67,1860100,45.67
20131101,0,45.01,45.41,44.77,45.07,2495800,45.07
20131031,0,45.54,46.07,44.7,44.76,3521600,44.76
20131030,0,46.53,46.79,45.45,45.55,2890200,45.55
20131029,0,46.08,46.75,45.79,46.57,2880600,46.57
20131028,0,45.34,46.07,45.19,45.78,3513100,45.78
20131025,0,46.82,47.07,45.11,45.88,5556500,45.88
20131024,0,46.79,47.58,45.96,46.06,12288100,46.06
20131023,0,52.44,52.81,51.75,51.87,5563600,51.87
20131022,0,51.87,53.61,51.87,53.39,2454800,53.39
20131021,0,52.28,52.64,51.98,52.2,1749900,52.2
20131018,0,52.17,52.43,51.97,52.15,2230900,52.15
20131017,0,52.29,52.5,51.79,52.04,1397600,52.04
20131016,0,51.67,52.11,51.55,51.81,1401100,51.81
20131015,0,51.3,52.29,51,51.31,1630800,51.31
20131014,0,51.64,51.99,51.13,51.89,977700,51.89
20131011,0,51.04,52.12,51.02,51.89,1520500,51.89
20131010,0,49.74,51.32,49.65,51.06,2058700,51.06
20131009,0,50.25,50.33,48.31,49.3,2214100,49.3
20131008,0,51.55,51.87,49.9,50,1488300,50
20131007,0,52.2,52.73,51.64,51.67,1267300,51.67
20131004,0,51.31,52.47,51.18,52.32,1524200,52.32
20131003,0,52.27,52.4,50.93,51.16,1500300,51.16
20131002,0,51.88,52.34,51.58,52.22,1066400,52.22
20131001,0,51.74,52.44,51.51,52.42,1167300,52.42
20130930,0,51.31,51.89,50.85,51.7,1504200,51.7
20130927,0,51.7,52.39,51.47,51.75,1854000,51.75
20130926,0,52.36,52.92,52.21,52.77,1121600,52.77
20130925,0,52.07,52.43,51.56,52.08,1573700,52.08
20130924,0,52.04,52.41,51.81,51.93,1781300,51.93
20130923,0,52.69,52.95,51.89,51.98,3218400,51.98
20130920,0,52.91,53.2,52.33,52.71,3157400,52.71
20130919,0,52.55,53.03,52.3,52.77,2987000,52.77
20130918,0,51.9,52.48,51.64,52.38,2543000,52.38
20130917,0,51.35,51.74,51.12,51.58,1191800,51.58
20130916,0,51.67,51.93,51.29,51.37,1756800,51.37
20130913,0,50.81,51.32,50.59,51.27,2276600,51.27
20130912,0,50.03,50.71,49.81,50.57,1582300,50.57
20130911,0,49.4,50.21,49.2,50.13,2043000,50.13
20130910,0,49.1,49.46,48.89,49.43,1711800,49.43
20130909,0,47.67,49.1,47.67,48.89,2217400,48.89
20130906,0,48.11,48.2,46.76,47.58,1576700,47.58
20130905,0,47.29,48.01,47.24,47.92,1123300,47.92
20130904,0,47.06,47.66,46.43,47.43,1321300,47.43
20130903,0,46.4,47.05,46.4,46.85,1172900,46.85
20130830,0,46.49,46.49,45.82,45.98,1068500,45.98
20130829,0,46.19,46.8,46.01,46.5,1139300,46.5
20130828,0,46.33,46.69,46.15,46.41,1278900,46.41
20130827,0,46.13,46.57,45.86,46.3,1603800,46.3
20130826,0,47.02,47.1,46.44,46.6,861900,46.6
20130823,0,47.44,47.44,46.73,47.1,1310400,47.1
20130822,0,46.34,47.43,46.08,47.3,919200,47.3
20130821,0,45.74,46.44,45.68,46.29,1361400,46.29
20130820,0,46.02,46.33,45.76,46.21,908800,46.21
20130819,0,45.95,46.37,45.53,46,1368800,46
20130816,0,46,46.34,45.75,45.91,1621900,45.91
20130815,0,46.35,46.35,45.75,46.19,1716300,46.19
20130814,0,46.94,47.12,46.45,46.81,929500,46.81
20130813,0,46.71,47.19,46.36,46.94,995000,46.94
20130812,0,46.22,47.17,46.13,46.71,1287200,46.71
20130809,0,46.7,46.98,46.15,46.52,1009800,46.52
20130808,0,46.24,46.67,45.9,46.63,1305400,46.63
20130807,0,46.13,46.2,45.63,46.09,1383200,46.09
20130806,0,46.73,46.95,46.17,46.26,1414200,46.26
20130805,0,46.69,46.97,46.46,46.9,1503700,46.9
20130802,0,47.78,47.78,46.66,46.85,1217100,46.85
20130801,0,47.51,47.77,47.34,47.64,1638700,47.64
20130731,0,47.21,47.49,46.82,47.2,1932000,47.2
20130730,0,46.9,47.11,46.47,47.07,2017500,47.07
20130729,0,47.05,47.1,46.33,46.75,2444900,46.75
20130726,0,44.86,47.28,44.86,47.23,4125900,47.23
20130725,0,42.5,45.59,42.4,45.19,4888300,45.19
20130724,0,44.71,44.81,43.83,43.87,3606700,43.87
20130723,0,44.19,44.35,43.41,44.25,2335000,44.25
20130722,0,45.1,45.1,43.7,44.1,2973200,44.1
20130719,0,45.34,45.4,44.7,44.81,1472600,44.81
20130718,0,45.25,45.65,45.19,45.34,1563800,45.34
20130717,0,44.49,45.18,44.49,45.09,1171600,45.09
20130716,0,44.8,45.07,44.17,44.42,1474000,44.42
20130715,0,44.83,44.93,44.23,44.69,1034700,44.69
20130712,0,44.65,45.2,44.47,44.92,1474600,44.92
20130711,0,43.91,44.61,43.72,44.5,1866300,44.5
20130710,0,43.54,43.74,42.98,43.52,1638800,43.52
20130709,0,43.19,43.65,42.72,43.56,2120100,43.56
20130708,0,43.27,43.45,42.77,43.03,1473900,43.03
20130705,0,42.98,43.29,42.57,43.03,949800,43.03
20130703,0,42.28,43.01,42.17,42.69,462600,42.69
20130702,0,42.97,43.16,42.21,42.55,1767900,42.55
20130701,0,42.74,43.04,42.5,42.97,1816600,42.97
20130628,0,42.43,43,42.28,42.55,1660100,42.55
20130627,0,42.9,43.1,42.67,42.69,1136900,42.69
20130626,0,42.18,43.1,42,42.76,1931600,42.76
20130625,0,42.07,42.38,41.74,41.91,2030600,41.91
20130624,0,40.47,41.69,40.08,41.41,2489300,41.41
20130621,0,41.46,41.69,40.46,40.75,3171600,40.75
20130620,0,41.99,42.48,41.12,41.25,1769000,41.25
20130619,0,42.92,43.14,42.49,42.56,1422100,42.56
20130618,0,42.58,43.02,42.44,42.84,1647000,42.84
20130617,0,43.07,43.65,42.78,42.94,1644300,42.94
20130614,0,42.68,43.17,42.09,42.56,1614200,42.56
20130613,0,42.42,42.86,41.66,42.64,2620700,42.64
20130612,0,43.9,43.99,42.21,42.52,3188700,42.52
20130611,0,44.33,44.51,43.75,43.84,1746400,43.84
20130610,0,45.19,45.19,44.39,44.75,1093800,44.75
20130607,0,44.97,45.28,44.61,45.26,1038200,45.26
20130606,0,44.3,44.7,43.91,44.56,1320200,44.56
20130605,0,44.58,45.06,44.17,44.3,1669700,44.3
20130604,0,45.92,46.18,44.61,44.65,2489100,44.65
20130603,0,46.22,46.44,44.91,45.91,2536800,45.91
20130531,0,46.78,47.34,46.11,46.12,2721800,46.12
20130530,0,46.38,47.7,46.36,47.09,2904900,47.09
20130529,0,46.37,46.89,46.05,46.36,2593600,46.36
20130528,0,46.52,46.98,46.18,46.56,1979700,46.56
20130524,0,45.93,46.14,45.45,46.04,1203100,46.04
20130523,0,45.94,46.58,45.72,46.35,1818300,46.35
20130522,0,47.42,47.83,45.87,46.12,2980500,46.12
20130521,0,47.85,47.99,47.06,47.28,1957200,47.28
20130520,0,47.49,48.22,47.4,47.89,1728900,47.89
20130517,0,47.45,47.75,47.08,47.49,2257700,47.49
20130516,0,48,48.47,46.72,46.93,3003600,46.93
20130515,0,46.61,48.44,46.42,48.03,2880200,48.03
20130514,0,46.65,47.07,46.5,46.9,1474700,46.9
20130513,0,46.41,47.53,46.15,46.71,2610200,46.71
20130510,0,45.86,46.88,45.47,46.7,2711800,46.7
20130509,0,45.28,45.85,45.01,45.61,2219800,45.61
20130508,0,44.83,45.44,44.75,45.29,2051700,45.29
20130507,0,45.31,45.82,44.88,45.15,1514600,45.15
20130506,0,45.29,45.48,44.75,45.06,1709900,45.06
20130503,0,44.79,45.71,44.5,45.27,2442400,45.27
20130502,0,43.52,44.47,43.52,44.32,1968000,44.32
20130501,0,43.87,44.15,43.47,43.64,2015600,43.64
20130430,0,43.09,44.21,42.99,43.91,3887000,43.91
20130429,0,42.48,43.22,42.26,43.03,3296100,43.03
20130426,0,42.28,42.85,41.63,42.61,5641900,42.61
20130425,0,42.25,43.68,41.81,42.48,16795800,42.48
20130424,0,35.39,36.36,35.15,36.09,7071700,36.09
20130423,0,34.57,35.6,34.54,35.47,3354700,35.47
20130422,0,32.72,34.73,32.63,34.28,3797400,34.28
20130419,0,33.6,33.7,33.36,33.55,2938800,33.55
20130418,0,34.13,34.22,33.27,33.74,4051200,33.74
20130417,0,34.46,34.97,33.86,34.18,2850400,34.18
20130416,0,34.74,35.01,34.56,34.79,2798700,34.79
20130415,0,35.14,35.31,34.29,34.44,2602400,34.44
20130412,0,35.71,35.89,35.21,35.41,2230500,35.41
20130411,0,36,36.14,35.59,35.79,2445200,35.79
20130410,0,34.83,36.17,34.81,36.04,4245100,36.04
20130409,0,34.48,34.79,34.36,34.67,3217400,34.67
20130408,0,34.28,34.52,33.92,34.49,2194700,34.49
20130405,0,33.65,34.58,33.46,34.18,4049700,34.18
20130404,0,34.64,34.84,34.03,34.06,4128600,34.06
20130403,0,34.9,35.15,34.68,34.78,2529700,34.78
20130402,0,35.04,35.35,34.79,34.84,2087900,34.84
20130401,0,35.37,35.41,34.81,34.9,2191500,34.9
20130328,0,35.07,35.34,34.85,35.32,1904100,35.32
20130327,0,34.98,35.21,34.56,35.16,1497000,35.16
20130326,0,34.61,35.15,34.54,35.08,2589500,35.08
20130325,0,34.79,34.99,34.35,34.4,3285500,34.4
20130322,0,35.2,35.28,34.69,34.78,2174300,34.78
20130321,0,35.06,35.51,34.87,35.01,2368700,35.01
20130320,0,35.09,35.6,34.81,35.45,4430200,35.45
20130319,0,34.55,35.07,34.26,34.67,4511000,34.67
20130318,0,34.3,35.03,34.26,34.55,3929900,34.55
20130315,0,35.35,35.41,34.54,34.69,6118400,34.69
20130314,0,34.75,35.09,34.45,34.66,3524600,34.66
20130313,0,34.89,34.92,34.3,34.66,4262500,34.66
20130312,0,35.48,35.54,34.55,34.77,8246200,34.77
20130311,0,37.22,37.49,34.94,35.6,13469900,35.6
20130308,0,37.38,37.55,37,37.24,2655200,37.24
20130307,0,37.7,37.75,37.05,37.28,3385700,37.28
20130306,0,37.54,38.19,37.3,37.53,2882600,37.53
20130305,0,37.48,37.9,37.15,37.49,2169700,37.49
20130304,0,36.64,37.74,36.56,37.4,2814800,37.4
20130301,0,36.7,36.83,36.15,36.65,2846400,36.65
20130228,0,36.6,37.19,36.6,36.96,2756900,36.96
20130227,0,36.36,36.78,36.05,36.58,2411600,36.58
20130226,0,36.36,36.73,36,36.36,2212500,36.36
20130225,0,37.18,37.3,36.31,36.31,4466700,36.31
20130222,0,37.17,37.41,36,36.27,5544700,36.27
20130221,0,37.3,37.53,36.47,37.07,2987600,37.07
20130220,0,38.62,38.76,37.37,37.4,4099700,37.4
20130219,0,38.44,38.81,38.07,38.58,3906300,38.58
20130215,0,37.83,39,37.83,38.49,6736900,38.49
20130214,0,37.26,37.93,36.63,37.87,5146400,37.87
20130213,0,36.82,37.44,36.08,37.31,6339400,37.31
20130212,0,35.36,36.91,35.08,36.74,9682900,36.74
20130211,0,35.56,35.64,34.9,35.31,7253000,35.31
20130208,0,35.5,35.58,34.78,35.42,7051500,35.42
20130207,0,33.8,35.49,33.55,35.26,27195100,35.26
20130206,0,41.16,42,41.16,41.58,5905000,41.58
20130205,0,41.46,41.49,41.02,41.05,2141900,41.05
20130204,0,41.57,41.87,41.09,41.36,3389400,41.36
20130201,0,40.92,41.99,40.89,41.81,2836000,41.81
20130131,0,40.26,40.9,40.26,40.71,1335900,40.71
20130130,0,40.25,40.69,40.17,40.4,1270600,40.4
20130129,0,40.5,40.71,39.72,40.18,1927000,40.18
20130128,0,41.27,41.39,40.3,40.69,2039600,40.69
20130125,0,40.8,41.49,40.69,41.15,2563700,41.15
20130124,0,40.12,40.84,40.05,40.56,2333200,40.56
20130123,0,40.18,40.48,39.73,40.06,2116800,40.06
20130122,0,40,40.52,39.48,39.93,2802700,39.93
20130118,0,39.73,39.97,39.5,39.96,1549600,39.96
20130117,0,39.64,39.86,39.47,39.75,2147400,39.75
20130116,0,39.34,39.56,39,39.37,1781400,39.37
20130115,0,39.67,39.76,39.03,39.66,1633700,39.66
20130114,0,39.49,40.08,39.3,39.99,1734900,39.99
20130111,0,39.64,39.7,39.11,39.59,1825200,39.59
20130110,0,39.98,39.98,39.22,39.5,3078500,39.5
20130109,0,40.34,40.37,39.48,39.7,2991900,39.7
20130108,0,40.88,40.91,39.86,40.14,2885000,40.14
20130107,0,40.23,40.94,40.22,40.77,2653000,40.77
20130104,0,40.48,40.65,39.95,40.43,2244300,40.43
20130103,0,41.89,41.99,40.83,40.95,2091900,40.95
20130102,0,41.86,42.53,41.8,42.16,2468800,42.16
20121231,0,40.31,41.01,40.05,40.91,2065400,40.91
20121228,0,40.8,41,40.36,40.4,1633600,40.4
20121227,0,41.34,41.56,40.27,41.03,2467100,41.03
20121226,0,41.34,41.67,41.01,41.25,1573300,41.25
20121224,0,41.61,41.72,41.17,41.39,625300,41.39
20121221,0,40.79,41.78,40.28,41.76,3003100,41.76
20121220,0,41.36,41.88,40.82,41.86,2485400,41.86
20121219,0,41.15,41.66,40.92,41.41,4074000,41.41
20121218,0,39.53,41.11,39.46,40.94,4522200,40.94
20121217,0,39.02,39.72,38.51,39.46,2777200,39.46
20121214,0,39,39.51,38.66,38.96,2244900,38.96
20121213,0,39.82,40.27,39.01,39.09,2206200,39.09
20121212,0,39.52,40.61,39.51,39.97,4205700,39.97
20121211,0,39.42,39.82,38.87,39.6,2888700,39.6
20121210,0,38.73,39.37,38.6,39.2,2481700,39.2
20121207,0,38.94,39.2,38.5,38.82,3205800,38.82
20121206,0,37.87,39.43,37.82,39.06,7575700,39.06
20121205,0,35.97,36,35.02,35.5,2413300,35.5
20121204,0,36.18,36.27,35.65,36,1547400,36
20121203,0,36.73,36.75,35.78,36.1,2574900,36.1
20121130,0,36.26,36.71,36.02,36.62,2546500,36.62
20121129,0,36.05,36.45,35.68,36.24,2108500,36.24
20121128,0,34.8,35.96,34.74,35.88,3804100,35.88
20121127,0,35.78,35.79,34.09,34.57,4867100,34.57
20121126,0,35.94,36.46,35.5,35.73,1950400,35.73
20121123,0,36.07,36.2,35.75,35.97,885800,35.97
20121121,0,35.78,36.15,35.59,35.83,1426800,35.83
20121120,0,35.84,36.62,35.51,35.63,2786600,35.63
20121119,0,36.68,36.68,35.83,35.87,2051200,35.87
20121116,0,36.24,36.57,35.52,36.1,2172800,36.1
20121115,0,35.41,36.59,35.07,36.23,4910300,36.23
20121114,0,36.5,36.61,35.27,35.38,1932600,35.38
20121113,0,36.28,36.89,36.11,36.31,1483000,36.31
20121112,0,36.56,36.79,36.03,36.57,1384200,36.57
20121109,0,36.96,37.12,36.16,36.4,2882800,36.4
20121108,0,37.7,37.9,37,37.07,1616900,37.07
20121107,0,38.46,38.67,37.39,37.57,2690400,37.57
20121106,0,39,39.26,38.78,38.87,2177500,38.87
20121105,0,38.27,39,38.1,38.96,1594200,38.96
20121102,0,38.76,38.86,38.15,38.28,2610900,38.28
20121101,0,37.95,38.66,37.79,38.57,1652200,38.57
20121031,0,39.07,39.07,37.56,37.99,2638600,37.99
20121026,0,38.49,39.31,37.93,38.39,2952900,38.39
20121025,0,39.75,40.08,38.1,38.54,8543200,38.54
20121024,0,36.88,37,35.77,36.11,5311100,36.11
20121023,0,36,36.77,35.8,36.49,2083600,36.49
20121022,0,36.25,36.65,36.03,36.57,1812600,36.57
20121019,0,37.23,37.39,36.02,36.37,3062900,36.37
20121018,0,37.9,37.99,37.08,37.28,2008800,37.28
20121017,0,38.63,38.82,37.93,37.98,1593800,37.98
20121016,0,38.03,38.95,37.95,38.73,1445400,38.73
20121015,0,37.55,37.96,37.24,37.9,1439400,37.9
20121012,0,37.99,38.42,37.58,37.58,1197000,37.58
20121011,0,38.27,38.59,37.79,37.89,1761200,37.89
20121010,0,38.21,38.53,37.61,37.83,1637800,37.83
20121009,0,39.43,39.45,38.16,38.36,1964100,38.36
20121008,0,39.31,40.32,39.05,39.6,2818500,39.6
20121005,0,39.5,39.94,39.24,39.41,2595800,39.41
20121004,0,39.06,39.5,38.76,39.43,2106300,39.43
20121003,0,38.5,39.11,38.26,39.04,2192200,39.04
20121002,0,38.45,38.79,38.11,38.43,2056000,38.43
20121001,0,38.45,38.95,37.9,38.21,1871900,38.21
20120928,0,38.3,38.42,37.78,38.26,1776900,38.26
20120927,0,38.34,38.95,38.31,38.49,3406800,38.49
20120926,0,38.51,38.71,37.52,37.93,1978900,37.93
20120925,0,38.62,39.47,38.41,38.46,3150700,38.46
20120924,0,38.42,38.63,38.01,38.36,1312300,38.36
20120921,0,38.85,39.2,38.77,38.81,2120500,38.81
20120920,0,38.82,38.9,38.32,38.68,1377500,38.68
20120919,0,38.6,39.12,38.52,38.96,1532600,38.96
20120918,0,38.69,38.9,38.2,38.65,1671300,38.65
20120917,0,38.96,39.08,38.57,38.84,2108900,38.84
20120914,0,38.2,39.67,38.2,39.03,3446200,39.03
20120913,0,37.92,38.43,37.7,38.18,3667700,38.18
20120912,0,38.34,38.34,37.62,37.89,4265800,37.89
20120911,0,38.49,38.83,38.09,38.12,3293400,38.12
20120910,0,38.6,38.78,38.02,38.49,2025900,38.49
20120907,0,39.04,39.46,38.56,38.73,1871200,38.73
20120906,0,38.02,39.37,38,39.21,3527500,39.21
20120905,0,37.75,38.35,37.39,37.71,2241300,37.71
20120904,0,37.36,37.9,37.27,37.67,1774800,37.67
20120831,0,37.58,37.87,36.93,37.51,2138900,37.51
20120830,0,37.43,37.51,37.03,37.31,1724300,37.31
20120829,0,37.46,37.8,37.31,37.68,1852500,37.68
20120828,0,37.04,37.61,36.79,37.31,1523500,37.31
20120827,0,37.25,37.37,36.94,37.24,1456800,37.24
20120824,0,37.03,37.43,36.89,37.1,1884800,37.1
20120823,0,37.64,37.72,36.77,37.13,1900000,37.13
20120822,0,37.2,38.02,37.1,37.96,2477300,37.96
20120821,0,37.31,37.72,37.24,37.43,2416800,37.43
20120820,0,37.53,37.59,36.79,37.05,2664800,37.05
