date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,3.7,3.82,3.69,3.8,5800,3.8
20140113,0,3.71,3.73,3.71,3.73,3000,3.73
20140110,0,3.71,3.72,3.69,3.72,2300,3.72
20140109,0,3.72,3.72,3.71,3.71,1800,3.71
20140108,0,3.75,3.75,3.72,3.73,1100,3.73
20140107,0,3.76,3.76,3.72,3.75,1300,3.75
20140106,0,3.77,3.78,3.73,3.77,800,3.77
20140103,0,3.89,3.89,3.7,3.77,3300,3.77
20140102,0,3.79,3.93,3.71,3.9,6300,3.9
20140101,0,3.8,3.8,3.8,3.8,0,3.8
20131231,0,3.77,3.8,3.74,3.8,1900,3.8
20131230,0,3.71,3.76,3.7,3.75,4100,3.75
20131227,0,3.65,3.72,3.65,3.67,2800,3.67
20131226,0,3.76,3.76,3.76,3.76,0,3.76
20131225,0,3.76,3.76,3.76,3.76,0,3.76
20131224,0,3.72,3.77,3.72,3.76,3400,3.76
20131223,0,3.72,3.72,3.65,3.68,7200,3.68
20131220,0,3.74,3.77,3.69,3.72,2500,3.72
20131219,0,3.7,3.77,3.66,3.7,3900,3.7
20131218,0,3.65,3.72,3.65,3.7,1500,3.7
20131217,0,3.73,3.77,3.73,3.77,2700,3.77
20131216,0,3.74,3.74,3.74,3.74,500,3.74
20131213,0,3.78,3.78,3.69,3.71,1900,3.71
20131212,0,3.7,3.77,3.64,3.77,1000,3.77
20131211,0,3.71,3.78,3.71,3.78,1400,3.78
20131210,0,3.75,3.8,3.75,3.8,500,3.8
20131209,0,3.71,3.77,3.71,3.77,1000,3.77
20131206,0,3.72,3.8,3.67,3.8,2100,3.8
20131205,0,3.7,3.7,3.7,3.7,0,3.7
20131204,0,3.9,3.9,3.65,3.81,15300,3.81
20131203,0,3.81,3.82,3.76,3.82,1100,3.82
20131202,0,3.9,3.9,3.81,3.83,2200,3.83
20131129,0,3.76,3.95,3.71,3.91,9700,3.91
20131128,0,3.75,3.76,3.75,3.76,1700,3.76
20131127,0,3.73,3.73,3.73,3.73,300,3.73
20131126,0,3.73,3.82,3.65,3.8,8300,3.8
20131125,0,3.74,3.78,3.73,3.78,2100,3.78
20131122,0,3.75,3.79,3.74,3.79,600,3.79
20131121,0,3.79,3.79,3.75,3.78,1600,3.78
20131120,0,3.88,3.88,3.78,3.78,4200,3.78
20131119,0,3.88,3.88,3.84,3.88,5400,3.88
20131118,0,3.95,3.97,3.89,3.97,3400,3.97
20131115,0,3.9,3.95,3.84,3.95,4900,3.95
20131114,0,3.9,3.9,3.9,3.9,100,3.9
20131113,0,3.85,3.85,3.82,3.83,4100,3.83
20131112,0,3.87,3.9,3.84,3.84,3900,3.84
20131111,0,3.85,3.98,3.85,3.98,4100,3.98
20131108,0,3.91,3.91,3.75,3.89,5800,3.89
20131107,0,3.89,3.98,3.88,3.98,1500,3.98
20131106,0,3.89,4.09,3.89,4,5700,4
20131105,0,3.77,4,3.77,3.91,8300,3.91
20131104,0,3.95,3.95,3.75,3.95,11100,3.95
20131101,0,3.74,4.25,3.74,3.88,28300,3.88
20131031,0,3.73,3.89,3.66,3.82,6000,3.82
20131030,0,3.71,3.72,3.71,3.72,1000,3.72
20131029,0,3.68,3.71,3.64,3.71,6300,3.71
20131028,0,3.67,3.67,3.63,3.63,1100,3.63
