date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,2.3,2.4,2.26,2.26,700,2.26
20140113,0,2.44,2.44,2.3,2.3,5100,2.3
20140110,0,2.37,2.44,2.3,2.4,1700,2.4
20140109,0,2.14,2.54,2.14,2.31,13300,2.31
20140108,0,1.81,2.08,1.8,2.08,3000,2.08
20140107,0,1.89,1.89,1.8,1.8,400,1.8
20140106,0,1.75,1.89,1.75,1.89,1600,1.89
20140103,0,1.66,1.75,1.66,1.75,1300,1.75
20140102,0,1.71,1.81,1.63,1.66,5600,1.66
20140101,0,1.72,1.72,1.72,1.72,0,1.72
20131231,0,1.71,1.72,1.62,1.72,500,1.72
20131230,0,1.7,1.72,1.7,1.72,100,1.72
20131227,0,1.72,1.72,1.61,1.7,1100,1.7
20131226,0,1.58,1.58,1.58,1.58,0,1.58
20131225,0,1.58,1.58,1.58,1.58,0,1.58
20131224,0,1.71,1.71,1.54,1.58,2900,1.58
20131223,0,1.7,1.72,1.64,1.72,4200,1.72
20131220,0,1.7,1.74,1.69,1.69,400,1.69
20131219,0,1.74,1.74,1.69,1.69,2000,1.69
20131218,0,1.72,1.75,1.71,1.75,500,1.75
20131217,0,1.74,1.74,1.72,1.72,100,1.72
20131216,0,1.73,1.75,1.71,1.75,700,1.75
20131213,0,1.73,1.81,1.72,1.72,400,1.72
20131212,0,1.73,1.73,1.72,1.72,100,1.72
20131211,0,1.73,1.73,1.73,1.73,0,1.73
20131210,0,1.73,1.78,1.73,1.74,200,1.74
20131209,0,1.72,1.73,1.72,1.73,700,1.73
20131206,0,1.76,1.81,1.72,1.81,600,1.81
20131205,0,1.79,1.8,1.79,1.8,5900,1.8
20131204,0,1.7,1.8,1.7,1.8,400,1.8
20131203,0,1.79,1.8,1.79,1.8,100,1.8
20131202,0,1.7,1.8,1.7,1.8,3100,1.8
20131129,0,1.79,1.8,1.68,1.8,200,1.8
20131128,0,1.68,1.8,1.68,1.8,700,1.8
20131127,0,1.72,1.79,1.69,1.79,600,1.79
20131126,0,1.74,1.74,1.73,1.73,300,1.73
20131125,0,1.72,1.74,1.67,1.74,700,1.74
20131122,0,1.71,1.73,1.71,1.73,700,1.73
20131121,0,1.76,1.76,1.76,1.76,0,1.76
20131120,0,1.79,1.79,1.71,1.76,500,1.76
20131119,0,1.76,1.8,1.76,1.8,800,1.8
20131118,0,1.86,1.86,1.75,1.75,800,1.75
20131115,0,1.85,1.95,1.85,1.86,2300,1.86
20131114,0,1.94,1.94,1.94,1.94,0,1.94
20131113,0,1.85,1.94,1.85,1.94,200,1.94
20131112,0,1.99,1.99,1.84,1.84,200,1.84
20131111,0,1.88,1.99,1.88,1.99,3400,1.99
20131108,0,1.88,1.95,1.88,1.88,800,1.88
20131107,0,1.89,1.89,1.89,1.89,0,1.89
20131106,0,1.94,1.94,1.89,1.89,0,1.89
20131105,0,1.95,1.95,1.95,1.95,0,1.95
20131104,0,1.97,1.97,1.97,1.97,0,1.97
20131101,0,1.99,2,1.99,2,300,2
20131031,0,1.9,1.99,1.89,1.99,0,1.99
20131030,0,1.9,1.9,1.9,1.9,0,1.9
20131029,0,1.9,1.9,1.9,1.9,0,1.9
20131028,0,1.89,1.9,1.89,1.89,2300,1.89
20131025,0,1.96,1.96,1.92,1.92,1000,1.92
20131024,0,1.96,1.96,1.96,1.96,0,1.96
20131023,0,2.08,2.08,1.95,1.95,2200,1.95
20131022,0,2.08,2.08,2.08,2.08,0,2.08
20131021,0,2.08,2.08,2.08,2.08,0,2.08
20131018,0,2.1,2.1,2.09,2.09,300,2.09
20131017,0,2.1,2.1,2.09,2.09,0,2.09
20131016,0,2.1,2.1,2.1,2.1,0,2.1
20131015,0,2.1,2.1,2.1,2.1,0,2.1
20131014,0,2.1,2.1,2.1,2.1,1200,2.1
20131011,0,2.09,2.1,2.09,2.1,1000,2.1
20131010,0,2.09,2.1,2.09,2.1,200,2.1
20131009,0,2.11,2.11,2.1,2.1,200,2.1
20131008,0,2.14,2.14,2.1,2.1,0,2.1
20131007,0,2.13,2.15,2.1,2.15,600,2.15
20131004,0,2.13,2.13,2.13,2.13,0,2.13
20131003,0,2.12,2.12,2.12,2.12,200,2.12
20131002,0,2.19,2.19,2.12,2.12,0,2.12
20131001,0,2.31,2.31,2.11,2.15,4700,2.15
20130930,0,2.31,2.31,2.31,2.31,100,2.31
20130927,0,2.31,2.31,2.31,2.31,0,2.31
20130926,0,2.39,2.39,2.39,2.39,0,2.39
20130925,0,2.43,2.43,2.28,2.39,2200,2.39
20130924,0,2.44,2.69,2.4,2.43,13900,2.43
20130923,0,2.44,2.44,2.44,2.44,0,2.44
20130920,0,2.3,2.44,2.3,2.44,600,2.44
20130919,0,2.3,2.44,2.3,2.44,400,2.44
20130918,0,2.4,2.4,2.4,2.4,0,2.4
20130917,0,2.4,2.4,2.4,2.4,0,2.4
20130916,0,2.39,2.4,2.28,2.4,5600,2.4
20130913,0,2.38,2.39,2.28,2.39,700,2.39
20130912,0,2.35,2.38,2.25,2.38,3100,2.38
20130911,0,2.15,2.35,2.15,2.35,2000,2.35
20130910,0,2.2,2.2,2.16,2.16,100,2.16
20130909,0,2.3,2.3,2.16,2.2,500,2.2
20130906,0,2.3,2.3,2.3,2.3,0,2.3
20130905,0,2.31,2.31,2.2,2.3,800,2.3
20130904,0,2.28,2.32,2.28,2.32,0,2.32
20130903,0,2.22,2.28,2.2,2.28,1700,2.28
20130902,0,2.22,2.3,2.15,2.3,1000,2.3
20130830,0,2.22,2.22,2.22,2.22,0,2.22
20130829,0,2.26,2.26,2.21,2.21,700,2.21
20130828,0,2.26,2.26,2.26,2.26,0,2.26
20130827,0,2.3,2.3,2.25,2.25,200,2.25
20130826,0,2.3,2.3,2.21,2.3,1400,2.3
20130823,0,2.31,2.35,2.31,2.35,1000,2.35
20130822,0,2.26,2.31,2.26,2.3,600,2.3
20130821,0,2.23,2.28,2.23,2.25,600,2.25
20130820,0,2.21,2.24,2.2,2.23,1900,2.23
20130819,0,2.18,2.22,2.18,2.22,900,2.22
20130816,0,2.19,2.19,2.19,2.19,0,2.19
20130815,0,2.1,2.19,2.1,2.19,1000,2.19
20130814,0,2.11,2.11,2.11,2.11,0,2.11
20130813,0,2.11,2.11,2.11,2.11,0,2.11
20130812,0,2.1,2.1,2.1,2.1,1000,2.1
20130809,0,2.1,2.2,2.1,2.2,100,2.2
20130808,0,2.15,2.2,2.12,2.2,0,2.2
20130807,0,2.15,2.15,2.15,2.15,0,2.15
20130806,0,2.15,2.15,2.15,2.15,0,2.15
20130805,0,2.15,2.15,2.15,2.15,900,2.15
20130802,0,2.13,2.2,2.13,2.15,100,2.15
20130801,0,2.15,2.18,2.12,2.12,100,2.12
20130731,0,2.18,2.18,2.15,2.15,1100,2.15
20130730,0,2.15,2.15,2.12,2.12,200,2.12
20130729,0,2.15,2.15,2.15,2.15,100,2.15
20130726,0,2.1,2.1,2.1,2.1,0,2.1
20130725,0,2.1,2.1,2.1,2.1,0,2.1
20130724,0,2.1,2.1,2.1,2.1,0,2.1
20130723,0,2.1,2.1,2.1,2.1,100,2.1
20130722,0,2.1,2.1,2.1,2.1,0,2.1
20130719,0,2.1,2.2,2.09,2.09,0,2.09
20130718,0,2.18,2.18,2.09,2.09,0,2.09
20130717,0,2.18,2.18,2.18,2.18,200,2.18
20130716,0,2.13,2.13,2.13,2.13,0,2.13
20130715,0,2.14,2.14,2.12,2.12,500,2.12
20130712,0,2.13,2.13,2.13,2.13,0,2.13
20130711,0,2.25,2.25,2.12,2.12,800,2.12
