date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,40,40,37.51,38,800,38
20140113,0,35.5,38.84,35.5,38.84,1000,38.84
20140110,0,34.5,35.5,34,35.5,1900,35.5
20140109,0,34.49,34.5,34.49,34.5,100,34.5
20140108,0,34.27,34.5,33,34.5,1700,34.5
20140107,0,34.24,34.25,33.77,34.25,1400,34.25
20140106,0,34.24,34.24,33.95,34.24,600,34.24
20140103,0,34.23,34.23,34.23,34.23,0,34.23
20140102,0,34,34.23,34,34.23,0,34.23
20140101,0,34,34,34,34,0,34
20131231,0,34,34,34,34,0,34
20131230,0,34.01,34.01,34,34,100,34
20131227,0,34.26,34.26,34,34,100,34
20131226,0,34.26,34.26,34.26,34.26,0,34.26
20131225,0,34.26,34.26,34.26,34.26,0,34.26
20131224,0,34.48,34.48,34.26,34.26,100,34.26
20131223,0,34,34.48,34,34.48,100,34.48
20131220,0,34,34.01,34,34.01,500,34.01
20131219,0,34,34,34,34,0,34
20131218,0,32.24,33,32.24,33,1800,33
20131217,0,32.24,32.24,32.24,32.24,0,32.24
20131216,0,31.74,32.24,31.74,32.24,700,32.24
20131213,0,31.74,31.74,31.74,31.74,0,31.74
20131212,0,31.5,31.74,31.5,31.74,200,31.74
20131211,0,31.5,31.5,31.5,31.5,0,31.5
20131210,0,31.08,31.5,31.08,31.5,300,31.5
20131209,0,31.08,31.25,31.07,31.07,500,31.07
20131206,0,31.07,31.07,31.07,31.07,0,31.07
20131205,0,31.07,31.08,31.07,31.07,300,31.07
20131204,0,31.07,31.08,31.07,31.07,0,31.07
20131203,0,31.14,31.14,31.07,31.07,100,31.07
20131202,0,31.26,31.26,30.98,31.14,1500,31.14
20131129,0,31.25,31.26,31.25,31.26,0,31.26
20131128,0,30.99,31.26,30.99,31.26,0,31.26
20131127,0,30.98,30.99,30.98,30.98,400,30.98
20131126,0,30.98,30.98,30.98,30.98,0,30.98
20131125,0,30.97,30.98,30.97,30.98,100,30.98
20131122,0,31,31,30.77,30.77,700,30.77
20131121,0,31,31,31,31,0,31
20131120,0,30.81,30.81,30.81,30.81,0,30.81
20131119,0,30.79,30.8,30.79,30.8,0,30.8
20131118,0,31,31,30.77,30.77,0,30.77
20131115,0,30.76,31,30.76,31,200,31
20131114,0,30.5,30.76,30.5,30.76,700,30.76
20131113,0,30.5,30.5,30.5,30.5,0,30.5
20131112,0,30.5,30.5,30.5,30.5,0,30.5
20131111,0,30.5,30.5,30.5,30.5,0,30.5
20131108,0,30.5,30.5,30.5,30.5,100,30.5
20131107,0,30.5,30.5,30.5,30.5,1900,30.5
20131106,0,30.5,30.5,30.5,30.5,1200,30.5
20131105,0,30.25,30.5,30.25,30.5,100,30.5
20131104,0,30.5,30.5,30.25,30.25,1100,30.25
