date,time,open price,high price,low price,close price,volume,adjusted price
20121214,0,8.77,8.77,8.77,8.77,0,8.77
20121213,0,8.77,8.77,8.77,8.77,0,8.77
20121212,0,8.77,8.77,8.77,8.77,0,8.77
20121211,0,8.77,8.77,8.77,8.77,0,8.77
20121210,0,8.77,8.77,8.77,8.77,0,8.77
20121207,0,8.77,8.77,8.77,8.77,0,8.77
20121206,0,8.77,8.77,8.77,8.77,0,8.77
20121205,0,8.77,8.77,8.77,8.77,0,8.77
20121204,0,8.77,8.77,8.77,8.77,0,8.77
20121203,0,8.77,8.77,8.77,8.77,0,8.77
20121130,0,8.77,8.77,8.77,8.77,0,8.77
20121129,0,8.94,8.94,8.77,8.77,0,8.77
20121128,0,9.07,9.07,9.07,9.07,0,9.07
20121127,0,9.07,9.07,9.07,9.07,0,9.07
20121126,0,9.07,9.07,9.07,9.07,0,9.07
20121123,0,9.07,9.07,9.07,9.07,0,9.07
20121122,0,9.07,9.07,9.07,9.07,0,9.07
20121121,0,9.07,9.07,9.07,9.07,0,9.07
20121120,0,9.07,9.07,9.07,9.07,0,9.07
20121119,0,9.07,9.07,9.07,9.07,0,9.07
20121116,0,9.07,9.07,9.07,9.07,0,9.07
20121115,0,9.07,9.07,9.07,9.07,0,9.07
20121114,0,9.07,9.07,9.07,9.07,0,9.07
20121113,0,9.07,9.07,9.07,9.07,0,9.07
20121112,0,9.07,9.07,9.07,9.07,0,9.07
20121109,0,9.07,9.07,9.07,9.07,0,9.07
20121108,0,9.07,9.07,9.07,9.07,0,9.07
20121107,0,9.07,9.07,9.07,9.07,0,9.07
20121106,0,9.07,9.07,9.07,9.07,0,9.07
20121105,0,9.07,9.07,9.07,9.07,0,9.07
20121102,0,9.35,9.35,9.35,9.35,0,9.35
20121101,0,9.35,9.35,9.35,9.35,0,9.35
20121031,0,9.35,9.35,9.35,9.35,0,9.35
20121030,0,9.35,9.35,9.35,9.35,0,9.35
20121029,0,9.35,9.35,9.35,9.35,0,9.35
20121026,0,9.35,9.35,9.35,9.35,0,9.35
20121025,0,9.35,9.35,9.35,9.35,0,9.35
20121024,0,9.35,9.35,9.35,9.35,0,9.35
20121023,0,9.35,9.35,9.35,9.35,0,9.35
20121022,0,9.35,9.35,9.35,9.35,0,9.35
20121019,0,9.35,9.35,9.35,9.35,0,9.35
20121018,0,9.35,9.35,9.35,9.35,0,9.35
20121017,0,9.35,9.35,9.35,9.35,0,9.35
20121016,0,9.35,9.35,9.35,9.35,0,9.35
20121015,0,9.3,9.35,9.3,9.35,0,9.35
20121012,0,9.5,9.5,9.5,9.5,0,9.5
20121011,0,9.5,9.5,9.5,9.5,0,9.5
20121010,0,9.5,9.5,9.5,9.5,0,9.5
20121009,0,9.5,9.5,9.5,9.5,300,9.5
20121008,0,10.34,10.34,10.34,10.34,0,10.34
20121005,0,10.34,10.34,10.34,10.34,0,10.34
20121004,0,10.34,10.34,10.34,10.34,100,10.34
20121003,0,10.35,10.35,10.35,10.35,0,10.35
20121002,0,10.35,10.35,10.35,10.35,0,10.35
20121001,0,10.86,10.35,10.35,10.35,0,10.35
20120928,0,11,11,11,11,0,11
20120927,0,11,11,11,11,0,11
20120926,0,11,11,11,11,0,11
20120925,0,11,11,11,11,0,11
20120924,0,11,11,11,11,0,11
20120921,0,10.86,11,10.86,11,0,11
20120920,0,11,11,10.7,10.7,100,10.7
20120919,0,11,11,11,11,0,11
20120918,0,11,11,11,11,0,11
20120917,0,12,12,12,12,0,12
20120914,0,12,12,12,12,0,12
20120913,0,12,12,12,12,100,12
20120912,0,13,13,13,13,0,13
20120911,0,13,13,13,13,0,13
20120910,0,14.67,14.67,13,13,900,13
20120907,0,15.09,15.09,14.94,14.94,1000,14.94
20120906,0,16.05,16.05,16.05,16.05,0,16.05
20120905,0,16.05,16.05,16.05,16.05,0,16.05
20120904,0,16.05,16.05,16.05,16.05,0,16.05
20120903,0,16.05,16.05,16.05,16.05,0,16.05
20120831,0,16.05,16.05,16.05,16.05,0,16.05
20120830,0,16.05,16.05,16.05,16.05,0,16.05
20120829,0,16.05,16.05,16.05,16.05,0,16.05
20120828,0,16.05,16.05,16.05,16.05,0,16.05
20120827,0,16.05,16.05,16.05,16.05,0,16.05
20120824,0,16.05,16.05,16.05,16.05,0,16.05
20120823,0,16.05,16.05,16.05,16.05,0,16.05
20120822,0,16.05,16.05,16.05,16.05,0,16.05
20120821,0,16.05,16.05,16.05,16.05,0,16.05
20120820,0,16.05,16.05,16.05,16.05,0,16.05
20120817,0,16.05,16.05,16.05,16.05,0,16.05
20120816,0,16.05,16.05,16.05,16.05,0,16.05
20120815,0,16.05,16.05,16.05,16.05,0,16.05
20120814,0,16.05,16.05,16.05,16.05,0,16.05
20120813,0,16.05,16.05,16.05,16.05,0,16.05
20120810,0,16.05,16.05,16.05,16.05,0,16.05
20120809,0,16.05,16.05,16.05,16.05,0,16.05
20120808,0,16.05,16.05,16.05,16.05,0,16.05
20120807,0,16.05,16.05,16.05,16.05,0,16.05
20120806,0,16.05,16.05,16.05,16.05,0,16.05
20120803,0,16.05,16.05,16.05,16.05,0,16.05
20120802,0,16.05,16.05,16.05,16.05,0,16.05
20120801,0,16.05,16.05,16.05,16.05,0,16.05
20120731,0,16.05,16.05,16.05,16.05,0,16.05
20120730,0,16.05,16.05,16.05,16.05,0,16.05
20120727,0,16.05,16.05,16.05,16.05,0,16.05
20120726,0,16.05,16.05,16.05,16.05,0,16.05
20120725,0,16.05,16.05,16.05,16.05,0,16.05
20120724,0,16.05,16.05,16.05,16.05,0,16.05
20120723,0,16.05,16.05,16.05,16.05,0,16.05
20120720,0,16.05,16.05,16.05,16.05,0,16.05
20120719,0,16.05,16.05,16.05,16.05,0,16.05
20120718,0,16.05,16.05,16.05,16.05,0,16.05
20120717,0,16.05,16.05,16.05,16.05,0,16.05
20120716,0,16.05,16.05,16.05,16.05,0,16.05
20120713,0,16.05,16.05,16.05,16.05,0,16.05
20120712,0,16.05,16.05,16.05,16.05,0,16.05
20120711,0,16.05,16.05,16.05,16.05,0,16.05
20120710,0,16.05,16.05,16.05,16.05,0,16.05
20120709,0,16.05,16.05,16.05,16.05,0,16.05
20120706,0,16.05,16.05,16.05,16.05,0,16.05
20120705,0,16.05,16.05,16.05,16.05,0,16.05
20120704,0,16.05,16.05,16.05,16.05,0,16.05
20120703,0,16.05,16.05,16.05,16.05,0,16.05
20120702,0,16.05,16.05,16.05,16.05,0,16.05
20120629,0,16.05,16.05,16.05,16.05,0,16.05
20120628,0,16.05,16.05,16.05,16.05,0,16.05
20120627,0,16.05,16.05,16.05,16.05,0,16.05
20120626,0,16.05,16.05,16.05,16.05,0,16.05
20120625,0,16.05,16.05,16.05,16.05,0,16.05
20120622,0,16.05,16.05,16.05,16.05,0,16.05
20120621,0,16.05,16.05,16.05,16.05,0,16.05
20120620,0,16.05,16.05,16.05,16.05,0,16.05
20120619,0,16.05,16.05,16.05,16.05,0,16.05
20120618,0,16.05,16.05,16.05,16.05,0,16.05
20120615,0,16.05,16.05,16.05,16.05,0,16.05
20120614,0,16.05,16.05,16.05,16.05,0,16.05
20120613,0,16.05,16.05,16.05,16.05,0,16.05
20120612,0,16.05,16.05,16.05,16.05,0,16.05
20120611,0,16.05,16.05,16.05,16.05,0,16.05
20120608,0,16.05,16.05,16.05,16.05,0,16.05
20120607,0,16.05,16.05,16.05,16.05,0,16.05
20120606,0,16.05,16.05,16.05,16.05,0,16.05
20120605,0,16.05,16.05,16.05,16.05,0,16.05
20120604,0,16.05,16.05,16.05,16.05,0,16.05
20120601,0,16.05,16.05,16.05,16.05,0,16.05
20120531,0,16.05,16.05,16.05,16.05,0,16.05
20120530,0,16.05,16.05,16.05,16.05,0,16.05
20120529,0,16.05,16.05,16.05,16.05,0,16.05
20120528,0,16.05,16.05,16.05,16.05,0,16.05
20120525,0,16.05,16.05,16.05,16.05,0,16.05
20120524,0,16.05,16.05,16.05,16.05,0,16.05
20120523,0,16.05,16.05,16.05,16.05,0,16.05
20120522,0,16.05,16.05,16.05,16.05,0,16.05
20120521,0,16.05,16.05,16.05,16.05,0,16.05
20120518,0,16.05,16.05,16.05,16.05,0,16.05
20120517,0,16.05,16.05,16.05,16.05,0,16.05
20120516,0,16.05,16.05,16.05,16.05,0,16.05
20120515,0,16.05,16.05,16.05,16.05,0,16.05
20120514,0,16.05,16.05,16.05,16.05,0,16.05
20120511,0,16.05,16.05,16.05,16.05,0,16.05
20120510,0,16.05,16.05,16.05,16.05,0,16.05
20120509,0,16.05,16.05,16.05,16.05,0,16.05
20120508,0,16.05,16.05,16.05,16.05,0,16.05
20120507,0,16.05,16.05,16.05,16.05,0,16.05
20120504,0,16.05,16.05,16.05,16.05,0,16.05
20120503,0,16.05,16.05,16.05,16.05,0,16.05
20120502,0,16.05,16.05,16.05,16.05,0,16.05
20120501,0,16.05,16.05,16.05,16.05,0,16.05
20120430,0,16.05,16.05,16.05,16.05,0,16.05
20120427,0,16.05,16.05,16.05,16.05,0,16.05
20120426,0,16.05,16.05,16.05,16.05,0,16.05
20120425,0,16.05,16.05,16.05,16.05,0,16.05
20120424,0,16.05,16.05,16.05,16.05,0,16.05
20120423,0,16.05,16.05,16.05,16.05,0,16.05
20120420,0,16.05,16.05,16.05,16.05,0,16.05
20120419,0,16.05,16.05,16.05,16.05,0,16.05
20120418,0,16.05,16.05,16.05,16.05,0,16.05
20120417,0,16.05,16.05,16.05,16.05,0,16.05
20120416,0,16.05,16.05,16.05,16.05,0,16.05
20120413,0,16.05,16.05,16.05,16.05,0,16.05
20120412,0,16.05,16.05,16.05,16.05,0,16.05
20120411,0,16.05,16.05,16.05,16.05,0,16.05
20120410,0,16.05,16.05,16.05,16.05,0,16.05
20120409,0,16.05,16.05,16.05,16.05,0,16.05
20120406,0,16.05,16.05,16.05,16.05,0,16.05
20120405,0,16.05,16.05,16.05,16.05,0,16.05
20120404,0,16.05,16.05,16.05,16.05,0,16.05
20120403,0,16.05,16.05,16.05,16.05,0,16.05
20120402,0,16.05,16.05,16.05,16.05,0,16.05
20120330,0,16.05,16.05,16.05,16.05,0,16.05
20120329,0,16.05,16.05,16.05,16.05,0,16.05
20120328,0,16.05,16.05,16.05,16.05,0,16.05
20120327,0,16.05,16.05,16.05,16.05,0,16.05
