date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,45.18,48.11,45.1,47.85,1786200,47.85
20140113,0,45.34,45.73,44.5,44.85,777300,44.85
20140110,0,45.58,45.65,44.92,45.24,850200,45.24
20140109,0,46.02,46.75,45.6,45.73,661000,45.73
20140108,0,46.27,46.36,45.68,45.97,660100,45.97
20140107,0,44.94,46.25,44.66,46.18,850600,46.18
20140106,0,44.55,44.95,44.36,44.65,734600,44.65
20140103,0,44.62,45.35,44.35,44.4,681200,44.4
20140102,0,46.26,46.3,44.73,44.8,734100,44.8
20131231,0,45.85,46.66,45.72,46.62,844100,46.62
20131230,0,45.25,45.7,45.15,45.64,500600,45.64
20131227,0,45.75,46.13,45.14,45.18,642500,45.18
20131226,0,44.92,45.78,44.7,45.74,1010100,45.74
20131224,0,44.41,44.82,44.2,44.67,855300,44.67
20131223,0,44.92,44.92,44.14,44.51,1169900,44.51
20131220,0,43.14,44.92,43,44.81,1013500,44.81
20131219,0,44.31,44.8,43.75,43.82,773000,43.82
20131218,0,44.13,44.43,43.24,44.34,565400,44.34
20131217,0,44.89,45.25,43.95,44.09,644300,44.09
20131216,0,44.56,45.15,44.17,44.84,642200,44.84
20131213,0,43.99,44.65,43.81,44.37,1367900,44.37
20131212,0,42.67,44.02,42.59,43.88,856300,43.88
20131211,0,44.08,44.22,42.52,42.65,1182100,42.65
20131210,0,43.76,44.42,43.66,44.21,773600,44.21
20131209,0,44.35,44.35,43.62,43.91,744300,43.91
20131206,0,44.25,44.61,44,44.44,931800,44.44
20131205,0,44.61,45.13,43.69,43.8,1215100,43.8
20131204,0,45.11,45.69,44.06,44.61,1037400,44.61
20131203,0,45.22,45.95,45.07,45.58,1448800,45.58
20131202,0,44.44,45.61,44.02,45.35,1383700,45.35
20131129,0,44.62,45,44.53,44.58,311200,44.58
20131127,0,44.2,44.7,44.16,44.7,639800,44.7
20131126,0,44.56,44.92,44.19,44.26,1105600,44.26
20131125,0,44.51,45.06,43.83,44.46,1396900,44.46
20131122,0,44.66,46,44.61,45.55,843800,45.55
20131121,0,45.25,45.48,44.51,44.66,1196800,44.66
20131120,0,45.68,46.14,44.9,45.11,962200,45.11
20131119,0,45.21,46.48,45.17,45.67,1242800,45.67
20131118,0,46.24,46.51,44.7,45.18,1947100,45.18
20131115,0,46.62,46.76,45.66,46.13,1068700,46.13
20131114,0,45.8,46.98,45.06,46.6,2178000,46.6
20131113,0,42.99,45.66,42.95,45.6,2382400,45.6
20131112,0,42.9,43.45,42.45,43.26,1238900,43.26
20131111,0,42.28,43,42.06,42.97,1291600,42.97
20131108,0,41.68,42.85,41.52,42.42,1701500,42.42
20131107,0,43.11,43.16,41.65,41.68,2877400,41.68
20131106,0,42.05,43.82,42,43.12,3410600,43.12
20131105,0,40.21,42.42,39.95,42.02,7158300,42.02
20131104,0,36.92,39.87,36.8,38.72,5297300,38.72
20131101,0,36.34,36.96,36.24,36.68,1400400,36.68
20131031,0,36.17,36.65,35.82,36.24,1456500,36.24
20131030,0,37.28,37.28,35.79,36.18,2036400,36.18
