date,time,open price,high price,low price,close price,volume,adjusted price
20140123,0,6.91,6.91,6.91,6.91,0,6.91
20140122,0,7.27,7.27,7.27,7.27,0,7.27
20140121,0,6.94,6.94,6.94,6.94,2000,6.94
20140120,0,7.31,7.31,7.25,7.3,0,7.3
20140117,0,6.97,6.97,6.97,6.97,0,6.97
20140116,0,6.95,7.67,6.95,6.97,200,6.97
20140115,0,8,8,7.25,7.31,100,7.31
20140114,0,7.99,8,7.41,7.63,0,7.63
20140113,0,8.58,8.58,7.79,7.79,25000,7.79
20140110,0,8.19,9.05,8.19,8.19,500,8.19
20140109,0,9.5,9.52,8.62,8.62,1000,8.62
20140108,0,9.07,9.07,9.07,9.07,0,9.07
20140107,0,9.55,9.55,9.5,9.54,300,9.54
20140106,0,9,9.16,9,9.13,900,9.13
20140103,0,8.75,8.75,8.75,8.75,0,8.75
20140102,0,8.75,8.75,8.75,8.75,0,8.75
20140101,0,8.75,8.75,8.75,8.75,0,8.75
20131231,0,8.75,8.75,8.75,8.75,0,8.75
20131230,0,8.75,8.75,8.75,8.75,0,8.75
20131227,0,8.75,8.75,8.75,8.75,0,8.75
20131226,0,8.35,8.36,8.35,8.36,0,8.36
20131225,0,7.97,7.97,7.97,7.97,0,7.97
20131224,0,7.97,7.97,7.97,7.97,0,7.97
20131223,0,7.6,7.6,7.5,7.6,0,7.6
20131220,0,7.25,7.25,7.25,7.25,0,7.25
20131219,0,7,7,6.95,6.95,0,6.95
20131218,0,6.6,6.7,6.6,6.7,0,6.7
20131217,0,6.39,6.39,6.39,6.39,2000,6.39
20131216,0,6.7,6.7,6.2,6.2,100,6.2
20131213,0,6.5,6.5,6.5,6.5,0,6.5
20131212,0,6,6.45,5.95,6.45,11400,6.45
20131211,0,6.25,6.25,6.25,6.25,100,6.25
20131210,0,5.9,6.05,5.9,6.05,13200,6.05
20131209,0,5.88,5.88,5.88,5.88,300,5.88
20131206,0,5.88,5.88,5.88,5.88,2400,5.88
20131205,0,5.88,5.88,5.88,5.88,0,5.88
20131204,0,5.88,5.88,5.88,5.88,0,5.88
20131203,0,5.88,5.88,5.88,5.88,3600,5.88
20131202,0,5.88,5.88,5.88,5.88,1200,5.88
20131129,0,5.88,5.88,5.88,5.88,2400,5.88
20131128,0,5.88,5.88,5.88,5.88,4300,5.88
20131127,0,5.6,5.6,5.6,5.6,0,5.6
20131126,0,5.6,5.6,5.6,5.6,0,5.6
20131125,0,5.6,5.6,5.6,5.6,0,5.6
20131122,0,5.6,5.6,5.6,5.6,0,5.6
20131121,0,5.6,5.6,5.6,5.6,0,5.6
20131120,0,5.6,5.6,5.6,5.6,0,5.6
20131119,0,5.6,5.6,5.6,5.6,0,5.6
20131118,0,5.6,5.6,5.6,5.6,100,5.6
20131115,0,5.89,5.89,5.89,5.89,0,5.89
20131114,0,5.9,5.93,5.89,5.89,62000,5.89
20131113,0,5.65,5.65,5.65,5.65,0,5.65
20131112,0,6.2,6.2,5.65,5.65,10300,5.65
20131111,0,5.94,5.94,5.94,5.94,0,5.94
20131108,0,5.41,5.94,5.41,5.94,200,5.94
20131107,0,5.69,5.69,5.69,5.69,1000,5.69
20131106,0,5.98,5.98,5.98,5.98,0,5.98
20131105,0,5.98,5.98,5.98,5.98,300,5.98
20131104,0,5.7,5.7,5.7,5.7,0,5.7
20131101,0,5.7,5.7,5.7,5.7,300,5.7
20131031,0,5.72,5.72,5.72,5.72,0,5.72
20131030,0,5.72,5.72,5.72,5.72,0,5.72
20131029,0,6.02,6.02,6.02,6.02,300,6.02
20131028,0,5.75,5.75,5.75,5.75,0,5.75
20131025,0,6.35,6.35,5.75,5.75,4400,5.75
20131024,0,6.05,6.05,6.05,6.05,0,6.05
20131023,0,5.76,6.36,5.76,6.36,1000,6.36
20131022,0,5.5,6.06,5.5,6.06,600,6.06
20131021,0,5.78,5.78,5.78,5.78,100,5.78
20131018,0,5.51,5.51,5.51,5.51,0,5.51
20131017,0,5.51,5.51,5.51,5.51,0,5.51
20131016,0,5.25,5.25,5.25,5.25,0,5.25
20131015,0,5.25,5.25,5.25,5.25,0,5.25
20131014,0,5.25,5.25,5.25,5.25,0,5.25
20131011,0,5.25,5.25,5.25,5.25,0,5.25
20131010,0,5.25,5.25,5.25,5.25,0,5.25
20131009,0,5.25,5.25,5.25,5.25,0,5.25
20131008,0,5.25,5.25,5.25,5.25,0,5.25
20131007,0,5.52,5.52,5.52,5.52,100,5.52
20131004,0,5.8,5.8,5.8,5.8,0,5.8
20131003,0,6.1,6.1,6.1,6.1,0,6.1
20131002,0,6.42,6.42,6.42,6.42,0,6.42
20131001,0,6.42,6.42,6.42,6.42,0,6.42
20130930,0,7,7,6.75,6.75,0,6.75
20130927,0,7.1,7.1,7.1,7.1,0,7.1
20130926,0,7.47,7.47,7.47,7.47,0,7.47
20130925,0,7.47,7.47,7.47,7.47,0,7.47
20130924,0,7.86,7.86,7.86,7.86,0,7.86
20130923,0,7.86,7.86,7.86,7.86,0,7.86
20130920,0,8.27,8.27,8.27,8.27,0,8.27
20130919,0,8.7,8.7,8.7,8.7,0,8.7
20130918,0,8.7,8.7,8.7,8.7,200,8.7
20130917,0,8.33,8.33,8.33,8.33,0,8.33
20130916,0,9.65,9.65,8.76,8.76,100,8.76
20130913,0,10.1,10.1,9.22,9.22,100,9.22
20130912,0,9.7,9.7,9.7,9.7,0,9.7
20130911,0,9.25,9.25,9.25,9.25,0,9.25
20130910,0,9.25,9.25,9.25,9.25,0,9.25
20130909,0,9.25,9.25,9.25,9.25,0,9.25
20130906,0,9.25,9.25,9.25,9.25,0,9.25
20130905,0,9.25,9.25,9.25,9.25,0,9.25
20130904,0,9.5,9.5,9,9,0,9
20130903,0,9.25,9.25,9.25,9.25,0,9.25
20130902,0,9.25,9.25,9.25,9.25,0,9.25
20130830,0,9.4,9.4,9.4,9.4,0,9.4
20130829,0,9,9,9,9,0,9
20130828,0,8.6,8.6,8.6,8.6,0,8.6
20130827,0,8.35,8.35,8.35,8.35,0,8.35
20130826,0,8,8,8,8,0,8
20130823,0,7.67,7.67,7.67,7.67,0,7.67
20130822,0,7.67,7.67,7.67,7.67,0,7.67
20130821,0,7.33,7.33,7.33,7.33,0,7.33
20130820,0,8.09,8.09,7.33,7.33,300,7.33
20130819,0,7.71,7.71,7.71,7.71,0,7.71
20130816,0,7.35,7.35,7.35,7.35,0,7.35
20130815,0,7,7,7,7,0,7
20130814,0,7.63,7.63,7,7,0,7
20130813,0,7.15,7.29,7.15,7.29,0,7.29
20130812,0,6.95,6.95,6.95,6.95,0,6.95
20130809,0,6.64,6.64,6.64,6.64,0,6.64
20130808,0,6.64,6.64,6.64,6.64,0,6.64
20130807,0,6.64,6.64,6.64,6.64,0,6.64
20130806,0,6,6.35,6,6.35,1000,6.35
20130805,0,6.06,6.06,6.06,6.06,0,6.06
20130802,0,5.78,5.78,5.78,5.78,0,5.78
20130801,0,5.51,5.51,5.51,5.51,0,5.51
20130731,0,5.51,5.51,4.99,5.51,100,5.51
20130730,0,5.25,5.25,5.25,5.25,400,5.25
20130729,0,5,5,5,5,500,5
20130726,0,4.77,4.77,4.77,4.77,500,4.77
20130725,0,4.55,4.55,4.55,4.55,0,4.55
20130724,0,4.55,4.55,4.55,4.55,0,4.55
20130723,0,4.75,4.75,4.75,4.75,0,4.75
20130722,0,4.75,4.75,4.75,4.75,0,4.75
20130719,0,4.75,4.75,4.75,4.75,0,4.75
20130718,0,4.97,4.97,4.97,4.97,0,4.97
20130717,0,4.54,4.97,4.54,4.97,0,4.97
20130716,0,4.74,4.74,4.74,4.74,0,4.74
20130715,0,4.2,4.52,4.2,4.52,0,4.52
20130712,0,4.11,4.31,4.11,4.31,1500,4.31
20130711,0,4.11,4.11,4.11,4.11,0,4.11
20130710,0,4.4,4.4,4.22,4.22,100,4.22
20130709,0,4.35,4.35,4.35,4.35,0,4.35
20130708,0,4.4,4.4,4.31,4.31,0,4.31
20130705,0,4.51,4.51,4.51,4.51,0,4.51
20130704,0,4.6,4.6,4.6,4.6,0,4.6
20130703,0,4.6,4.6,4.6,4.6,0,4.6
20130702,0,4.6,4.6,4.6,4.6,0,4.6
20130701,0,4.6,4.6,4.6,4.6,0,4.6
20130628,0,4.6,4.6,4.6,4.6,0,4.6
20130627,0,4.6,4.6,4.6,4.6,0,4.6
20130626,0,4.6,4.6,4.6,4.6,0,4.6
20130625,0,4.6,4.6,4.6,4.6,0,4.6
20130624,0,4.6,4.6,4.6,4.6,0,4.6
20130621,0,4.6,4.6,4.6,4.6,500,4.6
20130620,0,4.83,4.83,4.83,4.83,0,4.83
20130619,0,4.6,4.6,4.6,4.6,0,4.6
20130618,0,4.6,4.6,4.6,4.6,0,4.6
20130617,0,4.6,4.6,4.6,4.6,0,4.6
20130614,0,4.6,4.6,4.6,4.6,0,4.6
20130613,0,4.6,4.6,4.6,4.6,200,4.6
20130612,0,4.45,4.45,4.45,4.45,0,4.45
20130611,0,4.45,4.45,4.45,4.45,0,4.45
20130610,0,4.45,4.45,4.45,4.45,500,4.45
20130607,0,4.68,4.68,4.68,4.68,0,4.68
20130606,0,4.68,4.68,4.68,4.68,0,4.68
20130605,0,4.68,4.68,4.68,4.68,0,4.68
20130604,0,4.68,4.68,4.68,4.68,0,4.68
20130603,0,4.68,4.68,4.68,4.68,500,4.68
20130531,0,4.9,4.9,4.9,4.9,0,4.9
20130530,0,4.9,4.9,4.9,4.9,0,4.9
20130529,0,4.9,4.9,4.9,4.9,0,4.9
20130528,0,4.9,4.9,4.9,4.9,0,4.9
20130527,0,4.9,4.9,4.9,4.9,0,4.9
20130524,0,4.9,4.9,4.9,4.9,0,4.9
20130523,0,4.67,4.67,4.67,4.67,0,4.67
20130522,0,4.67,4.67,4.67,4.67,0,4.67
20130521,0,4.67,4.67,4.67,4.67,600,4.67
20130520,0,4.91,4.91,4.91,4.91,0,4.91
20130517,0,4.91,4.91,4.91,4.91,0,4.91
20130516,0,4.91,4.91,4.91,4.91,0,4.91
20130515,0,4.85,4.91,4.85,4.91,400,4.91
20130514,0,5.1,5.1,5.1,5.1,0,5.1
20130513,0,5.1,5.1,5.1,5.1,1400,5.1
20130510,0,4.86,4.86,4.86,4.86,0,4.86
20130509,0,4.86,4.86,4.86,4.86,0,4.86
20130508,0,4.86,4.86,4.86,4.86,200,4.86
20130507,0,5.11,5.11,5.11,5.11,0,5.11
20130506,0,5.11,5.11,5.11,5.11,200,5.11
20130503,0,5.37,5.37,5.37,5.37,0,5.37
20130502,0,5.37,5.37,5.37,5.37,200,5.37
20130501,0,5.65,5.65,5.65,5.65,0,5.65
20130430,0,5.65,5.65,5.65,5.65,500,5.65
20130429,0,5.94,5.94,5.94,5.94,0,5.94
20130426,0,5.94,5.94,5.94,5.94,0,5.94
20130425,0,6.25,6.25,6.25,6.25,0,6.25
20130424,0,6,6,6,6,0,6
20130423,0,6,6,6,6,100,6
20130422,0,5.83,5.83,5.83,5.83,50100,5.83
20130419,0,6.13,6.13,6.13,6.13,0,6.13
20130418,0,6.13,6.13,6.13,6.13,100,6.13
20130417,0,6.45,6.45,6.45,6.45,100,6.45
20130416,0,6.15,6.15,6.15,6.15,100,6.15
20130415,0,6.81,6.81,6.17,6.17,100,6.17
20130412,0,6.49,6.49,6.49,6.49,100,6.49
20130411,0,6.27,6.27,6.27,6.27,200,6.27
20130410,0,6.59,6.59,6.59,6.59,0,6.59
20130409,0,6.59,6.59,6.59,6.59,0,6.59
20130408,0,6.59,6.59,6.59,6.59,0,6.59
20130405,0,6.01,6.59,6.01,6.59,0,6.59
20130404,0,5.94,6.39,5.94,6.32,1100,6.32
20130403,0,6.3,6.3,6.25,6.25,7500,6.25
20130402,0,6.1,6.69,6.09,6.09,500,6.09
20130401,0,6.4,6.4,6.4,6.4,0,6.4
20130329,0,6.2,6.2,6.2,6.2,0,6.2
20130328,0,6.2,6.2,6.2,6.2,0,6.2
20130327,0,6.2,6.2,6.2,6.2,0,6.2
20130326,0,6.24,6.24,6.2,6.2,0,6.2
20130325,0,6,6.32,5.72,6.25,700,6.25
20130322,0,6,6.49,6,6.02,0,6.02
20130321,0,6.94,6.94,6.31,6.31,0,6.31
20130320,0,6.64,6.64,6.64,6.64,0,6.64
20130319,0,6.98,6.98,6.98,6.98,0,6.98
20130318,0,6.98,6.98,6.98,6.98,0,6.98
20130315,0,6.65,6.65,6.65,6.65,0,6.65
20130314,0,6.65,6.65,6.65,6.65,0,6.65
20130313,0,6.99,6.99,6.99,6.99,400,6.99
20130312,0,7.35,7.35,7.35,7.35,0,7.35
20130311,0,7.35,7.35,7.35,7.35,0,7.35
20130308,0,7.35,7.35,7.35,7.35,0,7.35
20130307,0,7.35,7.35,7.35,7.35,0,7.35
20130306,0,6.68,7.35,6.68,7.35,0,7.35
20130305,0,7.03,7.03,7.03,7.03,0,7.03
20130304,0,7.03,7.03,7.03,7.03,0,7.03
20130301,0,7.03,7.03,7.03,7.03,0,7.03
20130228,0,7.39,7.39,7.39,7.39,0,7.39
20130227,0,6.84,7.4,6.84,7.39,2000,7.39
20130226,0,7.92,7.92,7.19,7.19,1500,7.19
20130225,0,8.05,8.3,7.56,7.56,1000,7.56
20130222,0,7.95,7.95,7.95,7.95,0,7.95
20130221,0,7.75,7.75,7.16,7.69,3000,7.69
20130220,0,7.53,7.53,7.53,7.53,0,7.53
20130219,0,7.18,7.18,7.18,7.18,0,7.18
20130218,0,7.18,7.18,7.18,7.18,0,7.18
20130215,0,7.18,7.18,7.18,7.18,0,7.18
20130214,0,6.99,6.99,6.99,6.99,0,6.99
20130213,0,6.99,7.02,6.99,6.99,11000,6.99
20130212,0,7,7,7,7,0,7
20130211,0,6.7,6.7,6.7,6.7,0,6.7
20130208,0,6.49,6.49,6.49,6.49,0,6.49
20130207,0,6,6.62,6,6.49,10500,6.49
20130206,0,6.31,6.31,6.31,6.31,200,6.31
20130205,0,6.64,6.64,6.64,6.64,0,6.64
20130204,0,6.64,6.64,6.64,6.64,0,6.64
20130201,0,6.3,6.34,5.75,6.34,100,6.34
20130131,0,6.06,6.06,6.04,6.04,5300,6.04
20130130,0,6.67,6.67,6.35,6.35,100,6.35
20130129,0,7,7,6.67,6.67,200,6.67
20130128,0,7,7,7,7,0,7
20130125,0,7,7,7,7,0,7
