date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,40.33,41.44,40.29,41.22,989000,41.22
20140113,0,42.37,42.55,39.61,40.2,1385500,40.2
20140110,0,40.86,41.66,40.72,41.34,624400,41.34
20140109,0,42.34,42.52,40.52,40.96,1007100,40.96
20140108,0,42.45,42.57,41.39,41.61,965300,41.61
20140107,0,41.14,42.26,40.62,41.87,1426400,41.87
20140106,0,40.84,41.08,39.91,40.92,1649800,40.92
20140103,0,40.25,40.63,39.85,40.45,607400,40.45
20140102,0,40.92,41.04,39.4,40.14,728000,40.14
20131231,0,40.73,41.78,40.16,40.88,543800,40.88
20131230,0,40.24,40.76,39.91,40.65,590200,40.65
20131227,0,40.92,41,40.12,40.29,691300,40.29
20131226,0,40.6,41.11,40.26,40.6,465900,40.6
20131224,0,40.85,41.52,40.42,40.51,647300,40.51
20131223,0,40.5,41.74,40.3,40.93,1351900,40.93
20131220,0,40,40.23,39.44,40.07,1572100,40.07
20131219,0,39.18,40.22,39.01,40,944100,40
20131218,0,38.32,39.57,38.27,39.32,1365000,39.32
20131217,0,37.85,38.82,37.52,38.66,948300,38.66
20131216,0,38.13,38.41,37.5,37.83,987000,37.83
20131213,0,37.92,38.47,37.21,37.86,1273000,37.86
20131212,0,36.58,37.62,36.41,37.43,6334200,37.43
20131211,0,38.56,39.63,37.76,37.93,1697800,37.93
20131210,0,39.95,40.55,39.42,39.9,1021000,39.9
20131209,0,39.41,40,39.1,39.94,821100,39.94
20131206,0,39.78,39.78,38.6,39.36,1030300,39.36
20131205,0,39.01,40.85,38.57,39.57,3170300,39.57
20131204,0,38.01,38.66,37.4,38.31,2205300,38.31
20131203,0,35.76,38.03,35.64,37.76,2322000,37.76
20131202,0,36.36,36.72,35.87,36.59,1063700,36.59
20131129,0,36.43,36.7,36.26,36.5,234300,36.5
20131127,0,36.06,36.65,35.87,36.39,740200,36.39
20131126,0,35.64,36.3,34.69,36.08,1753100,36.08
20131125,0,36.67,36.93,35.55,35.7,1095600,35.7
