date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,126.35,127.85,125.25,127.1,1000,127.1
20140113,0,132,132,130.55,130.55,100,130.55
20140110,0,129.9,130.9,128.75,130.55,200,130.55
20140109,0,133.1,136,132.3,135.2,900,135.2
20140108,0,132.35,136,132,134.6,900,134.6
20140107,0,130.5,131.45,130.5,131.45,0,131.45
20140106,0,130.35,130.85,128.35,129.65,200,129.65
20140103,0,131.9,133.65,130.65,132.6,400,132.6
20140102,0,130.3,131.25,129.3,129.65,300,129.65
20140101,0,125,125,125,125,0,125
20131231,0,125,125,125,125,0,125
20131230,0,126,126.9,125,125,700,125
20131227,0,122,125,119.1,125,1900,125
20131226,0,126.2,126.2,126.2,126.2,0,126.2
20131225,0,126.2,126.2,126.2,126.2,0,126.2
20131224,0,126.2,126.2,126.2,126.2,0,126.2
20131223,0,127.75,127.75,125.1,126.2,400,126.2
20131220,0,125.25,125.5,123.5,123.5,900,123.5
20131219,0,125.8,125.8,123.4,123.5,200,123.5
20131218,0,122.4,123,120.25,120.25,1100,120.25
20131217,0,123.8,124.9,123.8,124.9,0,124.9
20131216,0,125.25,126.55,123.55,126.3,900,126.3
20131213,0,124.35,124.35,124.35,124.35,0,124.35
20131212,0,125.7,125.75,124.25,125.75,800,125.75
20131211,0,131.95,131.95,128.25,128.7,2200,128.7
20131210,0,123.8,128.9,123.45,127.65,1500,127.65
20131209,0,124,126,122.5,126,400,126
20131206,0,123.35,123.95,122.9,122.9,100,122.9
20131205,0,123.95,125.4,121.3,121.5,900,121.5
20131204,0,123.9,126.55,119.7,123,400,123
20131203,0,124,124.9,122.05,124.9,1100,124.9
20131202,0,123.8,123.85,121.5,121.6,200,121.6
20131129,0,119.7,124.45,119.35,124.45,1300,124.45
20131128,0,120.4,120.85,119.1,120.3,400,120.3
20131127,0,120.5,121.6,119.25,120.45,200,120.45
20131126,0,116.6,117,114.5,117,400,117
20131125,0,117.5,118.5,116.2,117.15,500,117.15
20131122,0,118.9,118.9,116.5,117.4,300,117.4
20131121,0,118,119,117.2,117.2,300,117.2
20131120,0,120.9,122,119.7,120.9,1800,120.9
20131119,0,123,123.3,118,121.85,2900,121.85
20131118,0,118.95,125.3,118.95,125.3,900,125.3
20131115,0,118,121,117.5,121,300,121
20131114,0,114.05,116,113.1,116,200,116
20131113,0,111,111.15,110.95,111.15,800,111.15
20131112,0,113.95,115.1,113.95,114,1100,114
20131111,0,114.15,114.15,112,114.05,900,114.05
20131108,0,110.75,112.05,109.05,112.05,300,112.05
20131107,0,111.45,112.25,108.6,109,600,109
20131106,0,115.6,115.6,113.6,113.6,200,113.6
20131105,0,115.1,115.1,111.65,111.65,300,111.65
20131104,0,120.5,120.5,116.25,116.25,600,116.25
20131101,0,121.3,121.3,120,120,0,120
20131031,0,121.05,121.05,118.1,118.15,600,118.15
20131030,0,122.65,125.35,117.1,117.5,3700,117.5
20131029,0,114.15,114.2,110.9,110.9,400,110.9
20131028,0,117.25,118.85,113.9,113.9,300,113.9
20131025,0,117.8,120.2,117.5,119.2,2300,119.2
20131024,0,113.55,115.1,113,115.1,400,115.1
20131023,0,115,115.45,110.9,110.9,1100,110.9
20131022,0,118.95,119.65,114.9,114.9,200,114.9
20131021,0,122,123.85,118,118.95,1300,118.95
20131018,0,114,117.2,114,117.2,200,117.2
20131017,0,109.25,111.55,109.25,111.5,1000,111.5
20131016,0,111,113,111,113,0,113
20131015,0,112.5,112.5,112.5,112.5,0,112.5
20131014,0,114.2,114.2,112.6,112.6,0,112.6
20131011,0,112.45,112.6,112.45,112.6,100,112.6
20131010,0,108.6,112.55,108.5,110.1,400,110.1
20131009,0,110.9,110.9,104.9,106,500,106
20131008,0,117.5,117.5,108.3,108.3,200,108.3
20131007,0,117,117.95,115.15,117.95,300,117.95
20131004,0,115.1,115.2,113.3,115.2,100,115.2
20131003,0,117,117,116.2,116.2,0,116.2
20131002,0,117.7,117.7,114.9,116,100,116
20131001,0,114.2,116.4,113.8,114.6,1100,114.6
20130930,0,112.6,114.15,111,114.1,400,114.1
20130927,0,113.7,114.9,112.35,113.75,300,113.75
20130926,0,111.25,112.6,111.25,112.6,0,112.6
20130925,0,110.6,110.8,110.6,110.8,0,110.8
20130924,0,111,112.95,111,112.95,0,112.95
20130923,0,109,109,106.95,107,300,107
20130920,0,108.05,108.05,108.05,108.05,0,108.05
20130919,0,108.9,108.9,108.9,108.9,0,108.9
20130918,0,108.75,109.2,108.75,109.2,0,109.2
20130917,0,107.1,107.1,105.7,105.7,0,105.7
20130916,0,108.5,108.75,107,108.75,400,108.75
20130913,0,106.7,106.7,106.7,106.7,100,106.7
20130912,0,110.15,110.15,110.15,110.15,0,110.15
20130911,0,106.1,110,106.1,110,700,110
20130910,0,104.5,104.5,104.5,104.5,100,104.5
20130909,0,102.8,104.45,102.1,102.1,0,102.1
20130906,0,99.88,101.8,99.88,101.8,0,101.8
