date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,173.89,173.94,171.77,172.87,3687900,172.87
20140113,0,178.1,181.05,170.39,171,4439400,171
20140110,0,178.9,180.22,176.61,179.66,3318100,179.66
20140109,0,182.65,185.5,175.3,175.52,4522300,175.52
20140108,0,179.94,184.87,179.5,181.79,3441900,181.79
20140107,0,178.2,179.18,175.7,178.82,2480500,178.82
20140106,0,175.18,177.75,173.75,176.63,2858700,176.63
20140103,0,179.73,180.3,174.75,175.28,3382200,175.28
20140102,0,177.49,181.15,174.51,179.99,4702400,179.99
20131231,0,175.13,178.37,174.49,177.88,2761700,177.88
20131230,0,173.36,175.89,170.6,173.99,2165200,173.99
20131227,0,167.76,174.87,167.44,173.77,3533900,173.77
20131226,0,169.29,169.65,166.8,167.28,2087500,167.28
20131224,0,172.13,172.8,168.12,168.58,1881600,168.58
20131223,0,174.08,174.54,170.99,172.3,2468200,172.3
20131220,0,170.7,174.89,168.83,173.36,3148700,173.36
20131219,0,170.13,171.17,168.85,170.39,2240700,170.39
20131218,0,168.76,172.18,166.2,171.49,2946900,171.49
20131217,0,170.47,171.5,168,168.33,2054000,168.33
20131216,0,172.55,173.97,168.31,169.01,2527000,169.01
20131213,0,172.75,173.8,169.6,171.24,2200100,171.24
20131212,0,173.11,174.39,170.11,171.5,3699600,171.5
20131211,0,180.24,181.25,172.61,173.24,4252800,173.24
20131210,0,171.7,180.89,171.1,179.93,6899100,179.93
20131209,0,169.11,173.65,167.01,171.9,4349900,171.9
20131206,0,168.07,170,165.45,168.71,3671900,168.71
20131205,0,168.62,170.78,165.43,167.36,3964800,167.36
20131204,0,165.5,169.19,163.31,168.26,2522700,168.26
20131203,0,168.01,170.43,166,167.05,2632300,167.05
20131202,0,167.14,169.13,163.65,168.66,2811100,168.66
20131129,0,163.51,168.24,163.51,166.57,2218800,166.57
20131127,0,163.16,165.7,161.98,162.99,2483900,162.99
20131126,0,155.77,163.28,153.25,163.03,3914000,163.03
20131125,0,158.86,160.59,155.66,156.66,2439400,156.66
20131122,0,159.25,160,156.52,158.09,2239800,158.09
20131121,0,161.01,161.24,156.81,158.4,3185200,158.4
20131120,0,163.32,164.98,158.32,158.76,2715200,158.76
20131119,0,164.5,165.76,160.2,163.12,3275500,163.12
20131118,0,164,169.55,161.64,162.87,4892600,162.87
20131115,0,159.5,163.04,159.3,162.33,4472100,162.33
20131114,0,153.48,159.6,152.74,158.99,4222200,158.99
20131113,0,148.95,153,147.8,152.98,2668600,152.98
20131112,0,151,154.11,149.56,150.43,1963400,150.43
20131111,0,151.11,153.56,150,151.6,2224000,151.6
20131108,0,147.95,152.6,147.2,151.09,4392100,151.09
20131107,0,150.56,150.92,142.7,147.35,5241300,147.35
20131106,0,154,155.49,147.79,150.09,3793400,150.09
20131105,0,155.16,155.49,150.2,153.46,5421400,153.46
20131104,0,160.36,160.6,155.5,156.02,3013200,156.02
20131101,0,162.99,163.12,158.23,160.06,2935900,160.06
20131031,0,161.59,163.39,157.45,160.8,5166000,160.8
20131030,0,168.6,169.75,159.75,164.93,14097700,164.93
20131029,0,154.71,159.5,152.53,159.41,6291900,159.41
20131028,0,155.51,158.4,152.5,154.12,4511500,154.12
20131025,0,162.9,165.4,158.1,159.36,4131900,159.36
20131024,0,155.76,161.86,155.32,161.34,4447200,161.34
20131023,0,155.15,156.5,151.35,155.07,4788500,155.07
20131022,0,162.35,164.8,153.22,158.57,4131700,158.57
20131021,0,167.55,167.55,160.38,161.21,4504700,161.21
20131018,0,157.23,166.39,157,165.91,7354000,165.91
20131017,0,150.23,154.96,150,153.83,3218500,153.83
20131016,0,151.72,155,149.74,150.2,2945600,150.2
20131015,0,152.75,153.99,150.42,151.5,2403600,151.5
20131014,0,152.07,153.75,150.84,152.96,1945400,152.96
20131011,0,152,155,150.48,154.9,2825000,154.9
20131010,0,150.12,153.87,149.05,153.16,3424400,153.16
20131009,0,149.97,150.97,141.52,146.54,5752300,146.54
20131008,0,157.54,158.71,146.67,148.75,6237200,148.75
20131007,0,157.61,160.6,157.45,157.54,3195200,157.54
20131004,0,157.13,160.48,157.07,159,2595000,159
20131003,0,160.31,160.66,156.24,157.08,3343300,157.08
20131002,0,157.61,161.48,157.11,159.94,3477500,159.94
20131001,0,155.3,158.76,154.05,158.64,3330800,158.64
20130930,0,150.65,155.8,148.26,155.18,3116000,155.18
20130927,0,153.73,154.8,152.1,153.84,1861300,153.84
20130926,0,151.51,154.35,150.28,154.28,2805500,154.28
20130925,0,151.7,153,149.63,150.68,2777500,150.68
20130924,0,149.12,154.72,147.03,150.13,5266400,150.13
20130923,0,145.61,149.95,145.22,149.26,3128000,149.26
20130920,0,148.02,149.14,145.56,146.25,3253400,146.25
20130919,0,146.33,149.74,146.06,147.7,3433200,147.7
20130918,0,143.81,145.95,143.2,145.7,2722700,145.7
20130917,0,142.21,143.93,141.32,143.81,2130900,143.81
