date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,2,2,2,2,2000,2
20140113,0,1.96,1.96,1.96,1.96,500,1.96
20140110,0,2.09,2.09,2.02,2.02,2400,2.02
20140109,0,2.12,2.12,2.12,2.12,0,2.12
20140108,0,2.08,2.08,2.05,2.05,15500,2.05
20140107,0,2.15,2.15,2.15,2.15,0,2.15
20140106,0,2.24,2.24,2.15,2.15,300,2.15
20140103,0,2.1,2.15,2,2.14,4400,2.14
20140102,0,2.23,2.23,2.1,2.1,99600,2.1
20140101,0,1.99,2.18,1.99,2.13,2100,2.13
20131231,0,2,2.09,1.98,2.09,188400,2.09
20131230,0,2.1,2.1,2,2.05,4700,2.05
20131227,0,1.84,2.01,1.84,2,12200,2
20131226,0,2.08,2.08,1.92,1.92,2000,1.92
20131225,0,1.99,1.99,1.99,1.99,0,1.99
20131224,0,1.9,1.99,1.9,1.99,2600,1.99
20131223,0,1.9,1.9,1.85,1.9,600,1.9
20131220,0,1.81,1.81,1.8,1.81,8000,1.81
20131219,0,1.73,1.73,1.6,1.73,3400,1.73
20131218,0,1.81,1.81,1.65,1.65,3100,1.65
20131217,0,1.73,1.73,1.73,1.73,1100,1.73
20131216,0,1.65,1.65,1.65,1.65,400,1.65
20131213,0,1.65,1.65,1.58,1.58,1600,1.58
20131212,0,1.58,1.58,1.58,1.58,0,1.58
20131211,0,1.58,1.58,1.58,1.58,0,1.58
20131210,0,1.58,1.58,1.58,1.58,3200,1.58
20131209,0,1.51,1.51,1.51,1.51,0,1.51
20131206,0,1.51,1.51,1.51,1.51,0,1.51
20131205,0,1.44,1.44,1.44,1.44,200,1.44
20131204,0,1.38,1.38,1.38,1.38,0,1.38
20131203,0,1.32,1.32,1.32,1.32,1300,1.32
20131202,0,1.26,1.26,1.26,1.26,2500,1.26
20131129,0,1.2,1.2,1.2,1.2,600,1.2
20131128,0,1.15,1.15,1.15,1.15,0,1.15
20131127,0,1.15,1.15,1.15,1.15,0,1.15
20131126,0,1.15,1.15,1.15,1.15,1500,1.15
20131125,0,1.1,1.1,1.1,1.1,1800,1.1
20131122,0,1.05,1.05,1.05,1.05,900,1.05
20131121,0,1,1,1,1,300,1
20131120,0,0.97,0.97,0.97,0.97,1000,0.97
20131119,0,0.98,0.98,0.98,0.98,100,0.98
20131118,0,1,1,1,1,0,1
20131115,0,1,1,1,1,0,1
20131114,0,1,1,1,1,100,1
20131113,0,1.01,1.01,1.01,1.01,100,1.01
20131112,0,1.06,1.07,1.06,1.06,7500,1.06
20131111,0,1.08,1.08,1.08,1.08,0,1.08
20131108,0,1.08,1.18,1.08,1.08,900,1.08
20131107,0,1.13,1.13,1.13,1.13,18900,1.13
20131106,0,1.18,1.18,1.18,1.18,0,1.18
20131105,0,1.2,1.2,1.2,1.2,1100,1.2
20131104,0,1.26,1.26,1.26,1.26,0,1.26
20131101,0,1.26,1.26,1.26,1.26,0,1.26
20131031,0,1.26,1.26,1.26,1.26,0,1.26
20131030,0,1.34,1.34,1.28,1.28,100,1.28
20131029,0,1.4,1.4,1.34,1.34,3800,1.34
20131028,0,1.4,1.4,1.4,1.4,0,1.4
20131025,0,1.5,1.5,1.4,1.4,2200,1.4
20131024,0,1.47,1.47,1.47,1.47,0,1.47
20131023,0,1.47,1.47,1.47,1.47,1100,1.47
