date,time,open price,high price,low price,close price,volume,adjusted price
20130617,0,0.07,0.07,0.07,0.07,64600,0.07
20130614,0,0.06,0.07,0.06,0.07,369200,0.07
20130613,0,0.07,0.07,0.07,0.07,0,0.07
20130612,0,0.07,0.07,0.07,0.07,0,0.07
20130611,0,0.07,0.07,0.07,0.07,0,0.07
20130610,0,0.07,0.07,0.07,0.07,13700,0.07
20130607,0,0.07,0.07,0.07,0.07,0,0.07
20130606,0,0.07,0.07,0.07,0.07,0,0.07
20130605,0,0.07,0.07,0.07,0.07,50000,0.07
20130604,0,0.07,0.07,0.07,0.07,1000,0.07
20130603,0,0.07,0.07,0.07,0.07,10200,0.07
20130531,0,0.07,0.07,0.07,0.07,13000,0.07
20130530,0,0.07,0.07,0.07,0.07,0,0.07
20130529,0,0.07,0.07,0.07,0.07,0,0.07
20130528,0,0.07,0.07,0.07,0.07,32800,0.07
20130527,0,0.07,0.07,0.07,0.07,0,0.07
20130524,0,0.07,0.07,0.07,0.07,0,0.07
20130523,0,0.07,0.07,0.07,0.07,77200,0.07
20130522,0,0.07,0.07,0.07,0.07,0,0.07
20130521,0,0.07,0.07,0.07,0.07,50000,0.07
20130517,0,0.07,0.08,0.07,0.08,24700,0.08
20130516,0,0.07,0.07,0.07,0.07,327900,0.07
20130515,0,0.08,0.08,0.07,0.07,483000,0.07
20130514,0,0.08,0.08,0.08,0.08,146000,0.08
20130513,0,0.09,0.09,0.08,0.08,368200,0.08
20130510,0,0.09,0.09,0.09,0.09,42700,0.09
20130509,0,0.09,0.09,0.09,0.09,74600,0.09
20130508,0,0.09,0.09,0.09,0.09,171000,0.09
20130507,0,0.09,0.09,0.09,0.09,121000,0.09
20130506,0,0.09,0.09,0.09,0.09,87000,0.09
20130503,0,0.09,0.09,0.08,0.08,58000,0.08
20130502,0,0.09,0.09,0.09,0.09,0,0.09
20130501,0,0.09,0.09,0.09,0.09,154300,0.09
20130430,0,0.08,0.09,0.08,0.09,12700,0.09
20130429,0,0.09,0.09,0.08,0.08,54200,0.08
20130426,0,0.08,0.09,0.07,0.09,254000,0.09
20130425,0,0.08,0.09,0.08,0.09,58500,0.09
