date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,3.41,3.41,3.36,3.4,13600,3.4
20140113,0,3.41,3.48,3.41,3.44,4000,3.44
20140110,0,3.49,3.46,3.4,3.46,3200,3.46
20140109,0,3.49,3.54,3.43,3.49,5700,3.49
20140108,0,3.43,3.46,3.41,3.44,3000,3.44
20140107,0,3.48,3.54,3.45,3.49,31900,3.49
20140106,0,3.42,3.48,3.42,3.47,2500,3.47
20140103,0,3.44,3.48,3.4,3.48,2500,3.48
20140102,0,3.44,3.48,3.38,3.44,4300,3.44
20140101,0,3.4,3.4,3.4,3.4,0,3.4
20131231,0,3.4,3.4,3.4,3.4,0,3.4
20131230,0,3.37,3.48,3.36,3.4,5300,3.4
20131227,0,3.37,3.41,3.31,3.41,6900,3.41
20131226,0,3.37,3.37,3.37,3.37,0,3.37
20131225,0,3.37,3.37,3.37,3.37,0,3.37
20131224,0,3.37,3.37,3.37,3.37,0,3.37
20131223,0,3.33,3.39,3.33,3.37,9300,3.37
20131220,0,3.33,3.37,3.33,3.36,800,3.36
20131219,0,3.36,3.39,3.35,3.39,700,3.39
20131218,0,3.36,3.41,3.34,3.35,4500,3.35
20131217,0,3.38,3.42,3.38,3.42,200,3.42
20131216,0,3.39,3.42,3.38,3.38,1300,3.38
20131213,0,3.36,3.4,3.36,3.37,2600,3.37
20131212,0,3.39,3.41,3.35,3.35,4700,3.35
20131211,0,3.43,3.43,3.4,3.4,2700,3.4
20131210,0,3.42,3.5,3.42,3.47,2000,3.47
20131209,0,3.42,3.46,3.42,3.42,1100,3.42
20131206,0,3.46,3.48,3.43,3.48,4200,3.48
20131205,0,3.55,3.55,3.45,3.45,4800,3.45
20131204,0,3.57,3.57,3.48,3.54,5000,3.54
20131203,0,3.49,3.69,3.44,3.59,44000,3.59
20131202,0,3.55,3.55,3.46,3.48,2400,3.48
20131129,0,3.54,3.54,3.47,3.51,11500,3.51
20131128,0,3.47,3.55,3.45,3.55,10900,3.55
20131127,0,3.45,3.52,3.45,3.51,2500,3.51
20131126,0,3.5,3.54,3.47,3.51,5900,3.51
20131125,0,3.43,3.55,3.41,3.54,33200,3.54
20131122,0,3.38,3.41,3.36,3.41,0,3.41
20131121,0,3.38,3.4,3.38,3.38,2800,3.38
20131120,0,3.39,3.48,3.39,3.43,18000,3.43
20131119,0,3.36,3.4,3.36,3.4,7800,3.4
20131118,0,3.35,3.42,3.35,3.42,5700,3.42
20131115,0,3.42,3.43,3.35,3.43,9400,3.43
20131114,0,3.35,3.43,3.28,3.4,45200,3.4
20131113,0,3.44,3.48,3.22,3.26,98600,3.26
20131112,0,3.55,3.6,3.44,3.44,16300,3.44
20131111,0,3.55,3.55,3.55,3.55,300,3.55
20131108,0,3.44,3.51,3.44,3.51,17200,3.51
20131107,0,3.36,3.62,3.33,3.49,216800,3.49
20131106,0,3.31,3.33,3.31,3.33,6200,3.33
20131105,0,3.32,3.34,3.3,3.33,31100,3.33
20131104,0,3.33,3.33,3.32,3.32,17800,3.32
20131101,0,3.33,3.37,3.33,3.35,2000,3.35
20131031,0,3.33,3.36,3.33,3.33,20300,3.33
20131030,0,3.32,3.39,3.33,3.34,24200,3.34
20131029,0,3.32,3.35,3.32,3.32,32900,3.32
20131028,0,3.33,3.4,3.32,3.33,27100,3.33
20131025,0,3.34,3.5,3.32,3.32,94400,3.32
20131024,0,3.32,3.33,3.31,3.33,49400,3.33
20131023,0,3.33,3.33,3.32,3.33,53500,3.33
20131022,0,3.33,3.33,3.33,3.33,65700,3.33
20131021,0,3.32,3.33,3.32,3.33,5700,3.33
20131018,0,3.33,3.33,3.32,3.33,53500,3.33
20131017,0,3.32,3.33,3.32,3.33,34300,3.33
20131016,0,3.32,3.33,3.32,3.32,10400,3.32
20131015,0,3.33,3.33,3.32,3.32,15800,3.32
20131014,0,3.33,3.33,3.33,3.33,0,3.33
20131011,0,3.33,3.33,3.33,3.33,0,3.33
20131010,0,3.33,3.33,3.33,3.33,0,3.33
20131009,0,3.32,3.33,3.32,3.33,59900,3.33
20131008,0,3.32,3.33,3.32,3.33,20000,3.33
20131007,0,3.32,3.33,3.32,3.33,36400,3.33
20131004,0,3.32,3.32,3.32,3.32,4300,3.32
20131003,0,3.32,3.33,3.32,3.32,11000,3.32
20131002,0,3.32,3.33,3.32,3.33,15900,3.33
20131001,0,3.32,3.32,3.32,3.32,6300,3.32
20130930,0,3.3,3.35,3.3,3.33,28100,3.33
20130927,0,3.32,3.32,3.32,3.32,52000,3.32
20130926,0,3.32,3.32,3.32,3.32,2600,3.32
20130925,0,3.32,3.32,3.32,3.32,1600,3.32
20130924,0,3.32,3.33,3.32,3.33,2700,3.33
20130923,0,3.32,3.32,3.32,3.32,2500,3.32
20130920,0,3.32,3.33,3.32,3.32,1800,3.32
20130919,0,3.32,3.32,3.32,3.32,31300,3.32
20130918,0,3.32,3.32,3.32,3.32,6800,3.32
20130917,0,3.32,3.32,3.32,3.32,13400,3.32
20130916,0,3.32,3.33,3.32,3.33,5400,3.33
20130913,0,3.32,3.32,3.32,3.32,500,3.32
20130912,0,3.32,3.32,3.32,3.32,34500,3.32
20130911,0,3.32,3.32,3.32,3.32,200,3.32
20130910,0,3.32,3.32,3.32,3.32,2700,3.32
20130909,0,3.32,3.32,3.32,3.32,1000,3.32
20130906,0,3.32,3.32,3.32,3.32,2800,3.32
20130905,0,3.31,3.32,3.31,3.32,8200,3.32
20130904,0,3.32,3.32,3.31,3.31,90600,3.31
20130903,0,3.31,3.33,3.31,3.32,44800,3.32
20130902,0,3.32,3.33,3.31,3.33,400,3.33
20130830,0,3.32,3.32,3.32,3.32,4600,3.32
20130829,0,3.33,3.32,3.32,3.32,2600,3.32
20130828,0,3.33,3.33,3.32,3.33,14600,3.33
