date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,8.79,8.8,8.49,8.79,800,8.79
20140113,0,8.7,8.88,8.5,8.7,700,8.7
20140110,0,8.7,8.88,8.5,8.88,1000,8.88
20140109,0,8.8,8.8,8.79,8.79,100,8.79
20140108,0,8.71,8.75,8.5,8.68,200,8.68
20140107,0,8.59,8.75,8.4,8.52,4900,8.52
20140106,0,8.3,8.58,8.25,8.55,4300,8.55
20140103,0,8.25,8.25,8.25,8.25,100,8.25
20140102,0,8.25,8.3,8.25,8.3,700,8.3
20140101,0,8.35,8.35,8.35,8.35,0,8.35
20131231,0,8.35,8.35,8.35,8.35,0,8.35
20131230,0,8.3,8.35,8.25,8.35,2000,8.35
20131227,0,8.3,8.3,8.25,8.25,1100,8.25
20131226,0,8.3,8.3,8.3,8.3,0,8.3
20131225,0,8.3,8.3,8.3,8.3,0,8.3
20131224,0,8.3,8.3,8.3,8.3,0,8.3
20131223,0,8.3,8.3,8.3,8.3,500,8.3
20131220,0,8.3,8.3,8.29,8.3,900,8.3
20131219,0,8.29,8.3,8.02,8.3,1200,8.3
20131218,0,8.4,8.4,8.1,8.3,800,8.3
20131217,0,8.47,8.47,8.15,8.4,300,8.4
20131216,0,8.45,8.71,8.37,8.5,2300,8.5
20131213,0,8.7,9,8.6,8.7,2300,8.7
20131212,0,8.84,8.84,8.5,8.69,700,8.69
20131211,0,8.84,8.84,8.84,8.84,200,8.84
20131210,0,8.65,8.84,8.31,8.84,3800,8.84
20131209,0,8.8,8.8,8.32,8.7,1200,8.7
20131206,0,9.26,9.26,8.18,9.01,7800,9.01
20131205,0,9.9,9.94,9.59,9.59,1200,9.59
20131204,0,9.5,10.5,9.5,10.02,15800,10.02
20131203,0,9.5,9.55,9.17,9.25,4100,9.25
20131202,0,8.6,10.05,8.2,9.53,5500,9.53
20131129,0,7.23,8.23,7.23,8.23,11700,8.23
20131128,0,7.01,7.11,6.9,7.05,1000,7.05
20131127,0,6.59,7,6.59,7,9800,7
20131126,0,6.5,6.59,6.5,6.59,200,6.59
20131125,0,6.47,6.5,6.47,6.5,2800,6.5
20131122,0,6.32,6.38,6.32,6.37,4300,6.37
20131121,0,6.3,6.32,6.25,6.32,700,6.32
20131120,0,6.29,6.3,6.29,6.3,2700,6.3
20131119,0,6.25,6.25,6.25,6.25,600,6.25
20131118,0,6.17,6.17,6.17,6.17,300,6.17
20131115,0,6.17,6.17,6.17,6.17,100,6.17
20131114,0,6.17,6.17,6.15,6.15,400,6.15
20131113,0,6.15,6.15,6.15,6.15,200,6.15
20131112,0,6.17,6.17,6.17,6.17,100,6.17
20131111,0,6.17,6.17,6.17,6.17,100,6.17
20131108,0,6.12,6.15,5.8,6.15,3100,6.15
20131107,0,6.12,6.12,6.12,6.12,200,6.12
20131106,0,6.12,6.12,6.12,6.12,0,6.12
20131105,0,6.12,6.12,6.12,6.12,0,6.12
20131104,0,6.12,6.12,6.12,6.12,0,6.12
20131101,0,6.09,6.1,6.01,6.1,1800,6.1
20131031,0,6.1,6.1,6.1,6.1,200,6.1
20131030,0,6.09,6.09,6.09,6.09,100,6.09
20131029,0,6.12,6.12,6.12,6.12,100,6.12
20131028,0,6.09,6.12,6.09,6.12,200,6.12
20131025,0,6.05,6.05,6.05,6.05,100,6.05
20131024,0,6,6.05,6,6.05,200,6.05
20131023,0,5.99,6,5.99,6,200,6
20131022,0,5.99,5.99,5.72,5.99,2000,5.99
20131021,0,5.81,6,5.81,6,300,6
20131018,0,6.05,6.05,6.05,6.05,0,6.05
20131017,0,6.02,6.02,6.02,6.02,100,6.02
20131016,0,5.95,5.95,5.9,5.9,100,5.9
20131015,0,6.05,6.14,5.51,5.78,8800,5.78
20131014,0,5.91,6.1,5.91,6.1,2400,6.1
20131011,0,6,6,5.92,6,400,6
20131010,0,6,6,6,6,0,6
20131009,0,6,6.11,6,6,1400,6
20131008,0,6.01,6.01,6,6,400,6
20131007,0,6.2,6.2,6.1,6.1,1400,6.1
20131004,0,6.45,6.45,6.08,6.18,5000,6.18
20131003,0,6.45,6.45,6.45,6.45,400,6.45
20131002,0,6.5,6.5,6.3,6.4,700,6.4
20131001,0,6.5,6.58,6.4,6.4,4700,6.4
20130930,0,6.5,6.5,6.5,6.5,100,6.5
20130927,0,6.58,6.58,6.26,6.4,2000,6.4
20130926,0,6.59,6.59,6.58,6.59,400,6.59
20130925,0,6.59,6.59,6.59,6.59,0,6.59
20130924,0,6.58,6.58,6.58,6.58,100,6.58
20130923,0,6.57,6.57,6.57,6.57,0,6.57
20130920,0,6.5,6.5,6.5,6.5,100,6.5
20130919,0,6.45,6.45,6.45,6.45,400,6.45
20130918,0,6.43,6.45,6.43,6.45,200,6.45
20130917,0,6.48,6.48,6.2,6.38,2500,6.38
20130916,0,6.5,6.52,6.25,6.5,5400,6.5
20130913,0,6.48,6.5,6.25,6.5,2200,6.5
20130912,0,6.5,6.5,6.3,6.5,1500,6.5
20130911,0,6.5,6.5,6.5,6.5,100,6.5
20130910,0,6.5,6.5,6.3,6.5,100,6.5
20130909,0,6.5,6.5,6.5,6.5,0,6.5
20130906,0,6.5,6.5,6.5,6.5,900,6.5
20130905,0,6.5,6.5,6.5,6.5,100,6.5
20130904,0,6.59,6.59,6.25,6.5,800,6.5
20130903,0,6.5,6.5,6.26,6.47,400,6.47
20130902,0,6.88,7,6.48,6.48,2700,6.48
20130830,0,6.32,6.85,6.32,6.85,2100,6.85
20130829,0,6.9,6.95,6.9,6.95,300,6.95
20130828,0,6.88,6.9,6.65,6.8,800,6.8
20130827,0,7.29,7.29,6.5,6.8,7000,6.8
20130826,0,6.23,7.25,6.23,6.75,8000,6.75
20130823,0,6.1,6.1,6.05,6.05,500,6.05
20130822,0,5,6.2,5,6.18,13100,6.18
20130821,0,5.1,5.25,5.1,5.1,4700,5.1
20130820,0,4.97,5.18,4.97,5.18,3300,5.18
20130819,0,5.05,5.05,4.95,4.95,1000,4.95
20130816,0,5.16,5.16,5.05,5.05,200,5.05
20130815,0,5.01,5.01,5.01,5.01,0,5.01
20130814,0,5.01,5.01,5.01,5.01,0,5.01
20130813,0,5,5.01,5,5.01,100,5.01
20130812,0,5,5,5,5,0,5
20130809,0,5,5,5,5,100,5
20130808,0,5,5,5,5,400,5
20130807,0,4.95,5,4.95,5,1200,5
20130806,0,4.67,4.95,4.67,4.95,2000,4.95
20130805,0,5,5,5,5,300,5
20130802,0,5,5,5,5,200,5
20130801,0,5,5,5,5,100,5
20130731,0,5,5.05,4.8,5.05,400,5.05
20130730,0,5,5,5,5,200,5
20130729,0,4.9,5,4.9,5,500,5
20130726,0,4.85,4.85,4.85,4.85,500,4.85
20130725,0,4.72,4.72,4.72,4.72,0,4.72
20130724,0,4.72,4.72,4.72,4.72,0,4.72
20130723,0,4.72,4.72,4.72,4.72,0,4.72
20130722,0,4.73,4.73,4.72,4.72,200,4.72
20130719,0,4.72,4.72,4.72,4.72,100,4.72
20130718,0,4.47,4.47,4.47,4.47,0,4.47
20130717,0,4.68,4.68,4.68,4.68,0,4.68
20130716,0,4.68,4.68,4.68,4.68,0,4.68
20130715,0,4.63,4.63,4.63,4.63,0,4.63
20130712,0,4.68,4.68,4.68,4.68,0,4.68
20130711,0,4.68,4.68,4.68,4.68,0,4.68
