date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,10,10.32,9.97,10.28,1063700,10.28
20140113,0,10.6,10.67,9.82,9.92,977300,9.92
20140110,0,10.88,10.88,10.3,10.57,885900,10.57
20140109,0,10.85,10.95,10.6,10.88,997800,10.88
20140108,0,10.28,10.87,10.25,10.84,971400,10.84
20140107,0,9.85,10.31,9.85,10.28,769500,10.28
20140106,0,10.29,10.29,9.78,9.81,536600,9.81
20140103,0,10.16,10.24,9.92,10.2,958500,10.2
20140102,0,9.62,10.1,9.6,10.1,1033300,10.1
20131231,0,9.44,9.69,9.39,9.63,723400,9.63
20131230,0,9.35,9.47,9.24,9.47,433800,9.47
20131227,0,9.37,9.55,9.34,9.38,317700,9.38
20131226,0,9.27,9.47,9.27,9.37,520800,9.37
20131224,0,9.49,9.54,9.15,9.35,409900,9.35
20131223,0,9.08,9.43,9.06,9.43,923700,9.43
20131220,0,9,9.08,8.93,9.06,927100,9.06
20131219,0,8.73,9.07,8.7,9.04,803600,9.04
20131218,0,8.65,8.84,8.51,8.78,637400,8.78
20131217,0,8.81,8.85,8.56,8.59,638700,8.59
20131216,0,9,9.12,8.82,8.85,447000,8.85
20131213,0,8.97,9.22,8.9,8.92,618000,8.92
20131212,0,8.56,9.19,8.54,8.99,5441900,8.99
20131211,0,8.86,9.04,8.56,8.59,1730800,8.59
20131210,0,9.31,9.37,8.87,8.87,1721700,8.87
20131209,0,9.62,9.65,9.2,9.26,1298000,9.26
20131206,0,9.9,9.9,9.12,9.2,984500,9.2
20131205,0,9.84,9.95,9.7,9.81,604200,9.81
20131204,0,9.62,9.87,9.59,9.81,324400,9.81
20131203,0,9.64,9.7,9.51,9.61,532200,9.61
20131202,0,9.91,9.92,9.53,9.66,549800,9.66
20131129,0,9.56,9.95,9.5,9.86,775700,9.86
20131127,0,9.23,9.6,9.22,9.47,608800,9.47
20131126,0,9.08,9.4,9.02,9.26,551800,9.26
20131125,0,9.6,9.7,8.95,9.09,891600,9.09
20131122,0,9.21,9.53,9.11,9.51,711900,9.51
20131121,0,9.3,9.58,9.09,9.13,816100,9.13
20131120,0,9.33,9.74,9.3,9.31,546700,9.31
20131119,0,10.2,10.2,9.26,9.33,1255000,9.33
20131118,0,10.5,10.83,10.11,10.29,2133800,10.29
20131115,0,9.85,10.38,9.65,10.36,3812300,10.36
20131114,0,9.5,9.74,8.9,9.09,2298800,9.09
20131113,0,9.52,10.35,9.4,10.24,1357000,10.24
20131112,0,10.1,10.1,9.25,9.55,1128400,9.55
20131111,0,9.43,10.05,9.25,10.02,1136000,10.02
20131108,0,8.86,9.17,8.8,9.09,672800,9.09
20131107,0,9.24,9.31,8.67,8.86,1044000,8.86
20131106,0,9.73,9.73,9.21,9.26,918200,9.26
20131105,0,9.35,9.69,9.12,9.65,969600,9.65
20131104,0,9.14,9.43,9.05,9.32,876300,9.32
20131101,0,9.17,9.31,8.93,9.11,994300,9.11
20131031,0,9.1,9.39,8.61,8.98,1340700,8.98
20131030,0,9.75,9.97,9.25,9.28,1225800,9.28
20131029,0,9.2,9.97,9.2,9.66,1619800,9.66
20131028,0,10.11,10.36,8.08,9.06,4460300,9.06
20131025,0,11.1,11.61,10.64,10.65,1521500,10.65
20131024,0,12.27,12.37,10.65,11.08,2060700,11.08
20131023,0,12.68,12.75,11.41,12.17,1428000,12.17
20131022,0,13.1,13.38,12.41,12.85,950500,12.85
20131021,0,12.49,13.05,12.4,12.94,919000,12.94
20131018,0,12.57,12.77,12.3,12.36,1129900,12.36
20131017,0,11.79,12.36,11.56,12.31,1138100,12.31
20131016,0,11.02,11.69,11.02,11.67,1325700,11.67
20131015,0,11.66,11.91,10.96,10.99,1608600,10.99
20131014,0,11.76,11.76,11.2,11.67,602300,11.67
20131011,0,11.49,11.9,11.3,11.87,874600,11.87
20131010,0,11.01,11.59,11.01,11.27,917800,11.27
20131009,0,11.6,11.79,10.63,10.89,1505800,10.89
20131008,0,12.95,13,11.3,11.46,1775600,11.46
20131007,0,12.17,13,12.14,12.62,1735600,12.62
20131004,0,12,12.35,11.88,12.26,596900,12.26
20131003,0,12.3,12.4,11.63,11.92,687900,11.92
20131002,0,11.68,12.26,11.65,12.23,892200,12.23
20131001,0,11.32,11.72,11.29,11.7,543500,11.7
20130930,0,11.55,11.6,11.02,11.25,1129500,11.25
20130927,0,12.12,12.14,11.55,11.7,579100,11.7
20130926,0,11.99,12.29,11.87,12.18,789500,12.18
20130925,0,12.12,12.57,11.8,11.87,1217100,11.87
20130924,0,12.05,12.28,11.77,12.15,1250800,12.15
20130923,0,11.75,12.07,11.15,11.93,1947000,11.93
20130920,0,11.38,11.72,11.16,11.66,1230900,11.66
20130919,0,11,11.65,11,11.3,1106800,11.3
20130918,0,10.75,10.9,10.69,10.87,431500,10.87
20130917,0,10.8,10.96,10.44,10.73,467700,10.73
20130916,0,10.54,11.1,10.5,10.82,872400,10.82
20130913,0,10.58,10.79,10.21,10.46,410700,10.46
