date,time,open price,high price,low price,close price,volume,adjusted price
20140129,0,1119.12,1121.75,1099.42,1106.92,2379900,1106.92
20140128,0,1110.32,1125.75,1109.94,1123.01,2210200,1123.01
20140127,0,1126.1,1126.5,1082.27,1101.23,4353600,1101.23
20140124,0,1151.01,1153.55,1123,1123.83,3892500,1123.83
20140123,0,1160,1162.49,1154.37,1160.1,1949100,1160.1
20140122,0,1166.61,1167.89,1158.86,1165.02,1571400,1165.02
20140121,0,1160.93,1164,1151.3,1163.7,1979900,1163.7
20140117,0,1156.85,1160.63,1144.2,1150.53,2701300,1150.53
20140116,0,1149.1,1157.93,1148,1156.22,1683900,1156.22
20140115,0,1152.99,1155,1143.79,1148.62,1950200,1148.62
20140114,0,1137.95,1151,1128.09,1149.4,2482600,1149.4
20140113,0,1126.47,1146.91,1117.17,1122.98,2418900,1122.98
20140110,0,1139.08,1139.08,1122.25,1130.18,2143500,1130.18
20140109,0,1143.44,1144.22,1125.56,1130.24,2084500,1130.24
20140108,0,1146,1147.32,1133.29,1141.23,2242500,1141.23
20140107,0,1125,1139.69,1121.16,1138.86,2552600,1138.86
20140106,0,1113.01,1118.86,1106.44,1117.32,1769300,1117.32
20140103,0,1115,1116.93,1104.93,1105,1666700,1105
20140102,0,1115.46,1117.75,1108.26,1113.12,1821400,1113.12
20131231,0,1112.24,1121,1106.26,1120.71,1357900,1120.71
20131230,0,1120.34,1120.5,1109.02,1109.46,1236100,1109.46
20131227,0,1120,1120.28,1112.94,1118.4,1569700,1118.4
20131226,0,1114.01,1119,1108.69,1117.46,1337800,1117.46
20131224,0,1114.97,1115.24,1108.1,1111.84,734200,1111.84
20131223,0,1107.84,1115.8,1105.12,1115.1,1721600,1115.1
20131220,0,1088.3,1101.17,1088,1100.62,3261600,1100.62
20131219,0,1080.77,1091.99,1079.08,1086.22,1665700,1086.22
20131218,0,1071.85,1084.95,1059.04,1084.75,2210300,1084.75
20131217,0,1072.82,1080.76,1068.38,1069.86,1535700,1069.86
20131216,0,1064,1074.69,1062.01,1072.98,1602000,1072.98
20131213,0,1075.4,1076.29,1057.89,1060.79,2162400,1060.79
20131212,0,1079.57,1082.94,1069,1069.96,1595900,1069.96
20131211,0,1087.4,1091.32,1075.17,1077.29,1695800,1077.29
20131210,0,1076.15,1092.31,1075.65,1084.66,1853900,1084.66
20131209,0,1070.99,1082.31,1068.02,1078.14,1482600,1078.14
20131206,0,1069.79,1070,1060.08,1069.87,1428800,1069.87
20131205,0,1057.2,1059.66,1051.09,1057.34,1133700,1057.34
20131204,0,1051.37,1063.98,1050,1058.18,1191600,1058.18
