date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,10.25,10.25,9.91,10.2,1500,10.2
20140113,0,10.19,10.3,9.84,10.3,1100,10.3
20140110,0,10.3,10.3,10.3,10.3,600,10.3
20140109,0,9.9,10.01,9.72,9.72,900,9.72
20140108,0,9.83,9.83,9.83,9.83,0,9.83
20140107,0,9.59,9.59,9.59,9.59,1100,9.59
20140106,0,9.4,9.4,9.4,9.4,0,9.4
20140103,0,9.6,9.61,9.3,9.3,5100,9.3
20140102,0,9.65,9.65,9.65,9.65,0,9.65
20140101,0,9.65,9.65,9.65,9.65,0,9.65
20131231,0,9.65,9.65,9.65,9.65,0,9.65
20131230,0,9.65,9.65,9.65,9.65,0,9.65
20131227,0,9.7,9.7,9.68,9.68,1000,9.68
20131226,0,9.8,9.8,9.8,9.8,0,9.8
20131225,0,9.8,9.8,9.8,9.8,0,9.8
20131224,0,9.8,9.8,9.8,9.8,0,9.8
20131223,0,9.9,9.9,9.8,9.8,1400,9.8
20131220,0,10,10,9.8,9.8,900,9.8
20131219,0,10,10,10,10,300,10
20131218,0,9.8,9.8,9.8,9.8,0,9.8
20131217,0,9.8,9.8,9.8,9.8,0,9.8
20131216,0,9.8,9.8,9.8,9.8,1400,9.8
20131213,0,9.8,9.8,9.74,9.74,1800,9.74
20131212,0,9.9,9.9,9.86,9.86,1000,9.86
20131211,0,10,10,10,10,500,10
20131210,0,10,10,10,10,0,10
20131209,0,10,10,10,10,4100,10
20131206,0,10,10,10,10,1000,10
20131205,0,9.9,9.9,9.9,9.9,1000,9.9
20131204,0,9.96,9.96,9.96,9.96,400,9.96
20131203,0,10.15,10.15,10.01,10.01,300,10.01
20131202,0,10.27,10.28,10,10.2,2000,10.2
20131129,0,10.05,10.05,10.05,10.05,400,10.05
20131128,0,10,10,10,10,1000,10
20131127,0,10.03,10.03,10.03,10.03,0,10.03
20131126,0,10.27,10.27,10.03,10.03,2000,10.03
20131125,0,9.98,9.98,9.98,9.98,0,9.98
20131122,0,10.3,10.3,10.3,10.3,100,10.3
20131121,0,10,10.1,9.95,10.1,300,10.1
20131120,0,10.15,10.15,10.15,10.15,1000,10.15
20131119,0,10.4,10.4,10.3,10.4,1200,10.4
20131118,0,9.9,10.64,9.9,10.46,4900,10.46
20131115,0,9.81,9.99,9.75,9.99,5100,9.99
20131114,0,9.6,9.64,9.6,9.61,300,9.61
20131113,0,9.81,9.81,9.81,9.81,0,9.81
20131112,0,9.8,9.81,9.7,9.81,1200,9.81
20131111,0,9.8,9.8,9.79,9.8,2500,9.8
20131108,0,9.53,9.72,9.53,9.72,5800,9.72
20131107,0,9.31,9.52,9.31,9.35,3200,9.35
20131106,0,9.48,9.48,9.48,9.48,0,9.48
20131105,0,9.69,9.85,9.48,9.48,4700,9.48
20131104,0,9.4,10,9.4,9.89,10300,9.89
20131101,0,8.85,9.02,8.85,9.02,2900,9.02
20131031,0,8.85,8.85,8.85,8.85,0,8.85
20131030,0,8.97,8.97,8.97,8.97,0,8.97
20131029,0,8.6,8.97,8.6,8.97,1400,8.97
20131028,0,8.42,8.42,8.42,8.42,0,8.42
20131025,0,8.35,8.42,8.23,8.42,4500,8.42
20131024,0,8.3,8.3,8.3,8.3,0,8.3
20131023,0,8.3,8.3,8.3,8.3,0,8.3
20131022,0,8.28,8.3,8.28,8.3,100,8.3
20131021,0,8.23,8.23,8.14,8.14,700,8.14
