date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,68.97,72.08,68.97,72.02,1524800,70.75
20140113,0,69.48,70.18,68.8,68.96,851300,67.74
20140110,0,69.71,70.07,68.27,69.48,974700,68.25
20140109,0,70.64,71,68.92,69.62,838200,68.39
20140108,0,70.58,72.66,69.89,70.33,1540400,69.09
20140107,0,69.46,71.34,69.06,70.69,1975200,69.44
20140106,0,68.19,70.79,68.19,69.21,1721300,67.99
20140103,0,67.94,68.85,67.12,68.42,892100,67.21
20140102,0,68.23,68.61,67.41,67.93,845900,66.73
20131231,0,68.47,69.72,68.33,68.65,763700,67.44
20131230,0,67.84,68.46,67.52,68.46,884700,67.25
20131227,0,67.4,67.91,67,67.83,835800,66.63
20131226,0,68,68.45,67.37,67.5,754800,66.31
20131224,0,68.69,68.81,67.33,67.73,615600,66.53
20131223,0,69.07,69.07,67.08,68.76,1745500,67.55
20131220,0,67.75,69.23,65.9,67.15,4303400,65.96
20131219,0,64.1,70.44,63.75,68.49,8415200,67.28
20131218,0,58.84,60.21,58.54,60.09,825600,59.03
20131217,0,59.99,60.29,58.63,59.05,1010800,58.01
20131216,0,60.19,60.78,59.95,60.33,640800,59.27
20131213,0,59.05,60.24,58.53,59.85,1202000,58.79
20131212,0,58.9,59.31,58.4,58.44,681400,57.41
20131211,0,59.49,59.51,58.68,58.88,986600,57.84
20131210,0,57.91,59.54,57.64,59.31,1586200,58.26
20131209,0,56.52,57.67,56.28,57.64,979200,56.62
20131206,0,56.37,56.58,56.17,56.26,663900,55.27
20131205,0,56.5,57.13,55.76,56.06,1054000,55.07
20131204,0,56.56,57.15,56.46,56.78,1207900,55.78
20131203,0,56.72,57.24,56.71,57.06,1265800,56.05
20131202,0,57,57.76,56.91,57.12,796800,56.11
20131129,0,56.55,57.28,56.27,57.21,511900,56.2
20131127,0,55.77,56.3,55.77,56.23,802700,55.24
20131126,0,55.64,55.97,54.99,55.85,1253400,54.86
20131125,0,56.64,56.93,55.66,55.75,911600,54.77
20131122,0,56.27,56.67,56.2,56.54,1010200,55.54
20131121,0,55.94,56.4,55.47,56.25,778800,55.26
20131120,0,56.4,56.42,55.57,55.67,803900,54.69
20131119,0,56.06,56.2,55.69,55.88,1038300,54.89
20131118,0,57.69,57.94,56.03,56.29,1505700,55.3
20131115,0,58.24,58.25,57.49,57.69,1199200,56.67
20131114,0,57.19,58.47,57.19,58.24,2226900,57.21
20131113,0,57.2,57.85,56.62,57.43,1574100,56.42
20131112,0,56.93,58.2,56.71,57.97,1758200,56.71
20131111,0,54.85,56.98,54.76,56.93,1505200,55.69
20131108,0,55.05,55.74,54.09,54.99,1031600,53.8
20131107,0,55.25,55.44,54.23,55.05,948900,53.85
20131106,0,56.06,56.12,55.13,55.17,1246700,53.97
20131105,0,55.68,55.9,54.39,55.4,2342300,54.2
20131104,0,54.79,56.52,54.5,55.68,1490400,54.47
20131101,0,53.56,54.98,53.48,54.55,1902000,53.37
20131031,0,52.8,53.45,52.75,53.39,1407900,52.23
20131030,0,51,53.59,50.14,52.99,11170100,51.84
20131029,0,57.42,58.06,57.15,57.9,2050200,56.64
20131028,0,56.3,57.05,55.79,57.02,945000,55.78
20131025,0,56.82,56.96,55.97,56.29,856100,55.07
20131024,0,55.95,57,55.8,56.6,1031100,55.37
20131023,0,55.41,55.86,55.16,55.77,761200,54.56
20131022,0,55.31,55.87,54.8,55.6,979200,54.39
20131021,0,52.09,55.81,52.09,55.08,1061700,53.88
20131018,0,54.53,54.8,53.82,54.33,1326100,53.15
20131017,0,54.76,54.81,54.06,54.71,726600,53.52
20131016,0,54.68,55.16,54.36,54.9,476500,53.71
20131015,0,54.87,55.29,54.16,54.52,680800,53.34
20131014,0,55.48,55.79,54.78,55.04,766600,53.84
20131011,0,54.65,55.8,54.65,55.63,589700,54.42
20131010,0,53.49,55.06,53.44,54.91,895200,53.72
20131009,0,53.14,53.63,52.5,53.14,978800,51.99
20131008,0,55.1,55.51,53.25,53.27,1237200,52.11
20131007,0,55,55.49,54.55,55.07,750000,53.87
20131004,0,54.75,55.56,54.6,55.26,581000,54.06
20131003,0,55.65,56,54.63,54.78,924400,53.59
20131002,0,54.64,56.49,54.6,55.65,1524700,54.44
20131001,0,54.48,55.23,54.46,54.84,715600,53.65
20130930,0,53.15,54.71,53.15,54.67,651000,53.48
20130927,0,54.49,54.62,54.21,54.52,730900,53.34
20130926,0,54.22,54.71,53.99,54.69,551900,53.5
20130925,0,54,54.26,53.56,54.15,620500,52.97
20130924,0,53.62,54.34,53.22,53.91,551300,52.74
20130923,0,53.42,53.54,53.03,53.48,604400,52.32
20130920,0,52.3,53.65,51.5,53.4,1687100,52.24
20130919,0,53.71,54.01,53.39,53.64,683400,52.48
20130918,0,53.7,54.05,52.64,53.28,649500,52.12
20130917,0,52.62,53.69,52.5,53.62,562800,52.46
20130916,0,53.8,54.25,53.28,53.4,542100,52.24
20130913,0,53.31,53.71,53.07,53.11,357600,51.96
20130912,0,53.06,53.25,52.68,53.15,394500,52
20130911,0,52.59,53.18,52.19,53.16,651500,52.01
20130910,0,52.51,53.09,52.34,52.73,668600,51.58
20130909,0,51.21,52.76,51.07,52.36,1142900,51.22
20130906,0,51.39,52.2,51.06,51.91,821400,50.78
20130905,0,50.88,51.82,50.8,51.75,805000,50.63
20130904,0,49.92,50.78,49.84,50.77,641800,49.67
20130903,0,49.69,49.91,49.15,49.71,504400,48.63
20130830,0,49.66,49.85,49.09,49.09,404900,48.02
20130829,0,49.7,50.03,49.49,49.52,437600,48.44
20130828,0,49.08,49.85,49.03,49.64,452900,48.56
20130827,0,49.98,50.14,49.13,49.25,394700,48.18
20130826,0,50.73,50.93,50.14,50.29,441800,49.2
20130823,0,50.42,50.64,49.82,50.6,530200,49.5
20130822,0,49.82,50.43,49.66,50.05,357000,48.96
20130821,0,50.62,50.71,49.61,49.73,556900,48.65
20130820,0,50.25,51.07,50.11,50.84,934200,49.74
20130819,0,50,50.72,49.91,50.15,874000,49.06
20130816,0,50.41,50.72,49.8,49.99,874400,48.9
20130815,0,49.38,50.39,49.06,50.25,1011500,49.16
20130814,0,49.93,50.23,49.75,49.92,600000,48.84
20130813,0,50.11,50.48,49.79,50.18,549200,49.09
20130812,0,50.31,50.47,50.01,50.16,550400,48.84
20130809,0,50.2,50.75,50.06,50.4,543600,49.07
20130808,0,49.98,50.33,49.7,50.3,573400,48.97
20130807,0,50.16,50.37,49.55,49.87,1023800,48.55
20130806,0,50.55,50.81,50,50.23,795400,48.9
20130805,0,49.88,50.85,49.8,50.55,960500,49.22
20130802,0,49.99,50.24,49.43,49.72,1124900,48.41
20130801,0,51.1,51.43,49.68,49.9,3483400,48.58
20130731,0,52.95,53.31,48.65,50.61,3688000,49.27
20130730,0,52.14,52.75,51.83,52.63,1976600,51.24
20130729,0,51.87,51.96,51.08,51.78,1250700,50.41
20130726,0,51.43,52.36,51.25,51.9,1073400,50.53
20130725,0,51.48,51.83,51.25,51.42,813100,50.06
20130724,0,52.25,52.25,51.4,51.51,873900,50.15
20130723,0,52.04,52.35,51.51,51.96,680000,50.59
20130722,0,52.46,52.46,51.51,51.94,669800,50.57
20130719,0,52.4,52.54,51.82,52.2,1092100,50.82
20130718,0,52.4,53.06,51.92,52.57,1517500,51.18
20130717,0,51,52.05,50.79,52.03,785100,50.66
20130716,0,51.24,51.27,50.64,50.84,897200,49.5
20130715,0,51.05,51.57,50.69,51.32,843100,49.97
20130712,0,50.79,51.21,50.52,51.03,727200,49.68
20130711,0,50.54,50.89,50.12,50.74,1050400,49.4
20130710,0,48.73,49.91,48.5,49.87,1451500,48.55
20130709,0,48.72,49.07,48.55,48.91,1420600,47.62
20130708,0,47.87,48.54,47.78,48.4,1011300,47.12
20130705,0,47.05,47.63,46.66,47.59,844900,46.33
20130703,0,46.86,47.16,46.48,46.72,530800,45.49
20130702,0,47.63,48.34,46.77,47.13,1717600,45.89
20130701,0,47.97,48.29,47.45,47.54,636400,46.29
20130628,0,47.26,48.09,47.2,47.58,2130800,46.32
20130627,0,47.45,48.47,47.45,47.6,941100,46.34
20130626,0,47.82,47.83,46.52,47.28,907000,46.03
20130625,0,47.43,47.76,46.84,46.96,1064600,45.72
20130624,0,46.9,47.19,46.31,46.77,1116200,45.54
20130621,0,47.59,47.94,46.85,47.32,1248000,46.07
20130620,0,48.74,48.8,47.11,47.32,1446400,46.07
20130619,0,49.81,50.19,48.96,49,923900,47.71
20130618,0,49.35,50.45,49.31,49.7,1253800,48.39
20130617,0,49.68,50.2,49.37,49.39,808500,48.09
20130614,0,49.93,49.93,49.06,49.21,657900,47.91
20130613,0,49.17,50.14,48.87,49.7,962200,48.39
20130612,0,49.96,50.53,48.99,49.07,742300,47.77
20130611,0,49.76,50.38,49.42,49.78,731700,48.47
20130610,0,49.95,50.57,49.44,50.18,919200,48.86
20130607,0,49.32,49.99,48.81,49.94,618700,48.62
20130606,0,48.11,48.92,48.11,48.91,1165300,47.62
20130605,0,48.15,48.91,48.08,48.15,833200,46.88
20130604,0,48.16,49.02,47.99,48.28,693200,47.01
20130603,0,48.46,48.69,47.72,48.21,1306700,46.94
20130531,0,49.52,49.82,48.46,48.48,1477900,47.2
20130530,0,49.67,50.75,49.37,49.45,1281300,48.14
20130529,0,50.65,50.7,49.21,49.49,1219900,48.18
20130528,0,50.87,51.24,50.44,50.68,571300,49.34
20130524,0,50.97,51.14,50.5,50.73,695200,49.39
20130523,0,50.07,51.41,49.87,51.38,1159600,50.02
20130522,0,51.03,51.56,50.11,50.47,806000,49.14
20130521,0,51.2,51.74,50.85,51.32,1049500,49.97
20130520,0,51.26,51.29,50.65,50.88,881600,49.54
20130517,0,50.95,51.5,50.87,51.25,1130000,49.9
20130516,0,51.86,52.27,50.64,50.95,1497500,49.6
20130515,0,50.1,51.82,50,51.36,1529400,50
20130514,0,48.93,50.5,48.77,50.22,2519800,48.89
20130513,0,48.68,49.15,48.57,48.77,584300,47.48
20130510,0,48.68,49.26,48.55,48.88,1817600,47.36
20130509,0,48.99,49.31,48.38,48.78,1008200,47.26
20130508,0,48.98,49.41,48.67,49.2,800600,47.67
20130507,0,49.25,49.6,48.95,49.2,799500,47.67
20130506,0,48.5,49.45,48.4,49.26,1127800,47.72
20130503,0,47.56,48.5,47.37,48.22,1556500,46.72
20130502,0,47.8,48.06,47.06,47.06,1120800,45.59
20130501,0,45.71,50.24,45.67,47.57,2723200,46.09
20130430,0,45.83,47.15,45.51,47.07,1545200,45.6
20130429,0,46.38,46.58,45.59,45.71,1135400,44.28
20130426,0,46.62,46.62,45.98,46.1,905500,44.66
20130425,0,45.76,46.79,45.61,46.76,841900,45.3
20130424,0,44.59,45.63,44.59,45.62,748200,44.2
20130423,0,44.53,44.82,44.18,44.78,494200,43.38
20130422,0,43.96,44.38,43.34,44.25,600000,42.87
20130419,0,43.74,44.03,43.5,43.87,704700,42.5
20130418,0,44.17,44.36,43.3,43.7,983200,42.34
20130417,0,44.5,44.8,43.87,44.25,763000,42.87
20130416,0,44.51,44.91,44.17,44.91,726000,43.51
20130415,0,44.19,44.38,43.94,44.12,744400,42.74
20130412,0,44.3,44.62,43.96,44.3,2082800,42.92
20130411,0,45.74,45.85,44.31,44.35,2565500,42.97
20130410,0,44.56,46.09,44.45,45.88,1362000,44.45
20130409,0,44.3,44.78,44.1,44.5,766700,43.11
20130408,0,44.42,44.56,43.93,44.3,585500,42.92
20130405,0,43.89,44.73,43.82,44.44,551500,43.05
20130404,0,44.6,44.63,44.27,44.57,899600,43.18
20130403,0,44.9,45.39,44.33,44.72,1284700,43.33
20130402,0,44.86,45.59,44.5,45.1,1054100,43.69
20130401,0,44.5,44.9,43.84,43.9,1181400,42.53
20130328,0,43.94,44.79,43.87,44.68,811900,43.29
20130327,0,43.9,44.28,43.85,43.9,1034600,42.53
20130326,0,44.61,44.68,44.07,44.32,726900,42.94
20130325,0,44.29,44.33,43.92,44.25,690600,42.87
20130322,0,43.84,44.49,43.72,44.09,746200,42.72
20130321,0,43.64,44.08,43.64,43.7,820900,42.34
20130320,0,43.17,44.24,43.15,44.08,931800,42.71
20130319,0,43.11,43.44,42.51,42.99,547900,41.65
20130318,0,42.7,43.36,42.5,43.09,541700,41.75
20130315,0,43.39,43.95,43.09,43.19,1248400,41.84
20130314,0,43.48,43.68,43.19,43.52,990200,42.16
20130313,0,43.48,43.65,43.12,43.41,685900,42.06
20130312,0,43.43,43.7,43.13,43.48,817100,42.12
20130311,0,43.18,43.65,42.97,43.6,1599800,42.24
20130308,0,42.76,43.63,42.76,43.57,1405200,42.21
20130307,0,42.38,42.79,42.08,42.75,2444600,41.42
20130306,0,42.66,42.84,42.18,42.3,1432800,40.98
20130305,0,41.25,42.75,40.77,42.61,2165200,41.28
20130304,0,41.1,41.5,40.54,40.99,1245600,39.71
20130301,0,40.64,41.35,40.49,41.24,1405000,39.95
20130228,0,40.89,41.06,40.04,40.75,1530600,39.48
20130227,0,40.72,41.14,40.6,40.86,1389200,39.59
20130226,0,41.17,41.35,40.57,40.93,1545400,39.65
20130225,0,41.87,42.19,41.12,41.17,2172600,39.89
20130222,0,41.93,42.1,41.56,41.87,1602700,40.56
20130221,0,41.4,41.79,40.94,41.57,1205000,40.27
20130220,0,41.87,41.98,41.48,41.57,1017200,40.27
20130219,0,41.76,41.9,41.13,41.89,2170700,40.58
20130215,0,41.49,42.01,41.21,41.7,1915600,40.4
20130214,0,42.41,42.48,41.52,41.57,1698600,40.27
20130213,0,42.52,42.66,42.21,42.52,1657800,41.19
20130212,0,43.29,43.35,42.4,42.83,2414500,41.26
20130211,0,43.92,43.99,43.29,43.5,1999200,41.91
20130208,0,43.79,44.22,41.6,43.72,2669800,42.12
20130207,0,43.57,44.72,43.24,43.87,3251200,42.26
