Date,Open,High,Low,Close,Volume,Adj Close
2013-09-27,54.19,54.29,53.59,54.00,226300,54.00
2013-09-26,55.59,55.59,53.99,54.02,225500,54.02
2013-09-25,54.50,56.73,54.46,55.35,188500,55.35
2013-09-24,54.87,55.29,54.39,54.47,197600,54.47
2013-09-23,55.47,55.85,54.86,54.86,166700,54.86
2013-09-20,55.79,56.23,55.29,55.41,250400,55.41
2013-09-19,56.35,56.89,55.79,55.79,181400,55.79
2013-09-18,56.69,56.75,55.76,56.01,142000,56.01
2013-09-17,56.99,56.99,56.51,56.67,121800,56.67
2013-09-16,57.69,57.86,56.80,56.99,164300,56.99
2013-09-13,57.09,58.09,56.79,57.21,174900,57.21
2013-09-12,57.19,57.70,56.95,57.19,118800,57.19
2013-09-11,56.79,57.76,56.59,56.88,115200,56.88
2013-09-10,56.69,57.49,56.59,56.71,215700,56.71
2013-09-09,56.79,57.09,56.25,56.56,173600,56.56
2013-09-06,56.92,56.99,55.89,56.68,205100,56.68
2013-09-05,57.00,57.71,56.75,56.86,291900,56.86
2013-09-04,56.55,57.40,56.04,56.75,424900,56.75
2013-09-03,54.29,54.59,53.69,54.05,184000,54.05
2013-09-02,52.99,54.66,52.98,54.29,145000,54.29
2013-08-30,54.03,54.09,52.67,52.80,240900,52.80
2013-08-29,54.24,55.37,53.96,54.21,466000,54.21
2013-08-28,53.65,54.48,52.93,54.19,284900,54.19
2013-08-27,55.81,55.81,53.73,53.99,197900,53.99
2013-08-26,56.95,56.95,55.49,55.91,74500,55.91
2013-08-23,56.74,57.27,56.29,56.78,81300,56.78
2013-08-22,56.78,57.41,56.62,56.85,112300,56.85
2013-08-21,56.73,57.11,56.64,56.78,95700,56.78
2013-08-20,56.56,56.86,55.80,56.75,118800,56.75
2013-08-19,57.18,57.59,56.33,56.79,174100,56.79
2013-08-16,56.65,57.06,56.55,56.98,96500,56.98
2013-08-15,57.39,57.44,56.87,56.93,94900,56.93
2013-08-14,56.96,57.69,56.60,57.36,118100,57.36
2013-08-13,56.95,57.27,56.50,57.13,150300,57.13
2013-08-12,57.03,57.20,56.00,56.64,108000,56.64
2013-08-09,57.09,57.16,55.89,56.68,186600,56.68
2013-08-08,56.91,57.25,56.75,57.05,152300,57.05
2013-08-07,56.89,57.10,55.89,56.93,196000,56.93
2013-08-06,57.49,57.89,56.71,57.03,159400,57.03
2013-08-05,57.00,57.67,56.72,57.52,182600,57.52
2013-08-02,58.00,58.00,56.79,57.14,139300,57.14
2013-08-01,56.90,58.09,56.59,57.44,398300,57.44
2013-07-31,55.91,57.00,54.75,56.21,629800,56.21
2013-07-30,55.19,55.43,54.69,55.43,167100,55.43
2013-07-29,54.45,55.13,53.91,55.13,230200,55.13
2013-07-26,54.89,55.08,54.09,54.27,56100,54.27
2013-07-25,54.66,55.17,54.07,54.82,143300,54.82
2013-07-24,54.70,54.92,54.32,54.64,99100,54.64
2013-07-23,54.99,54.99,54.58,54.67,121600,54.67
2013-07-22,54.87,54.99,54.02,54.92,174300,54.92
2013-07-19,54.49,55.00,54.29,54.90,179900,54.90
2013-07-18,53.65,54.63,53.59,54.63,274700,54.63
2013-07-17,53.66,53.95,52.12,53.67,217100,53.67
2013-07-16,53.69,53.69,52.41,53.61,235300,53.61
2013-07-15,53.80,54.05,53.40,53.78,101200,53.78
2013-07-12,53.42,54.04,53.30,53.80,147900,53.80
2013-07-11,53.31,53.89,53.20,53.44,176600,53.44
2013-07-10,53.59,54.09,52.70,53.12,118700,53.12
2013-07-09,53.94,54.40,53.29,53.62,151000,53.62
2013-07-08,52.43,53.88,52.43,53.88,143600,53.88
2013-07-05,53.17,53.17,52.04,52.24,139300,52.24
2013-07-04,51.89,53.10,51.89,52.99,85600,52.99
2013-07-03,51.38,51.83,50.84,51.83,161300,51.83
2013-07-02,52.06,52.09,51.32,51.40,123500,51.40
2013-07-01,51.23,52.19,51.23,51.91,143900,51.91
2013-06-28,51.93,52.22,51.12,51.20,146600,51.20
2013-06-27,51.37,52.34,50.60,51.93,159000,51.93
2013-06-26,50.75,51.89,50.67,51.30,170200,51.30
2013-06-25,50.48,50.83,50.07,50.67,210700,50.67
2013-06-24,51.74,51.86,50.31,50.51,164000,50.51
2013-06-21,52.57,54.85,51.62,52.16,285500,52.16
2013-06-20,53.09,53.09,51.79,52.25,138400,52.25
2013-06-19,53.86,54.12,53.02,53.62,153600,53.62
2013-06-18,52.68,54.80,52.65,53.49,393300,53.49
2013-06-17,51.59,52.49,51.50,52.33,80800,52.33
2013-06-14,51.42,51.79,51.13,51.44,104300,51.44
