date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,24,24.3,23.87,24.2,789400,24.2
20140113,0,24.76,25.02,23.98,24.01,978400,24.01
20140110,0,24.97,24.97,24.52,24.63,420000,24.63
20140109,0,25,25.16,24.39,24.8,417800,24.8
20140108,0,24.47,25.16,24.4,25.06,439200,25.06
20140107,0,24.16,24.48,24.05,24.35,221300,24.35
20140106,0,24.01,24.23,23.96,24.02,367900,24.02
20140103,0,23.91,24.37,23.83,24.05,313700,24.05
20140102,0,23.44,24.08,23.44,23.92,453000,23.92
20131231,0,23.09,23.69,23.02,23.61,240000,23.61
20131230,0,22.95,23.25,22.68,23.18,145500,23.18
20131227,0,22.78,23,22.39,22.8,190200,22.8
20131226,0,22.68,23.06,22.45,22.71,221700,22.71
20131224,0,22.3,22.68,22.19,22.55,35200,22.55
20131223,0,22.45,22.47,22.21,22.32,124500,22.32
20131220,0,21.9,22.41,21.9,22.38,200700,22.38
20131219,0,22.23,22.3,21.9,21.96,136300,21.96
20131218,0,22.09,22.32,21.95,22.3,170300,22.3
20131217,0,22.06,22.17,21.93,22.06,483100,22.06
20131216,0,21.48,22.08,21.14,22.02,541000,22.02
20131213,0,20.75,21.46,20.67,21.46,254500,21.46
20131212,0,21.04,21.04,20.56,20.67,144600,20.67
20131211,0,21.45,21.5,20.85,20.99,234600,20.99
20131210,0,20.78,21.56,20.6,21.4,282600,21.4
20131209,0,21.27,21.27,20.77,20.83,311600,20.83
20131206,0,21.4,21.48,21.07,21.2,409200,21.2
20131205,0,21.53,21.7,21.25,21.29,249700,21.29
20131204,0,21.72,21.73,21.3,21.57,276800,21.57
20131203,0,22.33,22.55,21.75,21.75,337800,21.75
20131202,0,22.5,22.81,22.31,22.31,220100,22.31
20131129,0,22.09,22.57,22.01,22.51,76100,22.51
20131127,0,22.13,22.13,21.83,21.98,225800,21.98
20131126,0,22.44,22.44,22.13,22.14,316200,22.14
20131125,0,22.49,22.61,22.32,22.36,248800,22.36
20131122,0,23.53,23.53,22.46,22.5,390000,22.5
20131121,0,23.28,23.58,23.14,23.45,163200,23.45
20131120,0,23.23,23.29,23.04,23.22,204300,23.22
20131119,0,23.06,23.35,23,23.2,225200,23.2
20131118,0,22.41,23.28,22.41,23.09,316400,23.09
20131115,0,22.88,23.54,22.28,22.43,830200,22.43
20131114,0,22.74,23.15,22.74,22.88,237100,22.88
20131113,0,23.25,23.44,22.76,22.76,438200,22.76
20131112,0,23.58,23.69,23.23,23.25,296700,23.25
20131111,0,23.28,23.75,23.28,23.61,177500,23.61
20131108,0,23.29,23.31,22.91,23.31,1050700,23.31
20131107,0,22.74,23.49,22.65,23.3,372100,23.3
20131106,0,22.65,23.48,22.43,22.75,482500,22.75
20131105,0,22.4,22.4,22.03,22.04,604300,22.04
20131104,0,22.65,22.79,22.32,22.4,606700,22.4
20131101,0,22.44,22.93,22.4,22.46,332400,22.46
20131031,0,22.6,22.92,22.45,22.46,196700,22.46
20131030,0,22.72,22.94,22.55,22.61,195700,22.61
20131029,0,22.76,22.99,22.63,22.75,218700,22.75
20131028,0,22.92,23.07,22.57,22.78,210800,22.78
20131025,0,23.11,23.15,22.74,22.96,158800,22.96
20131024,0,23.35,23.45,23.12,23.15,731800,23.15
20131023,0,23.18,23.33,22.81,22.85,277800,22.85
20131022,0,23.47,23.6,23.16,23.31,219400,23.31
20131021,0,23.24,23.56,23.24,23.48,199800,23.48
20131018,0,23.1,23.34,23.08,23.25,192500,23.25
20131017,0,23.24,23.35,23.02,23.15,60300,23.15
20131016,0,23.01,23.43,22.94,23.37,178000,23.37
20131015,0,23.34,23.34,22.96,22.99,177500,22.99
20131014,0,22.97,23.35,22.87,23.34,220500,23.34
20131011,0,23.36,23.36,22.91,23.16,215300,23.16
20131010,0,23.5,23.5,23.15,23.46,370200,23.46
20131009,0,23.16,23.4,22.82,23.21,312800,23.21
20131008,0,23.25,23.4,22.95,23.14,709100,23.14
20131007,0,22.81,24.27,22.7,23.16,676800,23.16
20131004,0,22.57,22.94,22.36,22.76,653500,22.76
20131003,0,22.95,23.03,22.44,22.52,363000,22.52
20131002,0,22.14,22.94,22.11,22.94,344700,22.94
20131001,0,22.23,22.45,21.98,22.26,721300,22.26
20130930,0,22.29,22.4,21.98,22.24,340600,22.24
20130927,0,22.34,22.5,22.04,22.49,243100,22.49
20130926,0,23.01,23.02,22.18,22.47,640800,22.47
20130925,0,23.49,23.49,22.85,22.9,350500,22.9
20130924,0,23.66,23.88,23.37,23.52,447700,23.52
20130923,0,23.78,23.85,23.41,23.72,488600,23.72
20130920,0,23.85,23.89,23.4,23.78,325400,23.78
20130919,0,23.92,24.02,23.76,23.79,143700,23.79
20130918,0,23.71,23.92,23.43,23.92,371900,23.92
20130917,0,23.59,23.95,23.56,23.77,305300,23.77
20130916,0,23.25,23.98,23.07,23.52,432000,23.52
20130913,0,23.1,23.21,22.75,23.15,281500,23.15
20130912,0,23.16,23.24,22.7,22.99,426400,22.99
20130911,0,23.14,23.42,22.97,23.09,234600,23.09
20130910,0,22.61,23.35,22.46,23.2,437700,23.2
20130909,0,22.3,22.67,22.18,22.41,490300,22.41
20130906,0,23,23.08,21.99,22.39,957100,22.39
20130905,0,23.47,23.68,23.31,23.51,208800,23.51
20130904,0,23.96,24.01,23.4,23.4,536500,23.4
20130903,0,24.12,24.28,23.83,23.94,195000,23.94
20130830,0,24.02,24.36,23.81,23.93,193700,23.93
20130829,0,23.74,24.06,23.74,23.93,150500,23.93
20130828,0,23.74,24.01,23.63,23.79,331300,23.79
20130827,0,23.77,24.03,23.67,23.82,288500,23.82
20130826,0,24.37,24.47,24.08,24.1,166000,24.1
20130823,0,24.25,24.6,24.13,24.43,169000,24.43
20130822,0,24.06,24.26,23.92,24.16,123800,24.16
20130821,0,23.99,24.46,23.91,24.02,286300,24.02
20130820,0,23.9,24.04,23.77,23.98,346200,23.98
20130819,0,23.45,23.99,23.38,23.9,566800,23.9
20130816,0,23.38,23.59,23.33,23.5,416900,23.5
20130815,0,23.68,23.86,23.32,23.47,357500,23.47
20130814,0,24.06,24.43,23.83,23.94,308700,23.94
20130813,0,23.86,24.72,23.31,24.26,534100,24.26
20130812,0,23.49,24.01,23.23,23.97,307000,23.97
20130809,0,23,23.6,22.92,23.43,369300,23.43
20130808,0,23.75,24.06,23,23.3,1178900,23.3
20130807,0,24.88,25.45,23.68,24.15,626600,24.15
20130806,0,25.29,25.58,24.96,25.03,469300,25.03
20130805,0,25.34,25.49,24.92,25.27,417200,25.27
20130802,0,25.91,25.91,25.38,25.51,307300,25.51
20130801,0,25.35,25.97,24.72,25.93,894000,25.93
20130731,0,25.4,25.69,25.13,25.17,335600,25.17
20130730,0,25.58,25.9,25.07,25.5,356000,25.5
20130729,0,26.12,26.29,25.69,25.73,264000,25.73
20130726,0,26.09,26.53,26,26.23,194800,26.23
20130725,0,26.49,26.49,25.72,26.09,310800,26.09
20130724,0,27,27.15,26.44,26.6,172600,26.6
20130723,0,26.95,27.07,26.8,26.9,121700,26.9
20130722,0,27.19,27.19,26.68,26.86,139600,26.86
20130719,0,27,27.2,26.89,27.15,186300,27.15
20130718,0,27.15,27.41,27,27.11,167000,27.11
20130717,0,27.33,27.33,26.44,27.03,160000,27.03
20130716,0,27.35,27.38,27.12,27.29,246100,27.29
20130715,0,27.39,27.43,27.18,27.29,91500,27.29
20130712,0,27,27.34,26.87,27.32,319700,27.32
20130711,0,27.06,27.34,26.84,27,152600,27
20130710,0,26.16,26.73,26.09,26.64,218200,26.64
20130709,0,26.77,26.78,25.86,26.2,375600,26.2
20130708,0,26.42,26.5,26.08,26.45,229100,26.45
20130705,0,26.05,26.35,26,26.31,151400,26.31
20130703,0,25.97,26.23,25.68,26,132600,26
20130702,0,26.45,26.73,26.01,26.11,172800,26.11
20130701,0,26.43,27.1,26.18,26.45,527000,26.45
20130628,0,26.24,26.54,26.03,26.13,294400,26.13
20130627,0,25.66,26.37,25.48,26.33,204700,26.33
20130626,0,24.96,25.75,24.74,25.41,153100,25.41
20130625,0,24.61,25.16,24.33,24.8,651000,24.8
20130624,0,24.42,24.44,24.05,24.3,301400,24.3
20130621,0,25.18,25.4,24.37,24.69,414900,24.69
20130620,0,26.11,26.21,24.94,25.05,249000,25.05
20130619,0,26.9,26.97,26.34,26.37,148700,26.37
20130618,0,26.6,26.8,26.46,26.75,294000,26.75
20130617,0,26.63,26.9,26.25,26.54,249300,26.54
20130614,0,26.25,26.43,26.1,26.23,145500,26.23
20130613,0,26.79,27.03,26.19,26.37,237400,26.37
20130612,0,26.77,27.45,26.56,26.87,1146700,26.87
20130611,0,26.54,26.77,26.27,26.67,381400,26.67
20130610,0,27.45,27.45,26.65,26.83,356000,26.83
20130607,0,27.16,27.51,26.71,27.28,501100,27.28
20130606,0,26.52,27.02,26.36,26.96,126000,26.96
20130605,0,26.45,26.64,26.27,26.49,308600,26.49
20130604,0,27.2,27.35,26.41,26.46,435400,26.46
20130603,0,27.43,27.58,27.16,27.33,466000,27.33
20130531,0,27.1,27.49,26.98,27.45,216400,27.45
20130530,0,27.17,27.39,27.02,27.25,119900,27.25
20130529,0,26.79,27.4,26.63,27.17,224200,27.17
20130528,0,26.96,27.12,26.77,27,168200,27
20130524,0,26.39,26.85,26.23,26.75,365300,26.75
20130523,0,26.4,26.71,26.11,26.59,328000,26.59
20130522,0,26.77,27.28,26.48,26.84,485000,26.84
20130521,0,27.63,27.64,27.3,27.47,278700,27.47
20130520,0,27.28,27.48,27.12,27.47,240900,27.47
20130517,0,27.61,27.68,26.95,27.27,512600,27.27
20130516,0,26.42,27.98,25.89,27.67,1064400,27.67
20130515,0,25.6,25.88,25.35,25.56,491300,25.56
20130514,0,25,25.65,25,25.61,350600,25.61
20130513,0,25.51,25.8,24.76,24.93,564400,24.93
20130510,0,25,25.52,24.96,25.48,198900,25.48
20130509,0,26.1,26.1,24.92,25.04,226100,25.04
20130508,0,25.48,25.93,24.36,25.82,451300,25.82
20130507,0,25.98,25.98,25.4,25.51,282800,25.51
20130506,0,25.41,25.9,25.41,25.86,193400,25.86
20130503,0,25.21,25.52,24.96,25.41,292700,25.41
20130502,0,25.1,25.31,24.78,24.98,327800,24.98
20130501,0,25.08,25.28,24.89,25.08,313600,25.08
20130430,0,25.01,25.06,24.59,25.03,402800,25.03
20130429,0,24.39,25.07,24.39,24.97,281200,24.97
20130426,0,24.51,24.7,24.37,24.38,186000,24.38
20130425,0,23.5,24.6,23.5,24.49,543600,24.49
20130424,0,23.87,23.97,23.31,23.38,483600,23.38
20130423,0,23.5,23.93,23.42,23.9,291300,23.9
20130422,0,23.48,23.61,23.15,23.39,175700,23.39
20130419,0,23.4,23.6,23.32,23.47,152000,23.47
20130418,0,23.63,23.73,23.33,23.37,283800,23.37
