date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,0.01,0.01,0.01,0.01,0,0.01
20140113,0,0.01,0.01,0.01,0.01,102200,0.01
20140110,0,0.01,0.01,0.01,0.01,11000,0.01
20140109,0,0.01,0.01,0.01,0.01,0,0.01
20140108,0,0.01,0.01,0.01,0.01,0,0.01
20140107,0,0.01,0.01,0.01,0.01,45000,0.01
20140106,0,0.01,0.01,0.01,0.01,0,0.01
20140103,0,0,0.01,0,0.01,17000,0.01
20140102,0,0.01,0.01,0,0,111000,0
20140101,0,0,0,0,0,0,0
20131231,0,0.01,0.01,0,0,531000,0
20131230,0,0.01,0.01,0.01,0.01,458500,0.01
20131227,0,0,0,0,0,180200,0
20131226,0,0.01,0.01,0.01,0.01,25000,0.01
20131225,0,0.01,0.01,0.01,0.01,0,0.01
20131224,0,0.01,0.01,0.01,0.01,0,0.01
20131223,0,0,0.01,0,0.01,18000,0.01
20131220,0,0.01,0.01,0,0,1019600,0
20131219,0,0,0,0,0,1187200,0
20131218,0,0.01,0.01,0,0,290500,0
20131217,0,0.01,0.01,0.01,0.01,101200,0.01
20131216,0,0.01,0.01,0.01,0.01,0,0.01
20131213,0,0.01,0.01,0.01,0.01,0,0.01
20131212,0,0.01,0.01,0.01,0.01,63500,0.01
20131211,0,0.01,0.01,0.01,0.01,0,0.01
20131210,0,0.01,0.01,0.01,0.01,320700,0.01
20131209,0,0.01,0.01,0.01,0.01,56900,0.01
20131206,0,0.01,0.01,0.01,0.01,10000,0.01
20131205,0,0.01,0.01,0.01,0.01,30000,0.01
20131204,0,0.01,0.01,0.01,0.01,0,0.01
20131203,0,0.01,0.01,0.01,0.01,102000,0.01
20131202,0,0.01,0.01,0.01,0.01,203500,0.01
20131129,0,0.01,0.01,0.01,0.01,0,0.01
20131128,0,0.01,0.01,0.01,0.01,0,0.01
20131127,0,0.01,0.01,0.01,0.01,105000,0.01
20131126,0,0.01,0.01,0.01,0.01,3300,0.01
20131125,0,0.01,0.01,0.01,0.01,1500,0.01
20131122,0,0.01,0.01,0.01,0.01,536400,0.01
20131121,0,0.01,0.01,0.01,0.01,4300,0.01
20131120,0,0.01,0.01,0.01,0.01,0,0.01
20131119,0,0.01,0.01,0.01,0.01,28500,0.01
20131118,0,0.01,0.01,0.01,0.01,451100,0.01
20131115,0,0.01,0.01,0.01,0.01,24200,0.01
20131114,0,0.01,0.01,0.01,0.01,111000,0.01
20131113,0,0.01,0.01,0.01,0.01,33700,0.01
20131112,0,0.01,0.01,0.01,0.01,2124200,0.01
20131111,0,0.01,0.01,0.01,0.01,52600,0.01
20131108,0,0.01,0.01,0.01,0.01,0,0.01
20131107,0,0.01,0.01,0.01,0.01,20700,0.01
20131106,0,0.01,0.01,0.01,0.01,71300,0.01
20131105,0,0.01,0.01,0,0.01,124000,0.01
20131104,0,0,0.01,0,0.01,168000,0.01
20131101,0,0.01,0.01,0,0,785600,0
20131031,0,0,0.01,0,0.01,3484100,0.01
20131030,0,0,0,0,0,0,0
20131029,0,0,0,0,0,0,0
20131028,0,0,0,0,0,150000,0
20131025,0,0,0.01,0,0.01,103600,0.01
20131024,0,0,0,0,0,28000,0
20131023,0,0,0,0,0,67000,0
20131022,0,0,0,0,0,0,0
20131021,0,0,0,0,0,65000,0
20131018,0,0,0,0,0,295000,0
20131017,0,0,0,0,0,407000,0
20131016,0,0,0,0,0,0,0
20131015,0,0,0,0,0,10000,0
20131014,0,0,0,0,0,75000,0
20131011,0,0,0,0,0,20000,0
20131010,0,0,0.01,0,0,541200,0
20131009,0,0,0,0,0,40000,0
20131008,0,0,0,0,0,200500,0
20131007,0,0,0,0,0,221200,0
20131004,0,0,0,0,0,548100,0
20131003,0,0.01,0.01,0,0.01,166000,0.01
20131002,0,0,0.01,0,0.01,124000,0.01
20131001,0,0.01,0.01,0,0.01,392100,0.01
20130930,0,0,0.01,0,0.01,4056100,0.01
20130927,0,0,0,0,0,0,0
20130926,0,0,0,0,0,0,0
20130925,0,0,0,0,0,27000,0
20130924,0,0,0,0,0,53700,0
20130923,0,0,0,0,0,0,0
20130920,0,0,0,0,0,129800,0
20130919,0,0,0,0,0,0,0
20130918,0,0,0,0,0,481000,0
20130917,0,0,0,0,0,260000,0
20130916,0,0,0,0,0,3912500,0
20130913,0,0,0,0,0,0,0
20130912,0,0,0,0,0,0,0
20130911,0,0,0,0,0,0,0
20130910,0,0,0,0,0,0,0
20130909,0,0,0,0,0,90000,0
20130906,0,0,0,0,0,47000,0
20130905,0,0,0,0,0,1455500,0
20130904,0,0,0,0,0,0,0
20130903,0,0,0,0,0,1000,0
20130902,0,0,0,0,0,0,0
20130830,0,0,0,0,0,0,0
20130829,0,0,0,0,0,10000,0
20130828,0,0,0,0,0,220000,0
20130827,0,0,0,0,0,20200,0
20130826,0,0,0,0,0,118600,0
20130823,0,0,0,0,0,0,0
20130822,0,0,0,0,0,0,0
20130821,0,0,0,0,0,100000,0
20130820,0,0,0,0,0,1000,0
20130819,0,0,0,0,0,248600,0
20130816,0,0,0,0,0,40000,0
20130815,0,0,0,0,0,10000,0
20130814,0,0,0,0,0,272000,0
20130813,0,0,0,0,0,50000,0
20130812,0,0,0,0,0,1500,0
20130809,0,0,0,0,0,0,0
