date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,10.2,11.5,9.28,10.21,2163000,3.4
20140113,0,8.6,12.5,8.6,10.39,6231000,3.46
20140110,0,8.47,9.9,8.38,8.65,1592100,2.88
20140109,0,8.5,9.1,7.75,8.95,969000,2.98
20140108,0,8.72,9.15,7.6,8.43,2063400,2.81
20140107,0,5.8,9.37,5.8,9.35,4733700,3.12
20140106,0,5.05,5.91,4.81,5.7,1390500,1.9
20140103,0,4.4,4.89,4.35,4.88,636000,1.63
20140102,0,4.06,4.38,4.05,4.21,294000,1.4
20131231,0,3.95,4.1,3.91,3.98,240900,1.33
20131230,0,3.64,3.91,3.5,3.8,136800,1.27
20131227,0,3.6,3.78,3.43,3.68,134700,1.23
20131226,0,3.65,3.9,3.48,3.48,232500,1.16
20131224,0,3.55,3.91,3.53,3.56,169500,1.19
20131223,0,3.44,3.55,3.38,3.5,39600,1.17
20131220,0,3.46,3.6,3.38,3.38,89100,1.13
20131219,0,3.42,3.48,3.26,3.47,84600,1.16
20131218,0,3.3,3.54,3.19,3.3,92700,1.1
20131217,0,3.44,3.64,3.18,3.24,152400,1.08
20131216,0,3.41,3.47,3.2,3.39,43200,1.13
20131213,0,3.45,3.59,3.23,3.34,109800,1.11
20131212,0,3.56,3.63,3.4,3.41,117300,1.14
20131211,0,4,4.29,3.5,3.64,1560000,1.21
20131210,0,3.41,3.43,3.21,3.28,47700,1.09
20131209,0,3.48,3.6,3.25,3.32,34200,1.11
20131206,0,3.55,3.6,3.39,3.45,39000,1.15
20131205,0,3.76,3.76,3.44,3.49,110400,1.16
20131204,0,3.26,3.52,3.15,3.49,85800,1.16
20131203,0,3.37,3.47,3.15,3.24,99600,1.08
20131202,0,3.4,3.4,3.25,3.3,17700,1.1
20131129,0,3.23,3.46,3.23,3.4,31500,1.13
20131127,0,3.69,3.89,3.22,3.25,372600,1.08
20131126,0,3.05,3.68,3,3.67,1163100,1.22
20131125,0,2.96,3.05,2.93,2.93,11700,0.98
20131122,0,2.81,3.17,2.81,2.96,124800,0.99
20131121,0,2.9,2.9,2.84,2.84,28800,0.95
20131120,0,2.99,2.99,2.86,2.86,16500,0.95
20131119,0,2.91,3.04,2.9,2.96,25200,0.99
20131118,0,3,3.05,2.97,2.98,22500,0.99
20131115,0,3.17,3.24,3.01,3.03,39600,1.01
20131114,0,2.9,3.09,2.9,3.02,44100,1.01
20131113,0,3.03,3.22,2.86,2.99,156300,1
20131112,0,2.91,3.02,2.86,3.01,14700,1
20131111,0,2.89,2.98,2.88,2.98,4500,0.99
20131108,0,2.96,2.96,2.85,2.87,22500,0.96
20131107,0,2.95,2.95,2.85,2.85,44700,0.95
20131106,0,3.03,3.03,2.92,2.93,39900,0.98
20131105,0,2.99,3.14,2.96,3.01,7200,1
20131104,0,2.95,3.01,2.95,2.96,47100,0.99
20131101,0,3.14,3.14,3.05,3.05,1800,1.02
20131031,0,2.96,3.13,2.95,2.98,22200,0.99
20131030,0,2.99,3,2.96,2.97,13200,0.99
20131029,0,3.01,3.04,2.96,2.96,5100,0.99
20131028,0,3.15,3.15,2.95,2.96,30000,0.99
20131025,0,3.24,3.24,3.06,3.23,28500,1.08
20131024,0,3.13,3.33,3.06,3.19,115800,1.06
20131023,0,3.08,3.15,3.02,3.1,17700,1.03
20131022,0,3.07,3.12,3.05,3.05,27600,1.02
20131021,0,3.1,3.17,2.95,3.05,50700,1.02
20131018,0,3.05,3.32,3.05,3.09,96900,1.03
20131017,0,2.97,3.04,2.97,3.04,14700,1.01
20131016,0,3.09,3.09,2.9,2.99,95100,1
20131015,0,3.2,3.33,3.05,3.07,110700,1.02
20131014,0,2.97,3.1,2.92,3.05,20100,1.02
20131011,0,3.06,3.17,3.01,3.01,34500,1
20131010,0,2.88,3.05,2.88,2.98,41700,0.99
20131009,0,2.92,3.02,2.77,2.87,100500,0.96
20131008,0,3.21,3.3,2.96,3.06,89400,1.02
20131007,0,3.14,3.22,3.14,3.19,29100,1.06
20131004,0,3.25,3.3,3.14,3.2,100500,1.07
20131003,0,3.48,3.48,3.3,3.31,82500,1.1
20131002,0,3.42,3.49,3.38,3.44,55800,1.15
20131001,0,3.44,3.44,3.4,3.42,51600,1.14
20130930,0,3.4,3.5,3.4,3.44,100800,1.15
20130927,0,3.54,3.59,3.4,3.41,32400,1.14
20130926,0,3.5,3.6,3.43,3.52,107400,1.17
20130925,0,3.62,3.63,3.4,3.46,105900,1.15
20130924,0,3.58,3.82,3.49,3.63,138300,1.21
20130923,0,3.93,3.94,3.58,3.62,157200,1.21
20130920,0,4.36,4.36,3.81,3.93,390000,1.31
20130919,0,5.03,5.65,4.27,4.38,1540500,1.46
20130918,0,5.09,5.25,4.81,4.9,254400,1.63
20130917,0,5.03,5.16,4.8,5.03,99600,1.68
20130916,0,4.96,5.24,4.85,4.98,245700,1.66
20130913,0,5.03,5.45,4.84,4.94,386700,1.65
20130912,0,4.79,5.32,4.66,4.94,438600,1.65
20130911,0,4.84,5.1,4.74,4.81,138000,1.6
20130910,0,4.96,5.15,4.78,4.82,119700,1.61
20130909,0,5.25,5.4,4.57,4.97,600900,1.66
20130906,0,4.28,5.38,4.12,5.19,1264200,1.73
20130905,0,4.07,4.4,4.05,4.22,483900,1.41
20130904,0,4.1,4.82,3.93,4.07,1996500,1.36
20130903,0,3.4,3.4,3.18,3.32,56100,1.11
20130830,0,3.38,3.48,3.24,3.33,46200,1.11
20130829,0,3.2,3.52,3.17,3.4,124200,1.13
20130828,0,3.27,3.4,3.21,3.3,21000,1.1
20130827,0,3.24,3.49,3.21,3.3,42000,1.1
20130826,0,3.3,3.72,3.27,3.32,461700,1.11
20130823,0,3.17,3.39,3.15,3.26,135900,1.09
20130822,0,3.3,3.34,3.15,3.17,63900,1.06
20130821,0,3.24,3.42,3.15,3.35,37500,1.12
20130820,0,3.25,3.36,3.16,3.23,136500,1.08
20130819,0,3.55,3.55,3.16,3.27,202500,1.09
20130816,0,3.35,4.36,3.25,3.64,886500,1.21
20130815,0,3.17,3.45,3.16,3.42,83700,1.14
20130814,0,3.4,3.49,3.15,3.3,96300,1.1
20130813,0,3.29,3.84,3.16,3.44,817500,1.15
20130812,0,3.29,3.33,2.99,3.08,47700,1.03
20130809,0,3.09,3.26,3.09,3.15,12900,1.05
20130808,0,3.22,3.3,3.13,3.2,9600,1.07
20130807,0,3.03,3.4,3,3.27,62700,1.09
20130806,0,3.16,3.3,3.1,3.16,52200,1.05
20130805,0,3.4,3.5,2.82,3.1,402000,1.03
20130802,0,3.41,3.95,3.2,3.37,874200,1.12
20130801,0,2.54,3.39,2.42,3.17,751800,1.06
20130731,0,2.61,2.67,2.54,2.54,19500,0.85
20130730,0,2.64,2.71,2.61,2.65,10800,0.88
20130729,0,2.63,2.64,2.58,2.64,6300,0.88
