date,time,open price,high price,low price,close price,volume,adjusted price
20140129,0,1.95,1.99,1.92,1.92,229200,1.92
20140128,0,1.99,2.01,1.96,1.96,288300,1.96
20140127,0,2,2.01,1.99,2,477300,2
20140124,0,2.01,2.03,2,2,223600,2
20140123,0,2.04,2.04,2,2.04,147500,2.04
20140122,0,2.09,2.12,2.02,2.04,277400,2.04
20140121,0,2.09,2.1,2.02,2.08,188200,2.08
20140117,0,2.13,2.14,2.05,2.07,312400,2.07
20140116,0,2.13,2.14,2.07,2.13,231400,2.13
20140115,0,2.12,2.15,2.1,2.12,161600,2.12
20140114,0,2.12,2.17,2.09,2.13,171000,2.13
20140113,0,2.19,2.23,2.09,2.1,325800,2.1
20140110,0,2.15,2.35,2.08,2.19,716900,2.19
20140109,0,2.24,2.24,2.12,2.15,237300,2.15
20140108,0,2.25,2.27,2.17,2.22,498000,2.22
20140107,0,2,2.24,2,2.24,1092000,2.24
20140106,0,1.99,2,1.95,2,168900,2
20140103,0,1.99,2,1.96,1.99,125700,1.99
20140102,0,1.96,2,1.94,1.99,214300,1.99
20131231,0,1.96,2,1.92,1.98,487500,1.98
20131230,0,1.92,1.98,1.92,1.97,285000,1.97
20131227,0,1.94,1.95,1.89,1.92,796800,1.92
20131226,0,1.99,2,1.92,1.93,527100,1.93
20131224,0,1.96,2.04,1.93,1.98,246400,1.98
20131223,0,1.92,1.96,1.88,1.96,432000,1.96
20131220,0,1.86,1.92,1.86,1.92,1213900,1.92
20131219,0,1.88,1.92,1.86,1.88,363200,1.88
20131218,0,1.88,1.9,1.88,1.9,348200,1.9
20131217,0,1.88,1.9,1.88,1.88,284100,1.88
20131216,0,1.89,1.92,1.88,1.89,237800,1.89
20131213,0,1.91,1.93,1.88,1.89,268200,1.89
20131212,0,1.9,1.91,1.9,1.9,242400,1.9
20131211,0,1.92,1.94,1.91,1.91,246100,1.91
20131210,0,1.92,1.95,1.92,1.93,280500,1.93
20131209,0,1.96,1.97,1.92,1.93,392200,1.93
20131206,0,1.99,1.99,1.95,1.97,472200,1.97
20131205,0,1.96,1.97,1.96,1.96,170100,1.96
20131204,0,1.97,1.99,1.96,1.96,153300,1.96
20131203,0,1.97,2,1.96,1.96,146400,1.96
20131202,0,2.05,2.05,1.96,1.96,180100,1.96
20131129,0,2.01,2.08,2,2.05,212000,2.05
20131127,0,1.96,2,1.96,2,184400,2
20131126,0,1.96,1.98,1.95,1.96,557200,1.96
20131125,0,1.98,2,1.96,1.96,197600,1.96
20131122,0,1.97,1.99,1.96,1.98,179300,1.98
20131121,0,1.98,1.99,1.96,1.97,147400,1.97
20131120,0,1.96,1.99,1.96,1.97,158700,1.97
20131119,0,1.96,1.99,1.95,1.96,218500,1.96
20131118,0,1.98,2,1.94,1.96,234700,1.96
20131115,0,1.95,1.98,1.95,1.98,230100,1.98
20131114,0,1.96,2,1.96,1.96,134900,1.96
20131113,0,1.99,2.02,1.96,1.97,166600,1.97
20131112,0,1.98,2.05,1.97,1.99,216800,1.99
20131111,0,1.96,2.01,1.96,1.99,202300,1.99
20131108,0,1.98,2.05,1.92,1.98,591700,1.98
20131107,0,1.96,1.99,1.93,1.97,503600,1.97
20131106,0,1.9,2,1.9,1.97,417700,1.97
20131105,0,1.91,1.98,1.91,1.95,323200,1.95
20131104,0,1.93,1.94,1.91,1.91,201500,1.91
20131101,0,1.91,1.94,1.9,1.91,315600,1.91
20131031,0,1.91,1.94,1.91,1.92,272000,1.92
20131030,0,1.91,1.95,1.91,1.91,242900,1.91
20131029,0,1.91,1.93,1.91,1.91,197200,1.91
20131028,0,1.93,1.94,1.9,1.91,218400,1.91
20131025,0,1.96,1.96,1.93,1.93,122800,1.93
20131024,0,1.95,1.97,1.94,1.95,250200,1.95
20131023,0,1.97,1.99,1.95,1.95,184300,1.95
20131022,0,1.97,1.98,1.94,1.98,268100,1.98
20131021,0,1.96,1.99,1.96,1.97,332400,1.97
20131018,0,1.98,1.98,1.95,1.96,258400,1.96
20131017,0,1.97,1.98,1.94,1.95,190400,1.95
20131016,0,1.96,2,1.94,1.97,213200,1.97
20131015,0,1.96,1.99,1.94,1.95,169800,1.95
20131014,0,1.97,1.98,1.93,1.97,180100,1.97
20131011,0,1.83,1.98,1.83,1.98,247200,1.98
20131010,0,1.85,1.94,1.84,1.85,293200,1.85
20131009,0,1.86,1.86,1.82,1.82,326400,1.82
20131008,0,1.93,1.93,1.86,1.86,437400,1.86
20131007,0,1.95,1.96,1.92,1.92,174400,1.92
20131004,0,1.92,1.98,1.92,1.97,246200,1.97
20131003,0,1.95,1.98,1.92,1.92,243400,1.92
20131002,0,1.92,1.99,1.92,1.96,234100,1.96
20131001,0,1.94,1.97,1.92,1.94,336600,1.94
20130930,0,1.96,1.99,1.92,1.93,399000,1.93
20130927,0,1.97,2.01,1.97,1.98,210500,1.98
20130926,0,2.01,2.01,1.96,1.98,272200,1.98
20130925,0,1.97,2.02,1.97,2.01,435700,2.01
20130924,0,2,2,1.96,1.97,281500,1.97
20130923,0,1.99,2,1.98,1.99,389300,1.99
20130920,0,2.04,2.05,1.99,1.99,802200,1.99
20130919,0,2,2.03,2,2.03,308700,2.03
20130918,0,2.02,2.05,2,2,225800,2
20130917,0,2.01,2.04,2.01,2.04,119600,2.04
20130916,0,2.04,2.04,2,2.01,167500,2.01
20130913,0,2.02,2.05,1.99,2.04,231900,2.04
20130912,0,2.02,2.05,2.01,2.02,200800,2.02
20130911,0,2.01,2.05,2.01,2.02,257100,2.02
20130910,0,2.05,2.05,2.01,2.02,256100,2.02
20130909,0,2.02,2.05,2,2.05,278300,2.05
20130906,0,2.07,2.07,2,2.02,224600,2.02
20130905,0,2.02,2.08,2.02,2.05,152500,2.05
20130904,0,2.05,2.08,2,2.03,221700,2.03
20130903,0,2.03,2.1,1.99,2.05,259200,2.05
20130830,0,2.1,2.12,2.02,2.02,273900,2.02
20130829,0,2.12,2.13,2.06,2.11,118400,2.11
20130828,0,2.08,2.13,2.08,2.12,268100,2.12
20130827,0,2.11,2.18,2.06,2.07,285800,2.07
20130826,0,2.08,2.17,2.08,2.14,227400,2.14
20130823,0,2.12,2.15,2.04,2.08,224200,2.08
20130822,0,2.11,2.14,2.07,2.14,245700,2.14
20130821,0,2.02,2.13,1.99,2.12,345800,2.12
20130820,0,2.02,2.05,1.93,2.02,612000,2.02
20130819,0,2.07,2.09,2.02,2.03,188000,2.03
20130816,0,2.04,2.11,2.04,2.07,198600,2.07
20130815,0,2.13,2.13,2.03,2.04,354700,2.04
20130814,0,2.12,2.2,2.1,2.12,272900,2.12
20130813,0,2.04,2.16,2.04,2.1,524500,2.1
20130812,0,2.06,2.1,2.02,2.06,283200,2.06
20130809,0,2.17,2.18,2.06,2.1,312900,2.1
20130808,0,2.06,2.2,1.89,2.19,748700,2.19
20130807,0,2.3,2.33,2.19,2.2,322100,2.2
20130806,0,2.31,2.33,2.25,2.31,145400,2.31
20130805,0,2.4,2.42,2.33,2.34,257100,2.34
20130802,0,2.4,2.43,2.38,2.38,169800,2.38
20130801,0,2.41,2.45,2.38,2.42,193400,2.42
20130731,0,2.43,2.44,2.35,2.4,163600,2.4
20130730,0,2.4,2.44,2.38,2.42,133400,2.42
20130729,0,2.41,2.46,2.37,2.38,219100,2.38
20130726,0,2.45,2.49,2.44,2.44,108300,2.44
20130725,0,2.42,2.51,2.42,2.48,333800,2.48
20130724,0,2.48,2.54,2.39,2.43,447000,2.43
