date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,2.14,2.39,2.14,2.14,39400,2.14
20140113,0,1.95,2.4,1.95,2.2,60700,2.2
20140110,0,2.05,2.14,2.02,2.11,3900,2.11
20140109,0,1.99,2.2,1.96,2.17,32000,2.17
20140108,0,1.95,1.98,1.94,1.98,700,1.98
20140107,0,1.94,1.94,1.94,1.94,200,1.94
20140106,0,1.95,1.95,1.95,1.95,0,1.95
20140103,0,1.95,1.95,1.95,1.95,300,1.95
20140102,0,2,2.01,1.95,2.01,1300,2.01
20131231,0,1.94,2.05,1.93,2.05,5400,2.05
20131230,0,1.96,1.96,1.93,1.93,2000,1.93
20131227,0,2.13,2.13,1.95,1.99,15900,1.99
20131226,0,2.08,2.09,2.08,2.08,14000,2.08
20131224,0,2.1,2.13,2.1,2.13,7100,2.13
20131223,0,2.2,2.21,2.09,2.1,10500,2.1
20131220,0,2.08,2.16,2.08,2.16,24700,2.16
20131219,0,2.17,2.17,2.07,2.07,3100,2.07
20131218,0,2.07,2.18,2.07,2.12,8400,2.12
20131217,0,2.08,2.14,2.08,2.08,8500,2.08
20131216,0,2.08,2.14,2.08,2.08,6300,2.08
20131213,0,2.14,2.14,2.08,2.08,5300,2.08
20131212,0,2.08,2.11,2.08,2.08,3400,2.08
20131211,0,2.13,2.14,2.13,2.13,4800,2.13
20131210,0,2.13,2.13,2.13,2.13,2500,2.13
20131209,0,2.15,2.15,2.13,2.13,3000,2.13
20131206,0,2.24,2.24,2.12,2.24,3200,2.24
20131205,0,2.24,2.25,2.23,2.25,800,2.25
20131204,0,2.2,2.25,2.2,2.25,1300,2.25
20131203,0,2.19,2.2,2.19,2.2,12900,2.2
20131202,0,2.23,2.23,2.23,2.23,100,2.23
20131129,0,2.15,2.23,2.05,2.23,9800,2.23
20131127,0,2.06,2.19,2.05,2.15,1700,2.15
20131126,0,2.22,2.25,2.09,2.11,3000,2.11
20131125,0,2.12,2.21,2.09,2.17,7000,2.17
20131122,0,2.14,2.15,2.11,2.14,9500,2.14
20131121,0,2.1,2.15,2.1,2.11,8900,2.11
20131120,0,2.09,2.09,2.07,2.08,7600,2.08
20131119,0,2.05,2.12,2.03,2.07,13000,2.07
20131118,0,2.04,2.08,2.04,2.08,5000,2.08
