date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,2.9,3.17,2.9,3.12,75700,3.12
20140113,0,2.85,2.98,2.85,2.9,30100,2.9
20140110,0,3.01,3.01,2.75,2.9,62800,2.9
20140109,0,3,3.08,2.98,3.05,28100,3.05
20140108,0,3,3.07,2.95,3.03,23200,3.03
20140107,0,3.02,3.12,2.96,2.97,25500,2.97
20140106,0,3.05,3.1,2.96,3.07,75200,3.07
20140103,0,3,3.25,2.96,3.1,28600,3.1
20140102,0,3.11,3.14,3,3.1,28800,3.1
20131231,0,3.19,3.21,3.08,3.17,24400,3.17
20131230,0,3.08,3.18,3,3.12,35300,3.12
20131227,0,3.39,3.42,3.15,3.21,49500,3.21
20131226,0,3.5,3.52,3.33,3.43,30200,3.43
20131224,0,3.4,3.46,3.22,3.46,28000,3.46
20131223,0,3.17,3.44,3.08,3.39,57300,3.39
20131220,0,2.92,3.11,2.88,3.03,68800,3.03
20131219,0,2.9,2.95,2.75,2.91,28900,2.91
20131218,0,3,3,2.83,2.95,46000,2.95
20131217,0,3.16,3.26,2.94,2.97,58800,2.97
20131216,0,3.04,3.05,2.9,2.94,35900,2.94
20131213,0,2.89,3.19,2.89,3.02,24600,3.02
20131212,0,2.83,3.05,2.71,3.04,65700,3.04
20131211,0,3.1,3.16,2.86,2.86,79400,2.86
20131210,0,3.28,3.28,3,3.08,86700,3.08
20131209,0,3.29,3.71,3.14,3.3,214100,3.3
20131206,0,3.31,3.38,3.16,3.37,56700,3.37
20131205,0,3.11,3.35,3.07,3.3,100600,3.3
20131204,0,3.27,3.29,3.07,3.13,130400,3.13
20131203,0,3.46,3.46,3.11,3.19,186000,3.19
20131202,0,3.67,3.69,3.11,3.54,217200,3.54
20131129,0,3.77,3.95,3.38,3.61,348400,3.61
20131127,0,3.9,4.01,3.32,3.41,941300,3.41
20131126,0,3.33,5.43,3.32,4.13,6173300,4.13
20131125,0,2.38,2.38,2.15,2.19,115300,2.19
20131122,0,2.6,2.6,2.31,2.52,69800,2.52
20131121,0,2.3,2.65,2.3,2.6,124300,2.6
20131120,0,2.86,3.35,2.1,2.25,389000,2.25
20131119,0,2.21,3,2,2.79,495100,2.79
20131118,0,1.77,2.3,1.77,2.12,506700,2.12
20131115,0,1.76,1.8,1.73,1.78,11100,1.78
20131114,0,1.75,1.82,1.65,1.82,25100,1.82
20131113,0,1.71,1.82,1.6,1.75,11500,1.75
20131112,0,1.7,1.82,1.65,1.75,18400,1.75
20131111,0,1.75,1.75,1.65,1.73,32000,1.73
20131108,0,1.72,1.8,1.72,1.8,6700,1.8
20131107,0,1.94,1.94,1.75,1.85,39600,1.85
20131106,0,1.94,1.94,1.85,1.89,11700,1.89
20131105,0,1.87,1.94,1.67,1.9,20800,1.9
20131104,0,1.81,1.87,1.76,1.87,25800,1.87
20131101,0,1.84,1.84,1.75,1.75,1200,1.75
20131031,0,1.79,1.84,1.75,1.8,32900,1.8
20131030,0,1.68,1.75,1.64,1.75,4200,1.75
20131029,0,1.68,1.75,1.62,1.69,5600,1.69
20131028,0,1.73,1.8,1.62,1.71,26600,1.71
20131025,0,1.73,1.75,1.68,1.75,4100,1.75
20131024,0,1.65,1.7,1.56,1.69,30300,1.69
20131023,0,1.71,1.75,1.65,1.7,2700,1.7
20131022,0,1.7,1.76,1.66,1.7,10400,1.7
20131021,0,1.64,1.72,1.53,1.71,26100,1.71
20131018,0,1.63,1.72,1.58,1.67,23500,1.67
20131017,0,1.68,1.76,1.65,1.69,27000,1.69
20131016,0,1.8,1.8,1.63,1.68,26800,1.68
20131015,0,1.89,1.9,1.72,1.86,18000,1.86
20131014,0,1.78,1.93,1.78,1.83,20300,1.83
20131011,0,1.75,1.83,1.75,1.78,21300,1.78
20131010,0,1.75,1.8,1.75,1.75,6900,1.75
20131009,0,1.71,1.8,1.65,1.73,32200,1.73
20131008,0,2.1,2.5,1.74,1.76,228100,1.76
