date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,2.05,2.3,2.05,2.28,1933400,2.28
20140113,0,2.18,2.23,2.01,2.03,715900,2.03
20140110,0,2.1,2.24,2.04,2.2,1443800,2.2
20140109,0,2.04,2.15,2.03,2.08,637500,2.08
20140108,0,2.12,2.25,2.01,2.08,4939800,2.08
20140107,0,1.82,1.82,1.76,1.8,211400,1.8
20140106,0,1.8,1.83,1.76,1.8,112300,1.8
20140103,0,1.85,1.85,1.72,1.81,269200,1.81
20140102,0,1.83,1.84,1.76,1.84,235900,1.84
20131231,0,1.77,1.83,1.76,1.83,459300,1.83
20131230,0,1.81,1.82,1.78,1.79,282100,1.79
20131227,0,1.82,1.85,1.79,1.8,317900,1.8
20131226,0,1.8,1.84,1.76,1.81,393000,1.81
20131224,0,1.81,1.82,1.76,1.79,167300,1.79
20131223,0,1.67,1.82,1.67,1.8,882500,1.8
20131220,0,1.71,1.73,1.65,1.65,293200,1.65
20131219,0,1.67,1.77,1.66,1.7,268600,1.7
20131218,0,1.66,1.71,1.65,1.69,233100,1.69
20131217,0,1.67,1.7,1.61,1.69,389300,1.69
20131216,0,1.7,1.72,1.65,1.68,381700,1.68
20131213,0,1.69,1.73,1.69,1.72,187700,1.72
20131212,0,1.7,1.72,1.69,1.69,193500,1.69
20131211,0,1.79,1.79,1.68,1.7,137000,1.7
20131210,0,1.75,1.75,1.67,1.74,235200,1.74
20131209,0,1.76,1.78,1.73,1.76,144400,1.76
20131206,0,1.78,1.78,1.73,1.74,192000,1.74
20131205,0,1.76,1.8,1.74,1.77,229000,1.77
20131204,0,1.77,1.81,1.75,1.78,208200,1.78
20131203,0,1.8,1.85,1.76,1.8,366800,1.8
20131202,0,1.84,1.84,1.79,1.82,235300,1.82
20131129,0,1.85,1.86,1.81,1.84,224000,1.84
20131127,0,1.77,1.85,1.77,1.83,308500,1.83
20131126,0,1.8,1.84,1.76,1.78,252300,1.78
20131125,0,1.84,1.85,1.75,1.79,306200,1.79
20131122,0,1.8,1.83,1.77,1.83,276600,1.83
20131121,0,1.75,1.79,1.74,1.79,200100,1.79
20131120,0,1.79,1.8,1.72,1.74,548700,1.74
20131119,0,1.82,1.87,1.77,1.79,494500,1.79
20131118,0,1.79,1.9,1.79,1.82,675800,1.82
20131115,0,1.82,1.84,1.78,1.8,244100,1.8
20131114,0,1.79,1.81,1.73,1.8,352300,1.8
20131113,0,1.77,1.83,1.76,1.79,626500,1.79
20131112,0,1.83,1.87,1.77,1.8,505200,1.8
20131111,0,1.88,1.89,1.82,1.86,413900,1.86
20131108,0,1.85,1.95,1.83,1.88,483400,1.88
20131107,0,1.98,2,1.83,1.84,1278300,1.84
20131106,0,2.3,2.38,1.91,1.99,2299600,1.99
20131105,0,2.16,2.3,2.15,2.23,946600,2.23
20131104,0,2.17,2.18,2.07,2.15,625800,2.15
20131101,0,2.2,2.24,2.07,2.14,776600,2.14
20131031,0,2.21,2.31,2.15,2.19,1021800,2.19
20131030,0,2.45,2.48,2.2,2.29,2070700,2.29
20131029,0,2.11,2.41,2.11,2.4,4526800,2.4
20131028,0,2.14,2.16,2.05,2.09,426200,2.09
20131025,0,2.15,2.16,2.05,2.09,358200,2.09
20131024,0,2.21,2.21,2.07,2.12,741200,2.12
20131023,0,2,2.23,1.96,2.15,1416900,2.15
20131022,0,2.1,2.11,1.92,1.99,920400,1.99
20131021,0,2.17,2.17,2.05,2.11,1243300,2.11
20131018,0,1.9,2.2,1.9,2.16,3891000,2.16
20131017,0,1.79,1.9,1.79,1.86,460400,1.86
20131016,0,1.82,1.86,1.8,1.8,144000,1.8
20131015,0,1.89,1.89,1.79,1.81,244800,1.81
20131014,0,1.78,1.87,1.76,1.87,218500,1.87
20131011,0,1.79,1.82,1.75,1.8,216600,1.8
20131010,0,1.79,1.82,1.76,1.78,241000,1.78
20131009,0,1.81,1.85,1.73,1.77,292100,1.77
20131008,0,1.9,1.96,1.76,1.81,630800,1.81
20131007,0,1.8,1.9,1.79,1.89,974600,1.89
20131004,0,1.74,1.82,1.74,1.79,638800,1.79
20131003,0,1.74,1.76,1.71,1.74,153400,1.74
20131002,0,1.77,1.78,1.73,1.74,253000,1.74
20131001,0,1.8,1.8,1.75,1.76,205900,1.76
20130930,0,1.77,1.81,1.73,1.81,287700,1.81
20130927,0,1.81,1.82,1.76,1.79,320800,1.79
20130926,0,1.8,1.82,1.77,1.81,244700,1.81
20130925,0,1.8,1.82,1.76,1.79,248600,1.79
20130924,0,1.74,1.82,1.71,1.8,555300,1.8
20130923,0,1.77,1.8,1.71,1.76,464000,1.76
20130920,0,1.83,1.84,1.77,1.81,404400,1.81
20130919,0,1.83,1.89,1.8,1.84,495100,1.84
20130918,0,1.81,1.83,1.77,1.82,440000,1.82
20130917,0,1.81,1.88,1.81,1.84,379700,1.84
20130916,0,1.93,1.94,1.81,1.86,476000,1.86
20130913,0,1.96,1.96,1.91,1.93,273500,1.93
20130912,0,2,2.05,1.94,1.96,1032600,1.96
20130911,0,1.85,2.02,1.8,2,2638600,2
20130910,0,1.8,1.85,1.73,1.85,416300,1.85
20130909,0,1.82,1.83,1.73,1.78,382800,1.78
20130906,0,1.82,1.84,1.78,1.82,378200,1.82
20130905,0,1.76,1.85,1.76,1.82,881200,1.82
20130904,0,1.74,1.77,1.71,1.76,800100,1.76
20130903,0,1.71,1.75,1.68,1.73,291000,1.73
20130830,0,1.68,1.72,1.61,1.72,477800,1.72
20130829,0,1.68,1.75,1.68,1.69,311500,1.69
20130828,0,1.7,1.72,1.68,1.71,244100,1.71
20130827,0,1.72,1.74,1.66,1.7,399000,1.7
20130826,0,1.67,1.78,1.65,1.74,808600,1.74
20130823,0,1.65,1.73,1.62,1.71,543600,1.71
20130822,0,1.59,1.66,1.57,1.63,174300,1.63
20130821,0,1.56,1.66,1.55,1.6,516500,1.6
20130820,0,1.66,1.66,1.5,1.56,1104300,1.56
20130819,0,1.71,1.74,1.63,1.67,874700,1.67
20130816,0,1.74,1.75,1.7,1.74,552400,1.74
20130815,0,1.7,1.77,1.68,1.76,951300,1.76
20130814,0,1.79,1.79,1.7,1.72,772000,1.72
20130813,0,1.86,1.88,1.75,1.79,1299700,1.79
20130812,0,1.77,1.86,1.7,1.86,1613800,1.86
20130809,0,2.27,2.27,1.8,1.8,3684500,1.8
20130808,0,1.86,1.9,1.76,1.89,1772200,1.89
20130807,0,1.89,1.93,1.74,1.86,1302200,1.86
20130806,0,2.02,2.17,1.91,1.94,5297000,1.94
20130805,0,1.7,1.9,1.7,1.9,2718200,1.9
20130802,0,1.74,1.77,1.7,1.7,542000,1.7
20130801,0,1.75,1.77,1.68,1.72,699900,1.72
20130731,0,1.88,1.88,1.69,1.74,1650500,1.74
20130730,0,1.68,1.87,1.65,1.84,2743300,1.84
20130729,0,1.77,1.77,1.67,1.69,252800,1.69
20130726,0,1.76,1.76,1.68,1.7,341800,1.7
20130725,0,1.76,1.86,1.7,1.77,1253100,1.77
20130724,0,1.72,1.73,1.66,1.67,249300,1.67
20130723,0,1.67,1.74,1.65,1.72,555800,1.72
20130722,0,1.7,1.71,1.65,1.67,439000,1.67
20130719,0,1.75,1.77,1.63,1.71,522500,1.71
20130718,0,1.75,1.85,1.68,1.76,1847200,1.76
20130717,0,1.7,1.74,1.62,1.64,704100,1.64
20130716,0,1.7,1.7,1.63,1.67,553600,1.67
