date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,9.31,9.31,9.31,9.31,0,9.31
20140113,0,9.31,9.31,9.31,9.31,0,9.31
20140110,0,9.31,9.31,9.31,9.31,0,9.31
20140109,0,9.31,9.31,9.31,9.31,0,9.31
20140108,0,9.31,9.31,9.31,9.31,0,9.31
20140107,0,9.31,9.31,9.31,9.31,0,9.31
20140106,0,9.31,9.31,9.31,9.31,0,9.31
20140103,0,9.31,9.31,9.31,9.31,0,9.31
20140102,0,9.31,9.31,9.31,9.31,0,9.31
20140101,0,9.31,9.31,9.31,9.31,0,9.31
20131231,0,9.31,9.31,9.31,9.31,0,9.31
20131230,0,9.31,9.31,9.31,9.31,0,9.31
20131227,0,9.31,9.31,9.31,9.31,0,9.31
20131226,0,9.31,9.31,9.31,9.31,0,9.31
20131225,0,9.31,9.31,9.31,9.31,0,9.31
20131224,0,9.31,9.31,9.31,9.31,0,9.31
20131223,0,9.31,9.31,9.31,9.31,0,9.31
20131220,0,9.31,9.31,9.31,9.31,0,9.31
20131219,0,9.31,9.31,9.31,9.31,0,9.31
20131218,0,9.31,9.31,9.31,9.31,0,9.31
20131217,0,9.31,9.31,9.31,9.31,0,9.31
20131216,0,9.31,9.31,9.31,9.31,0,9.31
20131213,0,9.31,9.31,9.31,9.31,0,9.31
20131212,0,9.31,9.31,9.31,9.31,0,9.31
20131211,0,9.31,9.31,9.31,9.31,0,9.31
20131210,0,9.31,9.31,9.31,9.31,0,9.31
20131209,0,9.31,9.31,9.31,9.31,0,9.31
20131206,0,9.31,9.31,9.31,9.31,0,9.31
20131205,0,9.31,9.31,9.31,9.31,0,9.31
20131204,0,9.31,9.31,9.31,9.31,0,9.31
20131203,0,9.31,9.31,9.31,9.31,0,9.31
20131202,0,9.31,9.31,9.31,9.31,0,9.31
20131129,0,9.31,9.31,9.31,9.31,0,9.31
20131128,0,9.31,9.31,9.31,9.31,0,9.31
20131127,0,9.31,9.31,9.31,9.31,0,9.31
20131126,0,9.31,9.31,9.31,9.31,0,9.31
20131125,0,9.31,9.31,9.31,9.31,0,9.31
20131122,0,9.31,9.31,9.31,9.31,0,9.31
20131121,0,9.31,9.31,9.31,9.31,0,9.31
20131120,0,9.31,9.31,9.31,9.31,0,9.31
20131119,0,9.31,9.31,9.31,9.31,0,9.31
20131118,0,9.31,9.31,9.31,9.31,0,9.31
20131115,0,9.31,9.31,9.31,9.31,0,9.31
20131114,0,9.31,9.31,9.31,9.31,0,9.31
20131113,0,9.31,9.31,9.31,9.31,0,9.31
20131112,0,9.31,9.31,9.31,9.31,0,9.31
20131111,0,9.31,9.31,9.31,9.31,0,9.31
20131108,0,9.31,9.31,9.31,9.31,0,9.31
20131107,0,9.31,9.31,9.31,9.31,0,9.31
20131106,0,9.31,9.31,9.31,9.31,0,9.31
20131105,0,9.31,9.31,9.31,9.31,0,9.31
20131104,0,9.31,9.31,9.31,9.31,0,9.31
20131101,0,9.31,9.31,9.31,9.31,0,9.31
20131031,0,9.31,9.31,9.31,9.31,0,9.31
20131030,0,9.31,9.31,9.31,9.31,0,9.31
20131029,0,9.31,9.31,9.31,9.31,0,9.31
20131028,0,9.31,9.31,9.31,9.31,0,9.31
20131025,0,9.31,9.31,9.31,9.31,0,9.31
20131024,0,9.31,9.31,9.31,9.31,0,9.31
20131023,0,9.31,9.31,9.31,9.31,0,9.31
20131022,0,9.31,9.31,9.31,9.31,0,9.31
20131021,0,9.31,9.31,9.31,9.31,0,9.31
20131018,0,9.31,9.31,9.31,9.31,0,9.31
20131017,0,9.31,9.31,9.31,9.31,0,9.31
20131016,0,9.31,9.31,9.31,9.31,0,9.31
20131015,0,9.31,9.31,9.31,9.31,0,9.31
20131014,0,9.31,9.31,9.31,9.31,0,9.31
20131011,0,9.31,9.31,9.31,9.31,0,9.31
20131010,0,9.31,9.31,9.31,9.31,0,9.31
20131009,0,9.31,9.31,9.31,9.31,0,9.31
20131008,0,9.31,9.31,9.31,9.31,0,9.31
20131007,0,9.31,9.31,9.31,9.31,0,9.31
20131004,0,9.31,9.31,9.31,9.31,0,9.31
20131003,0,9.31,9.31,9.31,9.31,0,9.31
20131002,0,9.31,9.31,9.31,9.31,0,9.31
20131001,0,9.31,9.31,9.31,9.31,0,9.31
20130930,0,9.31,9.31,9.31,9.31,0,9.31
20130927,0,9.31,9.31,9.31,9.31,0,9.31
20130926,0,9.31,9.31,9.31,9.31,0,9.31
20130925,0,9.31,9.31,9.31,9.31,0,9.31
20130924,0,9.31,9.31,9.31,9.31,0,9.31
20130923,0,9.31,9.31,9.31,9.31,0,9.31
20130920,0,9.31,9.31,9.31,9.31,0,9.31
20130919,0,9.31,9.31,9.31,9.31,0,9.31
20130918,0,9.31,9.31,9.31,9.31,0,9.31
20130917,0,9.31,9.31,9.31,9.31,0,9.31
20130916,0,9.31,9.31,9.31,9.31,0,9.31
20130913,0,9.31,9.31,9.31,9.31,0,9.31
20130912,0,9.31,9.31,9.31,9.31,0,9.31
20130911,0,9.31,9.31,9.31,9.31,0,9.31
20130910,0,9.31,9.31,9.31,9.31,0,9.31
20130909,0,9.31,9.31,9.31,9.31,0,9.31
20130906,0,9.31,9.31,9.31,9.31,0,9.31
20130905,0,9.31,9.31,9.31,9.31,0,9.31
20130904,0,9.31,9.31,9.31,9.31,0,9.31
20130903,0,9.31,9.31,9.31,9.31,0,9.31
20130902,0,9.31,9.31,9.31,9.31,0,9.31
20130830,0,9.31,9.31,9.31,9.31,0,9.31
20130829,0,9.31,9.31,9.31,9.31,0,9.31
20130828,0,9.31,9.31,9.31,9.31,0,9.31
20130827,0,9.31,9.31,9.31,9.31,0,9.31
20130826,0,9.31,9.31,9.31,9.31,0,9.31
20130823,0,9.31,9.31,9.31,9.31,0,9.31
20130822,0,9.31,9.31,9.31,9.31,0,9.31
20130821,0,9.31,9.31,9.31,9.31,0,9.31
20130820,0,9.31,9.31,9.31,9.31,0,9.31
20130819,0,9.31,9.31,9.31,9.31,0,9.31
20130816,0,9.31,9.31,9.31,9.31,0,9.31
20130815,0,9.31,9.31,9.31,9.31,0,9.31
20130814,0,9.31,9.31,9.31,9.31,0,9.31
20130813,0,9.31,9.31,9.31,9.31,0,9.31
20130812,0,9.31,9.31,9.31,9.31,0,9.31
20130809,0,9.31,9.31,9.31,9.31,0,9.31
20130808,0,9.31,9.31,9.31,9.31,0,9.31
20130807,0,9.31,9.31,9.31,9.31,0,9.31
20130806,0,9.31,9.31,9.31,9.31,0,9.31
20130805,0,9.31,9.31,9.31,9.31,0,9.31
20130802,0,9.31,9.31,9.31,9.31,0,9.31
20130801,0,9.31,9.31,9.31,9.31,0,9.31
20130731,0,9.31,9.31,9.31,9.31,0,9.31
20130730,0,9.31,9.31,9.31,9.31,0,9.31
20130729,0,9.31,9.31,9.31,9.31,0,9.31
20130726,0,9.31,9.31,9.31,9.31,0,9.31
20130725,0,9.31,9.31,9.31,9.31,0,9.31
20130724,0,9.31,9.31,9.31,9.31,0,9.31
20130723,0,9.31,9.31,9.31,9.31,0,9.31
20130722,0,9.31,9.31,9.31,9.31,0,9.31
20130719,0,9.31,9.31,9.31,9.31,0,9.31
20130718,0,9.31,9.31,9.31,9.31,0,9.31
20130717,0,9.31,9.31,9.31,9.31,0,9.31
20130716,0,9.31,9.31,9.31,9.31,0,9.31
20130715,0,9.31,9.31,9.31,9.31,0,9.31
20130712,0,9.31,9.31,9.31,9.31,0,9.31
20130711,0,9.31,9.31,9.31,9.31,0,9.31
20130710,0,9.31,9.31,9.31,9.31,0,9.31
20130709,0,9.31,9.31,9.31,9.31,0,9.31
20130708,0,9.31,9.31,9.31,9.31,0,9.31
20130705,0,9.31,9.31,9.31,9.31,0,9.31
20130704,0,9.31,9.31,9.31,9.31,0,9.31
20130703,0,9.31,9.31,9.31,9.31,0,9.31
20130702,0,9.31,9.31,9.31,9.31,0,9.31
20130701,0,9.31,9.31,9.31,9.31,0,9.31
20130628,0,9.31,9.31,9.31,9.31,0,9.31
20130627,0,9.31,9.31,9.31,9.31,0,9.31
20130626,0,9.31,9.31,9.31,9.31,0,9.31
20130625,0,9.31,9.31,9.31,9.31,0,9.31
20130624,0,9.31,9.31,9.31,9.31,0,9.31
20130621,0,9.31,9.31,9.31,9.31,0,9.31
20130620,0,9.31,9.31,9.31,9.31,0,9.31
20130619,0,9.31,9.31,9.31,9.31,0,9.31
20130618,0,9.31,9.31,9.31,9.31,0,9.31
20130617,0,9.31,9.31,9.31,9.31,0,9.31
20130614,0,9.31,9.31,9.31,9.31,0,9.31
20130613,0,9.31,9.31,9.31,9.31,0,9.31
20130612,0,9.31,9.31,9.31,9.31,0,9.31
