date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,3.25,3.25,3.25,3.25,300,3.08
20140113,0,3.15,3.15,3.15,3.15,0,2.98
20140110,0,3.15,3.15,3.15,3.15,0,2.98
20140109,0,3.15,3.15,3.15,3.15,0,2.98
20140108,0,3.15,3.15,3.15,3.15,500,2.98
20140107,0,3.59,3.59,3.59,3.59,0,3.4
20140106,0,3.59,3.59,3.59,3.59,100,3.4
20140103,0,3.55,3.55,3.55,3.55,200,3.36
20140102,0,3.41,3.41,3.41,3.41,200,3.23
20140101,0,3.19,3.19,3.19,3.19,0,3.02
20131231,0,3.19,3.19,3.19,3.19,4800,3.02
20131230,0,3.3,3.3,3.3,3.3,0,3.12
20131227,0,3.3,3.3,3.3,3.3,200,3.12
20131226,0,3.3,3.3,3.3,3.3,0,3.12
20131225,0,3.3,3.3,3.3,3.3,0,3.12
20131224,0,3.3,3.3,3.3,3.3,0,3.12
20131223,0,3.3,3.3,3.3,3.3,500,3.12
20131220,0,3.17,3.17,3.17,3.17,0,3
20131219,0,3.17,3.17,3.17,3.17,300,3
20131218,0,3.26,3.26,3.26,3.26,0,3.08
20131217,0,3.26,3.26,3.26,3.26,0,3.08
20131216,0,3.26,3.26,3.26,3.26,0,3.08
20131213,0,3.26,3.26,3.26,3.26,2200,3.08
20131212,0,3.23,3.23,3.23,3.23,100,3.06
20131211,0,3.11,3.11,3.11,3.11,300,2.94
20131210,0,3.24,3.24,3.24,3.24,0,3.07
20131209,0,3.24,3.24,3.24,3.24,0,3.07
20131206,0,3.24,3.24,3.24,3.24,0,3.07
20131205,0,3.24,3.24,3.24,3.24,0,3.07
20131204,0,3.24,3.24,3.24,3.24,0,3.07
20131203,0,3.24,3.24,3.24,3.24,0,3.07
20131202,0,3.24,3.24,3.24,3.24,0,3.07
20131129,0,3.24,3.24,3.24,3.24,0,3.07
20131128,0,3.24,3.24,3.24,3.24,100,3.07
20131127,0,2.85,2.85,2.85,2.85,0,2.7
20131126,0,2.85,2.85,2.85,2.85,0,2.7
20131125,0,2.85,2.85,2.85,2.85,0,2.7
20131122,0,2.85,2.85,2.85,2.85,0,2.7
20131121,0,3.05,3.05,3.05,3.05,100,2.89
20131120,0,3.05,3.05,3.05,3.05,0,2.89
20131119,0,3.05,3.05,3.05,3.05,0,2.89
20131118,0,3.05,3.05,3.05,3.05,0,2.89
20131115,0,3.05,3.05,3.05,3.05,600,2.89
20131114,0,3.04,3.04,3.04,3.04,0,2.88
20131113,0,3.04,3.04,3.04,3.04,0,2.88
20131112,0,3.04,3.04,3.04,3.04,0,2.88
20131111,0,3.04,3.04,3.04,3.04,0,2.88
20131108,0,3.04,3.04,3.04,3.04,200,2.88
20131107,0,2.91,2.91,2.91,2.91,600,2.75
20131106,0,2.91,2.91,2.91,2.91,1200,2.75
20131105,0,2.91,2.91,2.91,2.91,1400,2.75
20131104,0,2.9,2.9,2.9,2.9,0,2.74
20131101,0,2.64,2.64,2.64,2.64,1200,2.5
20131031,0,2.91,2.91,2.91,2.91,1700,2.75
20131030,0,3.05,3.05,3.05,3.05,0,2.89
20131029,0,3.05,3.05,3.05,3.05,0,2.89
