date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,200,200,192.97,196.6,1527100,188.9
20140113,0,200.8,200.8,197.1,198.5,1096900,190.73
20140110,0,195,202,193.3,200,977700,192.17
20140109,0,193.5,195.6,190.9,193.5,899600,185.93
20140108,0,192.7,194,191.2,192.9,1286500,185.35
20140107,0,189.1,192,187.4,188.4,1146100,181.03
20140106,0,185,189.3,182.72,189.3,655100,181.89
20140103,0,186.4,186.9,184,184.8,745400,177.57
20140102,0,181.5,186.9,180.86,185.8,563600,178.53
20140101,0,180.6,180.6,180.6,180.6,0,173.53
20131231,0,181.8,183.51,180.15,180.6,59200,173.53
20131230,0,184,185,180.8,182.2,197700,175.07
20131227,0,184,185.4,182.1,182.6,111700,175.45
20131226,0,183.7,183.7,183.7,183.7,0,176.51
20131225,0,183.7,183.7,183.7,183.7,0,176.51
20131224,0,182.3,183.7,181.1,183.7,24700,176.51
20131223,0,182.9,182.9,180.1,181.7,133400,174.59
20131220,0,181.7,183.3,181.1,182,503400,174.88
20131219,0,182.3,183.1,180.1,182.2,176000,175.07
20131218,0,179.8,182.2,179.4,180.1,240500,173.05
20131217,0,181,181.1,177.7,179.1,644300,172.09
20131216,0,179.4,182.84,179.4,182,421400,174.88
20131213,0,183.5,183.5,179.3,180,1142400,172.95
20131212,0,183.9,183.9,176.51,182.1,242400,174.97
20131211,0,182.5,184.3,179.36,182.5,492200,175.36
20131210,0,181.3,183.4,181.3,181.9,275200,174.78
20131209,0,183.3,186,181.59,181.6,550800,174.49
20131206,0,183.8,184.1,180.9,182.5,526400,175.36
20131205,0,179.2,186.4,179.2,183,708300,175.84
20131204,0,183.5,183.5,180.14,181,309000,173.92
20131203,0,183.1,185.7,180.7,182.6,700300,175.45
20131202,0,182.1,184.5,180.5,183.5,600300,176.32
20131129,0,180.5,183.2,180.5,181.9,381500,174.78
20131128,0,177.2,181.5,176.3,180.3,443200,173.24
20131127,0,181,181.8,177.3,177.4,895500,170.46
20131126,0,173.4,180.3,171.05,180.2,919200,173.15
20131125,0,176,176.6,172,173,2066000,166.23
20131122,0,176.5,178,173.45,177.5,4274400,170.55
20131121,0,179,179,175.97,176,448500,169.11
20131120,0,182.9,184.44,178.2,179.8,529600,172.76
20131119,0,185,185.2,179.35,182.1,591900,174.97
20131118,0,185.9,186.4,183.9,184,435700,176.8
20131115,0,188,189.37,185.3,186.5,1437000,179.2
20131114,0,187.4,188.4,184,188.2,1028000,180.83
20131113,0,183.9,187,182.5,186,1002600,178.72
20131112,0,183.8,185.52,180,184,1210200,176.8
20131111,0,179,183.4,177.5,183.4,2508600,176.22
20131108,0,175.3,179.7,174.19,178.2,3428800,171.22
20131107,0,179.2,179.9,174.5,175.4,2187000,168.53
20131106,0,170.5,185,170.5,179.7,10843900,172.67
20131105,0,156.8,157,154.1,155,2383000,148.93
20131104,0,155,157.1,154.6,156,2405200,149.89
