date,time,open price,high price,low price,close price,volume,adjusted price
20140129,0,0.06,0.06,0.06,0.06,0,0.06
20140128,0,0.06,0.06,0.06,0.06,0,0.06
20140127,0,0.06,0.06,0.06,0.06,0,0.06
20140124,0,0.09,0.09,0.06,0.06,75000,0.06
20140123,0,0.09,0.09,0.09,0.09,0,0.09
20140122,0,0.09,0.09,0.09,0.09,0,0.09
20140121,0,0.08,0.09,0.08,0.09,100500,0.09
20140120,0,0.08,0.08,0.08,0.08,0,0.08
20140117,0,0.08,0.08,0.08,0.08,50000,0.08
20140116,0,0.06,0.06,0.06,0.06,0,0.06
20140115,0,0.06,0.06,0.06,0.06,0,0.06
20140114,0,0.06,0.06,0.06,0.06,0,0.06
20140113,0,0.06,0.06,0.06,0.06,0,0.06
20140110,0,0.06,0.06,0.06,0.06,0,0.06
20140109,0,0.06,0.06,0.06,0.06,0,0.06
20140108,0,0.06,0.06,0.06,0.06,25000,0.06
20140107,0,0.06,0.06,0.06,0.06,0,0.06
20140106,0,0.06,0.06,0.06,0.06,0,0.06
20140103,0,0.06,0.06,0.06,0.06,0,0.06
20140102,0,0.06,0.06,0.06,0.06,0,0.06
20140101,0,0.06,0.06,0.06,0.06,0,0.06
20131231,0,0.06,0.06,0.06,0.06,0,0.06
20131230,0,0.06,0.06,0.06,0.06,0,0.06
20131227,0,0.06,0.06,0.06,0.06,0,0.06
20131226,0,0.06,0.06,0.06,0.06,0,0.06
20131225,0,0.06,0.06,0.06,0.06,0,0.06
20131224,0,0.06,0.06,0.06,0.06,0,0.06
20131223,0,0.06,0.06,0.06,0.06,0,0.06
20131220,0,0.06,0.06,0.06,0.06,50000,0.06
20131219,0,0.06,0.06,0.06,0.06,23500,0.06
20131218,0,0.06,0.06,0.06,0.06,0,0.06
20131217,0,0.06,0.06,0.06,0.06,25000,0.06
20131216,0,0.07,0.07,0.07,0.07,0,0.07
20131213,0,0.07,0.07,0.07,0.07,6000,0.07
20131212,0,0.07,0.07,0.07,0.07,19000,0.07
20131211,0,0.06,0.06,0.06,0.06,0,0.06
20131210,0,0.06,0.06,0.06,0.06,0,0.06
20131209,0,0.06,0.06,0.06,0.06,0,0.06
20131206,0,0.05,0.06,0.05,0.06,24000,0.06
20131205,0,0.05,0.05,0.05,0.05,0,0.05
20131204,0,0.05,0.05,0.05,0.05,0,0.05
20131203,0,0.05,0.05,0.05,0.05,0,0.05
20131202,0,0.05,0.05,0.05,0.05,0,0.05
20131129,0,0.05,0.05,0.05,0.05,40000,0.05
20131128,0,0.06,0.06,0.06,0.06,0,0.06
20131127,0,0.06,0.06,0.05,0.06,65000,0.06
20131126,0,0.06,0.06,0.06,0.06,0,0.06
20131125,0,0.06,0.06,0.06,0.06,0,0.06
20131122,0,0.06,0.06,0.06,0.06,0,0.06
20131121,0,0.06,0.06,0.06,0.06,0,0.06
20131120,0,0.06,0.06,0.06,0.06,0,0.06
20131119,0,0.06,0.06,0.06,0.06,0,0.06
20131118,0,0.06,0.06,0.06,0.06,0,0.06
20131115,0,0.06,0.06,0.06,0.06,0,0.06
20131114,0,0.06,0.06,0.06,0.06,0,0.06
20131113,0,0.06,0.06,0.06,0.06,0,0.06
20131112,0,0.06,0.06,0.06,0.06,0,0.06
20131111,0,0.06,0.06,0.06,0.06,0,0.06
20131108,0,0.06,0.06,0.06,0.06,0,0.06
20131107,0,0.06,0.06,0.06,0.06,10000,0.06
20131106,0,0.08,0.08,0.08,0.08,0,0.08
20131105,0,0.08,0.08,0.08,0.08,0,0.08
20131104,0,0.08,0.08,0.08,0.08,0,0.08
20131101,0,0.08,0.08,0.08,0.08,0,0.08
20131031,0,0.08,0.08,0.08,0.08,1000,0.08
20131030,0,0.08,0.08,0.08,0.08,0,0.08
20131029,0,0.08,0.08,0.08,0.08,0,0.08
20131028,0,0.08,0.08,0.08,0.08,0,0.08
20131025,0,0.08,0.08,0.08,0.08,0,0.08
20131024,0,0.08,0.08,0.08,0.08,0,0.08
20131023,0,0.08,0.08,0.08,0.08,0,0.08
20131022,0,0.06,0.08,0.06,0.08,140000,0.08
20131021,0,0.06,0.06,0.06,0.06,0,0.06
20131018,0,0.06,0.06,0.06,0.06,0,0.06
20131017,0,0.06,0.06,0.06,0.06,0,0.06
20131016,0,0.06,0.06,0.06,0.06,59000,0.06
20131015,0,0.08,0.08,0.08,0.08,0,0.08
20131014,0,0.08,0.08,0.08,0.08,0,0.08
20131011,0,0.08,0.08,0.08,0.08,0,0.08
20131010,0,0.08,0.08,0.08,0.08,0,0.08
20131009,0,0.08,0.08,0.08,0.08,0,0.08
20131008,0,0.08,0.08,0.08,0.08,0,0.08
20131007,0,0.08,0.08,0.08,0.08,11000,0.08
20131004,0,0.08,0.08,0.08,0.08,0,0.08
20131003,0,0.08,0.08,0.08,0.08,0,0.08
20131002,0,0.08,0.08,0.08,0.08,0,0.08
20131001,0,0.08,0.08,0.08,0.08,0,0.08
20130930,0,0.08,0.08,0.08,0.08,0,0.08
20130927,0,0.08,0.08,0.08,0.08,14000,0.08
20130926,0,0.07,0.07,0.07,0.07,0,0.07
20130925,0,0.07,0.07,0.07,0.07,0,0.07
20130924,0,0.07,0.07,0.07,0.07,30000,0.07
20130923,0,0.07,0.07,0.07,0.07,0,0.07
20130920,0,0.07,0.07,0.07,0.07,0,0.07
20130919,0,0.07,0.07,0.07,0.07,0,0.07
20130918,0,0.07,0.07,0.07,0.07,0,0.07
20130917,0,0.07,0.07,0.07,0.07,0,0.07
20130916,0,0.07,0.07,0.07,0.07,0,0.07
20130913,0,0.07,0.07,0.07,0.07,0,0.07
20130911,0,0.07,0.07,0.07,0.07,0,0.07
20130910,0,0.07,0.07,0.06,0.07,66000,0.07
20130909,0,0.09,0.09,0.09,0.09,0,0.09
20130906,0,0.09,0.09,0.09,0.09,0,0.09
20130905,0,0.09,0.09,0.09,0.09,0,0.09
20130904,0,0.09,0.09,0.09,0.09,0,0.09
20130903,0,0.09,0.09,0.09,0.09,0,0.09
20130902,0,0.09,0.09,0.09,0.09,0,0.09
20130830,0,0.09,0.09,0.09,0.09,22000,0.09
20130829,0,0.09,0.09,0.09,0.09,0,0.09
20130827,0,0.09,0.09,0.09,0.09,0,0.09
20130826,0,0.09,0.09,0.09,0.09,0,0.09
20130823,0,0.09,0.09,0.09,0.09,18000,0.09
20130822,0,0.09,0.09,0.09,0.09,0,0.09
20130821,0,0.09,0.09,0.09,0.09,0,0.09
20130820,0,0.09,0.09,0.09,0.09,0,0.09
20130819,0,0.09,0.09,0.09,0.09,8500,0.09
20130816,0,0.08,0.08,0.08,0.08,0,0.08
20130815,0,0.08,0.08,0.08,0.08,0,0.08
20130814,0,0.08,0.08,0.08,0.08,0,0.08
20130813,0,0.08,0.08,0.08,0.08,58000,0.08
20130812,0,0.08,0.08,0.08,0.08,50000,0.08
