date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,79.58,80.85,79.43,79.55,4900,79.03
20140113,0,80.67,80.69,79.8,80.33,2300,79.81
20140110,0,80.59,80.59,80,80.01,2500,79.49
20140109,0,79.1,80.44,79.06,79.9,5600,79.38
20140108,0,79.7,81.3,77.77,79.75,20700,79.23
20140107,0,79.04,82.9,78.79,82.31,10200,81.78
20140106,0,79.8,79.8,77.7,79.31,5400,78.8
20140103,0,76.14,79.48,76.09,79.48,5300,78.96
20140102,0,74.08,77.48,74.08,75.78,9800,75.29
20140101,0,74.4,74.4,74.4,74.4,0,73.92
20131231,0,74.4,74.4,74.4,74.4,0,73.92
20131230,0,74.4,74.4,73.71,74.4,4000,73.92
20131227,0,74.11,74.52,73.84,73.84,4700,73.36
20131226,0,74.25,74.25,74.25,74.25,0,73.77
20131225,0,74.25,74.25,74.25,74.25,0,73.77
20131224,0,74.25,74.25,74.25,74.25,0,73.77
20131223,0,73.9,74.99,73.71,74.25,2700,73.77
20131220,0,73.58,74.8,73.55,74.48,4100,74
20131219,0,75.4,75.56,73.55,73.99,6700,73.51
20131218,0,75,75.22,74.1,75.05,3600,74.56
20131217,0,73.7,74.98,73.45,74.66,7100,74.18
20131216,0,75.23,75.79,73.67,73.67,5800,73.19
20131213,0,76.76,77.49,75.44,75.85,2500,75.36
20131212,0,74.7,77.4,74.7,77.4,8600,76.9
20131211,0,74.5,75.8,74.5,74.78,3100,74.29
20131210,0,74.08,74.8,73.85,74.7,3500,74.22
20131209,0,75,75,74.36,74.5,3200,74.02
20131206,0,73.77,74.67,70.55,74.67,14100,74.19
20131205,0,72,73.12,71.69,73.12,5500,72.65
20131204,0,72.11,73.44,71.87,72.16,7600,71.69
20131203,0,75.4,76.4,72.42,72.42,25100,71.95
20131202,0,76.93,77,75.95,75.95,3900,75.46
20131129,0,76.03,76.4,76,76.25,600,75.75
20131128,0,76.2,76.5,76.02,76.48,1800,75.98
20131127,0,75.3,76.5,75.01,76.2,5000,75.71
20131126,0,75.02,75.95,73.02,75.33,15000,74.84
20131125,0,76.6,76.61,74.42,75.64,6700,75.15
20131122,0,77,77,76.5,76.99,6100,76.49
20131121,0,77,77,76.42,76.65,3600,76.15
20131120,0,76.88,77,76.26,76.83,6500,76.33
20131119,0,76.96,77,76.4,76.82,5100,76.32
20131118,0,77,77.16,76.6,76.96,5900,76.46
20131115,0,78.3,78.3,76.3,76.5,21000,76
20131114,0,75.17,78.44,74.69,77.89,24700,77.38
20131113,0,73.43,74.51,72.34,74.51,5400,74.03
20131112,0,74.56,74.88,70.37,72.79,16400,72.32
20131111,0,74.98,75.33,73.34,74.41,9800,73.93
20131108,0,76.7,77.5,74.64,74.83,5500,74.34
20131107,0,78.33,78.33,76.22,76.28,7600,75.78
20131106,0,79.5,79.96,76,78.33,18400,77.82
20131105,0,79.5,79.5,77.6,78.5,7200,77.99
20131104,0,78.9,79.6,78.5,79.3,15700,78.79
20131101,0,74.7,78.5,74.7,78.5,17200,77.99
20131031,0,79,79,72.92,74.47,22900,73.99
20131030,0,79.5,79.95,78.5,79.1,6800,78.59
20131029,0,80,80.24,79.62,79.7,4900,79.18
20131028,0,80.02,80.38,79.7,80.1,7700,79.58
20131025,0,79.5,80,79.2,80,6300,79.48
20131024,0,80.6,80.6,79.2,79.9,3500,79.38
20131023,0,80,80.42,79.07,80.42,6000,79.9
20131022,0,80.9,81,78,79.6,14800,79.08
20131021,0,80.56,81.8,80.52,80.9,20200,80.37
20131018,0,78.5,80.56,78.41,80,15500,79.48
20131017,0,78.68,79,78.42,78.7,6800,78.19
20131016,0,79,79,78.3,79,7700,78.49
20131015,0,79.9,79.97,78.5,79.3,14500,78.79
20131014,0,79.96,79.96,78.22,79.26,9900,78.75
20131011,0,79.33,80.09,79.01,80,6500,79.48
20131010,0,78.85,79.3,77.84,79,5800,78.49
20131009,0,81.39,81.39,76.65,79.37,20300,78.85
20131008,0,82.1,83,81.39,81.53,4400,81
20131007,0,85.01,85.01,82,82.09,10100,81.56
20131004,0,84.45,85.1,84.2,85,21100,84.45
20131003,0,84.06,85.53,84.06,84.5,6300,83.95
20131002,0,86.1,86.43,82.51,84.04,20900,83.49
20131001,0,80.55,87.5,80.55,86.2,33700,85.64
20130930,0,80.8,81.27,79.72,80.56,17100,80.04
20130927,0,76,80.97,75.83,80.97,10300,80.44
20130926,0,75.62,76.01,74.97,75.29,9700,74.8
20130925,0,74.2,75.57,73.97,75.5,11600,75.01
20130924,0,72.2,74.2,72.2,74.2,6900,73.72
20130923,0,73,73,72.06,72.82,6500,72.35
20130920,0,72.25,73.61,70.99,73.61,10400,73.13
20130919,0,70.95,72.5,70.82,72.21,4600,71.74
20130918,0,72,72,69.81,70.35,7100,69.89
20130917,0,71.92,72.08,70,71.85,7700,71.38
20130916,0,73.5,73.6,71.64,72.14,7100,71.67
20130913,0,71.9,73.99,71.62,73.58,4800,73.1
20130912,0,73.23,74.21,71.73,72.09,7000,71.62
20130911,0,71.8,72.83,71.51,72.83,2600,72.36
20130910,0,71.4,71.98,70.85,71.6,12800,71.14
20130909,0,71.25,71.6,70.67,70.79,2900,70.33
20130906,0,71.9,71.9,71.3,71.6,6400,71.14
20130905,0,71.75,73.47,70.55,71.5,16700,71.04
