date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,0.25,0.25,0.25,0.25,2500,0.25
20140113,0,0.25,0.25,0.25,0.25,0,0.25
20140110,0,0.3,0.3,0.25,0.25,22500,0.25
20140109,0,0.35,0.35,0.35,0.35,5000,0.35
20140108,0,0.45,0.45,0.45,0.45,0,0.45
20140107,0,0.51,0.51,0.45,0.45,12000,0.45
20140106,0,0.85,0.85,0.55,0.55,8100,0.55
20140103,0,0.85,0.85,0.85,0.85,0,0.85
20140102,0,0.85,0.85,0.85,0.85,0,0.85
20131231,0,0.85,0.85,0.85,0.85,800,0.85
20131230,0,0.85,0.85,0.85,0.85,5000,0.85
20131227,0,0.85,0.85,0.85,0.85,0,0.85
20131226,0,0.85,0.85,0.85,0.85,300,0.85
20131224,0,0.9,0.9,0.9,0.9,0,0.9
20131223,0,0.9,0.9,0.9,0.9,500,0.9
20131220,0,0.85,0.85,0.85,0.85,0,0.85
20131219,0,0.85,0.85,0.85,0.85,0,0.85
20131218,0,0.85,0.85,0.85,0.85,0,0.85
20131217,0,0.88,0.88,0.85,0.85,1300,0.85
20131216,0,0.88,0.88,0.88,0.88,300,0.88
20131213,0,0.9,0.9,0.9,0.9,0,0.9
20131212,0,0.9,0.9,0.9,0.9,0,0.9
20131211,0,0.9,0.9,0.9,0.9,2000,0.9
20131210,0,0.93,0.93,0.9,0.9,2500,0.9
20131209,0,0.88,0.88,0.88,0.88,0,0.88
20131206,0,0.88,0.88,0.88,0.88,0,0.88
20131205,0,0.88,0.88,0.88,0.88,0,0.88
20131204,0,0.88,0.88,0.88,0.88,0,0.88
20131203,0,0.88,0.88,0.88,0.88,200,0.88
20131202,0,0.91,0.91,0.91,0.91,0,0.91
20131129,0,0.91,0.91,0.91,0.91,0,0.91
20131127,0,0.91,0.91,0.91,0.91,0,0.91
20131126,0,0.91,0.91,0.91,0.91,0,0.91
20131125,0,0.96,0.96,0.91,0.91,3000,0.91
20131122,0,0.96,0.96,0.96,0.96,0,0.96
20131121,0,0.96,0.96,0.96,0.96,0,0.96
20131120,0,0.96,0.96,0.96,0.96,0,0.96
20131101,0,0.96,0.96,0.96,0.96,0,0.96
20131031,0,0.96,0.96,0.96,0.96,0,0.96
20131030,0,0.96,0.96,0.96,0.96,0,0.96
20131029,0,0.96,0.96,0.96,0.96,0,0.96
20131028,0,0.96,0.96,0.96,0.96,800,0.96
20131025,0,0.96,0.96,0.96,0.96,0,0.96
20131024,0,0.96,0.96,0.96,0.96,0,0.96
20131023,0,0.96,0.96,0.96,0.96,0,0.96
20131022,0,0.96,0.96,0.96,0.96,0,0.96
20131021,0,0.96,0.96,0.96,0.96,0,0.96
20131018,0,0.96,0.96,0.96,0.96,100,0.96
20131017,0,0.99,0.99,0.99,0.99,0,0.99
20131016,0,0.99,0.99,0.99,0.99,0,0.99
20131015,0,0.99,0.99,0.99,0.99,200,0.99
20131014,0,0.96,0.96,0.96,0.96,0,0.96
20131011,0,0.96,0.96,0.96,0.96,0,0.96
20131010,0,0.96,0.96,0.96,0.96,1900,0.96
20131009,0,0.96,0.96,0.96,0.96,0,0.96
20131008,0,0.96,0.96,0.96,0.96,1100,0.96
20131007,0,0.96,0.96,0.96,0.96,2200,0.96
20131004,0,1,1,1,1,0,1
20131003,0,1,1,1,1,0,1
20131002,0,1,1,1,1,100,1
20131001,0,0.98,0.98,0.98,0.98,0,0.98
20130930,0,0.98,0.98,0.98,0.98,0,0.98
20130927,0,0.98,0.98,0.98,0.98,0,0.98
20130926,0,0.98,0.98,0.98,0.98,0,0.98
20130925,0,0.97,0.98,0.97,0.98,3000,0.98
20130924,0,0.95,0.95,0.95,0.95,0,0.95
20130923,0,0.95,0.95,0.95,0.95,0,0.95
20130920,0,0.95,0.95,0.95,0.95,0,0.95
20130919,0,0.95,0.95,0.95,0.95,0,0.95
20130918,0,0.95,0.95,0.95,0.95,0,0.95
20130917,0,0.95,0.95,0.95,0.95,0,0.95
20130916,0,0.95,0.95,0.95,0.95,0,0.95
20130913,0,0.95,0.95,0.95,0.95,0,0.95
20130912,0,0.95,0.95,0.95,0.95,0,0.95
20130911,0,0.95,0.95,0.95,0.95,0,0.95
20130910,0,0.95,0.95,0.95,0.95,0,0.95
20130909,0,0.95,0.95,0.95,0.95,0,0.95
20130906,0,0.95,0.95,0.95,0.95,0,0.95
20130905,0,0.95,0.95,0.95,0.95,0,0.95
20130904,0,0.95,0.95,0.95,0.95,0,0.95
20130903,0,0.95,0.95,0.95,0.95,0,0.95
20130830,0,0.95,0.95,0.95,0.95,0,0.95
20130829,0,0.95,0.95,0.95,0.95,0,0.95
20130828,0,0.95,0.95,0.95,0.95,0,0.95
20130827,0,0.95,0.95,0.95,0.95,100,0.95
20130826,0,0.95,0.95,0.95,0.95,0,0.95
20130823,0,0.95,0.95,0.95,0.95,0,0.95
20130822,0,0.95,0.95,0.95,0.95,0,0.95
20130821,0,0.95,0.95,0.95,0.95,0,0.95
20130820,0,0.95,0.95,0.95,0.95,0,0.95
20130819,0,0.95,0.95,0.95,0.95,100,0.95
20130816,0,0.95,0.95,0.95,0.95,0,0.95
20130815,0,0.95,0.95,0.95,0.95,800,0.95
20130814,0,0.98,0.98,0.98,0.98,7800,0.98
20130813,0,1.03,1.03,1.03,1.03,0,1.03
20130812,0,1.03,1.03,1.03,1.03,0,1.03
20130809,0,1.03,1.03,1.03,1.03,0,1.03
20130808,0,1.03,1.03,1.03,1.03,0,1.03
20130807,0,1.03,1.03,1.03,1.03,0,1.03
20130806,0,1.03,1.03,1.03,1.03,800,1.03
20130805,0,0.98,0.98,0.98,0.98,5400,0.98
