date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,6.34,6.5,6.33,6.5,13200,6.5
20140113,0,6.39,6.39,6.29,6.29,17400,6.29
20140110,0,6.46,6.46,6.35,6.35,14500,6.35
20140109,0,6.5,6.57,6.37,6.4,24500,6.4
20140108,0,6.35,6.49,6.35,6.45,29000,6.45
20140107,0,6.42,6.48,6.23,6.33,87600,6.33
20140106,0,6.25,6.5,6.18,6.33,85400,6.33
20140103,0,6.62,6.65,6.09,6.15,49700,6.15
20140102,0,6.3,6.6,6.09,6.48,72000,6.48
20131231,0,6.11,6.33,5.93,6.33,53300,6.33
20131230,0,6.04,6.14,6.04,6.09,41200,6.09
20131227,0,6.02,6.17,5.9,6.08,51900,6.08
20131226,0,6.06,6.13,5.95,6.05,43500,6.05
20131224,0,6.1,6.1,5.91,6.05,18800,6.05
20131223,0,6.19,6.19,6.04,6.14,112200,6.14
20131220,0,6.33,6.35,6.05,6.21,72100,6.21
20131219,0,6.41,6.53,6.26,6.34,19600,6.34
20131218,0,6.26,6.54,6.15,6.46,17000,6.46
20131217,0,6.21,6.3,6.04,6.25,95800,6.25
20131216,0,6.19,6.26,6.12,6.21,31900,6.21
20131213,0,6.29,6.29,6.05,6.16,11200,6.16
20131212,0,6.28,6.28,6.16,6.25,14800,6.25
20131211,0,6.26,6.38,6.15,6.24,20500,6.24
20131210,0,6.37,6.43,6.15,6.22,122900,6.22
20131209,0,6.75,6.75,6.44,6.49,155400,6.49
20131206,0,6.79,6.8,6.71,6.78,71800,6.78
20131205,0,6.73,6.76,6.6,6.7,34100,6.7
20131204,0,6.54,6.8,6.54,6.68,62500,6.68
20131203,0,6.5,6.67,6.04,6.61,28200,6.61
20131202,0,6.54,6.74,6.45,6.51,20000,6.51
20131129,0,6.63,6.71,6.63,6.65,17500,6.65
20131127,0,6.06,6.71,6.06,6.59,36900,6.59
20131126,0,6.29,6.63,6.29,6.5,94000,6.5
20131125,0,6,6.42,6,6.25,253600,6.25
20131122,0,5.79,6,5.75,5.96,48100,5.96
20131121,0,5.77,5.9,5.58,5.85,85400,5.85
20131120,0,5.95,6.06,5.7,5.75,10600,5.75
20131119,0,5.96,5.99,5.8,5.87,77700,5.87
20131118,0,5.84,6.11,5.8,5.97,138200,5.97
20131115,0,6.17,6.21,5.75,5.9,225700,5.9
20131114,0,5.55,6.37,5.37,6.11,357600,6.11
20131113,0,5.57,5.7,5.45,5.63,13400,5.63
20131112,0,5.63,5.65,5.31,5.57,82900,5.57
20131111,0,5.78,5.89,5.54,5.61,63800,5.61
20131108,0,5.98,5.98,5.72,5.84,707000,5.84
20131107,0,6.09,6.1,5.79,5.97,213800,5.97
20131106,0,6,6.22,6,6.22,88300,6.22
20131105,0,6.02,6.18,6.02,6.18,22300,6.18
20131104,0,6,6.11,6,6.11,6100,6.11
20131101,0,5.98,6.09,5.93,6.05,5700,6.05
20131031,0,6.03,6.1,6,6.09,5000,6.09
20131030,0,5.98,5.99,5.9,5.98,4900,5.98
20131029,0,5.94,6.07,5.92,6.03,8600,6.03
20131028,0,6,6.07,5.98,6,3700,6
20131025,0,5.95,6.02,5.9,5.97,18800,5.97
20131024,0,6,6.08,5.94,5.98,19300,5.98
20131023,0,6.05,6.09,6.01,6.01,62100,6.01
20131022,0,6,6.1,6,6.06,17100,6.06
20131021,0,6.05,6.05,6,6,800,6
20131018,0,6.05,6.1,5.93,6.01,13200,6.01
20131017,0,6,6.08,6,6.05,3700,6.05
20131016,0,5.83,6.08,5.83,6,27000,6
20131015,0,5.75,6.09,5.75,6,10300,6
20131014,0,5.74,5.94,5.74,5.91,15200,5.91
20131011,0,5.81,5.92,5.76,5.88,7600,5.88
20131010,0,5.87,5.9,5.45,5.89,4400,5.89
20131009,0,5.8,5.88,5.63,5.84,18600,5.84
20131008,0,5.95,5.97,5.67,5.81,18000,5.81
20131007,0,5.96,5.99,5.91,5.99,34900,5.99
20131004,0,6.07,6.07,5.93,5.97,5600,5.97
20131003,0,6.12,6.12,5.93,5.96,15500,5.96
20131002,0,6.18,6.22,6.11,6.11,13600,6.11
20131001,0,6.13,6.25,6.13,6.2,12100,6.2
20130930,0,6.2,6.2,6.04,6.11,3800,6.11
20130927,0,6.11,6.2,6.07,6.07,7900,6.07
20130926,0,6.06,6.11,6,6.11,2700,6.11
20130925,0,6.11,6.2,6.01,6.01,7400,6.01
20130924,0,6.02,6.14,6.01,6.12,3900,6.12
20130923,0,6.17,6.17,6.03,6.03,6000,6.03
20130920,0,6.1,6.15,6.07,6.15,31400,6.15
20130919,0,6.05,6.09,6.02,6.02,2800,6.02
20130918,0,5.99,6.12,5.88,6.12,12800,6.12
20130917,0,5.84,6.03,5.84,5.95,10600,5.95
20130916,0,5.76,6,5.7,5.84,26900,5.84
20130913,0,5.75,5.8,5.71,5.72,8500,5.72
20130912,0,5.75,5.86,5.75,5.75,11000,5.75
20130911,0,5.74,5.88,5.73,5.75,12100,5.75
20130910,0,5.91,5.91,5.71,5.76,19900,5.76
20130909,0,6.1,6.14,5.9,5.92,25100,5.92
20130906,0,6.02,6.3,5.71,6.13,46300,6.13
20130905,0,6,6.08,5.95,6.01,18300,6.01
20130904,0,5.97,6.05,5.86,5.96,16700,5.96
20130903,0,5.87,6.07,5.77,5.99,590800,5.99
20130830,0,5.76,5.83,5.7,5.73,3900,5.73
20130829,0,5.73,5.78,5.7,5.72,4300,5.72
20130828,0,5.75,5.75,5.74,5.74,400,5.74
20130827,0,5.76,5.84,5.71,5.73,16700,5.73
20130826,0,5.75,5.87,5.75,5.81,11900,5.81
20130823,0,5.86,5.86,5.8,5.8,21600,5.8
20130822,0,5.85,5.88,5.85,5.86,14200,5.86
20130821,0,5.9,5.92,5.82,5.85,5800,5.85
20130820,0,5.83,5.97,5.83,5.95,5500,5.95
20130819,0,5.92,5.92,5.82,5.83,7100,5.83
20130816,0,5.99,6,5.95,5.96,14500,5.96
20130815,0,6.1,6.1,5.92,5.96,35600,5.96
20130814,0,6.07,6.1,5.93,6.1,62000,6.1
20130813,0,6.25,6.25,6.05,6.09,10300,6.09
20130812,0,6.17,6.28,6.05,6.16,9200,6.16
20130809,0,6.12,6.28,6.11,6.25,43100,6.25
20130808,0,6.32,6.32,6.06,6.12,17600,6.12
20130807,0,6.29,6.37,6.21,6.28,3700,6.28
20130806,0,6.48,6.48,6.34,6.34,13200,6.34
20130805,0,6.48,6.51,6.44,6.48,10600,6.48
20130802,0,6.52,6.6,6.18,6.51,26000,6.51
20130801,0,6.67,6.82,6.17,6.78,33600,6.78
20130731,0,6.56,6.89,6.33,6.57,248500,6.57
20130730,0,7.11,7.2,6.96,7.12,41100,7.12
20130729,0,6.6,7.1,6.6,7.07,62900,7.07
20130726,0,6.76,6.76,6.57,6.63,79400,6.63
20130725,0,6.68,6.75,6.6,6.71,30700,6.71
20130724,0,6.8,6.88,6.65,6.65,52900,6.65
20130723,0,6.78,6.88,6.64,6.7,47200,6.7
20130722,0,7,7,6.79,6.8,58800,6.8
20130719,0,7.24,7.24,6.87,7.02,35400,7.02
20130718,0,7.25,7.32,7.2,7.27,70700,7.27
20130717,0,7.36,7.36,7.2,7.2,21800,7.2
20130716,0,7.23,7.47,7.23,7.26,18000,7.26
20130715,0,6.99,7.44,6.99,7.16,27500,7.16
20130712,0,7.13,7.15,6.75,6.96,35200,6.96
20130711,0,6.98,7.39,6.9,6.92,42600,6.92
20130710,0,6.78,6.9,6.78,6.9,44400,6.9
20130709,0,6.84,6.98,6.65,6.77,51200,6.77
20130708,0,6.77,6.86,6.58,6.77,10000,6.77
20130705,0,6.77,6.9,6.63,6.73,22100,6.73
20130703,0,6.7,6.84,6.69,6.73,4800,6.73
20130702,0,6.62,6.88,6.5,6.75,22300,6.75
20130701,0,6.26,6.77,6.21,6.68,33700,6.68
20130628,0,6.25,6.53,6.05,6.27,653400,6.27
20130627,0,6.3,6.34,6.13,6.28,61100,6.28
20130626,0,6.09,6.31,6.09,6.25,48000,6.25
20130625,0,6,6.13,5.96,6.06,27700,6.06
20130624,0,6.05,6.18,5.95,5.96,40800,5.96
20130621,0,6,6.13,5.96,6.12,34700,6.12
20130620,0,6.06,6.12,5.95,6.05,32900,6.05
20130619,0,6.24,6.26,6.1,6.1,17500,6.1
20130618,0,6.31,6.34,6.2,6.22,21500,6.22
20130617,0,6.27,6.35,6.2,6.33,19400,6.33
20130614,0,6.31,6.39,6.23,6.24,19000,6.24
20130613,0,6.41,6.42,6.28,6.32,16800,6.32
20130612,0,6.53,6.57,6.41,6.41,22300,6.41
20130611,0,6.63,6.68,6.41,6.42,39100,6.42
20130610,0,6.67,6.84,6.55,6.74,29400,6.74
20130607,0,6.54,6.71,6.5,6.68,26000,6.68
20130606,0,6.53,6.61,6.47,6.52,18600,6.52
20130605,0,6.79,6.79,6.43,6.49,24500,6.49
20130604,0,6.63,6.99,6.61,6.81,31700,6.81
20130603,0,6.51,6.69,6.37,6.6,51000,6.6
20130531,0,6.55,6.7,6.5,6.51,21600,6.51
20130530,0,6.52,6.7,6.52,6.59,14900,6.59
20130529,0,6.6,6.65,6.51,6.55,15000,6.55
20130528,0,6.48,6.64,6.44,6.61,31500,6.61
20130524,0,6.16,6.5,6.07,6.46,35000,6.46
20130523,0,6.05,6.24,6.05,6.17,37100,6.17
20130522,0,6.43,6.46,6.05,6.07,16900,6.07
20130521,0,6.43,6.54,6.42,6.43,25300,6.43
20130520,0,6.35,6.48,6.2,6.42,32000,6.42
20130517,0,6.51,6.54,6.32,6.35,29600,6.35
20130516,0,6.25,6.65,6.25,6.51,39300,6.51
20130515,0,6.25,6.36,6.2,6.28,17900,6.28
20130514,0,6.09,6.31,6.09,6.25,20200,6.25
20130513,0,6.19,6.19,6,6.02,13500,6.02
20130510,0,5.85,6.25,5.85,6.24,22800,6.24
20130509,0,5.92,5.93,5.85,5.85,18700,5.85
20130508,0,5.95,5.95,5.85,5.91,13000,5.91
20130507,0,5.99,6.08,5.91,5.95,39800,5.95
20130506,0,6.07,6.07,5.93,5.96,45900,5.96
20130503,0,5.74,6.26,5.73,6.09,54000,6.09
20130502,0,5.62,5.75,5.62,5.65,64800,5.65
20130501,0,5.77,5.77,5.55,5.63,92200,5.63
20130430,0,6.03,6.06,5.76,5.77,32200,5.77
20130429,0,6.21,6.21,6.02,6.09,14200,6.09
20130426,0,6.36,6.87,6.14,6.17,114700,6.17
20130425,0,5.65,6.4,5.65,6.36,68700,6.36
20130424,0,5.83,5.85,5.68,5.7,55000,5.7
20130423,0,5.78,5.87,5.73,5.81,11100,5.81
20130422,0,5.87,5.89,5.73,5.75,56300,5.75
20130419,0,5.82,5.93,5.52,5.77,36500,5.77
20130418,0,5.78,5.94,5.75,5.82,13700,5.82
20130417,0,5.85,5.95,5.75,5.75,11700,5.75
20130416,0,5.92,6,5.86,5.88,51200,5.88
20130415,0,5.94,6.03,5.88,5.89,39700,5.89
20130412,0,5.94,6.08,5.94,6.01,20100,6.01
20130411,0,5.94,6.02,5.92,5.98,23000,5.98
