date,time,open price,high price,low price,close price,volume,adjusted price
20140129,0,27.41,27.41,26.01,26.5,7400,26.5
20140128,0,27.5,28.17,27,27.39,3800,27.39
20140127,0,28.5,28.5,26.55,27.25,9000,27.25
20140124,0,30.1,30.1,28,28.6,3400,28.6
20140123,0,29.71,30.25,29.71,29.99,3400,29.99
20140122,0,29.35,29.65,29.35,29.65,13600,29.65
20140121,0,30.24,30.25,29,29.39,10200,29.39
20140120,0,30.08,30.08,30,30,1000,30
20140117,0,30,30.48,29.75,30.48,4300,30.48
20140116,0,29.5,29.85,29.5,29.85,700,29.85
20140115,0,29.66,30,29.5,29.77,3800,29.77
20140114,0,28.75,29.75,28.75,29.75,3800,29.75
20140113,0,29.91,30.02,27.99,28.75,11300,28.75
20140110,0,30.42,30.42,29.7,30.16,5000,30.16
20140109,0,30,31,29.65,29.9,9100,29.9
20140108,0,29.5,29.9,29.29,29.75,12700,29.75
20140107,0,29.4,29.4,28.89,28.9,10300,28.9
20140106,0,27.5,28.88,27.5,28.85,11800,28.85
20140103,0,27.07,27.49,27,27.15,4400,27.15
20140102,0,26.75,27.17,26.68,27.17,5500,27.17
20131231,0,27.1,27.24,26.95,26.99,2400,26.99
20131230,0,27.6,27.85,27,27.27,2000,27.27
20131227,0,27.74,27.75,27.48,27.48,400,27.48
20131224,0,27.54,27.74,27.25,27.74,1000,27.74
20131223,0,26.25,27.68,26.25,27.28,5900,27.28
20131220,0,26.02,26.2,25.93,26.2,2000,26.2
20131219,0,26.16,26.37,25.81,26.2,3000,26.2
20131218,0,25.55,26.11,25.51,26.11,19300,26.11
20131217,0,25.34,25.55,25,25.5,11700,25.5
20131216,0,25.6,25.6,25.27,25.55,5800,25.55
20131213,0,25.96,26.23,25.5,25.75,7300,25.75
20131212,0,25.15,26,25.02,25.75,5200,25.75
20131211,0,24.9,25.15,24.75,25.14,10000,25.14
20131210,0,25.12,25.19,24.75,25,27400,25
20131209,0,25.74,25.74,24.84,25.25,21500,25.25
20131206,0,26.48,27,25.2,25.2,4000,25.2
20131205,0,26.05,27.29,25.9,25.9,4900,25.9
20131204,0,26.99,27.47,26.28,26.34,63500,26.34
20131203,0,27.27,27.27,26.63,27.26,5500,27.26
20131202,0,27.88,27.88,27.36,27.7,2800,27.7
20131129,0,27.55,27.9,27.25,27.8,2600,27.8
20131128,0,28.05,28.15,27.75,28,1100,28
20131127,0,27.5,28.05,27.5,28.05,1200,28.05
20131126,0,27.12,27.5,26.97,27.28,4600,27.28
20131125,0,28,28,27.5,27.5,4700,27.5
20131122,0,28.3,28.44,27.74,28.05,5400,28.05
20131121,0,27.32,28.3,27.32,28.3,8800,28.3
20131120,0,26.18,27.69,26.18,27.65,9400,27.65
20131119,0,26.65,27.2,26.16,26.18,12600,26.18
20131118,0,25.25,27.25,25.25,26.71,8600,26.71
20131115,0,25.25,25.75,25,25.04,2600,25.04
20131114,0,24.5,25.25,24.5,25.01,7500,25.01
20131113,0,24.11,24.47,24,24.4,5000,24.4
20131112,0,24.65,24.75,24,24.09,4600,24.09
20131111,0,23.1,24.5,23.1,24.34,3400,24.34
20131108,0,21.65,23.4,21.65,22.95,15700,22.95
20131107,0,20.6,21.5,19.57,21.5,9400,21.5
20131106,0,22.4,22.68,21.8,21.8,20600,21.8
20131105,0,21.65,22.25,21.65,22.25,3400,22.25
20131104,0,21.06,21.95,21.06,21.95,4200,21.95
20131101,0,22.5,22.5,21.69,21.69,8400,21.69
20131031,0,22.45,22.85,21.65,22.2,15200,22.2
20131030,0,22.82,22.95,22.25,22.25,13000,22.25
20131029,0,22.7,23,22.6,22.9,7000,22.9
20131028,0,22.4,23.2,22.4,23,2600,23
20131025,0,22.74,22.83,20.92,22.21,8900,22.21
20131024,0,22.4,22.7,22.1,22.7,9800,22.7
20131023,0,22.7,23,22.1,22.1,3300,22.1
20131022,0,23,23,22.15,22.55,3400,22.55
20131021,0,23.1,23.5,22.9,23.15,3100,23.15
20131018,0,23.35,23.5,22.9,23.2,2800,23.2
20131017,0,22.75,23.2,22.75,23.2,4700,23.2
20131016,0,23.31,23.31,22.58,22.89,2800,22.89
20131015,0,23.6,23.7,23.45,23.46,1500,23.46
20131011,0,23.5,24.42,23.5,23.86,6400,23.86
20131010,0,22.6,23.35,22.6,23.35,2400,23.35
20131009,0,22.45,22.6,21.99,22.3,4600,22.3
20131008,0,22.93,23.05,22.48,22.51,3200,22.51
20131007,0,22.61,23.05,22.61,22.9,1100,22.9
20131004,0,23.2,23.2,23.1,23.17,700,23.17
20131003,0,23.3,23.41,23.12,23.28,2500,23.28
20131002,0,23.72,23.8,23.32,23.34,1300,23.34
20131001,0,23.48,23.74,23.4,23.73,3100,23.73
20130930,0,23.8,24.1,23.6,23.69,3900,23.69
