date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,16.68,16.9,16.64,16.81,257700,16.81
20140113,0,16.99,17.09,16.41,16.61,723900,16.61
20140110,0,16.23,17.08,16.12,16.98,837800,16.98
20140109,0,16.48,16.54,15.9,16.2,569900,16.2
20140108,0,16.6,16.68,16.41,16.48,362500,16.48
20140107,0,16.61,17.06,16.49,16.6,1644500,16.6
20140106,0,17.43,17.5,16.61,16.64,638300,16.64
20140103,0,17.43,17.52,17.18,17.33,363400,17.33
20140102,0,17.83,17.92,17.35,17.44,377500,17.44
20131231,0,18.08,18.12,17.83,17.94,225100,17.94
20131230,0,18.57,18.57,17.93,17.99,999400,17.99
20131227,0,18.32,18.67,18.22,18.53,449600,18.53
20131226,0,18.1,18.48,18.08,18.23,248100,18.23
20131224,0,18.33,18.43,17.96,18.06,62100,18.06
20131223,0,18.07,18.21,17.92,18.12,366100,18.12
20131220,0,17.45,18.03,17.36,17.94,498300,17.94
20131219,0,17.64,17.79,17.39,17.5,305200,17.5
20131218,0,17.32,17.76,17.07,17.7,480400,17.7
20131217,0,17.14,17.52,16.96,17.32,516700,17.32
20131216,0,17.16,17.63,16.81,17.09,839900,17.09
20131213,0,17.03,17.37,16.98,17.03,457000,17.03
20131212,0,17.2,17.35,16.82,16.95,553900,16.95
20131211,0,17.97,17.97,17.03,17.14,410500,17.14
20131210,0,18,18.22,17.84,17.92,249400,17.92
20131209,0,18.22,18.26,17.76,18,223000,18
20131206,0,18.42,18.48,18.02,18.19,209500,18.19
20131205,0,18.17,18.44,18.01,18.2,207700,18.2
20131204,0,17.89,18.22,17.7,18.16,320500,18.16
20131203,0,18.08,18.26,17.93,17.99,290600,17.99
20131202,0,18.78,18.78,17.92,18.08,721000,18.08
20131129,0,18.9,18.9,18.73,18.74,196300,18.74
20131127,0,19.07,19.12,18.85,18.9,150000,18.9
20131126,0,18.66,19.16,18.57,19.02,264200,19.02
20131125,0,18.86,19.08,18.16,18.69,990300,18.69
20131122,0,19,19.07,18.79,18.87,401800,18.87
20131121,0,18.9,19.18,18.9,18.94,381100,18.94
20131120,0,19.14,19.23,18.8,18.87,518000,18.87
20131119,0,18.57,19.09,18.41,19.07,675700,19.07
20131118,0,18.88,19.16,18.48,18.52,457400,18.52
20131115,0,18.86,18.92,18.58,18.8,513600,18.8
20131114,0,18.39,18.98,18.35,18.78,539600,18.78
20131113,0,18.22,18.61,18.22,18.42,765500,18.42
20131112,0,17.96,18.39,17.9,18.28,389900,18.28
20131111,0,18.13,18.28,17.97,18,338900,18
20131108,0,17.4,18.27,17.4,18.2,799800,18.2
20131107,0,17.61,17.65,17.24,17.43,843900,17.43
20131106,0,17.51,17.65,17.31,17.56,855400,17.56
20131105,0,17.07,17.55,16.95,17.45,967400,17.45
20131104,0,16.96,17.16,16.63,17.12,1746800,17.12
20131101,0,16.82,17.17,16.4,16.9,1234900,16.9
20131031,0,17.75,18.38,16.2,16.84,4983000,16.84
20131030,0,21.58,21.58,20.88,20.94,665900,20.94
20131029,0,22.29,22.36,21.43,21.61,733600,21.61
20131028,0,21.92,22.6,21.71,22.29,615900,22.29
20131025,0,22.75,22.85,21.56,21.87,838600,21.87
20131024,0,22.41,23.14,22.09,22.69,348900,22.69
20131023,0,22.28,22.74,21.94,22.41,250400,22.41
20131022,0,22.83,22.84,22.04,22.42,187000,22.42
20131021,0,22.44,23.03,22.44,22.7,278400,22.7
20131018,0,22.65,22.68,22.05,22.45,634400,22.45
20131017,0,22.1,22.34,21.95,22.34,328400,22.34
20131016,0,21.84,22.23,21.72,22.15,359500,22.15
20131015,0,22.32,22.32,21.58,21.81,480300,21.81
20131014,0,21.87,22.42,21.63,22.42,264500,22.42
20131011,0,21.13,22.02,21.13,22.02,256100,22.02
20131010,0,20.7,21.22,20.7,21.21,374400,21.21
20131009,0,20.76,20.88,20.2,20.45,439500,20.45
20131008,0,21.12,21.15,20.55,20.75,1149000,20.75
20131007,0,21.05,21.24,20.79,21.03,263200,21.03
20131004,0,21.06,21.27,20.99,21.13,305800,21.13
20131003,0,20.94,21.05,20.55,20.99,258000,20.99
