date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,40.41,40.79,39.41,39.56,234600,39.09
20140113,0,40.36,40.47,39.86,40.16,83900,39.68
20140110,0,40.9,40.97,39.47,40.35,182100,39.87
20140109,0,41.06,41.07,39.12,40.39,326100,39.91
20140108,0,39.86,41,39.62,41,544800,40.51
20140107,0,37.83,39.25,37.27,39.25,592600,38.78
20140106,0,37,37.97,37,37.26,190900,36.81
20140103,0,37.14,37.14,36.76,36.9,172600,36.46
20140102,0,37.95,38.2,37.28,37.36,147900,36.91
20140101,0,37.76,37.76,37.76,37.76,0,37.31
20131231,0,37.3,37.92,37.01,37.76,90700,37.31
20131230,0,37.92,37.92,37.33,37.49,226300,37.04
20131227,0,37.85,38.35,37.48,38,179800,37.55
20131226,0,37.42,37.42,37.42,37.42,0,36.97
20131225,0,37.42,37.42,37.42,37.42,0,36.97
20131224,0,36.93,37.5,36.92,37.42,174300,36.97
20131223,0,38.1,38.25,36.62,36.96,252300,36.52
20131220,0,36.55,38.5,36.12,37.88,730500,37.43
20131219,0,36.06,36.52,35.66,36.32,1013700,35.89
20131218,0,37,37.36,35.7,36,1380000,35.57
20131217,0,37.98,37.98,36.61,37.74,1287900,37.29
20131216,0,40.72,40.9,40.26,40.53,135500,40.05
20131213,0,40.07,41.75,39.58,40.96,205000,40.47
20131212,0,40.93,41.94,40.24,40.34,313100,39.86
20131211,0,40.65,42.47,40.65,41.04,340600,40.55
20131210,0,38.95,40.79,38.72,40.62,276000,40.13
20131209,0,39.98,40.22,38.86,38.95,224500,38.48
20131206,0,40.52,40.7,39.88,40.32,171700,39.84
20131205,0,41.25,41.45,40.31,40.48,200000,40
20131204,0,40.6,41.34,40,41.24,476000,40.75
20131203,0,40.77,40.97,40.29,40.55,237400,40.07
20131202,0,40.37,41.59,40.23,40.43,383300,39.95
20131129,0,40.29,40.51,40.14,40.51,174900,40.03
20131128,0,40.36,40.75,40.09,40.47,240500,39.99
20131127,0,40.5,40.65,39.76,40.2,331700,39.72
20131126,0,40.61,41.05,39.82,40.4,7069000,39.92
20131125,0,40.45,41.42,39.88,40.26,532000,39.78
20131122,0,41.28,41.8,40.53,40.53,485700,40.05
20131121,0,40.71,41.15,40.64,40.7,225600,40.21
20131120,0,41.2,41.3,40.6,41.3,408100,40.81
20131119,0,42.2,42.25,41.26,41.36,563900,40.87
20131118,0,42.5,42.95,42.12,42.59,275900,42.08
20131115,0,42,42.56,41.92,42.34,487200,41.83
20131114,0,41.69,42.14,40.88,41.92,224100,41.42
20131113,0,42.52,42.98,41.34,42,393200,41.5
20131112,0,41.1,42.52,40.65,42.45,715600,41.94
20131111,0,40.9,41.07,39.81,40,312900,39.52
20131108,0,41,41,40.06,40.82,203400,40.33
20131107,0,40.35,40.99,40.06,40.8,323100,40.31
20131106,0,40.6,40.82,39.81,40.37,243200,39.89
20131105,0,40.85,41.15,40.85,40.97,198700,40.48
20131104,0,41,41.17,40.62,40.74,158900,40.25
20131101,0,41.22,41.75,40.75,40.94,176900,40.45
20131031,0,41.62,41.71,40.91,41.5,370200,41
20131030,0,40.99,41.33,40.7,41,257700,40.51
20131029,0,41.13,41.25,40.43,40.62,462700,40.13
20131028,0,41,41.69,40.91,41.24,300800,40.75
20131025,0,41.15,41.4,40.46,40.51,148000,40.03
20131024,0,41.45,41.54,40.95,41.09,151600,40.6
20131023,0,41.21,41.63,40.84,41.45,260800,40.95
20131022,0,41.4,41.42,40.83,41.07,238100,40.58
20131021,0,41.55,41.74,40.8,41.04,232100,40.55
20131018,0,40.65,41.38,40.4,41.28,522000,40.79
20131017,0,40.89,40.94,40.12,40.85,424400,40.36
20131016,0,40.41,41,39.86,40.4,356400,39.92
20131015,0,40.11,40.41,39.48,40.41,261800,39.93
20131014,0,40.15,40.46,39.02,39.32,256700,38.85
20131011,0,39.25,40.04,38.88,39.85,438000,39.37
20131010,0,38.64,39.52,38.22,38.95,525200,38.48
20131009,0,37.5,38.73,37.5,38.54,344800,38.08
20131008,0,38.19,38.2,37.46,38.05,337900,37.6
20131007,0,39,39.29,38.17,38.8,137400,38.34
20131004,0,38.98,39.35,38.31,39.22,280300,38.75
20131003,0,38.45,39.44,38.2,39.2,275800,38.73
20131002,0,38.16,38.56,37.69,38.42,227400,37.96
20131001,0,37.7,38.53,37.61,38.25,163600,37.79
