date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,5.63,5.63,5.5,5.63,900,5.4
20140113,0,5.5,5.56,5.5,5.56,200,5.33
20140110,0,5.5,5.5,5.43,5.5,1100,5.27
20140109,0,5.5,5.5,5.5,5.5,0,5.27
20140108,0,5.5,5.5,5.5,5.5,500,5.27
20140107,0,5.5,5.5,5.5,5.5,0,5.27
20140106,0,5.33,5.57,5.32,5.5,2500,5.27
20140103,0,5.32,5.32,5.32,5.32,0,5.1
20140102,0,5.32,5.32,5.32,5.32,0,5.1
20140101,0,5.32,5.32,5.32,5.32,0,5.1
20131231,0,5.32,5.32,5.32,5.32,0,5.1
20131230,0,5.32,5.32,5.32,5.32,0,5.1
20131227,0,5.3,5.32,5.3,5.32,0,5.1
20131226,0,5.3,5.3,5.3,5.3,0,5.08
20131225,0,5.3,5.3,5.3,5.3,0,5.08
20131224,0,5.3,5.3,5.3,5.3,0,5.08
20131223,0,5.3,5.3,5.3,5.3,400,5.08
20131220,0,5.32,5.32,5.32,5.32,0,5.1
20131219,0,5.32,5.32,5.32,5.32,100,5.1
20131218,0,5.32,5.32,5.32,5.32,0,5.1
20131217,0,5.49,5.49,5.32,5.32,900,5.1
20131216,0,5.5,5.5,5.5,5.5,0,5.27
20131213,0,5.59,5.59,5.55,5.59,0,5.36
20131212,0,5.59,5.59,5.59,5.59,0,5.36
20131211,0,5.6,5.6,5.5,5.6,0,5.37
20131210,0,5.6,5.6,5.6,5.6,0,5.37
20131209,0,5.6,5.6,5.6,5.6,900,5.37
20131206,0,5.6,5.6,5.6,5.6,200,5.37
20131205,0,5.6,5.6,5.6,5.6,0,5.37
20131204,0,5.6,5.6,5.6,5.6,0,5.37
20131203,0,5.6,5.6,5.6,5.6,0,5.37
20131202,0,5.61,5.61,5.45,5.6,200,5.37
20131129,0,5.61,5.61,5.61,5.61,0,5.38
20131128,0,5.61,5.61,5.61,5.61,400,5.38
20131127,0,5.61,5.61,5.61,5.61,0,5.38
20131126,0,5.61,5.61,5.61,5.61,600,5.38
20131125,0,5.61,5.61,5.61,5.61,0,5.38
20131122,0,5.61,5.62,5.61,5.61,600,5.38
20131121,0,5.61,5.61,5.61,5.61,0,5.38
20131120,0,5.61,5.61,5.61,5.61,0,5.38
20131119,0,5.61,5.61,5.61,5.61,0,5.38
20131118,0,5.61,5.61,5.61,5.61,0,5.38
20131115,0,5.61,5.61,5.61,5.61,0,5.38
20131114,0,5.61,5.61,5.61,5.61,0,5.38
20131113,0,5.61,5.61,5.61,5.61,1000,5.38
20131112,0,5.55,5.55,5.54,5.55,0,5.32
20131111,0,5.55,5.55,5.55,5.55,0,5.32
20131108,0,5.55,5.55,5.55,5.55,0,5.32
20131107,0,5.55,5.55,5.55,5.55,0,5.32
20131106,0,5.55,5.55,5.55,5.55,0,5.32
20131105,0,5.61,5.61,5.55,5.55,200,5.32
20131104,0,5.61,5.61,5.61,5.61,1000,5.38
20131101,0,5.6,5.61,5.6,5.61,0,5.38
20131031,0,5.6,5.6,5.6,5.6,0,5.37
20131030,0,5.61,5.61,5.4,5.6,1000,5.37
20131029,0,5.61,5.61,5.61,5.61,0,5.38
20131028,0,5.6,5.6,5.6,5.6,100,5.37
20131025,0,5.6,5.6,5.6,5.6,0,5.37
20131024,0,5.63,5.63,5.6,5.6,400,5.37
20131023,0,5.3,5.57,5.3,5.57,600,5.34
20131022,0,5.35,5.35,5.3,5.3,100,5.08
20131021,0,5.29,5.35,5.29,5.35,100,5.13
20131018,0,5.28,5.28,5.28,5.28,0,5.06
20131017,0,5.28,5.28,5.28,5.28,0,5.06
20131016,0,5.26,5.28,5.26,5.28,200,5.06
20131015,0,5.28,5.28,5.26,5.26,900,5.04
20131014,0,5.26,5.28,5.26,5.28,300,5.06
20131011,0,5.27,5.27,5.26,5.26,200,5.04
20131010,0,5.28,5.28,5.27,5.27,700,5.05
20131009,0,5.28,5.28,5.28,5.28,200,5.06
20131008,0,5.27,5.28,5.27,5.28,200,5.06
20131007,0,5.27,5.27,5.27,5.27,400,5.05
20131004,0,5.31,5.31,5.31,5.31,0,5.09
20131003,0,5.31,5.31,5.31,5.31,0,5.09
20131002,0,5.27,5.28,5.27,5.28,0,5.06
20131001,0,5,5.25,5,5.25,400,5.03
20130930,0,5.1,5.1,5.1,5.1,0,4.89
20130927,0,5.19,5.38,5.1,5.1,1400,4.89
20130926,0,4.9,5.05,4.9,5.05,1400,4.84
20130925,0,4.9,4.9,4.9,4.9,0,4.7
20130924,0,4.9,4.9,4.9,4.9,0,4.7
20130923,0,4.9,4.9,4.9,4.9,0,4.7
20130920,0,4.9,4.9,4.9,4.9,0,4.7
20130919,0,4.9,4.9,4.9,4.9,300,4.7
20130918,0,4.8,4.8,4.8,4.8,0,4.6
20130917,0,4.81,4.81,4.8,4.8,0,4.6
20130916,0,4.8,4.8,4.8,4.8,101200,4.6
20130913,0,4.75,4.75,4.75,4.75,1100,4.55
20130912,0,4.65,4.65,4.64,4.64,0,4.45
20130911,0,4.64,4.64,4.64,4.64,300,4.45
20130910,0,4.6,4.6,4.6,4.6,0,4.41
20130909,0,4.64,4.64,4.6,4.6,0,4.41
20130906,0,4.64,4.64,4.64,4.64,0,4.45
