date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,85.99,88.97,85.5,88.46,4587000,17.4
20140113,0,89.95,90.58,85.5,86.78,6237000,17.07
20140110,0,88.91,90.7,88.3,89.21,4065000,17.54
20140109,0,91.37,91.69,87.51,88.95,7975000,17.49
20140108,0,91.08,92.41,89.71,91.69,5094000,18.03
20140107,0,83.95,93.49,83.32,91.95,11018000,18.08
20140106,0,82.79,85.31,81.36,83.98,4276000,16.52
20140103,0,82.15,83.22,80.75,82.33,4206000,16.19
20140102,0,82.4,82.7,80.58,82.51,5523000,16.23
20131231,0,80.92,82.73,80.26,82.41,3200000,16.21
20131230,0,81,83.03,80.35,81.18,2635000,15.97
20131227,0,81.5,82.49,80.2,81.14,2675000,15.96
20131226,0,82.65,84.44,80,81.58,4012000,16.04
20131224,0,82.91,83.99,79.55,83.26,3500000,16.37
20131223,0,77.96,82.33,77.67,80.65,4394000,15.86
20131220,0,76.22,77.94,74.8,77.23,3520000,15.19
20131219,0,76.84,76.84,73.48,76.01,3319500,14.95
20131218,0,74.62,76.43,74.25,76.06,5523000,14.96
20131217,0,71.6,76.76,71.6,75.73,6339500,14.89
20131216,0,73.75,75.27,71.31,72.47,4425500,14.25
20131213,0,72.07,74.35,72.05,73.28,4966000,14.41
20131212,0,69.36,72.34,69,71.82,4599500,14.12
20131211,0,72.03,73.5,68.18,69.02,4575000,13.57
20131210,0,69.99,72.3,69.38,71.75,5442500,14.11
20131209,0,72.12,72.59,69.62,70.02,4729500,13.77
20131206,0,72.91,74.5,70.26,71.64,4921500,14.09
20131205,0,72.91,73.9,71.7,72.67,9300000,14.29
20131204,0,73.76,75.99,71.8,73.76,9805500,14.51
20131203,0,72.48,77.45,71,76.54,11231500,15.05
20131202,0,65.6,72.65,65.52,71.85,8989000,14.13
20131129,0,64.01,66.2,64.01,64.95,2279500,12.77
20131127,0,65,66.9,64,65.5,4871000,12.88
20131126,0,65.19,66.79,63.1,65.62,4832000,12.91
20131125,0,67.99,67.99,64.71,65.44,3464500,12.87
20131122,0,68,68.56,65.64,67.82,2256000,13.34
20131121,0,65.28,67.98,65.28,67.76,2950500,13.33
20131120,0,68.1,68.86,64.5,65.27,4411500,12.84
20131119,0,67.01,68.89,64.49,67.43,5199500,13.26
20131118,0,68.5,71.62,65.48,66.53,7903500,13.08
20131115,0,65.25,67.63,64.2,67.05,8695000,13.19
20131114,0,67.5,68.42,62.07,63.7,17894500,12.53
20131113,0,61.66,67.81,61.55,67.43,8259500,13.26
20131112,0,60.89,63.44,60.14,62.46,4646000,12.28
20131111,0,57.21,62.93,57.21,62.41,11293000,12.27
20131108,0,51.5,57.74,51.1,57.19,10594000,11.25
20131107,0,56.57,56.93,45.64,51.4,15231500,10.11
20131106,0,55.57,57.38,52.9,53.59,7870000,10.54
20131105,0,54.61,54.9,53.23,54.3,3681000,10.68
20131104,0,53.5,55,52.8,54.84,3945500,10.79
20131101,0,53,54.2,52.45,53.39,3909000,10.5
20131031,0,50,54.48,49.91,53.23,4952000,10.47
20131030,0,52.26,52.43,49.55,49.91,5189500,9.82
20131029,0,50.13,51.3,48.3,51.02,5913500,10.03
20131028,0,50.42,51.75,49.2,50.02,10798000,9.84
20131025,0,52.78,54.5,49.29,50.03,10578500,9.84
20131024,0,53.81,57,52.42,53.26,10181000,10.47
20131023,0,53.15,54.1,50.56,53.87,8731500,10.59
