date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,16.69,17.6,16.6,17.6,7100,17.09
20140113,0,16.5,16.69,16.4,16.69,6600,16.21
20140110,0,16.25,16.54,16.2,16.5,12800,16.02
20140109,0,16.58,16.58,15.85,16.22,20000,15.75
20140108,0,18.35,18.35,16.7,17.3,21100,16.8
20140107,0,18.36,18.5,18.05,18.22,10200,17.69
20140106,0,17.5,18.48,17.17,18.47,20900,17.94
20140103,0,16.6,17.5,16.32,17.5,29100,16.99
20140102,0,15.8,16.8,15.72,16.8,19100,16.32
20140101,0,15.72,15.72,15.72,15.72,0,15.27
20131231,0,15.89,15.89,15.72,15.72,800,15.27
20131230,0,15.89,15.89,15.7,15.89,6100,15.43
20131227,0,15.53,15.64,15.38,15.6,7900,15.15
20131226,0,15.53,15.53,15.53,15.53,0,15.08
20131225,0,15.53,15.53,15.53,15.53,0,15.08
20131224,0,15.58,15.58,15.45,15.53,2800,15.08
20131223,0,15.2,15.54,15.06,15.54,8400,15.09
20131220,0,15.14,15.2,14.95,15.15,5200,14.71
20131219,0,14.95,15.1,14.88,15.1,15700,14.66
20131218,0,14.77,14.95,14.77,14.95,1100,14.52
20131217,0,15.1,15.1,14.78,14.78,6600,14.35
20131216,0,15.07,15.08,15,15.08,3000,14.64
20131213,0,14.88,15.07,14.8,15.07,5100,14.63
20131212,0,14.95,14.95,14.7,14.88,6700,14.45
20131211,0,15,15.06,14.95,14.95,2500,14.52
20131210,0,15,15.06,14.98,15.06,1200,14.63
20131209,0,15.03,15.05,14.98,15.05,9600,14.62
20131206,0,15,15.02,14.88,15.02,8000,14.59
20131205,0,15,15,14.82,14.87,5500,14.44
20131204,0,14.76,15,14.76,14.87,13500,14.44
20131203,0,14.8,14.82,14.75,14.82,2800,14.39
20131202,0,14.96,14.97,14.79,14.8,5500,14.37
20131129,0,14.5,14.9,14.4,14.78,12300,14.35
20131128,0,14.72,14.75,14.32,14.4,22900,13.98
20131127,0,14.1,14.25,14,14.14,5200,13.73
20131126,0,14.35,14.6,14,14.16,16700,13.75
20131125,0,14.35,14.58,14.35,14.5,1600,14.08
20131122,0,14.94,15,14.15,14.58,5400,14.16
20131121,0,14.99,14.99,14.8,14.85,30200,14.42
20131120,0,14.83,15.1,14.83,15,30300,14.57
20131119,0,14.8,14.87,14.67,14.84,27400,14.41
20131118,0,14.7,14.8,14.46,14.6,28300,14.18
20131115,0,14.25,14.8,14.12,14.25,35400,13.84
20131114,0,14.18,14.2,14.05,14.18,7600,13.77
20131113,0,14.2,14.2,14,14.18,15500,13.77
20131112,0,14.2,14.2,14.05,14.12,1700,13.71
20131111,0,14.14,14.2,14.05,14.1,2800,13.69
20131108,0,14.01,14.1,14.01,14.1,12300,13.69
20131107,0,14.01,14.04,14.01,14.04,3600,13.63
20131106,0,13.97,14.04,13.97,14.01,7400,13.61
20131105,0,13.89,13.96,13.85,13.96,24800,13.56
20131104,0,13.9,13.9,13.7,13.8,9800,13.4
20131101,0,13.8,13.8,13.68,13.75,700,13.35
20131031,0,13.77,13.9,13.68,13.8,1700,13.4
20131030,0,13.76,13.95,13.64,13.74,800,13.34
20131029,0,13.7,13.81,13.7,13.76,8100,13.36
20131028,0,13.7,13.7,13.65,13.7,5800,13.3
20131025,0,13.7,13.76,13.6,13.75,5100,13.35
20131024,0,13.73,13.74,13.61,13.72,1500,13.32
20131023,0,13.57,13.9,13.56,13.81,12200,13.41
20131022,0,13.83,13.9,13.7,13.8,5700,13.4
20131021,0,13.8,13.88,13.58,13.88,8700,13.48
20131018,0,13.66,13.8,13.66,13.7,1000,13.3
20131017,0,13.46,13.69,13.46,13.66,1800,13.27
20131016,0,13.6,13.7,13.3,13.58,10300,13.19
20131015,0,13.74,13.79,13.61,13.66,5100,13.27
20131014,0,13.83,14.03,13.6,13.73,13000,13.33
20131011,0,13.73,13.99,13.73,13.99,10000,13.59
20131010,0,13.74,13.74,13.4,13.74,1100,13.34
20131009,0,13.45,13.76,13.44,13.75,36400,13.35
20131008,0,13.44,13.61,13.35,13.51,5200,13.12
20131007,0,13.01,13.45,13.01,13.45,16500,13.06
20131004,0,13,13.12,13,13.05,6500,12.67
20131003,0,13.14,13.25,13.01,13.04,3100,12.66
20131002,0,13.18,13.29,13.12,13.12,1900,12.74
20131001,0,12.5,13.4,12.5,13.3,29600,12.92
20130930,0,12.9,12.9,12.41,12.65,15400,12.28
20130927,0,12.98,13.03,12.85,12.9,13500,12.53
20130926,0,12.27,12.98,12.15,12.98,62100,12.61
20130925,0,12,12.04,11.67,12,8200,11.65
20130924,0,12,12.05,11.9,12.05,9900,11.7
20130923,0,11.85,12,11.72,12,13800,11.65
20130920,0,12.06,12.2,12,12.12,12500,11.77
20130919,0,11.59,12.04,11.57,12.03,9100,11.68
20130918,0,11.3,11.56,11.27,11.46,4600,11.13
20130917,0,11.36,11.36,11.12,11.36,10000,11.03
20130916,0,11.3,11.35,11.06,11.35,3400,11.02
20130913,0,11.05,11.3,11.05,11.3,1500,10.97
20130912,0,11.2,11.2,11.08,11.15,900,10.83
20130911,0,11.06,11.24,11.05,11.05,1100,10.73
20130910,0,11.3,11.3,11.05,11.24,2800,10.92
20130909,0,11.15,11.15,11.06,11.1,7000,10.78
20130906,0,11.2,11.34,11.05,11.25,1400,10.93
20130905,0,11.2,11.36,11.2,11.2,3900,10.88
20130904,0,11.19,11.19,11.02,11.1,200,10.78
20130903,0,11.34,11.34,11.02,11.19,2600,10.87
20130902,0,11.3,11.36,11,11.25,300,10.93
20130830,0,10.96,11.3,10.96,11.3,6700,10.97
20130829,0,11.23,11.23,11.01,11.18,1200,10.86
20130828,0,11,11.23,10.95,11.23,17500,10.91
20130827,0,11.28,11.28,11.07,11.08,5700,10.76
20130826,0,11,11.29,10.96,11.28,5500,10.95
20130823,0,11.01,11.25,11,11.2,11000,10.88
20130822,0,11.16,11.3,11.03,11.25,600,10.93
20130821,0,11.02,11.16,10.99,11.16,3600,10.84
20130820,0,11.4,11.43,10.75,11.03,8700,10.71
20130819,0,11.4,11.59,11.35,11.4,6600,11.07
20130816,0,11.4,11.62,11.38,11.47,1000,11.14
20130815,0,11.41,11.62,11.32,11.62,1600,11.28
20130814,0,11.83,11.83,11.16,11.42,10400,11.09
20130813,0,11.9,12,11.85,12,3000,11.65
20130812,0,11.9,11.95,11.78,11.83,1100,11.49
20130809,0,11.9,11.92,11.9,11.9,500,11.56
20130808,0,11.88,11.98,11.88,11.98,1000,11.63
20130807,0,11.9,11.95,11.86,11.9,3200,11.56
20130806,0,11.99,11.99,11.92,11.97,900,11.62
20130805,0,11.91,12,11.91,12,3100,11.65
20130802,0,11.9,12,11.86,12,2200,11.65
20130801,0,11.98,12,11.87,12,4100,11.65
20130731,0,11.88,12,11.59,11.98,6800,11.63
20130730,0,11.88,11.91,11.6,11.6,3400,11.27
20130729,0,11.79,11.86,11.79,11.81,4600,11.47
20130726,0,11.55,11.7,11.5,11.66,3800,11.32
20130725,0,11.36,11.58,11.3,11.5,6500,11.17
20130724,0,11.3,11.78,11.3,11.49,3700,11.16
20130723,0,11.65,11.65,11.3,11.35,6200,11.02
20130722,0,11.78,11.78,11.31,11.65,4900,11.31
20130719,0,11.3,11.78,11.3,11.78,18600,11.44
20130718,0,11.25,11.55,11.25,11.3,1900,10.62
20130717,0,11.33,11.4,11.25,11.4,2300,10.72
20130716,0,11.32,11.32,11.3,11.31,800,10.63
20130715,0,11.03,11.48,11.02,11.3,2900,10.62
20130712,0,11.42,11.58,10.92,11.3,5100,10.62
20130711,0,11.51,11.58,11.42,11.55,2500,10.86
20130710,0,11.8,11.85,11.51,11.58,10500,10.89
20130709,0,11.5,11.9,11.5,11.8,17800,11.09
20130708,0,10.9,11.5,10.9,11.44,11800,10.76
20130705,0,10.87,10.95,10.5,10.9,5500,10.25
20130704,0,10.4,10.84,10.38,10.8,5900,10.15
20130703,0,10.37,10.4,10.37,10.4,700,9.78
20130702,0,10.39,10.39,10.37,10.39,1600,9.77
20130701,0,10.28,10.43,10.28,10.43,1900,9.81
20130628,0,10.5,10.5,10.35,10.5,700,9.87
20130627,0,10.48,10.5,10.4,10.48,800,9.85
20130626,0,10.2,10.48,10.2,10.48,2500,9.85
20130625,0,10.19,10.25,10.18,10.2,7900,9.59
20130624,0,10.3,10.3,10.18,10.3,4800,9.68
20130621,0,10.5,10.5,10.21,10.3,700,9.68
20130620,0,10.5,10.51,10.2,10.3,29300,9.68
20130619,0,10.5,10.5,10.5,10.5,1300,9.87
20130618,0,10.4,10.5,10.3,10.5,4000,9.87
20130617,0,10.2,10.4,10.2,10.4,2900,9.78
20130614,0,10.21,10.3,10.16,10.3,3700,9.68
20130613,0,10.24,10.39,10.2,10.21,13100,9.6
20130612,0,10.15,10.24,10.15,10.24,800,9.63
20130611,0,10.4,10.4,10.2,10.39,1700,9.77
20130610,0,10.33,10.4,10.2,10.4,1100,9.78
20130607,0,10.38,10.4,10.2,10.4,2300,9.78
20130606,0,10.25,10.4,10.14,10.38,15900,9.76
20130605,0,10.4,10.4,10.2,10.2,6300,9.59
20130604,0,10.15,10.4,10.14,10.3,16500,9.68
20130603,0,10.51,10.51,10.06,10.4,13000,9.78
20130531,0,10.6,10.6,10.5,10.5,8700,9.87
20130530,0,10.55,10.69,10.55,10.6,1500,9.97
20130529,0,10.85,10.91,10.5,10.5,6700,9.87
20130528,0,10.3,10.94,10.3,10.8,20700,10.15
20130527,0,10.15,10.43,10.1,10.31,13500,9.69
20130524,0,9.65,10.15,9.65,10.15,20800,9.54
20130523,0,9.74,9.74,9.45,9.65,6100,9.07
20130522,0,9.88,9.88,9.66,9.8,11400,9.21
20130521,0,9.78,9.83,9.69,9.83,24600,9.24
20130520,0,9.78,9.8,9.77,9.8,1900,9.21
20130517,0,9.45,9.72,9.45,9.72,3400,9.14
20130516,0,9.54,9.62,9.4,9.54,7700,8.97
20130515,0,9.49,9.54,9.49,9.49,1600,8.92
20130514,0,9.3,9.39,9.25,9.28,1700,8.73
20130513,0,9.8,9.8,9.3,9.3,5500,8.74
20130510,0,9.8,9.8,9.52,9.79,1700,9.2
20130509,0,9.31,9.8,9.31,9.8,1700,9.21
20130508,0,9.48,9.48,9.3,9.48,600,8.91
20130507,0,9.47,9.47,9.32,9.32,900,8.76
20130506,0,9.75,9.75,9.49,9.49,22400,8.92
20130503,0,9.99,9.99,9.63,9.95,3800,9.35
20130502,0,9.85,9.95,9.65,9.95,400,9.35
20130501,0,9.9,9.9,9.9,9.9,0,9.31
20130430,0,9.9,10,9.8,9.9,10900,9.31
20130429,0,9.95,9.95,9.9,9.9,1300,9.31
20130426,0,9.95,10,9.8,9.85,32500,9.26
20130425,0,9.99,10.05,9.87,9.88,7000,9.29
20130424,0,10,10,9.85,9.85,600,9.26
20130423,0,9.9,10,9.8,9.8,4800,9.21
20130422,0,9.64,9.97,9.64,9.9,21300,9.31
20130419,0,9.55,9.68,9.55,9.65,3400,9.07
20130418,0,9.56,9.68,9.56,9.6,4700,9.03
20130417,0,9.35,9.67,9.35,9.55,31900,8.98
20130416,0,9.41,9.41,9.2,9.3,3600,8.74
20130415,0,9.04,9.43,9.04,9.43,4400,8.87
20130412,0,9.35,9.35,9.09,9.09,200,8.55
20130411,0,9.04,9.4,9.02,9.35,17700,8.79
20130410,0,9.02,9.05,9.02,9.02,2200,8.48
20130409,0,8.8,9.02,8.8,9.02,1900,8.48
20130408,0,8.95,9.04,8.62,8.78,7200,8.25
20130405,0,9.25,9.3,8.5,8.9,10500,8.37
20130404,0,9.25,9.3,9.21,9.21,1800,8.66
20130403,0,9.43,9.45,9.2,9.22,7000,8.67
20130402,0,9.4,9.48,9.29,9.43,14200,8.87
