date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,2.59,2.74,2.58,2.61,146700,2.61
20140113,0,2.59,2.62,2.56,2.61,107500,2.61
20140110,0,2.64,2.64,2.58,2.59,68000,2.59
20140109,0,2.65,2.66,2.54,2.61,114200,2.61
20140108,0,2.7,2.7,2.64,2.64,39800,2.64
20140107,0,2.65,2.7,2.6,2.68,129900,2.68
20140106,0,2.62,2.67,2.6,2.62,61800,2.62
20140103,0,2.52,2.6,2.48,2.59,156000,2.59
20140102,0,2.46,2.55,2.41,2.51,242200,2.51
20131231,0,2.44,2.5,2.4,2.45,271400,2.45
20131230,0,2.47,2.52,2.41,2.45,168100,2.45
20131227,0,2.5,2.52,2.48,2.5,156300,2.5
20131226,0,2.55,2.61,2.51,2.52,127000,2.52
20131224,0,2.6,2.62,2.56,2.57,45600,2.57
20131223,0,2.51,2.65,2.51,2.62,147900,2.62
20131220,0,2.53,2.55,2.51,2.52,169800,2.52
20131219,0,2.53,2.58,2.51,2.53,92900,2.53
20131218,0,2.55,2.58,2.51,2.57,96600,2.57
20131217,0,2.5,2.58,2.5,2.57,141700,2.57
20131216,0,2.55,2.61,2.52,2.53,90500,2.53
20131213,0,2.57,2.6,2.54,2.56,50900,2.56
20131212,0,2.62,2.67,2.58,2.59,79300,2.59
20131211,0,2.65,2.66,2.56,2.65,133700,2.65
20131210,0,2.66,2.69,2.58,2.64,306300,2.64
20131209,0,2.73,2.76,2.67,2.7,172200,2.7
20131206,0,2.7,2.77,2.68,2.71,135400,2.71
20131205,0,2.74,2.74,2.68,2.68,97300,2.68
20131204,0,2.77,2.79,2.73,2.75,47900,2.75
20131203,0,2.8,2.84,2.68,2.76,154300,2.76
20131202,0,2.8,2.88,2.75,2.77,165100,2.77
20131129,0,2.8,2.88,2.78,2.8,146400,2.8
20131127,0,2.74,2.8,2.7,2.77,88900,2.77
20131126,0,2.66,2.81,2.61,2.74,379700,2.74
20131125,0,2.7,2.7,2.62,2.67,53700,2.67
20131122,0,2.64,2.69,2.61,2.69,69400,2.69
20131121,0,2.67,2.7,2.59,2.67,67000,2.67
20131120,0,2.64,2.67,2.57,2.65,132800,2.65
20131119,0,2.6,2.68,2.58,2.64,147600,2.64
20131118,0,2.68,2.74,2.63,2.65,131000,2.65
20131115,0,2.61,2.68,2.61,2.66,186300,2.66
20131114,0,2.49,2.61,2.44,2.6,167600,2.6
20131113,0,2.59,2.6,2.47,2.52,160700,2.52
20131112,0,2.58,2.6,2.56,2.57,49400,2.57
20131111,0,2.63,2.66,2.49,2.56,158000,2.56
20131108,0,2.6,2.74,2.52,2.66,186700,2.66
20131107,0,2.7,2.75,2.6,2.62,228300,2.62
20131106,0,2.62,2.78,2.62,2.71,740500,2.71
20131105,0,2.47,2.48,2.38,2.45,160300,2.45
20131104,0,2.27,2.6,2.27,2.47,154300,2.47
20131101,0,2.31,2.41,2.25,2.29,181400,2.29
20131031,0,2.38,2.38,2.31,2.32,76200,2.32
20131030,0,2.35,2.42,2.35,2.4,160400,2.4
20131029,0,2.43,2.49,2.35,2.39,139200,2.39
20131028,0,2.56,2.56,2.43,2.43,63400,2.43
20131025,0,2.53,2.61,2.5,2.53,210300,2.53
20131024,0,2.48,2.6,2.45,2.52,415000,2.52
20131023,0,2.41,2.5,2.41,2.49,108400,2.49
20131022,0,2.47,2.5,2.4,2.41,71200,2.41
20131021,0,2.44,2.47,2.4,2.47,83700,2.47
20131018,0,2.39,2.49,2.39,2.45,134100,2.45
20131017,0,2.32,2.39,2.31,2.39,139700,2.39
20131016,0,2.37,2.37,2.32,2.35,142800,2.35
