date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,6.95,7.1,6.85,7.06,14100,7.06
20140113,0,7.14,7.21,6.77,6.95,43400,6.95
20140110,0,7.2,7.34,6.5,7.21,145300,7.21
20140109,0,7.74,7.75,7.27,7.42,97400,7.42
20140108,0,7.35,7.6,7.05,7.59,136100,7.59
20140107,0,7.47,7.78,7.21,7.29,118400,7.29
20140106,0,6.37,7.5,6.37,7.5,284800,7.5
20140103,0,6.05,6.49,6.01,6.34,155100,6.34
20140102,0,5.06,6.33,5.06,6.07,740000,6.07
20131231,0,4.98,5.09,4.98,5.05,115300,5.05
20131230,0,5.1,5.1,4.97,4.98,21800,4.98
20131227,0,5.09,5.1,5.03,5.1,31000,5.1
20131226,0,5.2,5.28,5.2,5.22,20000,5.22
20131224,0,5.1,5.2,5.1,5.2,9500,5.2
20131223,0,5.05,5.2,5.05,5.19,11000,5.19
20131220,0,5.09,5.1,5.05,5.05,7600,5.05
20131219,0,4.98,5.09,4.98,5.09,34200,5.09
20131218,0,4.96,5.09,4.91,4.98,36100,4.98
20131217,0,5.07,5.15,4.73,5.02,34300,5.02
20131216,0,5.18,5.18,4.92,5.14,35300,5.14
20131213,0,5.31,5.31,5.05,5.09,17400,5.09
20131212,0,5.08,5.35,5.07,5.13,76800,5.13
20131211,0,5.06,5.21,4.98,5.12,56400,5.12
20131210,0,4.95,5.18,4.91,5.11,37100,5.11
20131209,0,4.99,4.99,4.82,4.89,5600,4.89
20131206,0,4.99,5,4.99,4.99,5500,4.99
20131205,0,5.02,5.02,4.8,4.97,16000,4.97
20131204,0,5.09,5.2,5,5.02,14800,5.02
20131203,0,5.25,5.3,4.97,5.03,41700,5.03
20131202,0,5.09,5.41,5.09,5.25,61900,5.25
20131129,0,4.93,5.26,4.76,5,26700,5
20131127,0,4.92,5,4.91,5,14900,5
20131126,0,5.01,5.06,4.9,4.9,16800,4.9
20131125,0,5,5.16,4.99,4.99,17700,4.99
20131122,0,5.5,5.5,4.99,5.06,12600,5.06
20131121,0,5.37,5.6,5.32,5.5,51800,5.5
20131120,0,5.27,5.27,4.85,5,7200,5
20131119,0,5.18,5.25,4.96,4.99,6800,4.99
20131118,0,5.16,5.25,5.14,5.14,2400,5.14
20131115,0,5.05,5.2,5.01,5.04,2500,5.04
20131114,0,4.99,5.07,4.99,5.04,15200,5.04
