date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,13.31,13.39,13.1,13.29,40400,13.29
20140113,0,13.4,13.43,13.01,13.24,38300,13.24
20140110,0,13.22,13.58,13.22,13.44,31200,13.44
20140109,0,13.43,13.66,12.82,13.33,38500,13.33
20140108,0,13.18,13.53,12.64,13.43,64800,13.43
20140107,0,11.87,13.23,11.87,13.2,100600,13.2
20140106,0,12.01,12.14,11.62,11.94,76800,11.94
20140103,0,13.07,13.07,12.15,12.32,80200,12.32
20140102,0,13.95,13.95,13,13.09,59100,13.09
20131231,0,14.45,14.45,12.36,14,41200,14
20131230,0,3.22,3.22,3.11,3.11,20200,12.44
20131227,0,3.2,3.24,3.1,3.12,34300,12.48
20131226,0,3.06,3.23,2.88,3.21,45000,12.84
20131224,0,3.15,3.23,3.06,3.06,31400,12.24
20131223,0,3.08,3.25,3.08,3.12,41900,12.48
20131220,0,2.88,3.16,2.88,3.11,73500,12.44
20131219,0,2.77,2.92,2.76,2.87,66500,11.48
20131218,0,2.83,2.87,2.76,2.82,51800,11.28
20131217,0,2.91,2.94,2.85,2.91,40300,11.64
20131216,0,3,3.05,2.9,2.95,88600,11.8
20131213,0,3.12,3.15,3.11,3.11,13100,12.44
20131212,0,3.21,3.22,3.11,3.13,25100,12.52
20131211,0,3.18,3.22,3.18,3.18,25300,12.72
20131210,0,3.21,3.21,3.15,3.15,16700,12.6
20131209,0,3.11,3.25,3.11,3.16,79100,12.64
20131206,0,3.24,3.24,3.09,3.11,36600,12.44
20131205,0,3.27,3.27,3.1,3.18,42500,12.72
20131204,0,3.25,3.31,3.19,3.28,95800,13.12
20131203,0,3.29,3.29,3.15,3.22,50500,12.88
20131202,0,3.11,3.34,3.11,3.19,123900,12.76
20131129,0,3.1,3.15,3.08,3.14,17800,12.56
20131127,0,3.14,3.15,3.06,3.1,36500,12.4
20131126,0,3.05,3.17,3.05,3.07,64700,12.28
20131125,0,2.95,3.3,2.95,3.05,242400,12.2
20131122,0,2.71,2.9,2.71,2.84,36600,11.36
20131121,0,2.83,2.93,2.68,2.68,48000,10.72
20131120,0,2.95,2.98,2.8,2.8,70300,11.2
20131119,0,3.12,3.14,2.81,2.84,80900,11.36
20131118,0,2.91,3.15,2.88,3.07,206100,12.28
20131115,0,2.92,3.07,2.76,2.85,74700,11.4
20131114,0,2.86,3.05,2.8,2.85,133100,11.4
20131113,0,2.6,2.67,2.5,2.6,47600,10.4
20131112,0,2.59,2.64,2.55,2.64,20500,10.56
20131111,0,2.53,2.64,2.53,2.54,28400,10.16
20131108,0,2.52,2.59,2.49,2.53,16500,10.12
20131107,0,2.59,2.61,2.48,2.5,7000,10
20131106,0,2.5,2.61,2.41,2.52,16200,10.08
20131105,0,2.47,2.61,2.41,2.48,33300,9.92
20131104,0,2.82,2.85,2.43,2.5,99700,10
20131101,0,2.87,2.87,2.74,2.8,40500,11.2
20131031,0,2.8,2.9,2.8,2.84,30500,11.36
20131030,0,2.78,2.9,2.76,2.77,51200,11.08
20131029,0,2.85,3.07,2.82,2.83,37300,11.32
20131028,0,2.73,2.95,2.73,2.82,31400,11.28
20131025,0,2.75,2.79,2.7,2.76,9900,11.04
20131024,0,2.69,2.75,2.69,2.72,11700,10.88
20131023,0,2.75,2.75,2.64,2.67,30500,10.68
20131022,0,2.69,2.8,2.67,2.7,46900,10.8
20131021,0,2.7,2.83,2.63,2.66,87600,10.64
20131018,0,2.59,2.78,2.55,2.65,108400,10.6
20131017,0,2.44,2.62,2.38,2.55,111200,10.2
20131016,0,2.4,2.44,2.35,2.44,12800,9.76
20131015,0,2.42,2.42,2.37,2.42,16000,9.68
20131014,0,2.43,2.43,2.34,2.42,26200,9.68
20131011,0,2.41,2.42,2.34,2.42,16600,9.68
20131010,0,2.37,2.41,2.35,2.41,4900,9.64
20131009,0,2.41,2.42,2.31,2.42,11500,9.68
20131008,0,2.4,2.42,2.39,2.4,20000,9.6
20131007,0,2.44,2.44,2.34,2.38,18200,9.52
20131004,0,2.37,2.44,2.37,2.44,9300,9.76
20131003,0,2.4,2.43,2.37,2.37,29300,9.48
20131002,0,2.41,2.42,2.31,2.37,12400,9.48
20131001,0,2.34,2.42,2.3,2.39,15900,9.56
20130930,0,2.3,2.41,2.26,2.39,54700,9.56
20130927,0,2.41,2.42,2.35,2.35,38800,9.4
20130926,0,2.44,2.45,2.38,2.42,97700,9.68
20130925,0,2.44,2.47,2.37,2.45,105500,9.8
20130924,0,2.35,2.44,2.29,2.44,50000,9.76
20130923,0,2.34,2.35,2.32,2.33,17500,9.32
20130920,0,2.35,2.35,2.29,2.34,5500,9.36
20130919,0,2.29,2.38,2.29,2.34,6800,9.36
20130918,0,2.25,2.3,2.21,2.3,15300,9.2
20130917,0,2.18,2.26,2.18,2.25,22200,9
20130916,0,2.28,2.3,2.22,2.23,5600,8.92
20130913,0,2.19,2.3,2.19,2.23,4900,8.92
20130912,0,2.24,2.28,2.17,2.2,7900,8.8
20130911,0,2.4,2.4,2.23,2.23,14000,8.92
20130910,0,2.37,2.38,2.28,2.28,6500,9.12
20130909,0,2.3,2.36,2.25,2.34,30500,9.36
20130906,0,2.19,2.29,2.16,2.23,20400,8.92
20130905,0,2.11,2.21,2,2.19,10100,8.76
20130904,0,2.16,2.25,2.06,2.15,47300,8.6
20130903,0,2.35,2.4,2.14,2.21,33300,8.84
20130830,0,2.4,2.4,2.33,2.35,19100,9.4
20130829,0,2.37,2.4,2.33,2.39,21700,9.56
20130828,0,2.39,2.48,2.32,2.36,34900,9.44
20130827,0,2.32,2.48,2.26,2.41,104800,9.64
20130826,0,2.26,2.4,2.21,2.3,111100,9.2
20130823,0,2.28,2.28,2.2,2.24,22200,8.96
20130822,0,2.2,2.28,2.1,2.23,38900,8.92
20130821,0,2.13,2.2,2.08,2.2,60500,8.8
20130820,0,2.14,2.31,2.1,2.15,106900,8.6
20130819,0,2.07,2.2,2.06,2.16,65700,8.64
20130816,0,2.05,2.21,2.05,2.06,103000,8.24
20130815,0,2.09,2.11,2.04,2.05,38800,8.2
20130814,0,2.06,2.1,2.05,2.09,10400,8.36
20130813,0,2.04,2.1,1.94,2.04,55000,8.16
20130812,0,2.1,2.18,2.05,2.06,38700,8.24
20130809,0,2.07,2.2,2.05,2.13,97000,8.52
20130808,0,1.95,2.06,1.95,2.03,45800,8.12
20130807,0,1.95,2.05,1.89,1.95,46300,7.8
20130806,0,1.9,1.95,1.88,1.94,51600,7.76
20130805,0,1.87,1.89,1.83,1.89,18400,7.56
20130802,0,1.82,1.89,1.82,1.82,32400,7.28
20130801,0,1.9,1.9,1.83,1.86,9200,7.44
20130731,0,1.87,1.9,1.79,1.9,11700,7.6
20130730,0,1.8,1.87,1.79,1.85,4900,7.4
20130729,0,1.87,1.87,1.79,1.79,4700,7.16
20130726,0,1.82,1.87,1.82,1.86,4300,7.44
20130725,0,1.9,1.9,1.86,1.87,6200,7.48
20130724,0,1.84,1.9,1.83,1.89,7800,7.56
20130723,0,1.9,1.9,1.86,1.86,5800,7.44
20130722,0,1.85,1.89,1.82,1.89,3100,7.56
20130719,0,1.81,1.89,1.79,1.89,4800,7.56
20130718,0,1.89,1.9,1.86,1.88,3900,7.52
20130717,0,1.88,1.9,1.78,1.86,3900,7.44
20130716,0,1.86,1.9,1.81,1.9,1000,7.6
20130715,0,1.86,1.87,1.78,1.86,5700,7.44
20130712,0,1.82,1.87,1.78,1.83,3700,7.32
20130711,0,1.82,1.88,1.81,1.82,4700,7.28
20130710,0,1.81,1.87,1.8,1.85,8300,7.4
20130709,0,1.85,1.9,1.84,1.85,8600,7.4
20130708,0,1.78,1.84,1.78,1.8,5300,7.2
20130705,0,1.78,1.81,1.78,1.78,3000,7.12
20130703,0,1.79,1.84,1.79,1.81,1700,7.24
20130702,0,1.8,1.84,1.78,1.84,13700,7.36
20130701,0,1.86,1.89,1.82,1.84,12100,7.36
20130628,0,1.78,1.86,1.78,1.86,3900,7.44
20130627,0,1.78,1.82,1.78,1.8,16700,7.2
20130626,0,1.75,1.78,1.73,1.77,4000,7.08
20130625,0,1.74,1.79,1.73,1.75,8100,7
20130624,0,1.7,1.78,1.7,1.74,10900,6.96
20130621,0,1.72,1.74,1.71,1.71,3800,6.84
20130620,0,1.74,1.76,1.68,1.72,25700,6.88
20130619,0,1.76,1.79,1.75,1.76,11000,7.04
20130618,0,1.78,1.8,1.75,1.78,14500,7.12
20130617,0,1.8,1.83,1.76,1.8,7300,7.2
20130614,0,1.79,1.85,1.75,1.8,9200,7.2
20130613,0,1.75,1.79,1.74,1.79,6200,7.16
20130612,0,1.75,1.79,1.75,1.76,11500,7.04
20130611,0,1.72,1.8,1.72,1.75,16100,7
20130610,0,1.7,1.76,1.7,1.74,11100,6.96
20130607,0,1.75,1.79,1.73,1.73,10200,6.92
20130606,0,1.73,1.78,1.71,1.76,25200,7.04
20130605,0,1.81,1.82,1.75,1.78,16900,7.12
20130604,0,1.81,1.83,1.8,1.8,6800,7.2
20130603,0,1.84,1.84,1.81,1.81,27300,7.24
20130531,0,1.86,1.86,1.8,1.8,14700,7.2
20130530,0,1.83,1.83,1.8,1.82,6000,7.28
20130529,0,1.8,1.82,1.75,1.8,20000,7.2
20130528,0,1.83,1.84,1.81,1.83,3800,7.32
20130524,0,1.84,1.86,1.82,1.82,12000,7.28
20130523,0,1.83,1.86,1.81,1.83,23200,7.32
20130522,0,1.83,1.88,1.81,1.83,13200,7.32
20130521,0,1.85,1.9,1.82,1.86,29200,7.44
20130520,0,1.81,1.9,1.8,1.85,39400,7.4
20130517,0,1.82,1.87,1.8,1.85,44400,7.4
20130516,0,2.05,2.05,1.76,1.9,90400,7.6
20130515,0,2.09,2.1,2.08,2.1,12600,8.4
20130514,0,2.1,2.11,2.07,2.1,27900,8.4
20130513,0,2.07,2.14,2.06,2.14,59800,8.56
20130510,0,2.1,2.12,2.06,2.12,35100,8.48
20130509,0,2.05,2.08,2.05,2.08,13800,8.32
20130508,0,2.06,2.1,2.06,2.07,22900,8.28
20130507,0,2.1,2.11,2.09,2.09,23700,8.36
20130506,0,2.08,2.12,2.07,2.1,34300,8.4
20130503,0,2.1,2.16,2.08,2.08,60500,8.32
20130502,0,2.06,2.1,2.05,2.1,12600,8.4
20130501,0,2.08,2.1,2.05,2.05,5700,8.2
20130430,0,2.14,2.15,2.08,2.1,42500,8.4
20130429,0,2.08,2.1,2.03,2.1,39000,8.4
20130426,0,2.07,2.1,2.06,2.1,16900,8.4
20130425,0,2.11,2.11,2.07,2.1,30500,8.4
20130424,0,2.05,2.12,2.05,2.11,30300,8.44
20130423,0,2.05,2.13,2.04,2.07,63800,8.28
20130422,0,1.96,2.04,1.93,2.03,73900,8.12
20130419,0,1.88,1.98,1.85,1.96,53500,7.84
20130418,0,1.84,1.86,1.83,1.85,1500,7.4
20130417,0,1.85,1.86,1.83,1.85,11300,7.4
20130416,0,1.81,1.85,1.79,1.83,33000,7.32
20130415,0,1.79,1.82,1.76,1.77,14100,7.08
20130412,0,1.85,1.86,1.7,1.82,41900,7.28
20130411,0,1.85,1.91,1.78,1.81,48900,7.24
20130410,0,1.86,1.88,1.85,1.87,25800,7.48
20130409,0,1.8,1.91,1.78,1.9,53900,7.6
20130408,0,1.77,1.79,1.75,1.76,14400,7.04
20130405,0,1.76,1.8,1.76,1.8,5700,7.2
20130404,0,1.76,1.8,1.75,1.8,18600,7.2
20130403,0,1.79,1.8,1.78,1.79,9300,7.16
20130402,0,1.72,1.82,1.72,1.82,37900,7.28
20130401,0,1.74,1.75,1.66,1.75,13400,7
20130328,0,1.68,1.75,1.67,1.72,13800,6.88
20130327,0,1.68,1.7,1.62,1.68,21900,6.72
20130326,0,1.7,1.73,1.68,1.72,4300,6.88
20130325,0,1.75,1.78,1.7,1.7,17400,6.8
20130322,0,1.74,1.8,1.7,1.74,11200,6.96
20130321,0,1.64,1.75,1.64,1.7,9000,6.8
20130320,0,1.67,1.7,1.65,1.65,12700,6.6
20130319,0,1.7,1.71,1.65,1.65,7700,6.6
