Date,Open,High,Low,Close,Volume,Adj Close
2014-02-28,249.64999,252.67999,242.55,244.81,14589800,244.81
2014-02-27,261.25,261.89999,248.33,252.53999,17945800,252.53999
2014-02-26,258.57999,265.00,247.50,253.00,24604600,253.00
2014-02-25,230.00,259.20001,228.45,248.00,32681700,248.00
2014-02-24,208.75999,218.36,208.32001,217.64999,8278400,217.64999
2014-02-21,211.64,213.98,209.19,209.60001,7818800,209.60001
2014-02-20,215.00999,215.21001,206.27,209.97,18002300,209.97
2014-02-19,203.70,203.70,193.41,193.64,16169000,193.64
2014-02-18,205.24001,206.00,201.36,203.70,9332800,203.70
2014-02-14,198.10001,201.88,197.00,198.23,6158000,198.23
2014-02-13,193.34,202.72,193.25,199.63,8029300,199.63
2014-02-12,195.78,198.27,194.32001,195.32001,5173700,195.32001
2014-02-11,198.97,202.20,192.70,196.62,10709900,196.62
2014-02-10,189.34,199.30,189.32001,196.56,12970700,196.56
2014-02-07,181.00999,186.63,179.60001,186.53,8928500,186.53
2014-02-06,176.30,180.11,176.00,178.38,5841600,178.38
2014-02-05,178.30,180.59,169.36,174.42,7268000,174.42
2014-02-04,180.70,181.60001,176.20,178.73,4686300,178.73
2014-02-03,182.89,184.88,175.16,177.11,6764900,177.11
2014-01-31,178.85001,186.00,178.50999,181.41,6508800,181.41
2014-01-30,178.00,184.78,177.00999,182.84,8565000,182.84
2014-01-29,175.30,179.09,173.13,175.23,5935500,175.23
2014-01-28,171.50,178.98,171.00,178.38,6093400,178.38
2014-01-27,175.16,177.92,164.71001,169.62,8716400,169.62
2014-01-24,177.85001,180.48,173.53,174.60001,7664300,174.60001
2014-01-23,177.23,182.38,173.42,181.50,7867400,181.50
2014-01-22,177.81,180.32001,174.75999,178.56,7022600,178.56
2014-01-21,171.24001,177.28999,170.81,176.67999,9734700,176.67999
2014-01-17,170.19,173.20,167.95,170.00999,9206200,170.00999
2014-01-16,162.50,172.70,162.39999,170.97,11959400,170.97
2014-01-15,168.45,172.23,162.10001,164.13,20465600,164.13
2014-01-14,140.50,162.00,136.67,161.27,27607000,161.27
2014-01-13,145.78,147.00,137.82001,139.34,6316100,139.34
2014-01-10,148.46001,148.89999,142.25,145.72,7446100,145.72
2014-01-09,152.50,153.42999,146.85001,147.53,5382000,147.53
2014-01-08,148.85001,153.70,148.75999,151.28,6163200,151.28
2014-01-07,147.62,150.39999,145.25,149.36,5034100,149.36
2014-01-06,150.00,150.39999,145.24001,147.00,5361100,147.00
2014-01-03,150.00,152.19,148.60001,149.56,4695000,149.56
2014-01-02,149.80,152.48,146.55,150.10001,6188400,150.10001
2013-12-31,152.32001,153.20,148.66,150.42999,4262400,150.42999
2013-12-30,151.12,154.81,150.75,152.44,4467500,152.44
2013-12-27,155.30,155.50,150.80,151.12,5460200,151.12
2013-12-26,155.03999,158.00,154.28999,155.50,7129500,155.50
2013-12-24,150.00,154.97,149.82001,151.41,9941500,151.41
2013-12-23,144.85001,146.24001,142.60001,143.55,5385500,143.55
2013-12-20,141.58,144.35001,141.58,143.24001,7412600,143.24001
2013-12-19,146.89999,147.00,139.10001,140.72,12740000,140.72
2013-12-18,152.24001,154.89999,145.95,147.98,11581900,147.98
2013-12-17,147.58,154.63,146.32001,152.46001,10495000,152.46001
2013-12-16,148.48,150.42999,146.10001,147.94,6675300,147.94
2013-12-13,148.05,151.80,147.32001,147.64999,10591900,147.64999
2013-12-12,139.70,148.24001,138.53,147.47,10767800,147.47
2013-12-11,141.88,143.05,139.49001,139.64999,7137800,139.64999
2013-12-10,140.05,145.87,139.86,142.19,10748200,142.19
2013-12-09,137.00,141.70,134.21001,141.60001,9061500,141.60001
2013-12-06,141.50999,142.49001,136.30,137.36,7909600,137.36
2013-12-05,140.14999,143.35001,139.50,140.48,9288400,140.48
2013-12-04,144.32001,144.42999,137.13,138.95,13147700,138.95
2013-12-03,132.67999,144.94,131.59,144.70,25682400,144.70
2013-12-02,126.35,128.55,123.93,124.17,7751200,124.17
2013-11-29,129.77,130.59,126.98,127.28,9716200,127.28
2013-11-27,121.31,126.95,119.52,126.94,12367600,126.94
2013-11-26,119.38,122.72,116.10,120.50,13885500,120.50
2013-11-25,124.50,125.84,120.30,120.84,10267300,120.84
2013-11-22,121.58,122.75,117.93,121.38,11096700,121.38
2013-11-21,122.89,124.79,120.25,122.10,11903800,122.10
2013-11-20,126.08,127.45,119.06,121.11,13849600,121.11
2013-11-19,119.43,129.00,119.22,126.09,19816200,126.09
2013-11-18,135.27,135.45,119.61,121.58,23138200,121.58
2013-11-15,136.85001,137.95,134.35001,135.45,9900200,135.45
2013-11-14,138.92,140.39999,134.11,137.60001,12203700,137.60001
2013-11-13,140.84,142.37,136.34,138.70,12658300,138.70
2013-11-12,144.69,144.70,136.17999,137.80,14985200,137.80
2013-11-11,141.00,145.42,137.10001,144.70,13997600,144.70
2013-11-08,136.48,140.60001,132.32001,137.95,22477900,137.95
2013-11-07,144.19,145.64999,137.62,139.77,22284700,139.77
2013-11-06,154.81,160.73,146.35001,151.16,31071700,151.16
2013-11-05,180.00,181.42999,171.36,176.81,22467100,176.81
2013-11-04,165.00,175.39,164.22,175.20,13120400,175.20
2013-11-01,163.00,165.89999,160.41,162.17,7180600,162.17
2013-10-31,155.67,162.44,153.30,159.94,9333800,159.94
2013-10-30,164.63,167.67999,158.17,159.22,8401800,159.22
2013-10-29,162.75999,165.45,153.00,164.47,14111700,164.47
2013-10-28,170.17999,170.50,162.20,162.86,7841700,162.86
2013-10-25,174.21001,174.50,166.80,169.66,7595500,169.66
2013-10-24,165.00,174.50,162.83,173.14999,10825700,173.14999
2013-10-23,168.91,171.81,160.14999,164.50,13320400,164.50
2013-10-22,170.50,177.78,166.11,171.53999,11386700,171.53999
2013-10-21,183.28,183.39,171.00,172.60001,11532100,172.60001
2013-10-18,184.14999,185.96001,182.52,183.39999,5930800,183.39999
2013-10-17,183.53999,184.80,180.99001,182.80,6705000,182.80
2013-10-16,184.89999,187.30,182.09,183.56,8205400,183.56
2013-10-15,185.28,188.78999,183.17999,183.94,10978500,183.94
2013-10-14,175.00,182.50,174.14999,179.72,7769600,179.72
2013-10-11,172.75,179.28999,171.20,178.70,8311100,178.70
2013-10-10,173.09,175.75,169.69,172.92999,8883900,172.92999
2013-10-09,174.73,174.99001,161.50,168.78,15316500,168.78
2013-10-08,184.39999,185.92999,173.21001,174.73,13757200,174.73
2013-10-07,182.46001,186.73,180.25999,183.07001,11485600,183.07001
2013-10-04,176.39999,181.17999,172.64999,180.98,14414000,180.98
2013-10-03,175.05,179.69,168.00,173.31,23816500,173.31
2013-10-02,188.59,191.83,175.39999,180.95,20775400,180.95
2013-10-01,193.96001,194.23,188.37,193.00,7755900,193.00
2013-09-30,189.00,194.50,188.00,193.37,8924700,193.37
2013-09-27,187.52,191.28,186.42999,190.89999,5916400,190.89999
2013-09-26,186.70,189.67999,185.61,188.64,6614400,188.64
2013-09-25,183.56,186.30,180.50,185.24001,8252700,185.24001
2013-09-24,179.14,184.96001,177.64999,182.33,6273400,182.33
2013-09-23,184.48,185.48,177.11,181.11,8173400,181.11
2013-09-20,178.89999,185.83,178.56,183.39,13401700,183.39
2013-09-19,170.80,180.47,169.08,177.92,15594600,177.92
2013-09-18,167.07001,167.45,164.20,166.22,5439700,166.22
2013-09-17,165.08,168.42,163.36,166.23,5496900,166.23
2013-09-16,168.00,170.85001,165.85001,166.58,7574900,166.58
2013-09-13,162.77,166.37,162.16,165.53999,5401200,165.53999
2013-09-12,164.00,166.75999,160.50999,164.92999,6160000,164.92999
2013-09-11,166.41,167.89999,162.13,163.52,5832500,163.52
2013-09-10,161.45,167.50,160.63,166.37,8967800,166.37
2013-09-09,163.12,164.50,158.50999,160.70,14344500,160.70
2013-09-06,168.57001,169.70,165.14999,166.97,8619700,166.97
2013-09-05,170.10001,171.50,168.25,169.92999,6685300,169.92999
2013-09-04,169.77,171.62,165.56,170.62,11475700,170.62
2013-09-03,173.39999,173.70,166.39999,168.94,12061100,168.94
2013-08-30,166.37,169.21001,163.96001,169.00,11028400,169.00
2013-08-29,164.22,167.75,162.50999,166.06,9436000,166.06
2013-08-28,169.06,171.50,163.25,166.45,14740100,166.45
2013-08-27,162.30,168.80,160.95,167.00999,17566900,167.00999
2013-08-26,165.14999,173.00,160.25,164.22,24171100,164.22
2013-08-23,157.00,162.30,155.00,161.84,12931900,161.84
2013-08-22,149.22,157.48,148.14,157.10001,10592400,157.10001
2013-08-21,150.00,150.31,146.25,147.86,6266300,147.86
2013-08-20,148.64999,149.78,147.00,149.58,6418200,149.58
2013-08-19,143.42999,147.38,142.83,144.89999,8037700,144.89999
2013-08-16,141.63,143.91,140.97,142.00,7108100,142.00
2013-08-15,136.42999,143.60001,135.00,139.67,10179200,139.67
2013-08-14,142.72,144.84,138.05,139.36,11693800,139.36
2013-08-13,149.50,149.84,144.45,145.42999,8748900,145.42999
2013-08-12,149.42999,150.50,142.05,147.38,14912200,147.38
2013-08-09,152.39999,155.95,151.25,153.00,8927700,153.00
2013-08-08,154.35001,158.88,150.46001,153.48,27246800,153.48
2013-08-07,141.89,141.95,132.36,134.23,18212200,134.23
2013-08-06,144.75,145.73,141.10001,142.14999,9254500,142.14999
2013-08-05,140.00999,144.89,139.64999,144.67999,10200700,144.67999
2013-08-02,134.59,138.25,133.61,138.00,6269900,138.00
2013-08-01,135.00,136.52,132.63,135.55,5323600,135.55
2013-07-31,132.57001,134.97,131.45,134.28,6351700,134.28
2013-07-30,134.80,137.49001,128.17999,131.74001,13127000,131.74001
2013-07-29,129.32001,135.37,128.25,134.62,9678900,134.62
2013-07-26,128.14,130.67999,126.61,129.39,9633100,129.39
2013-07-25,120.40,124.75,120.19,124.07,5284300,124.07
2013-07-24,124.47,124.50,119.56,121.70,6869000,121.70
2013-07-23,124.00,125.56,121.82,122.74,7736400,122.74
2013-07-22,119.89,126.68,119.88,122.43,9797800,122.43
2013-07-19,118.50,120.55,116.51,119.68,5890300,119.68
2013-07-18,120.97,122.73,116.18,119.03,11398100,119.03
2013-07-17,106.52,121.62,104.50,120.25,26029000,120.25
2013-07-16,126.28,126.32,107.30,109.05,32371900,109.05
2013-07-15,133.03,133.25999,126.82,127.26,9922400,127.26
2013-07-12,125.50,129.94,124.51,129.89999,11344000,129.89999
2013-07-11,124.88,126.09,122.35,125.61,7483600,125.61
2013-07-10,123.19,123.25,120.79,122.27,5600100,122.27
2013-07-09,124.64,125.32,121.91,123.45,8603300,123.45
2013-07-08,121.37,122.18,118.82,121.61,7814200,121.61
2013-07-05,118.32,120.28,115.70,120.09,6818700,120.09
2013-07-03,118.00,119.25,114.27,115.24,4806700,115.24
2013-07-02,118.25,121.89,115.50,117.82,12064100,117.82
2013-07-01,109.36,117.77,109.15,117.18,10903600,117.18
2013-06-28,108.57,109.44,106.71,107.36,5748600,107.36
2013-06-27,106.75,110.25,106.13,109.25,8744900,109.25
2013-06-26,103.80,105.87,102.66,105.72,6602600,105.72
2013-06-25,103.10,104.20,100.55,102.40,5848700,102.40
2013-06-24,96.50,102.87,95.30,101.49,7119800,101.49
2013-06-21,103.70,103.70,97.50,99.55,11718600,99.55
2013-06-20,104.65,107.13,99.45,100.65,10106500,100.65
2013-06-19,102.06,106.67,102.01,104.68,8578900,104.68
