date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,2.63,2.64,2.43,2.63,21200,2.52
20140113,0,2.46,2.65,2.43,2.6,45300,2.5
20140110,0,2.45,2.75,2.4,2.59,99600,2.49
20140109,0,2.45,2.45,2.4,2.43,35700,2.33
20140108,0,2.45,2.45,2.31,2.43,172600,2.33
20140107,0,2.26,2.47,2.26,2.39,192700,2.29
20140106,0,2.26,2.28,2.2,2.2,41300,2.11
20140103,0,2.22,2.34,2.22,2.25,12400,2.16
20140102,0,2.27,2.27,2.2,2.23,4000,2.14
20131231,0,2.25,2.3,2.23,2.26,103800,2.17
20131230,0,2.29,2.31,2.2,2.27,92100,2.18
20131227,0,2.22,2.34,2.2,2.34,33600,2.25
20131226,0,2.2,2.25,2.2,2.23,26300,2.14
20131224,0,2.21,2.25,2.2,2.2,24200,2.11
20131223,0,2.24,2.25,2.2,2.25,46200,2.16
20131220,0,2.25,2.31,2.17,2.23,75700,2.14
20131219,0,2.17,2.23,2.14,2.23,35300,2.14
20131218,0,2.24,2.24,2.11,2.22,50700,2.13
20131217,0,2.13,2.25,2.08,2.22,66600,2.13
20131216,0,2.12,2.18,2.07,2.17,15000,2.08
20131213,0,2.14,2.15,2.12,2.15,22500,2.06
20131212,0,2.06,2.14,2.06,2.14,12800,2.05
20131211,0,2.11,2.12,2.06,2.08,28100,2
20131210,0,2.12,2.14,2.08,2.12,14600,2.03
20131209,0,2.12,2.19,2.11,2.12,42200,2.03
20131206,0,2.13,2.15,2.1,2.14,59500,2.05
20131205,0,2.12,2.15,2.12,2.12,18800,2.03
20131204,0,2.15,2.17,2.12,2.15,23700,2.06
20131203,0,2.18,2.19,2.15,2.16,17800,2.07
20131202,0,2.19,2.2,2.18,2.19,12600,2.1
20131129,0,2.18,2.23,2.18,2.2,3100,2.11
20131127,0,2.18,2.23,2.18,2.19,7000,2.1
20131126,0,2.18,2.25,2.16,2.23,40200,2.14
20131125,0,2.23,2.3,2.18,2.18,21000,2.09
20131122,0,2.21,2.27,2.2,2.27,78500,2.18
20131121,0,2.18,2.22,2.17,2.19,13500,2.1
20131120,0,2.21,2.21,2.15,2.2,9700,2.11
20131119,0,2.24,2.24,2.12,2.19,56900,2.1
20131118,0,2.33,2.34,2.23,2.24,42800,2.15
20131115,0,2.23,2.28,2.22,2.26,199700,2.17
20131114,0,2.28,2.28,2.23,2.25,48600,2.16
20131113,0,2.26,2.35,2.22,2.26,31900,2.17
20131112,0,2.35,2.35,2.28,2.28,31200,2.19
20131111,0,2.35,2.35,2.31,2.33,20700,2.24
20131108,0,2.31,2.37,2.3,2.35,95300,2.26
20131107,0,2.4,2.4,2.3,2.34,60800,2.25
20131106,0,2.39,2.4,2.33,2.37,110600,2.27
20131105,0,2.35,2.38,2.28,2.35,63700,2.26
20131104,0,2.38,2.38,2.26,2.35,44800,2.26
20131101,0,2.31,2.34,2.25,2.32,68700,2.23
20131031,0,2.3,2.39,2.3,2.35,42300,2.26
20131030,0,2.33,2.34,2.18,2.34,90000,2.25
20131029,0,2.32,2.35,2.21,2.3,215500,2.21
20131028,0,2.4,2.44,2.29,2.33,91000,2.24
20131025,0,2.4,2.48,2.3,2.37,220500,2.27
20131024,0,2.47,2.56,2.4,2.42,102200,2.32
20131023,0,2.43,2.48,2.42,2.44,61100,2.34
20131022,0,2.35,2.46,2.35,2.4,55600,2.3
20131021,0,2.43,2.49,2.41,2.42,55500,2.32
20131018,0,2.38,2.41,2.31,2.4,95100,2.3
20131017,0,2.37,2.37,2.28,2.33,70500,2.24
20131016,0,2.35,2.4,2.27,2.28,34000,2.19
20131015,0,2.28,2.4,2.28,2.33,64700,2.24
20131014,0,2.19,2.37,2.19,2.31,43200,2.22
20131011,0,2.2,2.25,2.2,2.25,37200,2.16
20131010,0,2.17,2.27,2.15,2.22,151100,2.13
20131009,0,2.15,2.16,2.12,2.13,62200,2.04
20131008,0,2.1,2.17,2.1,2.13,17600,2.04
20131007,0,2.11,2.15,2.1,2.1,34400,2.02
20131004,0,2.14,2.17,2.11,2.14,51800,2.05
20131003,0,2.19,2.19,2.12,2.13,50800,2.04
20131002,0,2.1,2.19,2.09,2.15,110300,2.06
20131001,0,2.09,2.13,2.08,2.11,127600,2.03
20130930,0,2.08,2.09,2.05,2.09,80100,2.01
20130927,0,2.18,2.18,2.09,2.09,40600,2.01
20130926,0,2.12,2.14,2.09,2.1,59100,2.02
20130925,0,2.12,2.14,2.07,2.11,83200,2.03
20130924,0,2.1,2.14,2.08,2.08,75200,2
20130923,0,2.15,2.17,2.04,2.08,149000,2
20130920,0,2.1,2.24,2,2,146500,1.92
20130919,0,2.07,2.12,2.07,2.1,27700,2.02
20130918,0,2.13,2.15,2.05,2.11,64800,2.03
20130917,0,2.15,2.19,2.13,2.14,45900,2.05
20130916,0,2.16,2.19,2.15,2.15,25700,2.06
20130913,0,2.15,2.2,2.15,2.15,12500,2.06
20130912,0,2.15,2.19,2.14,2.18,47200,2.09
20130911,0,2.18,2.2,2.16,2.17,15000,2.08
20130910,0,2.22,2.22,2.18,2.18,20900,2.09
20130909,0,2.23,2.24,2.18,2.18,15700,2.09
20130906,0,2.17,2.21,2.12,2.2,54200,2.11
20130905,0,2.25,2.25,2.15,2.16,23100,2.07
20130904,0,2.2,2.21,2.15,2.19,42100,2.1
20130903,0,2.2,2.23,2.18,2.2,20700,2.11
20130830,0,2.19,2.2,2.15,2.2,14600,2.11
20130829,0,2.19,2.19,2.17,2.18,9800,2.09
20130828,0,2.2,2.2,2.12,2.17,64700,2.08
20130827,0,2.25,2.25,2.17,2.2,74100,2.11
20130826,0,2.25,2.29,2.18,2.27,38200,2.18
20130823,0,2.3,2.33,2.25,2.28,32500,2.19
20130822,0,2.23,2.3,2.22,2.3,60400,2.21
20130821,0,2.21,2.26,2.18,2.22,100100,2.13
20130820,0,2.25,2.27,2.23,2.25,34700,2.16
20130819,0,2.23,2.25,2.23,2.23,49800,2.14
20130816,0,2.22,2.25,2.15,2.21,41000,2.12
20130815,0,2.08,2.25,2.08,2.23,63100,2.14
20130814,0,2.25,2.3,2.15,2.23,42100,2.14
20130813,0,2.26,2.3,2.13,2.28,97900,2.19
20130812,0,2.29,2.29,2.22,2.23,69700,2.14
20130809,0,2.17,2.29,2.15,2.29,184000,2.2
20130808,0,2.15,2.15,2.11,2.15,34700,2.06
20130807,0,2.1,2.19,2.09,2.11,28600,2.03
20130806,0,2.17,2.17,2.1,2.1,85600,2.02
20130805,0,2.19,2.19,2.06,2.17,91500,2.08
20130802,0,2.07,2.15,2.02,2.14,84200,2.05
20130801,0,2.06,2.1,2.02,2.05,70900,1.97
20130731,0,2,2.05,1.97,2.01,91800,1.93
20130730,0,2.01,2.06,1.96,1.96,46000,1.88
20130729,0,2.01,2.04,1.97,2.03,60600,1.95
20130726,0,1.99,2.01,1.97,1.99,25900,1.91
20130725,0,2.01,2.02,1.95,1.98,69000,1.9
20130724,0,2,2.02,1.94,2.02,82900,1.94
20130723,0,1.95,2.05,1.91,1.96,204300,1.88
20130722,0,1.89,1.95,1.88,1.94,72700,1.86
20130719,0,1.9,1.9,1.88,1.88,14600,1.8
20130718,0,1.86,1.9,1.86,1.88,31100,1.8
20130717,0,1.9,1.92,1.83,1.9,47800,1.82
20130716,0,1.85,1.9,1.82,1.89,34900,1.81
20130715,0,1.86,1.9,1.85,1.85,10200,1.78
20130712,0,1.87,1.9,1.86,1.9,28700,1.82
20130711,0,1.87,1.89,1.87,1.89,24400,1.81
20130710,0,1.83,1.87,1.83,1.87,36000,1.79
20130709,0,1.84,1.87,1.81,1.82,27300,1.75
20130708,0,1.85,1.86,1.82,1.83,16000,1.76
20130705,0,1.86,1.86,1.83,1.84,9900,1.77
20130703,0,1.85,1.86,1.82,1.86,12500,1.79
20130702,0,1.85,1.88,1.83,1.86,27500,1.79
20130701,0,1.85,1.88,1.81,1.88,36900,1.8
20130628,0,1.86,1.89,1.84,1.86,40200,1.79
20130627,0,1.87,1.88,1.85,1.85,9500,1.78
20130626,0,1.88,1.91,1.83,1.87,7500,1.79
20130625,0,1.87,1.87,1.82,1.86,71600,1.79
20130624,0,1.85,1.88,1.83,1.88,32700,1.8
20130621,0,1.94,1.95,1.85,1.85,46100,1.78
20130620,0,1.9,1.95,1.87,1.89,12600,1.81
20130619,0,1.94,1.94,1.87,1.89,123700,1.81
20130618,0,1.88,1.93,1.87,1.89,45800,1.81
20130617,0,1.87,1.89,1.85,1.88,39400,1.8
20130614,0,1.87,1.9,1.84,1.86,18800,1.79
20130613,0,1.88,1.88,1.85,1.85,14300,1.78
20130612,0,1.87,1.89,1.83,1.89,42900,1.81
20130611,0,1.89,1.9,1.86,1.87,23700,1.79
20130610,0,1.88,1.9,1.86,1.9,18100,1.82
20130607,0,1.91,1.91,1.86,1.9,33500,1.82
20130606,0,1.88,1.89,1.86,1.89,9500,1.81
20130605,0,1.9,1.92,1.86,1.87,43700,1.79
20130604,0,1.94,1.95,1.91,1.92,32000,1.84
20130603,0,1.95,1.99,1.89,1.95,62700,1.87
20130531,0,2,2.01,1.96,1.98,36800,1.9
20130530,0,1.99,2,1.96,1.98,13300,1.9
20130529,0,1.96,1.98,1.93,1.98,59400,1.9
20130528,0,1.96,2,1.92,1.95,73300,1.87
20130524,0,1.94,1.98,1.9,1.96,34700,1.88
20130523,0,1.9,1.95,1.88,1.94,28000,1.86
20130522,0,1.9,1.94,1.88,1.94,32200,1.86
20130521,0,1.86,1.9,1.83,1.9,28500,1.82
20130520,0,1.87,1.87,1.85,1.87,23600,1.79
20130517,0,1.87,1.88,1.85,1.86,21700,1.79
20130516,0,1.82,1.86,1.82,1.86,27400,1.79
20130515,0,1.85,1.87,1.85,1.85,17200,1.78
20130514,0,1.82,1.87,1.82,1.86,32500,1.79
20130513,0,1.86,1.88,1.82,1.85,128300,1.78
20130510,0,1.85,1.94,1.85,1.85,66300,1.78
20130509,0,1.88,1.93,1.88,1.91,28100,1.83
20130508,0,1.94,1.94,1.88,1.94,44200,1.86
20130507,0,1.94,1.94,1.89,1.92,16100,1.84
20130506,0,1.91,1.95,1.91,1.93,33100,1.85
20130503,0,1.95,1.95,1.89,1.91,24300,1.83
20130502,0,1.9,1.94,1.9,1.94,48700,1.86
20130501,0,1.91,1.91,1.87,1.9,4700,1.82
20130430,0,1.89,1.94,1.85,1.86,59000,1.79
20130429,0,1.94,1.94,1.88,1.93,28700,1.85
20130426,0,1.92,1.94,1.88,1.94,36700,1.86
20130425,0,1.89,1.91,1.84,1.88,42900,1.8
20130424,0,1.9,1.9,1.88,1.89,6600,1.81
20130423,0,1.92,1.92,1.86,1.89,26900,1.81
20130422,0,1.93,1.93,1.9,1.93,558700,1.85
20130419,0,1.9,1.91,1.9,1.91,3700,1.83
20130418,0,1.86,1.95,1.85,1.93,73100,1.85
20130417,0,1.93,1.93,1.88,1.88,75600,1.8
20130416,0,1.86,1.91,1.84,1.91,25600,1.83
20130415,0,1.89,1.9,1.84,1.86,83800,1.79
20130412,0,1.87,1.92,1.85,1.91,42700,1.83
20130411,0,1.85,1.95,1.82,1.9,31800,1.82
20130410,0,1.92,1.92,1.85,1.85,9900,1.78
20130409,0,1.89,1.93,1.86,1.89,18600,1.81
20130408,0,1.85,1.94,1.85,1.9,69000,1.82
20130405,0,1.92,1.92,1.88,1.89,16200,1.81
20130404,0,1.9,1.92,1.88,1.9,28900,1.82
20130403,0,1.85,1.91,1.85,1.89,29700,1.81
20130402,0,1.81,1.92,1.78,1.89,38200,1.81
20130401,0,1.92,1.95,1.86,1.92,50900,1.84
20130328,0,1.91,1.93,1.85,1.91,36400,1.83
20130327,0,1.94,1.94,1.89,1.91,11500,1.83
20130326,0,1.88,1.92,1.82,1.92,16300,1.84
20130325,0,1.91,1.92,1.87,1.9,81600,1.82
