date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,15.9,15.9,15.9,15.9,0,15.9
20140113,0,15.9,15.9,15.9,15.9,600,15.9
20140110,0,15.55,15.6,15.4,15.4,600,15.4
20140109,0,15.5,16,15.5,15.85,2000,15.85
20140108,0,14.9,15.3,14.9,15.3,1100,15.3
20140107,0,14.48,14.65,14.48,14.65,1900,14.65
20140106,0,14.35,14.35,14.35,14.35,0,14.35
20140103,0,14.35,14.35,14.35,14.35,100,14.35
20140102,0,14.44,14.44,14.44,14.44,0,14.44
20140101,0,14.4,14.4,14.4,14.4,0,14.4
20131231,0,14.4,14.4,14.4,14.4,0,14.4
20131230,0,14.4,14.4,14.4,14.4,100,14.4
20131227,0,14.31,14.31,14.3,14.3,700,14.3
20131226,0,14.49,14.49,14.49,14.49,0,14.49
20131225,0,14.49,14.49,14.49,14.49,0,14.49
20131224,0,14.49,14.49,14.49,14.49,0,14.49
20131223,0,14.49,14.49,14.49,14.49,0,14.49
20131220,0,14.47,14.55,14.4,14.55,1600,14.55
20131219,0,14.64,14.64,14.64,14.64,0,14.64
20131218,0,14.6,14.6,14.6,14.6,0,14.6
20131217,0,14.5,14.5,14.5,14.5,0,14.5
20131216,0,14.49,14.49,14.49,14.49,0,14.49
20131213,0,14.49,14.49,14.49,14.49,0,14.49
20131212,0,14.15,14.5,14.05,14.15,3900,14.15
20131211,0,14.15,14.15,14.15,14.15,0,14.15
20131210,0,14,14,14,14,0,14
20131209,0,13.99,14.05,13.99,14.05,500,14.05
20131206,0,13.99,13.99,13.99,13.99,0,13.99
20131205,0,14.18,14.18,14.18,14.18,0,14.18
20131204,0,13.86,14.18,13.86,14.18,0,14.18
20131203,0,14.19,14.19,14.19,14.19,100,14.19
20131202,0,14.05,14.05,14.05,14.05,0,14.05
20131129,0,14.15,14.15,14.15,14.15,0,14.15
20131128,0,14,14,14,14,300,14
20131127,0,14.2,14.2,14.2,14.2,0,14.2
20131126,0,14.2,14.2,14.2,14.2,0,14.2
20131125,0,14.2,14.2,14.2,14.2,0,14.2
20131122,0,14.28,14.28,14.28,14.28,0,14.28
20131121,0,14.28,14.28,14.28,14.28,0,14.28
20131120,0,14.19,14.28,13.86,14.28,200,14.28
20131119,0,14.3,14.3,14.3,14.3,0,14.3
20131118,0,14.11,14.35,14.1,14.1,1200,14.1
20131115,0,14.51,14.51,14.51,14.51,0,14.51
20131114,0,14.51,14.51,14.51,14.51,0,14.51
20131113,0,14.2,14.4,14.2,14.4,600,14.4
20131112,0,14.48,14.55,14.48,14.55,100,14.55
20131111,0,14.49,14.49,14.49,14.49,0,14.49
20131108,0,14.25,14.39,14.25,14.3,0,14.3
20131107,0,14.2,14.49,14.2,14.49,100,14.49
20131106,0,14.55,14.55,14.35,14.49,2100,14.49
20131105,0,14.85,14.85,14.85,14.85,0,14.85
20131104,0,14.75,14.75,14.75,14.75,0,14.75
20131101,0,14.75,14.75,14.75,14.75,0,14.75
20131031,0,14.6,14.6,14.6,14.6,100,14.6
20131030,0,14.6,14.6,14.6,14.6,0,14.6
20131029,0,14.45,14.62,14.45,14.62,500,14.62
20131028,0,14.8,14.8,14.8,14.8,0,14.8
20131025,0,14.4,14.8,14.4,14.8,1400,14.8
20131024,0,14.45,14.45,14.1,14.45,100,14.45
20131023,0,14.4,14.4,14.4,14.4,0,14.4
20131022,0,14.39,14.39,14.39,14.39,0,14.39
20131021,0,13.97,14.39,13.96,14.39,500,14.39
20131018,0,14.15,14.3,14.15,14.3,300,14.3
20131017,0,14.52,14.52,13.95,14.3,3400,14.3
20131016,0,14.82,14.82,14.82,14.82,0,14.82
20131015,0,14.6,14.6,14.6,14.6,0,14.6
20131014,0,14.74,14.74,14.74,14.74,0,14.74
20131011,0,14.74,14.74,14.74,14.74,0,14.74
20131010,0,14.62,14.74,14.62,14.74,100,14.74
20131009,0,14.75,14.75,14.75,14.75,0,14.75
20131008,0,14.75,14.75,14.75,14.75,700,14.75
20131007,0,14.49,14.55,14.25,14.55,2200,14.55
20131004,0,14.4,14.49,14.3,14.49,200,14.49
20131003,0,14.7,14.7,14.7,14.7,0,14.7
20131002,0,14.7,14.7,14.7,14.7,700,14.7
20131001,0,14.8,14.99,14.8,14.99,0,14.99
20130930,0,15,15,15,15,0,15
20130927,0,15.3,15.3,15.3,15.3,0,15.3
20130926,0,15.3,15.3,15.3,15.3,0,15.3
20130925,0,14.96,15.1,14.96,15.1,300,15.1
20130924,0,15.1,15.4,15.1,15.4,0,15.4
20130923,0,15.3,15.3,15.3,15.3,0,15.3
20130920,0,15.25,15.25,15.25,15.25,0,15.25
