date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,2.66,2.7,2.61,2.61,744600,2.51
20140113,0,2.75,2.75,2.67,2.7,810000,2.59
20140110,0,2.71,2.76,2.69,2.76,1011700,2.65
20140109,0,2.67,2.69,2.64,2.68,520700,2.58
20140108,0,2.69,2.71,2.65,2.67,394400,2.57
20140107,0,2.72,2.73,2.65,2.67,672500,2.57
20140106,0,2.75,2.79,2.71,2.72,569500,2.61
20140103,0,2.76,2.77,2.71,2.73,432100,2.62
20140102,0,2.82,2.84,2.71,2.76,714300,2.65
20140101,0,2.77,2.77,2.77,2.77,0,2.66
20131231,0,2.71,2.78,2.71,2.77,326100,2.66
20131230,0,2.72,2.75,2.66,2.71,873600,2.6
20131227,0,2.76,2.78,2.64,2.71,897500,2.6
20131226,0,2.74,2.74,2.74,2.74,0,2.63
20131225,0,2.74,2.74,2.74,2.74,0,2.63
20131224,0,2.79,2.84,2.69,2.74,670200,2.63
20131223,0,2.6,2.76,2.57,2.76,1699900,2.65
20131220,0,2.57,2.71,2.53,2.53,3594100,2.43
20131219,0,2.68,2.7,2.51,2.54,4767200,2.44
20131218,0,3.2,3.21,2.82,2.85,8806200,2.74
20131217,0,4.22,4.22,4.15,4.18,173300,4.02
20131216,0,4.05,4.21,4.05,4.21,328300,4.05
20131213,0,4.07,4.13,4.04,4.08,467600,3.92
20131212,0,4.1,4.16,4.05,4.12,564700,3.96
20131211,0,4.21,4.22,4,4.1,623900,3.94
20131210,0,4.2,4.34,4.2,4.24,560900,4.07
20131209,0,4.25,4.29,4.21,4.23,427300,4.06
20131206,0,4.26,4.32,4.26,4.3,453600,4.13
20131205,0,4.4,4.44,4.29,4.29,451300,4.12
20131204,0,4.3,4.45,4.3,4.44,1088900,4.27
20131203,0,4.32,4.34,4.25,4.34,531300,4.17
20131202,0,4.38,4.39,4.31,4.35,726500,4.18
20131129,0,4.35,4.4,4.34,4.37,380100,4.2
20131128,0,4.29,4.39,4.29,4.36,258500,4.19
20131127,0,4.37,4.4,4.26,4.26,398000,4.09
