date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,77.25,81.57,76.34,81.4,3747400,81.4
20140113,0,81.94,82.08,75.27,75.84,4423300,75.84
20140110,0,78.38,82.43,77.12,82.21,3722800,82.21
20140109,0,79.34,81.42,77.58,78.42,4287300,78.42
20140108,0,74.11,79.89,74.11,78.42,5579400,78.42
20140107,0,72,73.88,71.14,72.66,2778300,72.66
20140106,0,68.37,72.39,68.11,71.72,3804500,71.72
20140103,0,68,68.63,66.47,67.66,1621500,67.66
20140102,0,68.75,69.49,66.72,67.92,1910400,67.92
20131231,0,66.03,69.14,65.92,68.95,2532500,68.95
20131230,0,65.6,66.37,63.63,66.01,1618300,66.01
20131227,0,68.02,68.36,65.8,65.92,1804800,65.92
20131226,0,68.44,69.24,67.67,68.16,1153300,68.16
20131224,0,68.1,68.75,66.77,67.83,1006900,67.83
20131223,0,68,68.97,67.02,68.3,1600200,68.3
20131220,0,65.96,68.46,65.41,68.01,3353700,68.01
20131219,0,65.07,67.69,64.68,65.49,1906200,65.49
20131218,0,66.23,66.78,63.03,65.79,3220700,65.79
20131217,0,64.06,67.48,63.3,66.8,2842100,66.8
20131216,0,64.35,65.37,63.61,64.14,1493400,64.14
20131213,0,64.82,65.99,63.17,64.05,1893800,64.05
20131212,0,62.9,65.39,62.59,64.38,2297500,64.38
20131211,0,65.75,65.99,62.53,63.1,2213200,63.1
20131210,0,62.66,65.8,62.52,65.53,2935100,65.53
20131209,0,63.2,64.19,62.25,63.79,1884100,63.79
20131206,0,63.24,63.68,61.5,62.86,2342500,62.86
20131205,0,62.51,63.72,61.68,62.62,2155400,62.62
20131204,0,59.2,63.31,59.18,63.07,3353300,63.07
20131203,0,59.16,60.37,59.11,60.27,2115200,60.27
20131202,0,60.06,60.61,58.42,59.96,3125200,59.96
20131129,0,61.65,61.69,59.59,60.69,1516100,60.69
20131127,0,61.79,62.97,60.6,61.54,2455000,61.54
20131126,0,58.1,62.09,57.05,61.92,4608900,61.92
20131125,0,62.6,62.6,56.65,58.2,6520400,58.2
20131122,0,64.07,64.9,60.75,62.39,3025200,62.39
20131121,0,62.6,64.29,62.44,63.93,1775000,63.93
20131120,0,63.85,64.95,61.94,62.33,2897100,62.33
20131119,0,64.5,66.2,62.75,63.06,3920500,63.06
20131118,0,70.44,71,64.02,64.43,4613000,64.43
20131115,0,68.39,71,67.61,70.77,3776400,70.77
20131114,0,66.49,68.28,66,67.25,2361100,67.25
20131113,0,64.74,66.88,64.31,66.81,2072800,66.81
20131112,0,63.93,66.7,63.79,65.13,3682100,65.13
20131111,0,62.4,63.52,61.21,62.77,2742800,62.77
20131108,0,60.45,64.03,60.42,63.38,4877000,63.38
20131107,0,66.62,67.55,61.4,61.83,6139500,61.83
20131106,0,71.18,71.87,66.09,66.61,4888100,66.61
20131105,0,68.65,71.39,68.11,71.13,3097300,71.13
20131104,0,67.35,69.4,65.79,69.23,3174700,69.23
20131101,0,67.83,69.93,66.9,67.15,3985900,67.15
20131031,0,66.6,68,64.09,67.75,7639800,67.75
20131030,0,62.98,67.5,62.68,67.05,10213800,67.05
20131029,0,68.42,69.3,65.54,68.83,6240800,68.83
