date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,29.37,29.69,29.1,29.55,6200,29.55
20140113,0,30.24,30.24,29.68,29.95,3900,29.95
20140110,0,30,30.49,29.91,30.24,6800,30.24
20140109,0,30.4,30.51,29.97,30.16,7700,30.16
20140108,0,30.29,30.7,30.04,30.5,7100,30.5
20140107,0,29.48,30.31,29.17,30.17,4900,30.17
20140106,0,29.75,29.75,29.33,29.33,3000,29.33
20140103,0,29.1,29.75,28.83,29.51,4400,29.51
20140102,0,29.55,29.8,29.14,29.22,5500,29.22
20140101,0,29.5,29.5,29.5,29.5,0,29.5
20131231,0,29.5,29.5,29.5,29.5,0,29.5
20131230,0,29.11,29.66,29.11,29.5,9500,29.5
20131227,0,29.82,29.82,29.23,29.35,9200,29.35
20131226,0,29.66,29.66,29.66,29.66,0,29.66
20131225,0,29.66,29.66,29.66,29.66,0,29.66
20131224,0,29.66,29.66,29.66,29.66,0,29.66
20131223,0,29.74,29.8,29.32,29.66,6800,29.66
20131220,0,29.41,29.75,29.35,29.63,14800,29.63
20131219,0,29,29.43,28.92,29.31,13900,29.31
20131218,0,29.07,29.07,28.51,28.56,3100,28.56
20131217,0,29,29.17,28.63,28.88,4000,28.88
20131216,0,29,29.42,28.76,28.92,7500,28.92
20131213,0,28.88,29.2,28.65,29.05,6000,29.05
20131212,0,28.05,29.01,28.02,28.95,8100,28.95
20131211,0,29.25,29.25,28.66,28.7,2700,28.7
20131210,0,28.45,28.9,28.12,28.9,9100,28.9
20131209,0,28.62,28.62,28.17,28.47,5700,28.47
20131206,0,28.65,28.7,28.18,28.54,3500,28.54
20131205,0,28,28.3,27.74,28.25,10500,28.25
20131204,0,26.85,27.27,26.74,27.27,5100,27.27
20131203,0,27.36,27.38,26.8,26.88,6000,26.88
20131202,0,27.51,27.51,27.1,27.35,2400,27.35
20131129,0,27.23,27.43,27,27.35,2700,27.35
20131128,0,27.25,27.3,27.08,27.25,1000,27.25
20131127,0,27.22,27.32,26.44,27.19,3500,27.19
20131126,0,26.69,27.07,26.68,27.05,1600,27.05
20131125,0,26.8,27.25,26.72,26.72,6400,26.72
20131122,0,27.09,27.09,26.7,26.96,3100,26.96
20131121,0,26.59,27.2,26.42,26.94,8300,26.94
20131120,0,26.35,26.6,26.06,26.58,6600,26.58
20131119,0,26.18,26.18,25.6,25.75,2600,25.75
20131118,0,26.38,26.65,26.06,26.42,5100,26.42
20131115,0,26.5,26.78,26.35,26.38,4300,26.38
20131114,0,26,26.41,25.98,26.23,9300,26.23
20131113,0,25.5,25.69,25.1,25.49,9300,25.49
20131112,0,25.38,25.7,25.2,25.44,5400,25.44
20131111,0,25.04,25.27,24.81,25.01,8300,25.01
20131108,0,24.25,24.6,23.89,24.49,2500,24.49
20131107,0,24.22,24.82,24.18,24.2,2500,24.2
20131106,0,24.64,24.65,24.25,24.25,2000,24.25
20131105,0,24.78,24.78,24.26,24.43,1900,24.43
20131104,0,24.77,24.86,24.57,24.6,2900,24.6
20131101,0,24.54,24.65,24.26,24.6,1600,24.6
20131031,0,23.49,24.19,23.49,24.18,800,24.18
20131030,0,24.05,24.36,23.69,23.69,1500,23.69
20131029,0,23.52,24.64,23.52,24.1,5100,24.1
20131028,0,23.4,23.6,23.02,23.33,6900,23.33
20131025,0,23.75,23.9,23.22,23.42,8400,23.42
20131024,0,24.19,24.28,23.81,23.99,4000,23.99
20131023,0,24.64,24.84,24.23,24.3,2800,24.3
20131022,0,25.05,25.19,24.43,24.59,9700,24.59
20131021,0,24.6,25.12,24.45,24.89,6400,24.89
20131018,0,24.2,24.64,24.02,24.5,7600,24.5
20131017,0,24.4,24.4,23.65,24.01,14000,24.01
20131016,0,25.15,25.31,24.65,24.65,28600,24.65
20131015,0,25.02,25.64,24.8,25.35,23500,25.35
20131014,0,24.95,25.15,24.8,24.86,7500,24.86
20131011,0,24.9,25.23,24.76,24.83,3600,24.83
20131010,0,24.66,24.93,24.39,24.75,2900,24.75
20131009,0,24.21,24.68,23.6,23.6,20000,23.6
20131008,0,25.25,25.59,23.91,23.91,6400,23.91
20131007,0,25.65,25.66,25.25,25.25,29900,25.25
20131004,0,24.85,25.34,24.85,25.26,1600,25.26
20131003,0,24.92,24.93,24.72,24.72,900,24.72
20131002,0,25.75,25.75,25,25.25,11000,25.25
20131001,0,24.78,25.05,24.41,24.95,13100,24.95
20130930,0,24.8,24.85,24.2,24.5,17000,24.5
20130927,0,24.65,24.91,24.28,24.75,12200,24.75
20130926,0,23.43,24,23.3,23.88,6700,23.88
20130925,0,23.35,23.65,23.08,23.56,26900,23.56
20130924,0,22.54,23.23,22.54,23.2,1400,23.2
20130923,0,22.95,23.17,22.22,22.22,3000,22.22
20130920,0,22.82,23,22.77,22.85,6200,22.85
20130919,0,22.7,22.71,22.4,22.55,2500,22.55
20130918,0,22.55,22.66,22.36,22.38,4700,22.38
20130917,0,22.07,22.31,21.97,22.19,2500,22.19
20130916,0,22.26,22.41,22.08,22.33,4400,22.33
20130913,0,22,22.25,21.9,22.13,1500,22.13
20130912,0,21.97,22.8,21.97,22.5,3100,22.5
20130911,0,22.3,22.3,21.89,21.89,1900,21.89
20130910,0,22,22.37,22,22.3,7500,22.3
20130909,0,21.58,21.58,21.27,21.27,200,21.27
20130906,0,21.61,21.61,21.2,21.2,1300,21.2
20130905,0,21.2,21.5,21.2,21.4,800,21.4
20130904,0,21.05,21.05,20.84,21.05,700,21.05
20130903,0,20.51,21.09,20.51,20.95,1100,20.95
20130902,0,20.79,20.79,20.62,20.62,2300,20.62
20130830,0,20.8,20.8,20.8,20.8,100,20.8
20130829,0,20.62,20.65,20.41,20.5,2000,20.5
20130828,0,20.39,20.39,20,20.26,3100,20.26
20130827,0,20.8,20.8,20.25,20.33,1400,20.33
20130826,0,20.82,21.17,20.82,20.99,1500,20.99
20130823,0,21.1,21.63,20.89,20.93,15400,20.93
20130822,0,20.31,21.03,20.31,21.03,6500,21.03
20130821,0,20.01,20.5,20.01,20.5,500,20.5
20130820,0,20.27,20.31,20,20.11,1300,20.11
20130819,0,20.55,20.55,20.39,20.39,0,20.39
20130816,0,20.49,20.67,20.05,20.6,2000,20.6
20130815,0,21.13,21.13,21.13,21.13,100,21.13
20130814,0,21.25,21.32,21.12,21.12,2600,21.12
20130813,0,21.5,21.5,21.26,21.5,2000,21.5
20130812,0,20.8,20.8,20.62,20.7,2400,20.7
20130809,0,20.5,20.68,20.4,20.68,1100,20.68
20130808,0,20.32,20.65,20.32,20.53,2300,20.53
20130807,0,20.5,20.6,20.28,20.33,2200,20.33
20130806,0,20.74,21.01,20.73,20.85,1800,20.85
20130805,0,20.63,21.11,20.63,20.81,400,20.81
20130802,0,21.2,21.2,20.81,20.81,600,20.81
20130801,0,21.46,21.46,21.24,21.35,1200,21.35
20130731,0,20.92,21.27,20.91,20.91,6400,20.91
20130730,0,21.17,21.17,20.84,21.1,800,21.1
20130729,0,21.4,21.4,21,21.15,1100,21.15
20130726,0,21.4,21.4,20.99,20.99,400,20.99
20130725,0,21.27,21.5,20.96,21.5,800,21.5
20130724,0,20.77,20.77,20.51,20.58,2300,20.58
20130723,0,21.25,21.5,20.82,20.92,6900,20.92
20130722,0,22.08,22.24,20.83,21.02,4500,21.02
20130719,0,22.5,22.75,22.35,22.47,9400,22.47
20130718,0,22.6,22.69,22.05,22.25,8700,22.25
20130717,0,20.57,22,20.2,21.85,12500,21.85
20130716,0,21.01,21.1,20.76,20.85,1100,20.85
20130715,0,21.12,21.12,20.82,20.82,2500,20.82
20130712,0,20.53,21,20.53,21,900,21
20130711,0,20.8,20.83,20.58,20.73,1600,20.73
20130710,0,20.95,21.05,20.48,20.48,2300,20.48
20130709,0,19.83,19.85,19.83,19.85,1200,19.85
20130708,0,20.23,20.33,19.97,20.16,3000,20.16
20130705,0,19.99,20.2,19.88,20.2,2600,20.2
20130704,0,19.88,19.88,19.88,19.88,100,19.88
20130703,0,19.4,19.54,19.11,19.54,1600,19.54
20130702,0,19.5,19.5,19.5,19.5,0,19.5
20130701,0,19.2,19.5,19.2,19.5,500,19.5
20130628,0,19.47,19.47,19.37,19.37,1300,19.37
20130627,0,19.97,19.97,19.65,19.65,900,19.65
20130626,0,19.24,19.55,19.24,19.55,100,19.55
20130625,0,18.91,18.91,18.84,18.84,400,18.84
20130624,0,19.11,19.17,18.27,18.31,5100,18.31
20130621,0,19.11,19.42,19.11,19.42,1300,19.42
20130620,0,19.75,19.75,19.41,19.41,500,19.41
20130619,0,20.05,20.05,19.84,19.86,700,19.86
20130618,0,20.13,20.13,19.65,20.05,1300,20.05
20130617,0,19.79,20.1,19.78,20.1,900,20.1
20130614,0,19.71,20,19.71,20,200,20
20130613,0,19.18,19.47,19.15,19.47,1800,19.47
20130612,0,20,20,20,20,0,20
20130611,0,19.94,20.06,19.94,20,1300,20
20130610,0,20.38,20.5,20.38,20.43,1000,20.43
20130607,0,19.94,19.99,19.94,19.99,100,19.99
20130606,0,19.66,19.75,19.49,19.5,1900,19.5
