date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,32.5,32.5,32.5,32.5,0,32.5
20140113,0,32.5,32.5,32.5,32.5,0,32.5
20140110,0,32.5,32.5,32.5,32.5,0,32.5
20140109,0,32.5,32.5,32.5,32.5,0,32.5
20140108,0,32.5,32.5,32.5,32.5,0,32.5
20140107,0,32.5,32.5,32.5,32.5,0,32.5
20140106,0,32.5,32.5,32.5,32.5,0,32.5
20140103,0,32.5,32.5,32.5,32.5,0,32.5
20140102,0,32.5,32.5,32.5,32.5,0,32.5
20140101,0,32.5,32.5,32.5,32.5,0,32.5
20131231,0,32.5,32.5,32.5,32.5,0,32.5
20131230,0,32.5,32.5,32.5,32.5,0,32.5
20131227,0,32.5,32.5,32.5,32.5,0,32.5
20131226,0,32.5,32.5,32.5,32.5,0,32.5
20131225,0,32.5,32.5,32.5,32.5,0,32.5
20131224,0,32.5,32.5,32.5,32.5,0,32.5
20131223,0,32.5,32.5,32.5,32.5,0,32.5
20131220,0,32.5,32.5,32.5,32.5,0,32.5
20131219,0,32.5,32.5,32.5,32.5,0,32.5
20131218,0,32.5,32.5,32.5,32.5,0,32.5
20131217,0,32.5,32.5,32.5,32.5,0,32.5
20131216,0,32.5,32.5,32.5,32.5,0,32.5
20131213,0,32.5,32.5,32.5,32.5,0,32.5
20131212,0,32.5,32.5,32.5,32.5,0,32.5
20131211,0,32.5,32.5,32.5,32.5,0,32.5
20131210,0,32.5,32.5,32.5,32.5,0,32.5
20131209,0,32.5,32.5,32.5,32.5,0,32.5
20131206,0,32.5,32.5,32.5,32.5,0,32.5
20131205,0,32.5,32.5,32.5,32.5,0,32.5
20131204,0,32.5,32.5,32.5,32.5,0,32.5
20131203,0,32.5,32.5,32.5,32.5,0,32.5
20131202,0,32.5,32.5,32.5,32.5,0,32.5
20131129,0,32.5,32.5,32.5,32.5,0,32.5
20131128,0,32.5,32.5,32.5,32.5,0,32.5
20131127,0,32.5,32.5,32.5,32.5,0,32.5
20131126,0,32.5,32.5,32.5,32.5,0,32.5
20131125,0,32.5,32.5,32.5,32.5,0,32.5
20131122,0,32.5,32.5,32.5,32.5,0,32.5
20131121,0,32.5,32.5,32.5,32.5,0,32.5
20131120,0,32.5,32.5,32.5,32.5,0,32.5
20131119,0,32.5,32.5,32.5,32.5,0,32.5
20131118,0,32.5,32.5,32.5,32.5,0,32.5
20131115,0,32.5,32.5,32.5,32.5,0,32.5
20131114,0,32.5,32.5,32.5,32.5,0,32.5
20131113,0,32.5,32.5,32.5,32.5,0,32.5
20131112,0,32.5,32.5,32.5,32.5,0,32.5
20131111,0,32.5,32.5,32.5,32.5,0,32.5
20131108,0,32.5,32.5,32.5,32.5,0,32.5
20131107,0,32.5,32.5,32.5,32.5,0,32.5
20131106,0,32.5,32.5,32.5,32.5,0,32.5
20131105,0,32.5,32.5,32.5,32.5,84800,32.5
20131104,0,34,34,34,34,0,34
20131101,0,34,34,34,34,0,34
20131031,0,34,34,34,34,0,34
20131030,0,34,34,34,34,0,34
20131029,0,34,34,34,34,0,34
20131028,0,34,34,34,34,0,34
20131025,0,34,34,34,34,33600,34
20131024,0,34.8,34.8,34.8,34.8,39700,34.8
20131023,0,32,32,32,32,0,32
20131022,0,32,32,32,32,0,32
20131021,0,32,32,32,32,0,32
20131018,0,32,32,32,32,0,32
20131017,0,32,32,32,32,0,32
20131016,0,32,32,32,32,0,32
20131015,0,32,32,32,32,0,32
20131014,0,32,32,32,32,0,32
20131011,0,32,32,32,32,0,32
20131010,0,32,32,32,32,0,32
20131009,0,32,32,32,32,0,32
20131008,0,32,32,32,32,0,32
20131007,0,32,32,32,32,0,32
20131004,0,32,32,32,32,0,32
20131003,0,32,32,32,32,0,32
20131002,0,32,32,32,32,0,32
20131001,0,32,32,32,32,0,32
20130930,0,32,32,32,32,0,32
20130927,0,32,32,32,32,0,32
20130926,0,32,32,32,32,0,32
20130925,0,32,32,32,32,0,32
20130924,0,32,32,32,32,0,32
20130923,0,32,32,32,32,0,32
20130920,0,32,32,32,32,8600,32
20130919,0,25.55,25.55,25.55,25.55,0,25.55
20130918,0,25.55,25.55,25.55,25.55,0,25.55
20130917,0,25.55,25.55,25.55,25.55,0,25.55
20130916,0,25.55,25.55,25.55,25.55,0,25.55
20130913,0,25.55,25.55,25.55,25.55,0,25.55
20130912,0,25.55,25.55,25.55,25.55,0,25.55
20130911,0,25.55,25.55,25.55,25.55,0,25.55
20130910,0,25.55,25.55,25.55,25.55,0,25.55
20130909,0,25.55,25.55,25.55,25.55,0,25.55
20130906,0,25.55,25.55,25.55,25.55,0,25.55
20130905,0,25.55,25.55,25.55,25.55,0,25.55
20130904,0,25.55,25.55,25.55,25.55,0,25.55
20130903,0,25.55,25.55,25.55,25.55,0,25.55
