date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,43.07,43.96,42.57,43.78,1924000,43.78
20140113,0,44.17,44.91,42.4,42.65,1966700,42.65
20140110,0,44.05,44.44,43.06,44,3011700,44
20140109,0,43.43,45.42,43.17,44.22,5685700,44.22
20140108,0,43.77,44.24,42.22,42.25,3146300,42.25
20140107,0,43.17,43.94,42.06,43.53,2821300,43.53
20140106,0,42.89,43.19,42.61,42.91,1809900,42.91
20140103,0,42.99,43.34,42.63,42.9,1130400,42.9
20140102,0,43.31,43.34,42.36,42.63,1724200,42.63
20131231,0,42.42,43.17,42.17,43.15,1435600,43.15
20131230,0,42.58,43.26,41.96,42.17,1812400,42.17
20131227,0,43.13,43.41,42.44,42.58,1666900,42.58
20131226,0,42.26,43.65,42.1,42.94,2082500,42.94
20131224,0,42.35,42.5,41.32,41.88,1027800,41.88
20131223,0,40.68,42.94,40.5,41.85,3946500,41.85
20131220,0,39.85,40.4,39.33,40.29,2402900,40.29
20131219,0,39.33,40.05,39,39.68,1693900,39.68
20131218,0,38.79,39.47,38.11,39.33,2125800,39.33
20131217,0,38.79,38.89,38.27,38.39,1689900,38.39
20131216,0,38.42,38.97,38,38.33,2099700,38.33
20131213,0,38.57,39.06,37.98,38.21,2743500,38.21
20131212,0,37.49,39.04,37.45,38.16,6561800,38.16
20131211,0,39.97,39.97,36.96,37.42,6163100,37.42
20131210,0,39.65,40.49,39.5,39.92,2097900,39.92
20131209,0,39.91,40.57,39.28,39.84,2008800,39.84
20131206,0,41.14,41.8,39.83,39.94,2558700,39.94
20131205,0,39.7,41.3,39.25,40.97,2372200,40.97
20131204,0,39.26,40.3,39.26,40.1,2062200,40.1
20131203,0,39.59,41.56,38.75,39.85,4879200,39.85
20131202,0,39.95,40.42,39.2,40.07,2441400,40.07
20131129,0,39.22,40.47,39.15,39.75,944400,39.75
20131127,0,39.98,40.02,39.37,39.61,1249600,39.61
20131126,0,38.57,40.36,38.51,39.89,2264200,39.89
20131125,0,38.59,38.92,38.29,38.73,1599700,38.73
20131122,0,38.29,38.85,38.22,38.47,1711800,38.47
20131121,0,36.42,38.16,36.06,38,2594000,38
20131120,0,37,37.82,35.78,36.15,2878400,36.15
20131119,0,38.82,38.95,36.9,36.97,2065600,36.97
20131118,0,38.97,39.85,38.53,38.78,2621700,38.78
20131115,0,39.07,39.25,38.06,38.53,1731500,38.53
20131114,0,37.1,38.67,36.7,38.64,2821500,38.64
20131113,0,36.35,37.13,35.99,37.09,1425200,37.09
20131112,0,36.83,37.05,35.91,36.31,1243800,36.31
20131111,0,36.18,36.92,35.8,36.8,1060500,36.8
20131108,0,36.12,36.58,35.59,36.35,2340500,36.35
20131107,0,38.37,38.58,35.99,36.09,3302700,36.09
20131106,0,37.83,38.37,37.6,38.27,1982900,38.27
20131105,0,37.56,37.85,37.1,37.52,1378200,37.52
20131104,0,38.25,38.65,37.5,37.71,1416000,37.71
20131101,0,37.17,38.24,36.91,38.03,2699600,38.03
20131031,0,37.33,37.45,35.96,36.86,3464000,36.86
20131030,0,38.12,38.61,37.1,37.31,1828700,37.31
20131029,0,38.5,38.5,37,37.79,4280500,37.79
20131028,0,38.18,39.2,37.98,38.16,2847700,38.16
20131025,0,40.83,40.84,37.64,38.19,3575500,38.19
20131024,0,40.02,40.88,37.3,40.79,4935700,40.79
20131023,0,40.6,41.2,39.91,41,2679400,41
20131022,0,41.67,42,40.35,40.67,4404100,40.67
20131021,0,41.67,41.96,40.56,41.04,2911800,41.04
20131018,0,39.81,41.32,39.81,40.81,3334400,40.81
20131017,0,39.29,39.65,38.63,39.22,2555100,39.22
20131016,0,38.61,39.7,38.6,39.31,2634000,39.31
20131015,0,38.49,38.92,38.24,38.59,1645500,38.59
20131014,0,38.13,38.97,37.9,38.36,2171500,38.36
20131011,0,38.72,38.94,37.48,38.33,5703300,38.33
20131010,0,36.89,38.55,36.85,38.53,3633900,38.53
20131009,0,35.1,36.88,34.67,36.16,3990100,36.16
20131008,0,38.03,38.1,34.31,35.54,4596100,35.54
20131007,0,37.93,38.14,37.3,37.44,1701800,37.44
20131004,0,38.38,38.75,37.97,38.35,1988000,38.35
20131003,0,38.01,39.44,37.78,38.38,3331000,38.38
20131002,0,37.43,38,37.26,37.75,1327300,37.75
20131001,0,36.33,37.84,36,37.84,1657400,37.84
20130930,0,36.22,36.5,35.63,36.42,2155700,36.42
20130927,0,37.14,37.33,36.51,36.8,1768900,36.8
20130926,0,37.32,37.63,37.01,37.36,1844400,37.36
20130925,0,37.25,37.26,36.74,36.87,2881700,36.87
20130924,0,36.94,37.5,36.71,37.48,2819700,37.48
20130923,0,36.65,36.82,36.12,36.69,3442800,36.69
20130920,0,38.05,38.1,36.01,36.59,3059700,36.59
20130919,0,36.67,37.97,36.4,37.93,3490300,37.93
20130918,0,35.17,36.45,35.11,36.22,1644900,36.22
20130917,0,34.86,35.5,34.61,35.19,1531700,35.19
20130916,0,34.86,35.14,34.55,34.91,4698500,34.91
20130913,0,34.5,34.6,34.04,34.38,1564400,34.38
20130912,0,34.44,34.64,33.69,34.4,1780800,34.4
20130911,0,35.11,35.19,34.4,34.5,2240200,34.5
20130910,0,35.4,35.88,34.85,35,2561600,35
20130909,0,34.33,35.36,34.33,35.17,1989700,35.17
20130906,0,35.1,35.1,33.63,34.24,3127600,34.24
20130905,0,33.29,35.24,33.1,34.67,5097200,34.67
20130904,0,32.16,33.51,31.79,32.98,2443700,32.98
20130903,0,32.2,32.5,31.62,32.02,1743500,32.02
20130830,0,32.25,32.71,31.86,32,1642900,32
20130829,0,31.21,32.25,31.15,32.01,4330900,32.01
20130828,0,32.03,32.62,31.82,32.41,1339800,32.41
20130827,0,32.66,32.97,31.95,32.14,1807000,32.14
20130826,0,33.6,33.76,33.15,33.24,1064700,33.24
20130823,0,33.56,33.62,33.01,33.44,823300,33.44
20130822,0,32.95,33.82,32.8,33.3,994000,33.3
20130821,0,32.9,33.43,32.58,32.73,1018400,32.73
20130820,0,32.4,32.98,32.3,32.77,863400,32.77
20130819,0,32.9,33.08,31.77,32.38,3267900,32.38
20130816,0,32.99,33.4,32.79,33.12,1265500,33.12
20130815,0,33.27,33.73,32.82,33,1859800,33
20130814,0,33.66,34.79,33,33.7,3401200,33.7
20130813,0,32.61,33.56,32.33,33.2,1326200,33.2
20130812,0,32.71,32.89,32.31,32.68,1316900,32.68
20130809,0,32.86,33.28,32.68,33.04,1083200,33.04
20130808,0,33,33.24,32.39,33,1333000,33
20130807,0,32.87,32.94,31.92,32.76,1564600,32.76
20130806,0,33.49,33.57,32.8,33.35,1492700,33.35
20130805,0,33.58,33.81,33.4,33.5,1415200,33.5
20130802,0,33.06,33.85,33.03,33.78,2531400,33.78
20130801,0,33.1,34.27,32.8,33.72,4176500,33.72
20130731,0,32.13,32.63,32,32.51,3150700,32.51
20130730,0,32.05,32.67,30.39,32.48,3917100,32.48
20130729,0,33,33.31,31.86,31.99,2477600,31.99
20130726,0,31.6,33.66,31.35,33.42,3858800,33.42
20130725,0,32.98,33.15,31.25,31.81,4416000,31.81
20130724,0,31.35,31.59,29.97,30.86,4665400,30.86
