date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,4.94,4.94,4.94,4.94,800,4.94
20140113,0,4.98,4.98,4.98,4.98,0,4.98
20140110,0,4.98,4.98,4.98,4.98,300,4.98
20140109,0,4.98,4.98,4.98,4.98,100,4.98
20140108,0,4.98,4.98,4.98,4.98,0,4.98
20140107,0,4.97,4.97,4.97,4.97,0,4.97
20140106,0,4.97,4.97,4.97,4.97,0,4.97
20140103,0,4.97,4.97,4.97,4.97,200,4.97
20140102,0,4.98,4.98,4.98,4.98,0,4.98
20140101,0,4.98,4.98,4.98,4.98,0,4.98
20131231,0,4.96,4.98,4.96,4.98,0,4.98
20131230,0,4.96,4.96,4.95,4.95,200,4.95
20131227,0,4.96,4.96,4.96,4.96,0,4.96
20131226,0,4.96,4.96,4.96,4.96,0,4.96
20131225,0,4.96,4.96,4.96,4.96,0,4.96
20131224,0,4.96,4.96,4.96,4.96,0,4.96
20131223,0,4.95,4.96,4.95,4.96,0,4.96
20131220,0,4.95,4.98,4.95,4.98,100,4.98
20131219,0,4.97,4.97,4.97,4.97,0,4.97
20131218,0,4.97,4.97,4.97,4.97,0,4.97
20131217,0,4.97,4.97,4.97,4.97,0,4.97
20131216,0,4.97,4.97,4.97,4.97,0,4.97
20131213,0,5,5,4.96,4.96,100,4.96
20131212,0,5.24,5.24,5,5,800,5
20131211,0,5.24,5.24,5.24,5.24,0,5.24
20131210,0,5.13,5.25,5.13,5.25,1000,5.25
20131209,0,5.13,5.13,5.13,5.13,0,5.13
20131206,0,5.24,5.24,5.12,5.12,100,5.12
20131205,0,5.24,5.24,5.24,5.24,0,5.24
20131204,0,5.04,5.25,5.04,5.25,4100,5.25
20131203,0,5.18,5.18,5.18,5.18,100,5.18
20131202,0,5.01,5.18,5.01,5.18,3400,5.18
20131129,0,4.99,5.01,4.99,5.01,100,5.01
20131128,0,4.9,4.99,4.9,4.99,8900,4.99
20131127,0,4.89,4.89,4.89,4.89,0,4.89
20131126,0,4.9,4.9,4.9,4.9,0,4.9
20131125,0,4.9,4.9,4.9,4.9,0,4.9
20131122,0,4.9,4.9,4.9,4.9,500,4.9
20131121,0,4.9,4.9,4.89,4.89,0,4.89
20131120,0,4.95,4.95,4.89,4.89,0,4.89
20131119,0,4.95,4.95,4.95,4.95,100,4.95
