date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,10.99,11.85,10.99,11.5,3000,11.5
20140113,0,10.49,11,10.24,11,1700,11
20140110,0,9.99,10.79,9.99,10.79,1100,10.79
20140109,0,9.99,9.99,9.99,9.99,0,9.99
20140108,0,10,10,10,10,0,10
20140107,0,9.8,10.66,9.8,10,900,10
20140106,0,9.49,9.8,9.49,9.8,1100,9.8
20140103,0,9.49,9.49,9.49,9.49,0,9.49
20140102,0,9.49,9.49,9.49,9.49,0,9.49
20140101,0,9.49,9.49,9.49,9.49,0,9.49
20131231,0,9.25,9.49,9.25,9.49,0,9.49
20131230,0,9.3,9.3,9.24,9.24,0,9.24
20131227,0,9.34,9.34,9.3,9.3,500,9.3
20131226,0,9.34,9.34,9.34,9.34,0,9.34
20131225,0,9.34,9.34,9.34,9.34,0,9.34
20131224,0,9.34,9.34,9.34,9.34,0,9.34
20131223,0,9.35,9.35,9.35,9.35,0,9.35
20131220,0,9.3,9.5,9,9.5,1000,9.5
20131219,0,9.4,9.48,9.4,9.48,400,9.48
20131218,0,9.37,9.37,9.37,9.37,0,9.37
20131217,0,9.37,9.37,9.37,9.37,0,9.37
20131216,0,9.12,9.37,9.12,9.37,0,9.37
20131213,0,9.39,9.39,9.11,9.11,0,9.11
20131212,0,9.22,9.42,9.1,9.42,900,9.42
20131211,0,9.22,9.22,9.22,9.22,0,9.22
20131210,0,9.61,9.61,9.22,9.22,500,9.22
20131209,0,9.61,9.61,9.61,9.61,0,9.61
20131206,0,9.61,9.61,9.61,9.61,0,9.61
20131205,0,9.68,9.68,9.61,9.61,0,9.61
20131204,0,9.39,9.78,9.39,9.68,100,9.68
20131203,0,9.29,9.38,9.29,9.38,200,9.38
20131202,0,9.57,9.57,9.57,9.57,0,9.57
20131129,0,9.93,10,9.56,9.57,300,9.57
20131128,0,9.29,10.02,9.29,10.02,300,10.02
20131127,0,9.16,9.17,9.1,9.1,100,9.1
20131126,0,9.2,9.45,9.17,9.17,1200,9.17
20131125,0,9.89,9.89,9.35,9.61,1700,9.61
20131122,0,9.8,9.9,9.16,9.9,1600,9.9
20131121,0,10,10,9.62,9.71,1300,9.71
20131120,0,10.3,10.3,9.94,9.94,500,9.94
20131119,0,10.3,10.3,10.2,10.25,100,10.25
20131118,0,10.3,10.46,9.83,10.2,2400,10.2
20131115,0,10.22,10.22,9.7,10.1,200,10.1
20131114,0,9.7,10.26,9.7,10.26,500,10.26
20131113,0,10.25,10.25,10.25,10.25,0,10.25
20131112,0,10.25,10.25,10.25,10.25,0,10.25
20131111,0,10.24,10.25,10.21,10.25,200,10.25
20131108,0,10.27,10.27,10.27,10.27,0,10.27
20131107,0,10.29,10.29,10.29,10.29,0,10.29
20131106,0,10.39,10.4,9.72,10.31,200,10.31
20131105,0,10.46,10.46,10.46,10.46,0,10.46
20131104,0,10.53,10.53,10.53,10.53,0,10.53
20131101,0,10.5,10.5,10.5,10.5,0,10.5
20131031,0,10.5,10.5,10.5,10.5,0,10.5
20131030,0,10.47,10.52,10.47,10.5,300,10.5
20131029,0,10.47,10.47,10.47,10.47,0,10.47
20131028,0,10.05,10.47,10,10.47,500,10.47
20131025,0,10.51,10.52,9.7,10.52,600,10.52
20131024,0,10.51,10.52,10,10.51,0,10.51
20131023,0,10.47,10.52,9.62,10.52,500,10.52
20131022,0,10.47,10.47,10.47,10.47,0,10.47
20131021,0,10.39,10.49,10,10.48,100,10.48
20131018,0,10.39,10.39,10.39,10.39,0,10.39
20131017,0,10.47,10.47,10.39,10.45,200,10.45
20131016,0,10.36,10.36,9.51,10.26,900,10.26
20131015,0,10.44,10.44,10.1,10.36,0,10.36
20131014,0,10.48,10.48,9.91,10.44,1100,10.44
20131011,0,10.48,10.52,10.06,10.48,500,10.48
