date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,0,0,0,0,751000,0
20140113,0,0,0,0,0,809900,0
20140110,0,0,0,0,0,1346400,0
20140109,0,0,0,0,0,2887000,0
20140108,0,0,0,0,0,1466800,0
20140107,0,0,0,0,0,3383000,0
20140106,0,0,0,0,0,2690600,0
20140103,0,0.01,0.01,0,0,2632700,0
20140102,0,0.01,0.01,0.01,0.01,1414400,0.01
20140101,0,0.01,0.01,0.01,0.01,0,0.01
20131231,0,0.01,0.01,0.01,0.01,735400,0.01
20131230,0,0.01,0.01,0.01,0.01,129600,0.01
20131227,0,0.01,0.01,0.01,0.01,1295700,0.01
20131226,0,0.01,0.01,0.01,0.01,1835300,0.01
20131225,0,0.01,0.01,0.01,0.01,0,0.01
20131224,0,0.01,0.01,0.01,0.01,427700,0.01
20131223,0,0.01,0.01,0.01,0.01,1903200,0.01
20131220,0,0.02,0.03,0.01,0.01,3553800,0.01
20131219,0,0.02,0.02,0.01,0.02,4600900,0.02
20131218,0,0,0.02,0,0.01,6643700,0.01
20131217,0,0,0,0,0,2023800,0
20131216,0,0,0,0,0,82600,0
20131213,0,0,0,0,0,3981500,0
20131212,0,0,0,0,0,1002000,0
20131211,0,0,0,0,0,65900,0
20131210,0,0,0,0,0,95000,0
20131209,0,0,0,0,0,715500,0
20131206,0,0,0,0,0,982600,0
20131205,0,0,0,0,0,2595200,0
20131204,0,0,0,0,0,273000,0
20131203,0,0,0,0,0,694200,0
20131202,0,0,0,0,0,409100,0
20131129,0,0.01,0.01,0,0,1225600,0
20131128,0,0.01,0.01,0.01,0.01,0,0.01
20131127,0,0,0.01,0,0.01,181100,0.01
20131126,0,0.01,0.01,0,0,651400,0
20131125,0,0.01,0.01,0.01,0.01,1831900,0.01
20131122,0,0.01,0.01,0.01,0.01,1176000,0.01
20131121,0,0.01,0.01,0.01,0.01,250700,0.01
20131120,0,0.01,0.01,0.01,0.01,248100,0.01
20131119,0,0.02,0.02,0.01,0.01,247100,0.01
20131118,0,0.01,0.02,0.01,0.02,186400,0.02
20131115,0,0.01,0.01,0.01,0.01,950700,0.01
20131114,0,0.01,0.02,0.01,0.01,1257100,0.01
20131113,0,0.01,0.01,0.01,0.01,402400,0.01
20131112,0,0.01,0.01,0.01,0.01,115200,0.01
20131111,0,0.02,0.02,0.02,0.02,51900,0.02
20131108,0,0.02,0.02,0.02,0.02,194100,0.02
20131107,0,0.02,0.02,0.02,0.02,98000,0.02
20131106,0,0.02,0.02,0.02,0.02,125000,0.02
20131105,0,0.04,0.04,0.02,0.02,827300,0.02
20131104,0,0.04,0.04,0.04,0.04,90000,0.04
20131101,0,0.04,0.04,0.04,0.04,0,0.04
20131031,0,0.04,0.04,0.03,0.04,113700,0.04
20131030,0,0.04,0.04,0.04,0.04,197600,0.04
20131029,0,0.04,0.04,0.04,0.04,46000,0.04
20131028,0,0.04,0.04,0.04,0.04,40000,0.04
20131025,0,0.05,0.05,0.04,0.04,263500,0.04
20131024,0,0.05,0.05,0.05,0.05,0,0.05
20131023,0,0.05,0.05,0.05,0.05,62000,0.05
20131022,0,0.05,0.05,0.05,0.05,28000,0.05
20131021,0,0.06,0.06,0.05,0.05,85300,0.05
20131018,0,0.07,0.07,0.06,0.06,19900,0.06
20131017,0,0.07,0.07,0.07,0.07,26200,0.07
20131016,0,0.08,0.08,0.07,0.07,13000,0.07
20131015,0,0.09,0.09,0.07,0.08,61500,0.08
20131014,0,0.09,0.09,0.08,0.08,40000,0.08
20131011,0,0.09,0.09,0.09,0.09,0,0.09
20131010,0,0.09,0.09,0.09,0.09,11000,0.09
20131009,0,0.09,0.09,0.09,0.09,1000,0.09
20131008,0,0.09,0.09,0.09,0.09,5000,0.09
20131007,0,0.09,0.1,0.09,0.09,83000,0.09
20131004,0,0.08,0.08,0.08,0.08,800,0.08
20131003,0,0.1,0.1,0.09,0.09,30500,0.09
20131002,0,0.11,0.11,0.06,0.09,180800,0.09
20131001,0,0.11,0.11,0.09,0.1,50600,0.1
20130930,0,0.12,0.12,0.1,0.11,36400,0.11
20130927,0,0.11,0.11,0.11,0.11,9000,0.11
20130926,0,0.11,0.11,0.11,0.11,800,0.11
20130925,0,0.13,0.13,0.11,0.11,15000,0.11
