date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,27.48,28.02,27.27,27.6,518600,27.6
20140113,0,28.24,28.48,27.18,27.37,373800,27.37
20140110,0,28.25,28.57,27.96,28.39,411900,28.39
20140109,0,28.75,28.96,28.09,28.19,400300,28.19
20140108,0,28.7,28.84,28.33,28.71,616800,28.71
20140107,0,28.29,28.86,28.12,28.66,680600,28.66
20140106,0,28.47,28.49,27.99,28.08,646800,28.08
20140103,0,28.74,28.98,28.39,28.5,411700,28.5
20140102,0,29.18,29.33,28.31,28.73,455600,28.73
20131231,0,29.2,29.5,28.7,29.16,462200,29.16
20131230,0,29.21,29.32,28.65,29.14,244900,29.14
20131227,0,29.38,29.43,28.99,29.19,192000,29.19
20131226,0,29.59,29.59,28.77,29.26,274200,29.26
20131224,0,29.69,29.82,29.19,29.52,157200,29.52
20131223,0,29.57,29.7,29.04,29.48,402200,29.48
20131220,0,29.1,29.77,28.99,29.5,732200,29.5
20131219,0,29.02,29.24,28.58,28.96,445500,28.96
20131218,0,28.78,29.06,28.4,29.05,378900,29.05
20131217,0,28.68,28.83,28.31,28.81,454000,28.81
20131216,0,28.42,28.84,28.4,28.69,363800,28.69
20131213,0,28.1,28.4,27.89,28.35,192700,28.35
20131212,0,28,28.53,27.81,28.11,369200,28.11
20131211,0,28.58,28.74,27.81,27.96,349500,27.96
20131210,0,28.39,28.82,28.1,28.49,369400,28.49
20131209,0,28.67,28.83,27.89,28.53,351100,28.53
20131206,0,28.83,29.34,28.54,28.59,356100,28.59
20131205,0,28.68,28.83,28.44,28.5,303700,28.5
20131204,0,28.3,28.91,28.17,28.61,1076200,28.61
20131203,0,28.42,28.76,28.3,28.38,1279100,28.38
20131202,0,29.02,29.08,28.25,28.47,571300,28.47
20131129,0,28.98,29.16,28.88,29.08,223500,29.08
20131127,0,29.48,29.58,28.71,28.82,403300,28.82
20131126,0,29.06,29.65,28.87,29.5,601900,29.5
20131125,0,29.42,29.63,28.9,29.04,446000,29.04
20131122,0,29.08,29.46,28.93,29.35,406900,29.35
20131121,0,29.61,29.61,28.82,29,407400,29
20131120,0,29.5,29.75,28.88,29.57,446900,29.57
20131119,0,29.2,29.73,29.08,29.44,377600,29.44
20131118,0,29.9,29.99,29.15,29.43,293900,29.43
20131115,0,29.28,30.12,29.27,29.82,631800,29.82
20131114,0,29.44,29.47,28.71,29.27,320700,29.27
20131113,0,28.88,29.4,28.61,29.4,414700,29.4
20131112,0,28.92,29,28.54,29,341000,29
20131111,0,28.84,29.27,28.53,29.04,330400,29.04
20131108,0,28,28.85,27.94,28.76,627400,28.76
20131107,0,29.23,30,28.34,28.37,769500,28.37
20131106,0,27.49,29.5,27.01,29.23,3754400,29.23
20131105,0,24.04,24.61,23.88,24.24,898000,24.24
20131104,0,23.86,24.55,23.86,24.14,564100,24.14
20131101,0,23.66,24.08,23.48,23.7,433100,23.7
20131031,0,23.43,23.84,23.27,23.63,899900,23.63
20131030,0,25.03,25.03,22.53,23.18,1009000,23.18
20131029,0,24.74,25.09,24.62,25.06,281000,25.06
20131028,0,24.46,24.7,24.09,24.68,231000,24.68
20131025,0,25.09,25.1,24.45,24.5,247500,24.5
20131024,0,25.13,25.19,24.99,25.06,180300,25.06
20131023,0,24.9,25.13,24.72,25.04,377400,25.04
20131022,0,24.95,25.14,24.76,25.01,311100,25.01
20131021,0,24.51,24.95,24.34,24.88,345900,24.88
20131018,0,24.66,24.73,24.33,24.53,336300,24.53
20131017,0,24.15,24.5,23.89,24.49,195500,24.49
20131016,0,24.29,24.47,24.13,24.22,189700,24.22
20131015,0,24.24,24.46,23.91,24.17,329900,24.17
20131014,0,23.91,24.3,23.62,24.25,260300,24.25
20131011,0,23.86,24.47,23.78,24.03,268600,24.03
20131010,0,23.74,24,23.46,24,437900,24
20131009,0,22.72,23.53,22.69,23.41,540000,23.41
20131008,0,23.56,23.65,22.57,22.6,450600,22.6
