date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,13.49,13.79,13,13.25,318300,13.25
20140113,0,14.25,14.25,12.8,13.2,1156100,13.2
20140110,0,14.47,15.78,13.9,14.28,1375600,14.28
20140109,0,13.92,14.29,13.07,14.26,1094100,14.26
20140108,0,11.8,14.66,11.8,13.99,2334900,13.99
20140107,0,10.77,11.9,10.77,11.72,1126700,11.72
20140106,0,11.11,11.45,10.6,10.77,1457400,10.77
20140103,0,9.64,10.99,9.52,10.99,1774000,10.99
20140102,0,8.93,9.64,8.86,9.6,510000,9.6
20131231,0,9.16,9.24,8.45,8.91,687600,8.91
20131230,0,9.79,9.84,9.2,9.28,270600,9.28
20131227,0,9.84,9.98,9.54,9.64,270100,9.64
20131226,0,9.47,9.88,9.47,9.78,274900,9.78
20131224,0,9.83,9.9,9.48,9.48,212000,9.48
20131223,0,9.31,9.98,9.12,9.61,980500,9.61
20131220,0,9.3,9.55,9.05,9.19,231400,9.19
20131219,0,9.25,9.75,9.13,9.21,793800,9.21
20131218,0,8.65,9.03,8.57,8.96,245800,8.96
20131217,0,8.51,9.16,8.5,8.73,331700,8.73
20131216,0,8.37,9.2,8.36,8.64,637800,8.64
20131213,0,7.46,8.9,7.39,8.88,837300,8.88
20131212,0,7.25,7.56,7.12,7.52,268100,7.52
20131211,0,7.1,7.68,7.1,7.12,479800,7.12
20131210,0,7.33,7.33,7.1,7.14,95400,7.14
20131209,0,7.43,7.48,7.26,7.34,131200,7.34
20131206,0,7.62,7.62,7.43,7.48,105800,7.48
20131205,0,7.51,7.77,7.5,7.62,170100,7.62
20131204,0,7.25,7.75,7.25,7.72,208500,7.72
20131203,0,7.24,7.56,7.2,7.35,141300,7.35
20131202,0,7.5,7.5,7.1,7.35,161400,7.35
20131129,0,7.3,7.62,7.07,7.45,161400,7.45
20131127,0,6.93,7.22,6.93,7.2,185300,7.2
20131126,0,7,7.1,6.82,7.01,208500,7.01
20131125,0,7.06,7.22,6.82,7,282900,7
20131122,0,7,7.24,6.8,7.21,427200,7.21
20131121,0,7.15,7.34,7.06,7.13,354000,7.13
20131120,0,7.13,7.42,7,7.38,481200,7.38
20131119,0,7,7.5,7,7,1477300,7
20131118,0,9.08,9.08,8.45,8.63,768500,8.63
20131115,0,8.05,8.77,8.05,8.67,469600,8.67
20131114,0,7.75,8.29,7.6,8.04,521500,8.04
20131113,0,7.31,7.79,7.3,7.73,322800,7.73
20131112,0,7.53,7.79,7.15,7.25,186600,7.25
20131111,0,7.07,7.84,7.07,7.52,389300,7.52
20131108,0,7.25,7.49,7.05,7.09,267800,7.09
20131107,0,7.49,7.78,7.08,7.36,346400,7.36
20131106,0,7.86,8.02,7.32,7.35,445500,7.35
20131105,0,7.29,8.18,7.2,8.08,524100,8.08
20131104,0,7.34,7.5,7.12,7.23,384600,7.23
20131101,0,6.97,7.5,6.84,7.32,460300,7.32
20131031,0,6.79,6.98,6.62,6.83,206100,6.83
20131030,0,7.01,7.25,6.76,6.83,450700,6.83
