date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,0.82,0.82,0.75,0.78,16600,0.78
20140113,0,0.84,0.85,0.75,0.75,45000,0.75
20140110,0,0.82,0.82,0.8,0.81,14900,0.81
20140109,0,0.82,0.82,0.77,0.78,22700,0.78
20140108,0,0.8,0.83,0.79,0.81,27500,0.81
20140107,0,0.8,0.83,0.78,0.82,23400,0.82
20140106,0,0.85,0.85,0.8,0.83,4900,0.83
20140103,0,0.85,0.87,0.81,0.84,26600,0.84
20140102,0,0.89,0.89,0.76,0.84,13000,0.84
20131231,0,0.83,0.85,0.77,0.84,18700,0.84
20131230,0,0.94,0.94,0.8,0.85,59000,0.85
20131227,0,0.77,0.9,0.77,0.89,79700,0.89
20131226,0,0.74,0.84,0.74,0.77,121600,0.77
20131224,0,0.74,0.74,0.73,0.73,5400,0.73
20131223,0,0.73,0.74,0.73,0.74,8200,0.74
20131220,0,0.74,0.74,0.73,0.73,2200,0.73
20131219,0,0.74,0.74,0.72,0.73,9100,0.73
20131218,0,0.75,0.76,0.72,0.74,7200,0.74
20131217,0,0.73,0.73,0.73,0.73,2200,0.73
20131216,0,0.76,0.76,0.7,0.73,22800,0.73
20131213,0,0.75,0.75,0.7,0.73,6200,0.73
20131212,0,0.7,0.71,0.7,0.7,15800,0.7
20131211,0,0.74,0.74,0.73,0.73,2200,0.73
20131210,0,0.7,0.75,0.7,0.71,20200,0.71
20131209,0,0.8,0.8,0.7,0.76,41700,0.76
20131206,0,0.75,0.76,0.73,0.76,12800,0.76
20131205,0,0.75,0.75,0.72,0.75,12000,0.75
20131204,0,0.71,0.74,0.7,0.73,5000,0.73
20131203,0,0.8,0.8,0.69,0.71,43100,0.71
20131202,0,0.73,0.73,0.69,0.71,7100,0.71
20131129,0,0.7,0.72,0.7,0.72,4700,0.72
20131127,0,0.74,0.74,0.7,0.7,5700,0.7
20131126,0,0.71,0.74,0.71,0.74,600,0.74
20131125,0,0.74,0.75,0.7,0.74,1800,0.74
20131122,0,0.74,0.74,0.7,0.72,11800,0.72
20131121,0,0.73,0.75,0.73,0.75,18200,0.75
20131120,0,0.55,0.75,0.55,0.74,45000,0.74
20131119,0,0.8,0.8,0.73,0.73,11700,0.73
20131118,0,0.82,0.82,0.77,0.81,10300,0.81
20131115,0,0.82,0.82,0.8,0.81,3000,0.81
20131114,0,0.77,0.81,0.76,0.81,29800,0.81
20131113,0,0.75,0.78,0.73,0.77,17500,0.77
20131112,0,0.73,0.78,0.73,0.78,14100,0.78
20131111,0,0.75,0.75,0.72,0.74,8500,0.74
20131108,0,0.77,0.77,0.73,0.73,29300,0.73
20131107,0,0.79,0.79,0.76,0.78,12000,0.78
20131106,0,0.79,0.8,0.76,0.76,18000,0.76
20131105,0,0.81,0.81,0.75,0.76,16700,0.76
20131104,0,0.8,0.82,0.76,0.78,12100,0.78
20131101,0,0.82,0.84,0.8,0.82,9900,0.82
20131031,0,0.84,0.84,0.75,0.8,27100,0.8
20131030,0,0.84,0.84,0.84,0.84,0,0.84
20131029,0,0.84,0.84,0.84,0.84,0,0.84
20131028,0,0.84,0.85,0.74,0.79,46500,0.79
20131025,0,0.8,0.84,0.8,0.84,26400,0.84
20131024,0,0.91,0.94,0.8,0.81,67700,0.81
20131023,0,0.82,0.89,0.82,0.87,65800,0.87
20131022,0,0.93,0.95,0.82,0.86,107000,0.86
20131021,0,0.94,0.95,0.91,0.92,59400,0.92
