date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,10.2,10.2,9.84,9.9,1077700,9.59
20140113,0,10.29,10.35,10.21,10.34,623200,10.02
20140110,0,10.24,10.27,10.11,10.25,673000,9.93
20140109,0,10.17,10.3,10.17,10.3,362800,9.98
20140108,0,10.36,10.37,10.15,10.18,512100,9.87
20140107,0,10.32,10.35,10.24,10.33,264800,10.01
20140106,0,10.23,10.32,10.05,10.25,272100,9.93
20140103,0,10.35,10.35,10.19,10.23,282100,9.91
20140102,0,10.19,10.48,10.19,10.37,333000,10.05
20140101,0,10.19,10.19,10.19,10.19,0,9.88
20131231,0,10.29,10.29,10.18,10.19,206900,9.88
20131230,0,10.2,10.35,10.09,10.29,379400,9.97
20131227,0,10.4,10.41,10.16,10.2,296300,9.89
20131226,0,10.3,10.3,10.3,10.3,0,9.98
20131225,0,10.3,10.3,10.3,10.3,0,9.98
20131224,0,10.31,10.37,10.14,10.3,271300,9.98
20131223,0,10.05,10.31,10.03,10.3,1058100,9.98
20131220,0,9.65,10.04,9.65,10.03,1662000,9.72
20131219,0,9.72,9.74,9.56,9.7,1471100,9.4
20131218,0,9.8,9.82,9.52,9.57,2126000,9.27
20131217,0,9.76,9.96,9.75,9.84,1877000,9.54
20131216,0,9.68,9.75,9.6,9.74,667400,9.44
20131213,0,9.54,9.72,9.5,9.7,1126300,9.4
20131212,0,9.67,9.67,9.51,9.54,1142500,9.25
20131211,0,9.53,9.77,9.53,9.69,702000,9.39
20131210,0,9.75,9.87,9.54,9.54,774900,9.25
20131209,0,9.76,9.81,9.69,9.81,774900,9.51
20131206,0,9.67,9.73,9.55,9.7,456600,9.4
20131205,0,9.61,9.81,9.6,9.7,1141200,9.4
20131204,0,9.66,9.67,9.52,9.61,992500,9.31
20131203,0,9.57,9.82,9.57,9.75,758200,9.45
20131202,0,9.73,9.77,9.56,9.59,1436900,9.29
20131129,0,9.79,9.79,9.55,9.73,802500,9.43
20131128,0,9.45,9.81,9.44,9.71,1296400,9.41
20131127,0,9.56,9.56,9.31,9.44,993500,9.15
20131126,0,9.5,9.63,9.49,9.49,682600,9.2
20131125,0,9.55,9.76,9.5,9.54,1398400,9.25
20131122,0,9.61,9.76,9.41,9.45,891000,9.16
20131121,0,9.52,9.67,9.26,9.55,935900,9.26
20131120,0,9.65,9.82,9.56,9.67,1216000,9.37
20131119,0,9.85,9.88,9.69,9.73,1811800,9.43
20131118,0,10.1,10.11,9.93,9.93,857800,9.62
20131115,0,10.13,10.24,10.01,10.1,706600,9.79
20131114,0,10.18,10.24,10.06,10.2,698200,9.89
20131113,0,10.17,10.25,10.12,10.18,825900,9.87
20131112,0,10.31,10.31,10.11,10.23,812100,9.91
20131111,0,10.27,10.38,10.22,10.29,919700,9.97
20131108,0,10.4,10.42,10.13,10.28,400200,9.96
20131107,0,10.31,10.45,10.27,10.42,935000,10.1
