date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,6.61,6.91,6.4,6.77,345000,5.84
20140113,0,6.8,6.88,6.41,6.51,340200,5.61
20140110,0,6.8,6.83,6.52,6.7,158700,5.78
20140109,0,6.91,7.15,6.56,6.8,362500,5.86
20140108,0,6.9,7.03,6.56,6.85,432700,5.9
20140107,0,7.02,7.12,6.71,6.93,675800,5.97
20140106,0,6,6.65,5.99,6.63,640700,5.72
20140103,0,6,6.22,5.92,5.99,224700,5.16
20140102,0,5.86,6.04,5.85,6.02,127600,5.19
20131231,0,6.03,6.1,5.91,6,154400,5.17
20131230,0,6.01,6.36,5.91,6.04,224500,5.21
20131227,0,5.9,6.08,5.83,6.02,543800,5.19
20131226,0,5.86,5.97,5.84,5.86,26500,5.05
20131224,0,5.84,5.97,5.82,5.86,54400,5.05
20131223,0,5.95,6.05,5.61,5.87,352700,5.06
20131220,0,6,6.07,5.84,5.94,80400,5.12
20131219,0,5.86,6.09,5.85,5.96,137700,5.14
20131218,0,5.81,5.96,5.81,5.94,77000,5.12
20131217,0,5.98,5.99,5.86,5.86,21000,5.05
20131216,0,5.95,6.04,5.9,6.01,50200,5.18
20131213,0,5.85,6.03,5.85,5.97,44200,5.15
20131212,0,5.82,5.93,5.81,5.86,28600,5.05
20131211,0,5.86,6.04,5.84,5.85,59100,5.04
20131210,0,5.91,6.01,5.85,5.94,42100,5.12
20131209,0,5.95,6.07,5.85,5.89,213800,5.08
20131206,0,6.04,6.13,5.95,5.95,89700,5.13
20131205,0,6.01,6.05,5.95,5.96,85800,5.14
20131204,0,5.95,6.16,5.92,6.06,171700,5.22
20131203,0,5.98,6.05,5.93,5.98,46300,5.15
20131202,0,5.96,6.14,5.92,6,287400,5.17
20131129,0,5.95,6.08,5.91,6,36600,5.17
20131127,0,5.85,6,5.82,5.95,63400,5.13
20131126,0,6,6.06,5.86,5.88,73300,5.07
20131125,0,6.06,6.1,5.85,5.98,364200,5.15
20131122,0,5.83,6.08,5.79,6,239200,5.17
20131121,0,6.08,6.08,5.78,5.88,233400,5.07
20131120,0,5.93,6.12,5.85,5.9,166900,5.09
20131119,0,6.04,6.2,5.8,5.92,124700,5.1
20131118,0,6.17,6.3,6.02,6.06,95800,5.22
20131115,0,6.07,6.23,5.95,6.16,106800,5.31
20131114,0,6,6.19,5.98,6.09,65600,5.25
20131113,0,5.99,6.15,5.91,6.05,59800,5.22
20131112,0,5.95,6.01,5.9,5.9,32500,5.09
20131111,0,5.95,6.19,5.95,5.98,55100,5.15
