date,time,open price,high price,low price,close price,volume,adjusted price
20140129,0,31,31,31,31,100,31
20140128,0,30.5,31,30.5,31,0,31
20140127,0,30.31,30.9,30.31,30.9,600,30.9
20140124,0,30.62,30.62,30.5,30.5,500,30.5
20140123,0,30.75,30.75,30.75,30.75,0,30.75
20140122,0,31.51,31.8,30.75,30.75,600,30.75
20140121,0,30.9,31.15,30.9,31.15,700,31.15
20140120,0,30.3,30.31,30.3,30.31,0,30.31
20140117,0,30.31,30.31,30.31,30.31,0,30.31
20140116,0,30.31,30.31,30.31,30.31,0,30.31
20140115,0,30.9,30.9,30.9,30.9,0,30.9
20140114,0,30.9,30.9,30.9,30.9,200,30.9
20140113,0,30.31,30.31,30.31,30.31,0,30.31
20140110,0,30.9,30.9,30.9,30.9,0,30.9
20140109,0,30.9,30.9,30.9,30.9,0,30.9
20140108,0,30.33,30.33,30.33,30.33,0,30.33
20140107,0,30.33,30.33,30.33,30.33,100,30.33
20140106,0,30,30.65,30,30.65,100,30.65
20140103,0,30.95,30.95,30.95,30.95,0,30.95
20140102,0,31,31,31,31,100,31
20140101,0,30.9,30.9,30.9,30.9,0,30.9
20131231,0,30.9,30.9,30.9,30.9,0,30.9
20131230,0,30.2,30.9,29.83,30.9,1900,30.9
20131227,0,29.95,30,29.38,30,600,30
20131226,0,30,30,30,30,0,30
20131225,0,30,30,30,30,0,30
20131224,0,30,30,30,30,0,30
20131223,0,29.88,30,29.88,30,200,30
20131220,0,29.92,29.92,29.3,29.3,500,29.3
20131219,0,29.92,29.92,29.92,29.92,0,29.92
20131218,0,29.15,29.15,29.15,29.15,0,29.15
20131217,0,29.7,29.7,29,29.15,300,29.15
20131216,0,29.44,29.8,29.44,29.8,200,29.8
20131213,0,29.01,29.44,29,29.44,200,29.44
20131212,0,29.25,29.5,29.25,29.5,300,29.5
20131211,0,29.25,30.12,29.25,30.12,0,30.12
20131210,0,30,30,30,30,100,30
20131209,0,29.7,29.7,29.7,29.7,0,29.7
20131206,0,29.7,29.7,29.7,29.7,0,29.7
20131205,0,29.02,29.02,29,29.01,200,29.01
20131204,0,29,29.2,29,29.2,300,29.2
20131203,0,29,29,29,29,0,29
20131202,0,30.1,30.1,28.5,28.5,10400,28.5
20131129,0,29.5,29.95,29.5,29.95,2800,29.95
20131128,0,29.5,29.5,29.5,29.5,0,29.5
20131127,0,29.5,29.5,29.5,29.5,0,29.5
20131126,0,29.5,29.5,29.5,29.5,100,29.5
20131125,0,29.5,29.5,29.5,29.5,0,29.5
20131122,0,29.5,29.5,29.5,29.5,2000,29.5
20131121,0,28.16,29.5,28.16,29.5,5700,29.5
20131120,0,28.1,28.1,28.1,28.1,0,28.1
20131119,0,29,29,28.1,28.1,0,28.1
20131118,0,28.1,28.75,28,28.75,200,28.75
20131115,0,29,29.25,28,29.25,2300,29.25
20131114,0,29.7,29.7,29,29.5,1800,29.5
20131113,0,29.7,29.75,29.7,29.75,300,29.75
20131112,0,29.78,29.78,29.5,29.5,700,29.5
20131111,0,29.99,29.99,29.02,29.56,5500,29.56
20131108,0,30.5,30.5,29.99,30.41,1700,30.41
20131107,0,31.1,31.1,31.1,31.1,0,31.1
20131106,0,31.35,31.5,31.1,31.1,3500,31.1
20131105,0,31,31,31,31,800,31
20131104,0,31,31,31,31,0,31
20131101,0,31,31,31,31,0,31
20131031,0,31,31,31,31,0,31
20131030,0,30.8,31,30.8,31,900,31
20131029,0,30.5,30.5,30.5,30.5,100,30.5
20131028,0,30.64,30.64,30.64,30.64,0,30.64
20131025,0,30.64,30.64,30.64,30.64,0,30.64
20131024,0,30.5,30.5,30.5,30.5,0,30.5
20131023,0,30.5,30.5,30.5,30.5,0,30.5
20131022,0,30.5,30.5,30.5,30.5,0,30.5
20131021,0,30.5,30.5,30.5,30.5,14300,30.5
20131018,0,30,30,30,30,0,30
20131017,0,30,30,30,30,0,30
20131016,0,30,30,30,30,300,30
20131015,0,29.86,30.39,29.86,30.39,4600,30.39
20131014,0,29.86,29.86,29.86,29.86,0,29.86
20131011,0,29.86,29.86,29.86,29.86,100,29.86
20131010,0,29.65,29.65,29.65,29.65,0,29.65
20131009,0,29.65,29.65,29.65,29.65,0,29.65
20131008,0,29.65,29.65,29.65,29.65,0,29.65
20131007,0,29.5,29.9,29.02,29.4,1400,29.4
20131004,0,29.9,29.9,29.9,29.9,0,29.9
20131003,0,29.9,29.9,29.9,29.9,0,29.9
20131002,0,30,30,30,30,0,30
20131001,0,30,30,30,30,0,30
20130930,0,30,30,30,30,0,30
20130927,0,30,30,30,30,0,30
20130926,0,30.14,30.14,30.14,30.14,0,30.14
20130925,0,30.14,30.14,30.14,30.14,0,30.14
20130924,0,30.14,30.14,30.14,30.14,0,30.14
20130923,0,30.14,30.14,30.14,30.14,0,30.14
20130920,0,29.95,30.15,28.88,30.14,2700,30.14
20130919,0,29.9,29.9,28.9,28.9,600,28.9
20130918,0,29.3,30,29.3,30,100,30
20130917,0,28.93,28.93,28.93,28.93,0,28.93
20130916,0,29.1,29.1,29.1,29.1,0,29.1
20130913,0,29.1,29.1,29.1,29.1,100,29.1
20130912,0,29.6,29.6,29.6,29.6,0,29.6
20130911,0,30,30,29.6,29.6,300,29.6
20130910,0,29.95,30.49,29.95,30.49,100,30.49
20130909,0,30.15,30.15,30.15,30.15,0,30.15
20130906,0,30.15,30.15,30.15,30.15,0,30.15
20130905,0,29.81,29.81,29.81,29.81,0,29.81
20130904,0,29.5,29.81,29.5,29.81,400,29.81
20130903,0,29.72,29.72,29.72,29.72,400,29.72
20130902,0,29.49,29.49,29.49,29.49,0,29.49
20130830,0,29.1,29.49,29.01,29.49,600,29.49
20130829,0,28.71,29.09,28.71,29,1300,29
20130828,0,29.1,29.1,29,29,1300,29
20130827,0,29,29,29,29,900,29
20130826,0,29,29,29,29,800,29
20130823,0,29,29.1,29,29.1,1200,29.1
20130822,0,28.6,28.6,28.6,28.6,400,28.6
20130821,0,29,29,29,29,0,29
20130820,0,29,29,29,29,0,29
20130819,0,29,29,29,29,200,29
20130816,0,29,29,29,29,100,29
20130815,0,29.49,29.49,29.49,29.49,0,29.49
20130814,0,29,29.49,28.32,29.49,6600,29.49
20130813,0,29,29.46,29,29.46,500,29.46
20130812,0,29.49,29.49,28.75,28.75,500,28.75
20130809,0,29,29.41,28.5,29.41,2000,29.41
20130808,0,29.3,29.45,29.3,29.45,100,29.45
20130807,0,28.66,29,28.55,29,2900,29
20130806,0,28.66,28.66,28.66,28.66,300,28.66
20130805,0,28.61,28.61,28.61,28.61,300,28.61
20130802,0,28.6,28.6,28.6,28.6,0,28.6
20130801,0,28.6,28.6,28.6,28.6,0,28.6
20130731,0,28.5,29,28.5,29,1000,29
20130730,0,29.3,29.3,29.3,29.3,0,29.3
20130729,0,29.3,29.3,29.3,29.3,0,29.3
20130726,0,29.3,29.3,29.3,29.3,0,29.3
20130725,0,29.3,29.3,29.3,29.3,0,29.3
20130724,0,29.3,29.3,29.3,29.3,0,29.3
20130723,0,29.3,29.3,29.3,29.3,0,29.3
20130722,0,29.34,29.34,29.34,29.34,0,29.34
20130719,0,29.34,29.34,29.34,29.34,0,29.34
20130718,0,29.34,29.34,29.34,29.34,0,29.34
20130717,0,29.34,29.34,29.34,29.34,100,29.34
20130716,0,29,29.15,29,29.15,1200,29.15
20130715,0,29,29,29,29,400,29
20130712,0,29.1,29.1,29.1,29.1,0,29.1
20130711,0,29.35,29.35,28.8,29,800,29
20130710,0,28.51,29.35,28.5,29.35,1500,29.35
20130709,0,28.5,28.5,28.5,28.5,1000,28.5
20130708,0,28.12,28.12,28.12,28.12,0,28.12
20130705,0,28.45,28.45,28.12,28.12,400,28.12
20130704,0,28.45,28.45,28.45,28.45,0,28.45
20130703,0,28.8,28.8,28.1,28.45,1000,28.45
20130702,0,29.1,29.1,29.1,29.1,0,29.1
20130701,0,29.1,29.1,29.1,29.1,0,29.1
20130628,0,29.1,29.1,29.1,29.1,100,29.1
20130627,0,28,28.5,27.98,28.5,500,28.5
20130626,0,28.33,28.33,27.99,27.99,200,27.99
20130625,0,28.88,28.88,28.55,28.8,900,28.8
20130624,0,29,29,29,29,400,29
20130621,0,29,29,29,29,400,29
20130620,0,30.5,30.5,30.5,30.5,0,30.5
20130619,0,30.5,30.5,30.5,30.5,0,30.5
20130618,0,30.5,30.5,30.5,30.5,0,30.5
20130617,0,30.5,30.5,30.5,30.5,0,30.5
20130614,0,30.5,30.5,30.5,30.5,0,30.5
20130613,0,30.5,30.5,30.5,30.5,0,30.5
20130612,0,29.6,30.5,29.6,30.5,200,30.5
20130611,0,29.7,30,29.65,29.65,100,29.65
20130610,0,29.5,29.5,29.5,29.5,0,29.5
20130607,0,30.4,30.4,29.5,29.5,700,29.5
20130606,0,30.55,30.55,30.55,30.55,0,30.55
20130605,0,30.6,30.6,30.55,30.55,300,30.55
20130604,0,31.25,31.25,31.25,31.25,0,31.25
20130603,0,30.55,30.55,30.55,30.55,0,30.55
20130531,0,31.92,31.92,30.55,30.55,600,30.55
20130530,0,31.67,31.67,31.67,31.67,0,31.67
20130529,0,31.67,31.67,31.67,31.67,0,31.67
20130528,0,31.25,31.25,30.95,30.95,500,30.95
20130527,0,31.5,31.67,31.5,31.67,500,31.67
20130524,0,31.35,31.35,31.35,31.35,0,31.35
20130523,0,31.35,31.35,31.35,31.35,0,31.35
20130522,0,31,31.42,31,31.35,900,31.35
20130521,0,30.9,30.99,30.6,30.6,400,30.6
20130520,0,30.9,30.9,30.9,30.9,0,30.9
20130517,0,30.99,30.99,30.25,30.9,400,30.9
20130516,0,30.8,30.8,30.8,30.8,0,30.8
20130515,0,30.8,30.8,30.8,30.8,800,30.8
20130514,0,30,30.8,30,30.8,100,30.8
20130513,0,30.64,30.64,30.64,30.64,100,30.64
20130510,0,29.75,29.75,29.75,29.75,0,29.75
20130509,0,30.33,30.33,30.33,30.33,100,30.33
20130508,0,30.15,30.15,30.15,30.15,0,30.15
20130507,0,29.25,30.15,29.25,30.15,100,30.15
20130506,0,29.25,30.12,29.25,30.12,300,30.12
20130503,0,30.51,30.51,28.95,30,1100,30
20130502,0,30.4,30.4,30.4,30.4,100,30.4
20130501,0,30.12,30.12,30.12,30.12,0,30.12
20130430,0,29.61,30.12,29.61,30.12,1100,30.12
20130429,0,29.6,29.6,29.6,29.6,0,29.6
20130426,0,29.5,29.5,29.5,29.5,0,29.5
20130425,0,30.5,30.5,30.5,30.5,0,30.5
20130424,0,30.5,30.5,30.5,30.5,1000,30.5
20130423,0,30.25,30.5,30.25,30.5,200,30.5
20130422,0,29.75,30,29.75,30,500,30
20130419,0,29.5,29.5,29,29.1,800,29.1
20130418,0,29.9,29.9,29.8,29.8,100,29.8
20130417,0,30.25,30.25,30.25,30.25,0,30.25
20130416,0,30.25,30.25,30.25,30.25,0,30.25
20130415,0,30.25,30.25,30.25,30.25,0,30.25
20130412,0,29.2,30.25,29.2,30.25,1400,30.25
20130411,0,29.49,29.5,29,29,500,29
20130410,0,29.49,29.49,29.49,29.49,0,29.49
20130409,0,29.25,29.25,29.25,29.25,0,29.25
20130408,0,29.7,29.7,29.25,29.25,500,29.25
20130405,0,29.5,29.5,29.25,29.25,100,29.25
20130404,0,30,30,30,30,500,30
20130403,0,31,31,31,31,100,31
20130402,0,30,30,30,30,400,30
20130401,0,29.7,29.7,29.7,29.7,0,29.7
20130329,0,29.7,29.7,29.7,29.7,0,29.7
20130328,0,28.61,29.75,28.61,29.7,200,29.7
20130327,0,29,29,28.75,28.75,100,28.75
20130326,0,30.1,30.1,30.1,30.1,0,30.1
20130325,0,28.6,29.75,28.6,29.75,1300,29.75
20130322,0,28.5,28.5,28.5,28.5,0,28.5
20130321,0,28.75,28.75,28.5,28.5,200,28.5
20130320,0,27.81,28.4,27.81,28.4,500,28.4
20130319,0,27.25,27.25,27.25,27.25,0,27.25
20130318,0,27.25,27.25,27.25,27.25,200,27.25
20130315,0,27.81,27.81,27.81,27.81,0,27.81
20130314,0,27.81,27.81,27.81,27.81,0,27.81
20130313,0,27.25,27.81,27.25,27.81,200,27.81
20130312,0,27.3,27.3,27.25,27.25,800,27.25
20130311,0,28,28.11,27.25,27.3,700,27.3
20130308,0,28.07,28.07,28.07,28.07,0,28.07
20130307,0,28.07,28.07,28.07,28.07,100,28.07
20130306,0,27.95,27.95,27.95,27.95,0,27.95
20130305,0,27.5,27.95,27.5,27.95,1100,27.95
20130304,0,27.3,27.3,27.3,27.3,0,27.3
20130301,0,27.3,27.3,27.3,27.3,0,27.3
20130228,0,27.25,27.25,27.25,27.25,0,27.25
20130227,0,26.9,27.25,26.9,27.25,100,27.25
20130226,0,27.25,27.25,27.25,27.25,100,27.25
20130225,0,27.25,27.25,27.25,27.25,0,27.25
20130222,0,26.6,26.6,26.6,26.6,0,26.6
20130221,0,26.5,26.5,26.5,26.5,0,26.5
20130220,0,26.5,26.5,26.5,26.5,0,26.5
20130219,0,27.03,27.03,27.03,27.03,0,27.03
20130218,0,26.5,26.5,26.5,26.5,100,26.5
20130215,0,27.25,27.25,27.25,27.25,100,27.25
20130214,0,26.5,26.5,26.5,26.5,0,26.5
20130213,0,26.5,26.5,26.5,26.5,0,26.5
20130212,0,26.5,26.5,26.5,26.5,0,26.5
20130211,0,26.5,26.5,26.5,26.5,0,26.5
20130208,0,26.5,26.5,26.5,26.5,0,26.5
20130207,0,26.5,26.5,26.5,26.5,0,26.5
20130206,0,26.5,26.5,26.5,26.5,200,26.5
20130205,0,26.51,26.51,26.51,26.51,200,26.51
20130204,0,27.25,27.25,27.25,27.25,0,27.25
20130201,0,27.25,27.25,27.25,27.25,100,27.25
20130131,0,27.25,27,27,27,700,27
20130130,0,27.1,27.1,27.1,27.1,0,27.1
20130129,0,27.1,27.1,27.1,27.1,0,27.1
20130128,0,27.25,27.25,27.1,27.1,0,27.1
20130125,0,27,27,27,27,100,27
20130124,0,27,27,27,27,0,27
20130123,0,27,27,27,27,0,27
20130122,0,27,27,27,27,0,27
20130121,0,27,27,27,27,0,27
20130118,0,26.5,26.5,26.5,26.5,0,26.5
20130117,0,26.5,26.5,26.5,26.5,200,26.5
20130116,0,27,27,27,27,100,27
20130115,0,27,27,27,27,0,27
20130114,0,27,27,27,27,100,27
20130111,0,27,27,27,27,0,27
20130110,0,27,27,27,27,0,27
20130109,0,27,27,26.15,27,200,27
20130108,0,26.88,27,27,27,100,27
20130107,0,26.88,26.88,26.88,26.88,0,26.88
20130104,0,26.88,26.88,26.88,26.88,0,26.88
20130103,0,26.88,26.88,26.88,26.88,0,26.88
20130102,0,26.88,26.88,26.88,26.88,0,26.88
20130101,0,26.21,26.21,26.21,26.21,0,26.21
20121231,0,26.21,26.21,26.21,26.21,0,26.21
20121228,0,26.39,26.39,26.21,26.21,300,26.21
20121227,0,26.6,26.6,26.6,26.6,0,26.6
20121226,0,26.6,26.6,26.6,26.6,0,26.6
20121225,0,26.6,26.6,26.6,26.6,0,26.6
20121224,0,26.6,26.6,26.6,26.6,0,26.6
20121221,0,26.6,26.6,26.6,26.6,0,26.6
20121220,0,26.6,26.6,26.6,26.6,0,26.6
20121219,0,26.7,26.7,26.7,26.7,0,26.7
20121218,0,26.7,26.7,26.7,26.7,0,26.7
20121217,0,26.7,26.7,26.7,26.7,0,26.7
20121214,0,26.7,26.7,26.7,26.7,0,26.7
20121213,0,26.7,26.7,26.7,26.7,0,26.7
20121212,0,26.7,26.7,26.7,26.7,0,26.7
20121211,0,26.7,26.7,26.7,26.7,0,26.7
20121210,0,26.57,26.57,26.57,26.57,200,26.57
20121207,0,26.42,26.42,26.42,26.42,200,26.42
20121206,0,26,26,26,26,400,26
20121205,0,25.9,25.9,25.9,25.9,0,25.9
20121204,0,25.64,25.64,25.64,25.64,0,25.64
20121203,0,25.64,25.64,25.64,25.64,0,25.64
20121130,0,25.95,26,25.95,26,700,26
20121129,0,25.2,25.2,25.2,25.2,0,25.2
20121128,0,25.2,25.2,25.2,25.2,0,25.2
20121127,0,25.45,25.45,25.45,25.45,0,25.45
20121126,0,25.55,25.95,25.25,25.95,200,25.95
20121123,0,25.55,25.55,25.55,25.55,0,25.55
20121122,0,25.55,25.55,25.55,25.55,0,25.55
20121121,0,25.55,25.55,25.55,25.55,0,25.55
20121120,0,25.5,25.5,25.5,25.5,0,25.5
20121119,0,25.5,25.5,25.5,25.5,200,25.5
20121116,0,25.95,25.95,25.95,25.95,0,25.95
20121115,0,25.55,25.95,25.55,25.95,100,25.95
20121114,0,25.6,25.6,25.6,25.6,0,25.6
20121113,0,25.6,25.6,25.6,25.6,0,25.6
20121112,0,25.9,25.9,25.9,25.9,0,25.9
20121109,0,26.25,26.25,26.25,26.25,0,26.25
20121108,0,26.25,26.25,26.25,26.25,100,26.25
20121107,0,25.9,25.9,25.9,25.9,100,25.9
20121106,0,25.9,25.9,25.9,25.9,0,25.9
20121105,0,25.9,25.9,25.9,25.9,0,25.9
20121102,0,25.9,25.9,25.9,25.9,0,25.9
20121101,0,25.85,25.85,25.85,25.85,0,25.85
20121031,0,25.85,25.85,25.85,25.85,0,25.85
20121030,0,25.85,25.85,25.85,25.85,0,25.85
20121029,0,25.85,25.85,25.85,25.85,100,25.85
20121026,0,26,26,26,26,100,26
20121025,0,26,26,26,26,100,26
20121024,0,25.55,25.55,25.55,25.55,0,25.55
20121023,0,25.55,25.55,25.55,25.55,0,25.55
20121022,0,25.56,25.56,25.55,25.55,400,25.55
20121019,0,26,26,26,26,0,26
20121018,0,26,26,26,26,0,26
20121017,0,26,26,26,26,0,26
20121016,0,25.49,25.49,25.38,25.38,200,25.38
20121015,0,26,26,26,26,0,26
20121012,0,26,26,26,26,0,26
20121011,0,26,26,26,26,600,26
20121010,0,26,26,26,26,0,26
20121009,0,26,26,26,26,0,26
20121008,0,25.49,25.49,25.49,25.49,100,25.49
20121005,0,25.49,25.49,25.49,25.49,100,25.49
20121004,0,26,26,26,26,0,26
20121003,0,26,26,26,26,0,26
20121002,0,25.5,26,25.3,26,1400,26
20121001,0,25.7,25.99,25.17,25.99,1600,25.99
20120928,0,26.05,26.06,26.06,26.06,100,26.06
20120927,0,26.05,26.05,26.05,26.05,100,26.05
20120926,0,26.06,26.06,26.05,26.05,300,26.05
20120925,0,26.26,26.26,26.25,26.25,600,26.25
20120924,0,26.45,26.45,26.26,26.26,1100,26.26
20120921,0,27.04,27.04,27.04,27.04,0,27.04
20120920,0,27.04,27.04,27.04,27.04,0,27.04
20120919,0,27.04,27.04,27.04,27.04,0,27.04
20120918,0,27.04,27.04,27.04,27.04,0,27.04
20120917,0,27.04,27.04,27.04,27.04,0,27.04
20120914,0,27.04,27.04,27.04,27.04,0,27.04
20120913,0,27.04,27.04,27.04,27.04,0,27.04
20120912,0,27.04,27.04,27.04,27.04,0,27.04
20120911,0,26.25,26.25,26.25,26.25,0,26.25
20120910,0,26.25,26.25,26.25,26.25,0,26.25
20120907,0,26.5,26.5,26.5,26.5,200,26.5
20120906,0,26.6,27.25,26.6,27.25,100,27.25
20120905,0,26.59,26.59,26.59,26.59,0,26.59
20120904,0,26.7,26.7,26.59,26.59,0,26.59
20120903,0,27.15,27.15,27.15,27.15,100,27.15
20120831,0,27.08,27.08,27.08,27.08,300,27.08
20120830,0,27.15,27.15,27.15,27.15,0,27.15
20120829,0,27.1,27.1,27.1,27.1,0,27.1
20120828,0,27.1,27.1,27.1,27.1,0,27.1
20120827,0,27,27,27,27,0,27
20120824,0,27,27,27,27,0,27
20120823,0,27.19,27.19,27,27,600,27
20120822,0,26.75,26.75,26.75,26.75,0,26.75
20120821,0,27,27.05,26.75,26.75,500,26.75
20120820,0,27,27,27,27,0,27
20120817,0,27.03,27.03,27.03,27.03,0,27.03
20120816,0,27.03,27.03,27.03,27.03,0,27.03
20120815,0,27.05,27.05,27.05,27.05,0,27.05
20120814,0,27.05,27.05,27.05,27.05,0,27.05
20120813,0,26.75,27.05,26.75,27.05,200,27.05
20120810,0,26.4,26.4,26.4,26.4,0,26.4
20120809,0,26.4,26.4,26.4,26.4,0,26.4
20120808,0,26.4,26.4,26.4,26.4,400,26.4
20120807,0,25.15,25.15,25.15,25.15,0,25.15
20120806,0,25.89,25.89,25.3,25.3,200,25.3
20120803,0,25.5,25.5,25.5,25.5,0,25.5
20120802,0,25.5,25.5,25.5,25.5,0,25.5
20120801,0,26,26,25.5,25.5,800,25.5
20120731,0,26.78,26.78,26.38,26.38,300,26.38
20120730,0,26.75,26.75,26.75,26.75,0,26.75
20120727,0,26.75,26.75,26.75,26.75,400,26.75
20120726,0,26.84,26.84,26.84,26.84,0,26.84
20120725,0,27,27,26.5,26.84,1400,26.84
20120724,0,28.1,28.1,27.6,27.6,1300,27.6
20120723,0,28,28,27.9,27.9,1600,27.9
20120720,0,27.8,28.95,27.8,28.95,1200,28.95
20120719,0,27.35,27.35,27.35,27.35,0,27.35
20120718,0,27.35,27.35,27.35,27.35,0,27.35
20120717,0,27.35,27.35,27.35,27.35,0,27.35
20120716,0,27.5,27.5,27.35,27.35,600,27.35
20120713,0,27.4,27.4,27.4,27.4,0,27.4
20120712,0,27.35,27.4,27.35,27.4,100,27.4
20120711,0,27.9,27.9,27.9,27.9,400,27.9
20120710,0,27.5,27.5,27.35,27.39,600,27.39
20120709,0,27.5,27.5,27.5,27.5,0,27.5
20120706,0,27.5,27.5,27.5,27.5,1500,27.5
20120705,0,27.2,27.2,27.2,27.2,0,27.2
20120704,0,27,27.2,27,27.2,600,27.2
20120703,0,26.99,26.99,26.96,26.96,1000,26.96
20120702,0,27,27,26.99,26.99,200,26.99
20120629,0,27,27,27,27,0,27
20120628,0,27,27,27,27,600,27
20120627,0,27,27,27,27,100,27
20120626,0,27,27,27,27,300,27
20120625,0,27,27,26.95,26.95,4000,26.95
20120622,0,27,27,27,27,0,27
20120621,0,27,27,27,27,200,27
20120620,0,26.89,27.2,26.89,27.2,2000,27.2
20120619,0,26,26.15,26,26,1100,26
20120618,0,26.89,26.89,26.89,26.89,0,26.89
20120615,0,26.2,26.6,26,26.6,1800,26.6
20120614,0,25.9,26.9,25.9,26.9,600,26.9
20120613,0,26.45,26.9,26.45,26.9,400,26.9
20120612,0,26.05,26.05,26,26,200,26
20120611,0,26.73,26.78,26.5,26.7,600,26.7
20120608,0,26.5,26.5,26.5,26.5,700,26.5
20120607,0,26.5,26.5,26.5,26.5,800,26.5
20120606,0,26,26.25,26,26.05,600,26.05
20120605,0,26,26,25.75,26,1900,26
20120604,0,26.26,26.26,26.26,26.26,400,26.26
20120601,0,25.5,25.85,25.49,25.8,1100,25.8
20120531,0,25.7,25.7,25.45,25.45,400,25.45
20120530,0,26,26,26,26,200,26
20120529,0,26,26,26,26,200,26
20120528,0,25.25,25.25,25.12,25.12,400,25.12
20120525,0,26.8,26.8,26,26.43,2200,25.92
20120524,0,26.75,26.75,26.75,26.75,0,26.23
20120523,0,25.4,27.4,25.4,27.4,4700,26.87
20120522,0,25.1,25.55,24.99,25.55,800,25.05
20120521,0,25.53,25.53,25.53,25.53,0,25.04
20120518,0,24.66,24.66,24.61,24.61,400,24.14
20120517,0,25,25,25,25,0,24.51
20120516,0,24,25.52,24,25,1500,24.51
20120515,0,24.84,24.84,24.84,24.84,0,24.36
20120514,0,24.84,24.84,24.84,24.84,0,24.36
20120511,0,24.84,24.84,24.84,24.84,0,24.36
20120510,0,24,24.85,24,24.85,100,24.37
20120509,0,24.8,24.8,24.8,24.8,0,24.32
20120508,0,24.06,24.06,24.06,24.06,0,23.59
20120507,0,24,24,24,24,0,23.53
20120504,0,25,25,24,24,800,23.53
20120503,0,24.5,24.8,24.5,24.8,500,24.32
20120502,0,24.45,24.45,24.45,24.45,0,23.97
20120501,0,24.45,24.45,24.45,24.45,0,23.97
20120430,0,24.7,24.7,24.45,24.45,600,23.97
20120427,0,25,25,25,25,100,24.51
20120426,0,24.65,24.65,24.5,24.5,1200,24.02
20120425,0,25.1,25.2,24.7,25.2,1100,24.71
20120424,0,25.74,25.74,25.74,25.74,0,25.23
20120423,0,25.3,25.53,25,25.53,400,25.04
20120420,0,25.99,25.99,25.3,25.3,100,24.8
20120419,0,25.75,26,25.35,25.74,500,25.23
20120418,0,27,27,25.65,26.4,1500,25.89
20120417,0,27,27,27,27,500,26.47
20120416,0,26.4,27,26.35,27,2500,26.48
20120413,0,25.5,26.4,25.5,26.4,3300,25.89
20120412,0,24.98,25.25,24.98,25.25,700,24.76
20120411,0,24.74,24.98,24.74,24.98,400,24.49
20120410,0,24.75,24.75,24.5,24.5,200,24.02
20120409,0,24.5,24.5,24.5,24.5,0,24.02
20120406,0,24.5,24.5,24.5,24.5,0,24.02
20120405,0,24.5,24.5,24.5,24.5,800,24.02
20120404,0,24,24.91,24,24.3,1200,23.83
20120403,0,24.35,24.35,24.35,24.35,0,23.88
20120402,0,24.35,24.35,24.35,24.35,0,23.88
20120330,0,23.8,23.8,23.8,23.8,0,23.34
20120329,0,23.8,23.8,23.8,23.8,300,23.34
20120328,0,23.8,23.8,23.8,23.8,200,23.34
20120327,0,24.75,24.75,24.75,24.75,0,24.27
20120326,0,24.75,24.75,24.75,24.75,0,24.27
20120323,0,24.8,24.8,24.75,24.75,0,24.27
20120322,0,23.51,24.25,23.5,24.21,1500,23.74
20120321,0,24,24,24,24,800,23.53
20120320,0,23.52,23.52,23.52,23.52,0,23.06
20120319,0,23.52,23.52,23.52,23.52,0,23.06
20120316,0,23.6,23.6,23.52,23.52,200,23.06
20120315,0,23.68,23.68,23.68,23.68,0,23.22
20120314,0,23.6,23.6,23.6,23.6,0,23.14
20120313,0,23.6,23.6,23.6,23.6,0,23.14
20120312,0,23.6,23.6,23.6,23.6,0,23.14
20120309,0,23.7,23.7,23.6,23.6,800,23.14
20120308,0,23.5,23.5,23.5,23.5,100,23.04
20120307,0,23.5,23.5,23.5,23.5,0,23.04
20120306,0,23.79,23.79,23.79,23.79,0,23.33
20120305,0,23.35,23.35,23.35,23.35,0,22.89
20120302,0,23.7,23.7,23.7,23.7,0,23.24
20120301,0,23.5,23.5,23.5,23.5,100,23.04
20120229,0,23.6,23.6,23.4,23.4,100,22.94
20120228,0,23.9,23.9,23.9,23.9,0,23.43
