date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,36.16,36.28,35.25,35.73,4700,35.73
20140113,0,36.99,36.99,36.18,36.82,1900,36.82
20140110,0,35.7,37,35.5,36.8,4400,36.8
20140109,0,36.75,37.34,36.31,36.57,14900,36.57
20140108,0,36.7,36.86,36.1,36.75,9500,36.75
20140107,0,35.51,37,34.77,36.75,21100,36.75
20140106,0,32.8,38,31.8,34.28,10700,34.28
20140103,0,32.85,33.5,32.85,33.3,5200,33.3
20140102,0,32.16,32.96,32.11,32.9,1700,32.9
20140101,0,32.99,32.99,32.99,32.99,0,32.99
20131231,0,32.02,32.99,32.02,32.99,1600,32.99
20131230,0,31.5,32.86,30.74,32.81,5700,32.81
20131227,0,31.51,32.08,31.25,32,2800,32
20131226,0,31.85,31.85,31.85,31.85,0,31.85
20131225,0,31.85,31.85,31.85,31.85,0,31.85
20131224,0,32.35,32.35,31.7,31.85,1200,31.85
20131223,0,32.75,33,32.1,32.25,6900,32.25
20131220,0,32.5,33,32.32,33,4300,33
20131219,0,31.48,32.49,30.9,32,10500,32
20131218,0,31,31,28.21,30.51,7600,30.51
20131217,0,31.67,31.69,31.25,31.25,1200,31.25
20131216,0,32.49,32.49,31.1,31.92,2400,31.92
20131213,0,32.5,32.57,32.02,32.5,8700,32.5
20131212,0,32.55,32.73,32.39,32.6,14200,32.6
20131211,0,31.67,32.6,31.67,32.5,7300,32.5
20131210,0,31.88,32.37,31.1,32.11,10300,32.11
20131209,0,31.44,31.89,31.36,31.56,6200,31.56
20131206,0,28.35,31.09,28.35,31.09,8300,31.09
20131205,0,28.19,29.2,28.19,29.1,11700,29.1
20131204,0,27.8,28,25.6,28,31600,28
20131203,0,27.75,28.29,27.75,27.99,14200,27.99
20131202,0,28.71,28.85,27,27.77,13300,27.77
20131129,0,29.19,29.19,28.8,28.84,4100,28.84
20131128,0,28.9,29.21,28.78,29.21,1900,29.21
20131127,0,28.4,28.85,28.39,28.85,4200,28.85
20131126,0,27.95,28.4,27.55,28.4,6100,28.4
20131125,0,28.29,28.3,28,28,9000,28
20131122,0,28.45,28.45,27.75,28,2200,28
20131121,0,26.85,28.74,26.85,28.59,11400,28.59
20131120,0,26.48,26.88,26.48,26.7,1100,26.7
20131119,0,26.93,26.95,26.24,26.49,5800,26.49
20131118,0,25.98,27,25.59,26.68,2500,26.68
20131115,0,26.06,26.78,25.85,25.85,1400,25.85
20131114,0,26.3,26.8,25.91,26.27,7500,26.27
20131113,0,26.2,26.3,24.62,26.3,5700,26.3
20131112,0,26.4,26.8,26.38,26.38,5900,26.38
20131111,0,24.6,26.47,24.6,26.41,6200,26.41
20131108,0,24.95,25,24.7,25,5100,25
20131107,0,24.5,24.95,24.25,24.95,10600,24.95
20131106,0,24.67,24.67,24.25,24.25,200,24.25
20131105,0,24.59,24.67,24.2,24.2,2200,24.2
20131104,0,24.2,24.5,23.57,24.5,7200,24.5
20131101,0,24,24.1,23.99,24.1,200,24.1
20131031,0,23.52,24.15,23.36,23.95,3500,23.95
20131030,0,23.8,23.86,23.29,23.29,2700,23.29
20131029,0,24.35,24.4,23.18,23.9,5600,23.9
20131028,0,24.03,24.28,24.03,24.28,500,24.28
20131025,0,24.21,24.44,24.03,24.4,9600,24.4
20131024,0,24.3,24.66,24.01,24.46,3000,24.46
20131023,0,24.44,24.44,24.13,24.33,1700,24.33
20131022,0,24.75,24.82,24.29,24.74,700,24.74
20131021,0,24.47,24.8,24.14,24.8,3800,24.8
20131018,0,24.2,24.48,24.09,24.47,2900,24.47
20131017,0,24.84,24.85,24.07,24.3,7900,24.3
20131016,0,23.7,24.87,23.65,24.87,16700,24.87
20131015,0,23.16,23.6,23.16,23.5,3500,23.5
20131014,0,23.5,23.5,23.19,23.44,2400,23.44
20131011,0,23.3,23.5,23.2,23.5,3800,23.5
20131010,0,23,23.25,22.8,23.15,3000,23.15
20131009,0,23,23.19,22.88,22.88,900,22.88
20131008,0,23.19,23.19,22.87,22.96,400,22.96
20131007,0,23.39,23.39,22.8,22.87,800,22.87
20131004,0,23.7,23.7,22.8,23.15,4700,23.15
20131003,0,23.31,23.88,23.31,23.7,2800,23.7
20131002,0,23.59,23.9,23.3,23.31,3500,23.31
20131001,0,22.3,23.85,22.14,23.26,11100,23.26
20130930,0,22.3,22.53,22.1,22.29,2500,22.29
20130927,0,22.4,22.41,22.2,22.41,2700,22.41
20130926,0,22.54,22.99,22.5,22.5,3900,22.5
20130925,0,21.25,22.9,21.25,22.4,27900,22.4
20130924,0,21.07,21.39,21.01,21.25,5500,21.25
20130923,0,21,21.43,21,21.07,600,21.07
20130920,0,21.45,21.45,21,21,4100,21
20130919,0,21.49,21.5,20.99,21.29,1700,21.29
20130918,0,21.49,21.49,20.99,20.99,1400,20.99
20130917,0,21.4,21.4,20.9,20.99,8500,20.99
20130916,0,21.5,21.5,21.4,21.4,4500,21.4
20130913,0,21.3,21.4,21.2,21.4,800,21.4
20130912,0,21.3,21.4,21.2,21.4,900,21.4
20130911,0,21.3,21.45,21.19,21.2,20700,21.2
20130910,0,20.5,21.48,20.5,21.3,13100,21.3
20130909,0,20.97,20.97,20,20.35,5700,20.35
20130906,0,20.97,20.97,20.7,20.97,500,20.97
20130905,0,20.9,20.97,20.66,20.66,800,20.66
20130904,0,20.97,20.97,20.97,20.97,0,20.97
20130903,0,20.55,21,20.55,20.97,3500,20.97
