date,time,open price,high price,low price,close price,volume,adjusted price
20140114,0,0.32,0.32,0.28,0.31,183300,0.31
20140113,0,0.32,0.34,0.32,0.32,61000,0.32
20140110,0,0.34,0.34,0.32,0.34,34400,0.34
20140109,0,0.34,0.34,0.31,0.33,61400,0.33
20140108,0,0.3,0.34,0.28,0.32,139400,0.32
20140107,0,0.32,0.32,0.28,0.3,50400,0.3
20140106,0,0.3,0.3,0.28,0.29,40300,0.29
20140103,0,0.32,0.35,0.3,0.3,50400,0.3
20140102,0,0.31,0.31,0.29,0.29,58300,0.29
20131231,0,0.34,0.35,0.3,0.31,194200,0.31
20131230,0,0.35,0.36,0.34,0.35,233200,0.35
20131227,0,0.3,0.35,0.3,0.35,104400,0.35
20131224,0,0.27,0.3,0.27,0.3,51100,0.3
20131223,0,0.27,0.27,0.26,0.26,77000,0.26
20131220,0,0.25,0.27,0.24,0.25,116800,0.25
20131219,0,0.28,0.28,0.22,0.25,350300,0.25
20131218,0,0.35,0.35,0.32,0.32,55000,0.32
20131217,0,0.3,0.31,0.3,0.31,139500,0.31
20131216,0,0.31,0.31,0.28,0.31,194000,0.31
20131213,0,0.36,0.37,0.28,0.3,593700,0.3
20131212,0,0.28,0.4,0.28,0.37,684700,0.37
20131211,0,0.28,0.28,0.27,0.28,101300,0.28
20131210,0,0.25,0.28,0.24,0.25,262100,0.25
20131209,0,0.2,0.25,0.2,0.25,127900,0.25
20131206,0,0.21,0.21,0.21,0.21,2700,0.21
20131205,0,0.21,0.21,0.21,0.21,5800,0.21
20131204,0,0.2,0.22,0.2,0.22,9000,0.22
20131203,0,0.23,0.23,0.23,0.23,0,0.23
20131202,0,0.2,0.23,0.2,0.23,33500,0.23
20131129,0,0.2,0.21,0.2,0.21,10000,0.21
20131128,0,0.23,0.23,0.23,0.23,0,0.23
20131127,0,0.19,0.23,0.18,0.23,39500,0.23
20131126,0,0.2,0.2,0.18,0.19,55000,0.19
